排名：52
网址：https://www.bilibili.com/video/av26819895
更新时间：07-17
弹幕总量：829
preciseTime    ofTime          comment
0.0            1531537935.0    来到好早
0.097          1531562744.0    先一条龙在观看
0.11           1531538128.0    5分钟前！
0.136          1531538116.0    111111111
0.303          1531546365.0    好看不火系列
1.146          1531538988.0    前排提醒：这个视频已内置成就，看到最后就能解锁
1.147          1531579652.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.319          1531641634.0    播放量感人
1.356          1531538667.0    看！我刷到了什么！
1.517          1531538135.0    902！
1.603          1531541507.0    看，我刷到了什么！
1.923          1531559523.0    看我刷到了什么？
2.197          1531716380.0    BGM:dream away
2.219          1531539068.0    内置奖杯系统的视频2333333
2.229          1531555980.0    欢迎收看新人怪物系列
2.351          1531553237.0    .
2.406          1531625852.0    。
2.451          1531553242.0    ...
2.596          1531580150.0    更新了，
2.851          1531537964.0    2分钟前
2.922          1531742623.0    新人都是怪物
2.966          1531555587.0    2333333333333
3.004          1531538954.0    11111
3.109          1531537881.0    刷时间的都是麻瓜
3.124          1531540812.0    表白店长a
3.287          1531538072.0    1
3.503          1531538058.0    1
3.558          1531555525.0    。。
3.585          1531553232.0    来了来了
3.666          1531537858.0    播放量1警告
3.722          1531541061.0    nb
3.745          1531537988.0    438播放量
3.946          1531557869.0    新人都是怪物系列
4.214          1531538550.0    没错 是我了
4.249          1531565042.0    7小时前
4.292          1531539105.0    关上3000的大门
4.386          1531538075.0    nice
4.408          1531539430.0    给店长打call
4.499          1531537832.0    1
4.502          1531625724.0    喵呜喵呜喵呜喵呜
4.825          1531538503.0    终于来了
4.868          1531538479.0    10分钟前
4.917          1531545371.0    一小时前
5.084          1531724774.0    风剑！！！
5.156          1531539640.0    来了
5.165          1531539747.0    终于更新了哦耶
5.223          1531538548.0    兄弟，劳资上个星期关注你的时候10.2万现在17万？woc
5.245          1531538355.0    火钳刘明
5.404          1531581579.0    这句话我在楚河哪里听到过很多相似的
5.45           1531650164.0    为了艾泽拉斯！
5.574          1531538149.0    前
5.651          1531714322.0    哇，金色传说
6.007          1531542002.0    3Dmark那个是真的难拿
6.064          1531538276.0    7分钟前！！！！！！
6.114          1531542125.0    这个视频内置成就系统
6.259          1531740038.0    UP主很棒
6.27           1531702022.0    前排前排
6.304          1531621580.0    Lone Warrior
6.345          1531539241.0    3944
6.386          1531614526.0    顶up主
6.552          1531537902.0    第一名嘻嘻
6.655          1531556738.0    风剑？？？ 
6.715          1531538191.0    好早
