排名：64
网址：https://www.bilibili.com/video/av26830793
更新时间：07-18
弹幕总量：721
preciseTime    ofTime          comment
0.197          1531633991.0    屏蔽凯旋归来在看
0.958          1531891883.0    建议屏蔽关键字——凯旋，食用更佳呦
2.037          1531628952.0    率先承包女主持嘤嘤嘤
2.32           1531598891.0    结尾彩蛋，哈哈哈
3.499          1531606513.0    一
5.116          1531701422.0    胖子又是你
6.115          1531743999.0    交封不杀
6.196          1531641977.0    贵妇拿话筒姿势就是不一样
9.885          1531605926.0    优雅而不失下作的笑容
10.427         1531625094.0    京城贵妇 姿态
10.996         1531817133.0    京城贵妇
11.316         1531630183.0    贵妃
11.425         1531632662.0    贵妇
12.617         1531629878.0    京城悍妇
12.646         1531595010.0    大家好，我是贵妇
12.757         1531656630.0    就算你血赚，但我也不亏
12.987         1531798826.0    贵妇姿势
13.194         1531644918.0    贼可爱啊我的妈
13.382         1531890286.0    贵妇
13.476         1531600823.0    贼贼态
13.675         1531615059.0    京城贵妇贼贼态
13.958         1531610968.0    这笑容我来守护(´･ω･`)
13.979         1531636340.0    优雅
13.996         1531632263.0    贼贼态
14.037         1531838557.0    贵妇姿态
14.117         1531719884.0    什么妇？再说一次？
14.291         1531658063.0    贵妇站姿
14.636         1531701451.0    哇笑得好傻
14.752         1531618761.0    贵妇
14.757         1531623451.0    京城贵妇哈哈
14.976         1531617876.0    京城贵妇
15.257         1531626399.0    主持人小姐姐好可爱
15.476         1531630893.0    这个主持人姐姐好好看
16.282         1531878436.0    这个女不错
16.377         1531719678.0    这个女的很像铃村爱里
16.471         1531711450.0    大家好我是贵妇
16.57          1531789010.0    这姑娘笑起来好像julia
16.617         1531698100.0    贵妇姿态
16.715         1531620167.0    哈哈哈
16.742         1531610134.0    好像节能
17.317         1531626289.0    好可爱啊，姿态
17.568         1531618745.0    贵妇
17.657         1531714124.0    左边的贵妇比右边的淑女棒多了（滑稽）
17.998         1531619701.0    京城贵妇
18.517         1531707643.0    比旁边主持人贵的贵妇
18.662         1531621256.0    儒雅～高贵～
18.696         1531786302.0    京城泼妇
18.866         1531613708.0    贼贼态
19.196         1531629232.0    眼睛👀都在主持人身上
19.494         1531663761.0    陈乔恩！？？？？？？
19.633         1531628636.0    没人的话，主持人小姐姐我抱走了
19.706         1531637810.0    这小姐姐是谁呀？
19.986         1531721240.0    小姐姐手有点抖 但是很敬业。
20.098         1531631475.0    主持人是谁阿
20.408         1531606567.0    少妇白劫
21.235         1531892883.0    小姐姐好漂亮
21.388         1531617511.0    贵妇态
21.635         1531626594.0    不这是悍妇(ಡωಡ) 
21.65          1531793139.0    贼贼态
21.69          1531591600.0    小姐姐真好看
22.544         1531622039.0    节能的你别走。
23.15          1531816556.0    感觉姿态瘦多了
23.737         1531664875.0    新主持啊
24.608         1531711607.0    由小狗决定的
25.051         1531632131.0    新主持
25.197         1531673021.0    .
25.677         1531620035.0    京城悍妇
26.116         1531615879.0    姿态以前就是天才中单
26.395         1531617897.0    这个主持人是谁啊
26.462         1531624714.0    彪悍下作的微笑
26.797         1531673040.0    我只记得
27.177         1531616635.0    这个主持人喜欢姿态！看上他了
27.896         1531625779.0    贵妇
27.917         1531612820.0    好漂亮的小姐姐
28.516         1531647341.0    女主持你们抱走吧，我要贼贼态
28.711         1531616499.0    不想走中路的AD不是好上单
28.797         1531617737.0    金城贵妇
29.017         1531616249.0    手别抖啊
29.376         1531785775.0    京城贵妇
29.44          1531653918.0    新主持
29.596         1531714271.0    这不是早就安排好的套路吗
29.896         1531667162.0    主持人:哇 是姿态 好紧张 手一直在抖 你们都不给我回馈
29.941         1531619644.0    希岛爱理？？？
30.233         1531679480.0    姿态瘦了真帅a
30.757         1531620019.0    都是哈特的馊主意，对，都是他！
31.121         1531646364.0    休想，主持是我的
31.419         1531625085.0    摇摆
31.685         1531759898.0    节能哈哈哈哈
31.687         1531795165.0    主持人侧脸好漂亮
31.782         1531648383.0    我的余震小姐姐呢？
31.895         1531600866.0    都已经安排好了
32.422         1531612233.0    反正也是练练手吧，没有其他的，主要是练练手
34.463         1531670919.0    主持人薇薇，虎牙的
34.83          1531595048.0    哈特：好吧，确实是我的
34.967         1531701828.0    哥的炼金六不六
35.003         1531803978.0    基本上是教练，实际上是狗子
35.82          1531611169.0    安排的明明白白
36.271         1531633468.0    贵妇笑，哈哈哈(*>.<*)
37.163         1531907225.0    笑容逐渐缺德。。。。
38.657         1531623394.0    徐晃？你是不是还差一手胡利雅
39.2           1531702690.0    heart：本来是想演你们然后开会的
40.113         1531625991.0    要是马哥就两个字：教练
40.134         1531623623.0    徐晃班长来了？？
40.396         1531597994.0    哈哈哈哈哈哈哈哈哈
40.557         1531620551.0    很虚晃哈哈哈
40.976         1531633407.0    男的女的折磨
41.295         1531615703.0    也就你们家虚晃吧
41.68          1531633510.0    京城浪妇贼贼态
41.798         1531620677.0    笑容逐渐变态
41.813         1531610568.0    这女的左边脸很奇怪
43.515         1531641529.0    徐晃同学
43.957         1531618151.0    笑容开始贼了
43.987         1531612808.0    姿态的嘴，骗人的鬼
45.023         1531612625.0    小姐姐蛮好看的啊
45.057         1531594570.0    无伤大雅
46.817         1531629418.0    下作
46.886         1531629746.0    小姐姐紧张的手都在抖
48.083         1531641367.0    凯旋归来？
48.402         1531651026.0    京城少妇
48.476         1531886817.0    肮脏下作就行了
49.535         1531616427.0    小姐姐鼻子歪了
49.717         1531626211.0    不想去中单的ad不是好上单
49.766         1531629696.0    说希岛爱理的别走
49.789         1531624029.0    你们这些中学生都跟谁学的这么杠
49.878         1531618551.0    病句  凯旋 就是胜利而归
49.992         1531602409.0    凯旋本身就是胜利归来的意思，后面再加归来不是病句吗？
50.02          1531570070.0    凯旋归来可还行，主持人都这个水准吗
50.819         1531618854.0    贼态上线
51.27          1531628672.0    小姐姐是我的
51.676         1531648992.0    这个小姐姐是刘籽辰么
52.134         1531719388.0    凯旋归来？？？语文10级吧
52.556         1531632699.0    凯旋就是凯旋，非要加个归来
52.617         1531628235.0    凯旋已经有归来的意思了，主持人语法错误
52.876         1531611876.0    凯旋归来？
52.937         1531618247.0    凯旋加归来
53.138         1531636259.0    主持人姐姐挺漂亮的，别紧张啊
53.292         1531709107.0    新主持小姐姐真好看。
53.542         1531710036.0    摇就完事了
53.949         1531609392.0    承包小姐姐
54.431         1531747299.0    凯旋归来用词不当，凯旋有取胜回来的意思
54.436         1531669102.0    凯旋有归来的意思吧。。。（不是引战）
54.563         1531613060.0    凯旋归来不对吗？
54.602         1531624341.0    晃得对面不知所措
54.63          1531614062.0    凯旋归来 病句吧
55.537         1531839135.0    凯旋的意思就是胜利归来   凯旋归来是个啥？ 胜利归来归来？
55.778         1531648556.0    凯旋归来没文化
55.797         1531840279.0    病句，凯旋归来
55.986         1531664474.0    贼娃子
56.017         1531752941.0    北京二环四合院
56.08          1531656471.0    黄字是正确的（文科生）
56.166         1531613403.0    语法角度讲是错的 作为生活用语是没什么问题的 自己百度
56.461         1531659531.0    病句
56.625         1531622155.0    解释一下，凯旋已经有 回来 这个意思，因此 凯旋归来 是不对的
56.698         1531623431.0    凯旋:胜利归来–
56.936         1531633321.0    咋感觉这个小姐姐  跟姿态一样有种优雅贵妇的感觉
57.022         1531616600.0    说凯旋就可以了，就已经是胜利归来的意思了
57.128         1531642254.0    你们这些弹幕真牛逼啊
57.14          1531653946.0    好像叫薇薇
57.177         1531654081.0    凯旋归来讲究
57.373         1531617132.0    凯旋就是胜利归来，凯旋归来语句重复
57.467         1531619543.0    凯旋归来是病句 重复了
57.659         1531628043.0    语法错误吧
57.679         1531898094.0    小姐姐好看
57.796         1531718496.0    病句哈哈哈哈哈哈
57.831         1531652254.0    我叫凯旋，我归来有问题吗？
58.002         1531618758.0    凯旋就有归来的意思，加归来就重复了
58.252         1531612399.0    明人不说暗话，我喜欢这个小姐姐
58.295         1531664890.0    不知道被谁用坏的 凯旋本身就是胜利归来的意思 
58.566         1531636458.0    凯旋就是归来，凯旋归来是个病句
58.636         1531623935.0    凯旋归来是语法错误的
58.696         1531612879.0    杠精出现了
