排名：25
网址：https://www.bilibili.com/video/av26835916
更新时间：07-18
弹幕总量：1157
preciseTime    ofTime          comment
0.0            1531731082.0    在哪看啊
0.493          1531825314.0    一起长大的约定
1.034          1531707862.0    穹妹是我的，都别跟我抢
1.764          1531817170.0    支付寳搜一下“95O6639”，快上车！（滑稽）
2.345          1531638928.0    看见出包就进来了
2.675          1531843936.0    好
3.025          1531712007.0    截图干嘛，愣着阿
3.066          1531682738.0    让我先截个图
3.3            1531627570.0    穹妹我的
3.886          1531645212.0    可怕的视频，我为什么要进来
4.022          1531700012.0    封面哪一集？
4.046          1531628437.0    王女
4.445          1531635055.0    BGM蒲公英
4.645          1531739545.0    (´∀`)ノ⌒◎✧✧猴赛雷~送你一个窜天猴！
4.941          1531631595.0    抱着老婆就是1000米冲刺
5.222          1531701713.0    我聋了？
5.269          1531632387.0    结城梨斗兄弟
5.446          1531825326.0    那样清晰
6.069          1531650403.0    。。。
6.48           1531629761.0    老婆！
6.57           1531625681.0    楪祈老婆
6.685          1531637287.0    红烧好吃
7.13           1531712274.0    第一发弹幕
7.24           1531627585.0    蒲公英的约定
7.289          1531630601.0    穹妹我的，你又来
7.56           1531630905.0    (๑‾᷅^‾᷅๑)
7.67           1531627893.0    雪菜党永春村存
7.687          1531703857.0    to love 要出5?
7.931          1531641273.0    娜娜奇
8.016          1531698647.0    出包
8.476          1531641912.0    我全都要
8.544          1531630368.0    这个UP主终于火了
9.1            1531702215.0    6
9.757          1531710712.0    楪祈楪祈
10.246         1531806401.0    可耻的播放量
10.254         1531810436.0    白学
10.558         1531710260.0    梦梦我的
10.605         1531644920.0    全都是我的
11.638         1531632440.0    周杰伦的
11.663         1531641754.0    bgm 蒲公英的约定 周杰伦
11.778         1531634574.0    祈妹我的
13.163         1531710256.0    楪祈我的
13.333         1531704837.0    ？
13.447         1531629407.0    我老婆↓
14.146         1531733968.0    刚刚补完
14.47          1531717653.0    你老婆被你大舅哥上过无数次
14.735         1531687331.0    神之假摔
15.069         1531628772.0    我要梦梦
15.44          1531667667.0    祈妹我抱走了
15.628         1531710807.0    老婆
16.28          1531730056.0    我的老婆们
16.308         1531718162.0    蒲公英的约定
16.462         1531713494.0    梨斗算流氓那诚哥算什么
16.51          1531716170.0    かわいい
17.324         1531699458.0    抱起蕾姆就是一个百米冲刺
17.509         1531760751.0    截图
17.966         1531711207.0    😃
18.263         1531714985.0    陈亚楠你的
18.519         1531701988.0    太太是我的！！！！！！
19.358         1531730661.0    蕾姆老婆，我的，抱走了
19.463         1531719003.0    陈浩南：你难道是我失散多年的妹妹？
20.007         1531819567.0    这些我都要
20.263         1531631314.0    奶光
20.347         1531637325.0    To Love 出包王女
22.102         1531828495.0    这组最棒了 母女全都要
22.189         1531692988.0    跟我抢穹的你们真是不怕死啊
22.405         1531843956.0    1
22.593         1531710290.0    梦梦啦啦娜娜都我的
23.479         1531698368.0    都是我老婆
24.004         1531705748.0    这年头出包王女都有人不认识了
25.144         1531723239.0    兰陵王
25.583         1531628637.0    出包王女
25.924         1531705680.0    这是第四季的OVA
26.121         1531625709.0    出包王女
26.146         1531828310.0    这是哪一集
26.323         1531715618.0    逵谷须亚莲
26.818         1531645198.0    贝贝贝贝贝露丹蒂？？？阿勒？？认错人了
26.848         1531714118.0    999
27.118         1531630989.0    这是第几集啊
27.444         1531633718.0    这两个莽娃是什么鬼
28.642         1531633266.0    声优是井上喜久子
28.808         1531721515.0    自带圣光的女人，岳母大人好！
28.942         1531729205.0    出包女王OVA第九级
29.191         1531631806.0    出包王女
29.467         1531720794.0    可耻的播放量
30.062         1531686682.0    为啥我没看过这一集啊？我四季都看完了也没看到
30.16          1531639055.0    第几集
30.804         1531627806.0    自带特效的女人
30.806         1531720450.0    参见岳母
31.004         1531718052.0    哦呼
31.182         1531645682.0    这是番外
31.371         1531700460.0    自带特效
32.161         1531801992.0    这是第三季的番外
32.299         1531648278.0    别幻想了那是纸片人
32.694         1531628689.0    笨蛋的姐姐的声音？
32.959         1531647758.0    别人打架关你什么事
33.177         1531701267.0    这是ova的
33.202         1531637488.0    OVA第8集
33.737         1531730536.0    我的
34.28          1531774089.0    66666
34.485         1531731026.0    我喜欢这种御姐声音
35.325         1531723636.0    抱着岳母就是万米冲刺
35.376         1531733836.0    第四季后面的ova
35.423         1531724469.0    这个我怎么没看过是不是番外
35.469         1531719425.0    这是番外
35.65          1531699733.0    我刚才才看过
36.016         1531631303.0    这是哪一集？
36.182         1531729282.0    自带头皮屑
36.681         1531630543.0    这是啥
37.003         1531685112.0    这是什么番
37.319         1531706543.0    第四季
37.487         1531628982.0    哦呼
37.777         1531633750.0    这怎么感觉像是雅典娜
37.969         1531627561.0    好多头皮屑
38.002         1531705204.0    OVA。。。。
38.175         1531626511.0    真
38.465         1531644634.0    梨神
38.801         1531632725.0    双马尾我的 不接受辩解
38.839         1531632963.0    出现过这集
38.844         1531744581.0    这是ova
39.672         1531710030.0    画风都不一样
39.952         1531718556.0    魔仙公主 233333
40.005         1531719457.0    兄dei们，借一部说话
40.258         1531628203.0    发现你的优点才好
40.366         1531714280.0    上面的那个飞机头是银魂黑北斗神拳里的反派好吧
40.488         1531625578.0    他老公很矮，哈哈哈
40.684         1531641410.0    自带特效
40.875         1531718571.0    ova
40.95          1531706841.0    岳母大人？？
41.402         1531713873.0    可耻的播放量
41.594         1531697360.0    ovd
41.604         1531635099.0    我觉得也像
41.732         1531715488.0    全看过
41.84          1531642782.0    自带特效的人类
42.006         1531727850.0    我记得这个好像是剧场版里面的OVA，第八集好像是
42.394         1531630271.0    什么番昂
42.666         1531718232.0    第四季
43.045         1531630482.0    贝露丹迪!
43.214         1531639838.0    杰伦。。。
43.238         1531724116.0    跪求各位大佬告诉小弟那是哪一季哪一集？
43.254         1531722535.0    还有伊莉雅的母亲😊
43.257         1531711240.0    哦呼
43.545         1531639118.0    真   圣光
44.257         1531709860.0    不要看他的眼睛，就是美杜莎。
44.286         1531639677.0    这光！这水！
44.351         1531711926.0    特效满分
44.559         1531639440.0    这到底在哪可以看
44.635         1531718944.0    哇哦。
44.706         1531630317.0    出包王女吗？
44.886         1531826721.0    原来是ova的
45.025         1531628623.0    圣母光
45.378         1531662665.0    那一集
45.6           1531631913.0    前面说戴比路克王矮的，是他经历了星球大战，用战争征服了所有星球，力量失去后才变小的
45.749         1531726281.0    第四季
45.881         1531702258.0    。。。
45.95          1531693716.0    人类?你吃多了吗？
46.105         1531643213.0    哦呼
46.165         1531649165.0    这是剧场版
46.192         1531630834.0    心动的感觉
46.204         1531696967.0    自带本子气息
46.307         1531698553.0    里番
46.908         1531626346.0    Ova呐
46.928         1531682890.0    变成兄贵了。。
46.949         1531642534.0    信仰圣光吧！
47.233         1531723350.0    出包王女
47.388         1531626984.0    好大
47.601         1531629721.0    遭了.是心肌梗塞的感觉
47.695         1531655620.0    在哪看
47.698         1531790334.0    ……
47.765         1531637094.0    右边敌法师的头
48.167         1531680151.0    这是哪一集
48.824         1531734364.0    照桥心美
48.83          1531708006.0    。。。
48.966         1531719231.0    哪集?
49.775         1531713547.0    糟了，是心肌梗塞的感觉
49.924         1531695410.0    影之诗主教
49.951         1531727027.0    伊莉丝加一
50.126         1531724994.0    没看到啊？
50.205         1531712860.0    出包赛高
50.322         1531631443.0    似李
50.336         1531828534.0    神TM里番 这是后宫肉番
50.743         1531640733.0    糟了，心肌梗塞的感觉
50.863         1531641110.0    闪光头皮屑
50.896         1531870769.0    哪来的剧场版这是第四季ova好不好也就是第三季ova的789集中的一集
51.016         1531713177.0    圣母
51.04          1531626930.0    敌法师？？？？！！！！
51.339         1531720471.0    ova9
51.387         1531824633.0    太太
51.642         1531636239.0    传说中的圣母光辉。
51.703         1531806443.0    这光
51.959         1531639460.0    我搜的va都是六级全
52.126         1531747218.0    看过的，包出女王
52.911         1531720160.0    噗
52.983         1531636127.0    基情四射
53.094         1531642315.0    哪一集
53.229         1531705325.0    影之诗主教吧
53.47          1531635344.0    基佬紫
53.512         1531635737.0    哦呼
54.096         1531643026.0    我好像也没看过
54.343         1531626381.0    这是哪一季
55.467         1531728413.0    遇见了眼神_(:з」∠)_
55.589         1531788653.0    这个是肉番啊
55.797         1531718955.0    啊。
55.845         1531638893.0    这里是ove第八集
55.884         1531628122.0    出包王女在影视大全可以看
56.394         1531631059.0    我貌似没看过这一集
56.439         1531637498.0    宽广胸怀
57.305         1531711578.0    那父亲是谁٩(ˊvˋ*)و
57.657         1531717296.0    遭了 是心肌梗塞的感觉
57.855         1531720942.0    基佬紫
57.971         1531631184.0    哦呼
58.467         1531706330.0    魔仙女王
58.828         1531637949.0    是女的胸
59.081         1531720729.0    她老公是用能力打宇宙战争用多了，所以变矮了！
59.165         1531747250.0    包出女王，可以在胶南看
59.771         1531754213.0    包出女王的你给我过来
59.859         1531647338.0    啊 好耀眼 快把闪光术关了要瞎了
60.239         1531627644.0    夫妻
60.28          1531639603.0    爱神？
60.366         1531702750.0    第一季ova
62.04          1531717602.0    这级她被章鱼搞了
62.273         1531714121.0    梨神
62.842         1531633910.0    什么番
63.415         1531646139.0    看形象应该是第四节
63.425         1531679653.0    没看过
63.475         1531704395.0    出包王女
63.696         1531788661.0    无修超级H
63.89          1531707953.0    第3部最后几集
64.016         1531637161.0    杀意波动
64.139         1531637659.0    弹幕呢？
64.188         1531697543.0    这个是北斗杂兵的画风吧
64.433         1531676810.0    妹妹是香菜哦
64.437         1531638129.0    ova
65.191         1531630324.0    那集
65.643         1531722267.0    承包美柑
65.71          1531722678.0    第四季ova
65.827         1531706982.0    番名:打死不看右上
65.998         1531627623.0    这不是出包女王嘛
66.365         1531629737.0    脸呢
66.55          1531721554.0    不是第三季
66.616         1531647040.0    好中二
66.653         1531708165.0    一家三口↓
67.02          1531715513.0    这个好像没看过，哪里的
67.199         1531646147.0    应该是第四季
67.616         1531717006.0    雅典娜
67.825         1531647802.0    诺澜
68.006         1531647676.0    出包王女第几季
68.318         1531732198.0    梨斗摔
68.512         1531703141.0    第三季ova
68.783         1531646807.0    结城，这不是亚丝娜的姓吗
68.808         1531716222.0    きなきな
68.98          1531639239.0    一看就是贵族吧。
69.961         1531679814.0    你可真出名啊！全宇宙都知道你结成梨斗的大名了
70.147         1531717847.0    仮面ライダーEX-AID?!
70.563         1531902656.0    这是番外吧！
70.59          1531724258.0    这是哪一集？
70.719         1531628935.0    这是早苗的声优吧！！！
70.769         1531677118.0    你是！魔仙女王！
70.913         1531634864.0    续集
71.112         1531729224.0    ova最后一集
71.659         1531627669.0    表示没看过这集
71.796         1531638078.0    在哪里才能看
71.855         1531822163.0    ova吧
71.986         1531637560.0    梦梦我的！
72.449         1531634225.0    出包王女？？
72.457         1531633684.0    ova
72.473         1531719805.0    结城明日奈。。
72.679         1531899518.0    第几季，第几集。？？？？？？？？？？？？？？？？？？。？？
72.948         1531716856.0    梨神
73.27          1531631192.0    剧场版这是
73.405         1531731080.0    原来是tolove.阿
73.632         1531739505.0    拉拉的母亲
73.781         1531644835.0    结城明日奈
74.002         1531638800.0    第四季ova
74.184         1531723951.0    表示没看过
74.257         1531647574.0    ova9
74.46          1531641340.0    我看了四季都没有看过
74.544         1531748995.0    糟了是心肌梗塞的感觉
74.584         1531802091.0    出包王女第三季番外
74.726         1531702789.0    出包女王第一季ova具体第几集想不起来了
75.179         1531822177.0    OVA
75.233         1531630481.0    ↓这是ova最后一集
75.535         1531707803.0    大陆出了么
75.82          1531627235.0    这是第几集啊
75.925         1531648322.0    牛皮
76.139         1531730256.0    真没看过这集
76.429         1531727058.0    ova了解一下
77.163         1531709100.0    DIO！
77.299         1531628959.0    没看过
77.34          1531636765.0    哪集啊
77.444         1531701436.0    新疆吐鲁番
77.463         1531634529.0    看我脸色行事
77.557         1531741053.0    最后一集是梨斗分身，这是第八集
77.603         1531824733.0    夫人，请嫁给我吧！
77.754         1531631027.0    沃槽
