排名：80
网址：https://www.bilibili.com/video/av26836284
更新时间：07-16
弹幕总量：982
preciseTime    ofTime          comment
0.0            1531554131.0    奶奶你关注的up主更新了
0.12           1531580433.0    这个我看过
0.123          1531562452.0    爷爷，你关注的UP更新了
0.219          1531564718.0    爷爷你100000000年前关注的up猪今天更新了（失踪人口huig）
0.317          1531570363.0    这部还真的看过。。。
0.358          1531609548.0    这个我看过
0.446          1531580727.0    基基好短
0.464          1531610045.0    贩卖人口
0.478          1531560072.0    求番号
0.479          1531615686.0    我看过这片
0.551          1531647449.0    什么鬼？
0.637          1531604491.0    看过。有马赛克
0.661          1531574529.0    这部不好看，女优丑，还装死人，没声音的
0.701          1531572237.0    这样自动贩卖机这个里面的人我想要
0.705          1531576951.0    6小时前!!!
0.798          1531563452.0    卧槽，我看过，硬盘里还有
0.978          1531677521.0    支咐宝首页搜索“86OO14”这么刺激吗
1.109          1531558744.0    一小时前
1.219          1531560028.0    人间贩卖机
1.261          1531578672.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.347          1531556506.0    开头就高能
1.438          1531566867.0    蜡笔小新主题曲
1.468          1531554304.0    5128
1.481          1531627821.0    看到我你就是1000后了
1.721          1531571595.0    日本人自动贩卖机
1.746          1531601766.0    这是个电影还是什么短片里面的，以前看过
1.85           1531556586.0    自动美女售货机
2.237          1531566087.0    求番号
2.44           1531567374.0    前几天刚下。。。不过觉得不好看就删了
2.5            1531571611.0    失踪人口回归
2.623          1531570169.0    求车牌号
2.698          1531563715.0    好便宜
2.797          1531570693.0    。
2.816          1531569072.0    蜡笔小新的主题曲？
2.838          1531558847.0    233333332
2.918          1531566874.0    蜡笔小新主题曲
2.98           1531569637.0    小鬼子。。
3.099          1531566456.0    这都要马赛克？
3.174          1531615891.0    结局笑死
3.241          1531554020.0    1分钟前!
3.321          1531667416.0    牛壁啊 基基
3.368          1531642334.0    爷爷！你关注的up主更新啦！
3.461          1531674331.0    失踪人口回归
3.53           1531572018.0    一百？
3.538          1531604464.0    ABC-1234
3.544          1531624381.0    支咐宝首页搜嗦“86OO14”低调别黄了
3.557          1531571915.0    这不是某部东京冷的内容吗？
3.678          1531564686.0    看过+1
