排名：64
网址：https://www.bilibili.com/video/av26836461
更新时间：07-19
弹幕总量：1129
preciseTime    ofTime          comment
0.0            1531924569.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿啊啊啊啊啊阿啊啊啊啊
0.541          1531626103.0    封面2：43
0.542          1531627763.0    注意听，有人在吃鸡，再说98k
0.632          1531627565.0    这只估计被掏空了灵魂
0.64           1531718521.0    生活终于对我下了毒手
0.697          1531640180.0    事后
0.878          1531789852.0    指挥部2:20
1.076          1531625042.0    欢迎回来
1.739          1531619328.0    在现场
1.979          1531721479.0    死者
2.399          1531704577.0    这
2.44           1531733092.0    我听到了，姆巴佩，，，
2.482          1531717820.0    支付寳搜一下“
2.532          1531720344.0    支付寳搜一下“
3.521          1531718650.0    98k
3.526          1531718404.0    姆巴佩
3.77           1531624908.0    哈哈哈
4.583          1531627263.0    同款睡姿
4.809          1531619985.0    夜场小王子
4.98           1531709857.0    这只好大
5.1            1531724610.0    太极猫咪
5.121          1531698211.0    今天如果科目一能过，我直接回去盖一栋大房
5.297          1531710220.0    98k
5.428          1531681554.0    y
5.841          1531624136.0    当场去世
5.94           1531752660.0    一只失去梦想的猫
6.132          1531718722.0    98k
6.219          1531718040.0    真相只有一个
6.521          1531988406.0    九街小旋风↓
6.58           1531707805.0    失去了蛋蛋以后↙
6.616          1531633463.0    标题在2：20
6.826          1531628986.0    里面是小孩吧！
6.941          1531685691.0    这不是夜场小王子九街小旋风嘛？咋个在这里睡觉哦﻿⊙∀⊙！
7.43           1531630026.0    在看世界杯呢
7.593          1531714322.0    是我
7.643          1531636999.0    老板，上只猫让我来撸
8.002          1531616085.0    当时这个猫有这么大
8.139          1531626895.0    醉生梦死         看我睡梦罗汉拳
8.213          1531729483.0    是我了
8.277          1531619964.0    这他喵是人吧
8.441          1531715818.0    出现了，现场怪
8.813          1531619627.0    我的睡觉姿势没错了
9.079          1531725926.0    该来的还是回来
9.104          1531710688.0    感觉身体被掏空
9.423          1531636905.0    BGM！！
9.544          1531704456.0    用黄瓜吓它
9.651          1531713174.0    猫押的克罗地亚
9.813          1531623543.0    哈哈，背景音 世界杯。。。
9.944          1531702252.0    姆巴配
10.016         1531710228.0    98k
10.037         1531622711.0    姆巴佩
10.259         1531623548.0    这才叫死肥宅
10.699         1531637671.0    同款睡姿…
10.752         1531621171.0    哈哈哈哈哈哈我现在就这个姿势
10.782         1531620616.0    这诈尸吓我一跳
10.881         1531700945.0    睡死过去
10.997         1531789830.0    。。
11.024         1531741264.0    突然去世
11.872         1531717799.0    这猫还活着吗
11.912         1531703675.0    在现场的你是漂了
11.979         1531618237.0    妖娆的睡姿
12.18          1531680601.0    姆巴佩！
12.435         1531704439.0    放根黄瓜
12.538         1531715541.0    姆巴佩
12.672         1531619199.0    害羞了😳😳😳
12.734         1531762565.0    emmmm
12.881         1531637812.0    98k
12.908         1531725588.0    b
13.138         1531741284.0    98k
13.54          1531634363.0    姆巴佩
13.739         1531729542.0    事后
14.105         1531708936.0    厌世睡姿
14.147         1531790933.0    98k
14.551         1531725635.0    达成成就——b站看抖音
14.976         1531719618.0    猫:不别叫醒我
15.139         1531633365.0    德国队输塌了？
15.259         1531621792.0    不喜欢姆巴佩~
15.332         1531892128.0    很正常，自己的狗是不会和主人对视的。
15.616         1531633397.0    不是98K，是姆巴佩，世界杯法国队
15.899         1531734073.0    姆巴佩
15.951         1531641648.0    23333333
16.267         1531731497.0    只想踩一脚
16.394         1531704296.0    姆巴佩
16.819         1531624347.0    王菊???
17.107         1531709586.0    让
17.738         1531714926.0    胶原蛋白姆巴佩！！！
17.793         1531640347.0    金星？
18.014         1531714555.0    98k？
18.14          1531756429.0    哈哈哈哈
18.478         1531700583.0    姆巴佩
18.54          1531717638.0    王。。。王宝强?
18.84          1531717038.0    98k
18.98          1531937453.0    哈哈哈 我家的也是这样
19.481         1531724649.0    我没看，我不吃
19.577         1531621774.0    封面空降2.19秒
19.739         1531630779.0    我家狗也这样😂
20.68          1531627598.0    现在伪球迷真多呢，呵呵
21.018         1531676710.0    法国夺冠
21.139         1531718067.0    可以的这狗
22.535         1531894005.0    说98K的都在秀无知？
22.639         1531725386.0    。。。
23.581         1531627611.0    假摔不是很正常的吗？内马尔滚也是当做一个梗啊
23.641         1531626146.0    好听吗？好听就是好猫
23.737         1531620230.0    欢迎回来
23.777         1531727689.0    华妃，司棋
24.291         1531715586.0    当场去世
24.569         1531625093.0    哈哈哈哈哈哈哈哈哈
24.899         1531621815.0    头是真的铁
24.992         1531721854.0    真响啊
25.312         1531683944.0    好疼
26.011         1531617206.0    哈哈哈哈哈哈哈啊
26.088         1531622481.0    哈哈哈
26.516         1531625317.0    。。。
26.699         1531703642.0    辣鸡姆巴佩
26.76          1531756442.0    2333333
26.841         1531724935.0    98k
26.848         1531725283.0    扑街
27.041         1531731850.0    哈哈哈哈哈哈哈
27.328         1531717506.0    当场去世哈哈哈哈哈哈哈hhhhhhh
27.481         1531717601.0    哈哈哈(ಡωಡ)hiahiahia
27.518         1531712624.0    233333333333
27.701         1531624602.0    头铁
28.14          1531619103.0    守株待猫
28.219         1531623111.0    哈哈哈
28.437         1531621696.0    疼！
28.54          1531624737.0    卧槽，好疼
28.888         1531629417.0    妈耶吓死了，这大红唇
29.206         1531622938.0    钛合金狗眼
29.214         1531728571.0    烈焰红唇
29.912         1531618449.0    。。。。。。
30.009         1531710263.0    233333333333333333333333
30.02          1531623791.0    你是喂它印度魔鬼椒了吗
30.123         1531641682.0    噗哈哈哈哈哈哈哈哈
30.44          1531709688.0    当场去世
30.923         1531637358.0    握草，吓我一跳
31.041         1531721504.0    在现场，
31.079         1531656555.0    233333333
31.094         1531722320.0    那个大红唇是怎么回事(・o・)????????
31.154         1531648956.0    再看打死你
31.93          1531797554.0    哈哈哈哈哈哈
32.261         1531793340.0    烈焰红唇
33.323         1531629058.0    等等这声猫叫 不 是狗叫吧
33.458         1531749337.0    烈焰红唇
33.849         1531714679.0    哈哈哈哈哈哈哈哈
34.013         1531719031.0    黑猫紧张
34.499         1531621418.0    烈焰👄红唇
34.528         1531663595.0    吓出狗叫
34.576         1531621409.0    飞了起来
35.06          1531626646.0    哈哈哈红红火火恍恍惚惚哈哈哈哈
