排名：57
网址：https://www.bilibili.com/video/av26841185
更新时间：07-18
弹幕总量：608
preciseTime    ofTime          comment
0.0            1531741282.0    可耻的播放量
0.038          1531762364.0    斗鱼直播
0.054          1531564603.0    bGM把我炸到了
0.377          1531618077.0    我今天就要撸死在这里
0.418          1531575574.0    歌白音美系列
0.654          1531571234.0    啊～已撸
0.675          1531573075.0    BGM：oao的怦然心动
0.769          1531714307.0    天使的怦然心动
0.811          1531752634.0    看不到点的，散了吧，别浪费时间和电~
0.838          1531592110.0    AOA的怦然心动
0.91           1531707569.0    可耻的播放量
0.989          1531570473.0    aka
1.11           1531906649.0    那么少弹幕别以为我不知道你们在干什么
1.191          1531596145.0    明人不说暗话我是来看球的
1.423          1531590995.0    怦然心动
1.469          1531572214.0    评论这么少你们的手在干什么
1.614          1531704070.0    看过素颜的我内心毫无波动
1.711          1531572042.0    她的夏美装更好
1.797          1531597365.0    我完事了，你们呢？
1.975          1531573338.0    人妻龙！小林家的！
2.095          1531591190.0    噢夏美酱我去
2.108          1531742078.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝⎠⎞
2.578          1531820839.0    欢迎回来
2.62           1531575921.0    这个漂亮啊
2.757          1531612663.0    可耻的播放量
3.059          1531560118.0    来了来了
3.114          1531731466.0    暂停成功
3.368          1531656511.0    我又回来了
3.56           1531573798.0    火钳刘明
3.563          1531571645.0    随着身体一阵抽搐，一切都变得索然无味
3.719          1531793115.0    老子用流量，你就给我看图片
3.76           1531665775.0    交封不杀
3.817          1531717525.0    是什么蒙蔽了我的双眼？
3.835          1531802851.0    我王凯超今天要撸死在这里
4.135          1531753711.0    我只是来听歌的
4.169          1531597202.0    这bgm真好看，啊呸，这胸真好听
4.239          1531570053.0    可耻的播放量
4.294          1531596059.0    可耻的播放量
4.7            1531571626.0    评论挺少的
5.013          1531669517.0    收藏量惊人
5.173          1531632051.0    想。一遍，多少钱
5.817          1531636350.0    这可耻的播放量
5.839          1531640117.0    请诸位收起你们大胆的想法
5.956          1531571333.0    我有他的全套
6.098          1531570956.0    让我翻翻picacg
6.236          1531563670.0    夏美酱
6.316          1531743716.0    我在哔卡上看过这个，还是luo的
6.517          1531565661.0    噢
6.537          1531570417.0    一来就胸器
7.144          1531713615.0    在现场
7.17           1531666410.0    美
7.454          1531570982.0    可耻的播放量
7.457          1531600791.0    他？
7.875          1531884382.0    女神啊
8.007          1531568870.0    素质三连~
8.086          1531639849.0    这可耻的收藏！
8.291          1531601125.0    不够撸啊
8.292          1531567088.0    中文版感觉没有韩文版好听
8.45           1531556702.0    ??
8.558          1531594182.0    666
8.738          1531572105.0    啊恋爱的感觉
8.77           1531806102.0    我还是个孩子。。。
8.802          1531577840.0    下载的按钮在哪
9.173          1531585040.0    哦乎~
9.259          1531761337.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝⎠⎞
9.34           1531570440.0    把衣服穿上
9.697          1531617717.0    可耻的播放量
9.734          1531766567.0    可耻的播放量
9.774          1531596118.0    前面的BGM是aoa的怦然心跳中文版
9.857          1531675719.0    B站看片指日可待
9.966          1531801019.0    文明
10.224         1531687438.0    羞耻的播放量
10.299         1531570564.0    哦耶
10.305         1531724156.0    都是蓝孩子
10.374         1531747918.0    我就说2个字，蔡明
10.417         1531572020.0    这。。。。小鸟酱?
10.657         1531568583.0    舔爆已不足以形容
10.722         1531603844.0    我要这硬币有何用
10.834         1531792062.0    哦～耶～
10.856         1531571555.0    厉害
10.939         1531633204.0    我TM社保！
11.017         1531601114.0    巧了，我也有她的全套
11.078         1531710942.0    在现场
11.28          1531571383.0    她好像参加过小鸟酱的拍摄
11.316         1531590510.0    我完事了，你们呢
11.408         1531891934.0    播放量与弹幕数不一致啊
11.437         1531568968.0    司机司机
11.715         1531569466.0    良心呀
11.742         1531573272.0    舌头打字
11.816         1531727001.0    真可耻
11.837         1531577449.0    ？？？？
11.99          1531573451.0    我刘硕今天就要撸死在这
12.043         1531568550.0    事后：香香的滋味
12.117         1531570487.0    来听歌的
12.298         1531563395.0    没人吗？
12.387         1531571444.0    图片？
12.892         1531570580.0    想上
13.069         1531591256.0    我也有
13.195         1531592880.0    有全套的兄弟借一步说话
13.199         1531564941.0    我是来听歌的
13.315         1531592689.0    心动的感觉
13.437         1531571768.0    可耻的播放
13.489         1531602181.0    666666666
13.493         1531570526.0    黑了么？
13.54          1531805670.0    认真看
13.551         1531569719.0    文明看球
13.67          1531561526.0    不错～
13.72          1531835895.0    AOA
13.889         1531571827.0    💃💃💃💃💃
14.018         1531658733.0    无敌
14.091         1531725771.0    罗志祥？
14.173         1531665466.0    冲还是要冲一下的
14.293         1531592557.0    在被禁的边缘疯狂试探
14.495         1531574355.0    见封滚
14.523         1531576749.0    良心良心
14.543         1531570420.0    把衣服穿上
14.622         1531602005.0    哦
14.865         1531590629.0    咳咳
15.138         1531590817.0    我我我我我    我套她🐵啊
15.299         1531715735.0    我是清白的要相信我
15.435         1531574716.0    来看球的
15.557         1531643336.0    举报了
15.674         1531713494.0    我朱英锐今天要撸死在这
15.815         1531573738.0    吆西
16.196         1531627504.0    这海好大
16.263         1531743728.0    多少钱
16.433         1531741036.0    他？
16.444         1531810086.0    富强 民主 文明 和谐
16.515         1531636503.0    社保
