排名：71
网址：https://www.bilibili.com/video/av26842504
更新时间：07-20
弹幕总量：4911
preciseTime    ofTime          comment
0.0            1531902870.0    gchgc
0.034          1531568936.0    龙虎一生推
0.23           1531582506.0    舔舔舔舔舔舔
0.256          1531609005.0    bgm不把人耳朵震聋不舒服嗯？
0.318          1531565539.0    first
0.347          1531721678.0    见封滚
0.398          1531594464.0    龙虎生一堆
0.437          1531570340.0    好前
0.438          1531584373.0    舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔
0.491          1531980374.0    天舔舔舔舔舔舔舔舔舔舔舔舔
0.518          1531576575.0    龙虎赛高！！！
0.583          1532040883.0    看到猴王就进了
0.614          1531811331.0    见封滚
0.638          1531568908.0    舔
0.677          1531573691.0    舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔
0.683          1531745615.0    见封滚
0.701          1531558414.0    舔完就跑，真特么刺激
0.702          1531868920.0    Bmg是什么？大神透露一点好吗？
0.736          1531581254.0    舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔
0.738          1531594786.0    龙虎一生推
0.76           1531848344.0    封面小明妹妹？（笨女孩）
0.769          1531876805.0    脑补丝袜
0.782          1531581266.0    舔舔舔舔舔舔舔舔舔
0.809          1531914989.0    我以为我闹钟响了，靠
0.827          1531980421.0    天舔舔舔舔舔舔舔舔舔舔舔舔
0.868          1531801615.0    交封不杀
0.878          1531583014.0    求bgm
0.917          1531583518.0    他他他他他他他他
0.982          1532075663.0    可耻的播放量
0.998          1532044330.0    龙虎一生堆
1.14           1531744644.0    你把你封面给我交了
1.169          1531578109.0    火钳刘明
1.189          1531655465.0    支付寳搜一下“
1.238          1532075610.0    笨女孩预订
1.254          1532023813.0    舔舔舔
1.28           1531980425.0    天舔舔舔舔舔舔舔舔舔舔舔舔
1.339          1531961212.0    交封不杀
1.361          1531581084.0    表示全看过
1.379          1532062392.0    龙与虎我bgm
1.444          1531980398.0    天舔舔舔舔舔舔舔舔舔舔舔舔
1.458          1531821359.0    大大大大大大大大大大哥别杀我
1.478          1531582676.0    交封不杀
1.48           1531812342.0    刚刚有左右声道
1.487          1531629610.0    吱付寳首页搜索5l342l732，真的不用谢我
1.499          1531869399.0    为封而来
1.54           1531578287.0    舔舔舔舔
1.598          1531756400.0    7772个小伙伴你们好呀
1.599          1531726678.0    我才不是封面控
1.621          1531585742.0    咳咳，我会说我是看见封面进来的⁄(⁄
1.638          1531916914.0    舔
1.701          1531584443.0    交出封面
1.9            1531586248.0    BGM：プレパレード
1.932          1531980430.0    天舔舔舔舔舔舔舔舔舔舔舔舔
1.958          1531578686.0    龙虎
1.987          1531586097.0    这TM不是雷科技吗？
1.998          1531581408.0    日锅（1/1）
2.133          1531830456.0    可耻的播放量
2.261          1531907506.0    见封滚
2.341          1531566613.0    舔舔舔舔舔舔
2.37           1531560163.0    哈哈哈哈哈哈
2.397          1531916921.0    舔
2.418          1531584155.0    歌曲是《龙与虎》主题曲
2.445          1531980434.0    天舔舔舔舔舔舔舔舔舔舔舔舔
2.499          1531832389.0    我看见tiger穿腿袜了
2.679          1531849258.0    可耻的播放量
2.699          1531592504.0    我电话响了？？？
2.76           1531837699.0    舔舔舔舔舔舔 舔完就跑 真刺激
2.943          1531580945.0    舔舔舔
2.978          1531832525.0    交封不杀
2.979          1531585864.0    日锅狂魔
2.98           1531613315.0    闻封而来
3.041          1531886801.0    我要封面
3.059          1531609955.0    听到这个bgm不知道为啥就是想舔
3.061          1531568776.0    舔完就跑，真刺激
3.071          1531565860.0    舔舔舔舔
3.096          1531999848.0    交封不杀
3.207          1531626690.0    1
3.22           1531812057.0    封面踢飞摄影师的鸡腿
3.264          1531566192.0    龙与虎的BGM
3.325          1531808836.0    见封滚
3.328          1531582764.0    我以为我铃声响了。
3.411          1531744987.0    可耻的播放量
3.603          1531579652.0    op好评
3.61           1531837574.0    看到封面就不自觉的进来了
3.732          1531986206.0    可耻的播放量
3.734          1531577645.0    黑丝，舔
3.758          1531591229.0    舔舔舔舔舔舔舔舔舔舔舔舔
3.774          1531567953.0    双声道刺激
3.841          1531921608.0    见封滚
3.878          1531992675.0    龙与虎op
3.882          1531781252.0    舔
3.885          1531575127.0    日锅狂魔
3.9            1531796434.0    龙虎一生推
3.939          1531991727.0    交出封面
3.94           1531934312.0    舔舔舔，舔完就跑
4.017          1531570436.0    Bgm绝对好评！！！
4.018          1531979211.0    舔的那个我已经忍了你十几集了
4.142          1532049645.0    见封滚
4.161          1532070877.0    抓住绿自别让他跑了
4.273          1531667933.0    交封不杀
4.277          1531574772.0    龙与虎？
4.294          1531610724.0    舔舔舔舔舔舔舔舔舔舔
4.304          1531828864.0    龙与虎
4.339          1532079281.0    见封进
4.352          1531579422.0    炮姐赛高
4.379          1531584242.0    bgm
4.48           1531570632.0    龙与虎
4.521          1531610421.0    見封進
4.522          1531580283.0    封面坐标
4.567          1531864046.0    羞耻的播放量
4.605          1531742565.0    舔舔舔完就跑真TM刺激
4.608          1531791394.0    啊啊啊美琴桑❤️
4.619          1531610455.0    舔啊
4.621          1531576895.0    见封滚
4.689          1531581528.0    见封滚
4.735          1531621930.0    舔舔舔舔舔舔舔舔舔舔舔舔舔舔
4.739          1531585184.0    舔舔舔舔舔舔舔舔舔舔舔舔
4.799          1531601695.0    可耻的播放量
4.801          1531578369.0    封面笨女孩
4.812          1531908690.0    支咐宝首頁捜索“86OO14”你是对的人
4.82           1531575369.0    钉宫
4.86           1531583892.0    BGM好评
4.885          1531595640.0    龙与虎啊！
4.989          1531595317.0    快来抓绿字，别让他跑了
5.04           1531753543.0    龙与虎的主题曲
5.1            1531590720.0    火钳刘明
5.101          1531985395.0    封面是琉璃被抢走胖次
5.121          1531606520.0    bgm好评
5.205          1531885307.0    火钳刘明
5.219          1531934419.0    乾杯
5.259          1531959741.0    看到这个音乐就想舔
5.275          1532004803.0    好熟悉的图片
5.291          1531579734.0    交封不杀
5.32           1531840683.0    在被禁的边缘疯狂试探
5.358          1531812317.0    我也是5.2生日！！！！
5.361          1531576393.0    舔舔舔舔舔舔舔舔舔
5.408          1531608685.0    交封不杀
5.44           1531586361.0    见封滚
5.441          1531578550.0    BGM！
5.459          1531560043.0    好前
5.461          1532037613.0    bgm！
5.501          1531598421.0    交封不杀
5.521          1531927507.0    交封不杀
5.54           1531580364.0    我鸟
5.573          1531808589.0    见封进
5.619          1531579087.0    龙虎一生推
5.632          1531913634.0    猴哥
5.652          1531821191.0    火钳刘明
5.712          1531802094.0    龙与虎好评
5.717          1531577021.0    见封进
5.779          1531575645.0    交封不杀
5.833          1531908705.0    支咐宝首頁捜索“86OO14”真的别谢我
5.94           1531582102.0    见封进
6.004          1531578173.0    炮炮炮...炮姐！？
6.04           1531582405.0    舔舔舔
6.081          1531723752.0    窥视
6.179          1531797501.0    不封面骗进来的举个爪
6.363          1531580376.0    舔舔舔
6.419          1531927528.0    大河撸丝袜 舔
6.449          1531575136.0    日锅狂魔
6.456          1531565437.0    见封滚
6.639          1531621440.0    我要看到封面
6.641          1531741508.0    龙虎一生推
6.651          1532044100.0    龙与虎好评
6.701          1531809358.0    龙虎一生推！
6.777          1531973673.0    交锋不杀
6.826          1531578323.0    龙虎
