排名：98
网址：https://www.bilibili.com/video/av26844095
更新时间：07-20
弹幕总量：1132
preciseTime    ofTime          comment
0.0            1532078674.0    我姚柯羽今天就要撸死在这里
0.134          1532068245.0    每日一刷
0.244          1531831932.0    螳螂劲敌
0.278          1531811757.0    bgm 那个娘妹儿
0.457          1531975410.0    自由的男人
0.568          1531885308.0    目测要火
0.814          1531815188.0    2分19秒的弱子彩色滚动弹幕墙建议举报。
0.824          1531824796.0    标准开头
0.945          1531795430.0    欢迎回来
1.027          1531797168.0    刷人名举报不谢
1.092          1531814190.0    fa♂乐器上线
1.125          1531811965.0    兄弟们快下载，这是下一个目标
1.225          1531806337.0    标准开头
1.328          1531824204.0    壮哉我door♂阴
1.461          1531802561.0    开头吸引观众，这次的fa乐器为何如此怅然，奠定了此曲的感情基调，缅怀比利王
1.533          1531830641.0    bgm：那个崽种
1.588          1531819229.0    是自♂由的感觉！！！
1.593          1531796251.0    我小马今天就是要撸死在这！
1.656          1531905953.0    支咐宝首頁捜索“86OO14”哲学不谢啊
2.103          1531799935.0    年薪亿万调音
2.185          1531810298.0    van♂出生后♂是♂一个哲学♂的男孩♂为此♂今天他又♂性奋♂起来
2.329          1531807239.0    该来的还是来了
2.347          1531815096.0    泪目
2.787          1531807224.0    我保证这是最后一次了
3.053          1531822671.0    bgm 那个崽儿
3.123          1531803877.0    平生第一次顶端弹幕
3.526          1531789651.0    火钳刘明
3.607          1531816509.0    那个自由的男人会来吗
3.656          1531829403.0    老额看着里
3.754          1531875755.0    [0,0,"1-1",4.5,"是哲学的标准开头",0,0,0,0,500,0,1,"SimHei",true]
3.988          1531922508.0    那个男人会来吗
4.182          1531921483.0    啊♂heдξ
4.336          1531809017.0    。。。。。。。
4.418          1531996953.0    哈哈哈哈
4.504          1532060880.0    该来的还是来了
4.566          1531797156.0    1500弹幕报道
4.628          1532072971.0    上传网易云啊up主
4.632          1531796474.0    标准开头
4.731          1531898233.0    泪目
4.77           1531813420.0    火钳刘明
4.786          1531836191.0    后面的，蓝道君不是新人
5.166          1531794599.0    该来的还是会回来
5.184          1531801227.0    。。。
5.308          1532002463.0    标准开头
5.407          1531792020.0    该来的还是来了
5.415          1531800835.0    🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌
5.416          1531790960.0    该来的还是回来的
5.464          1531831944.0    螳螂劲敌
5.777          1531819738.0    那个自由的男人回来吗？
6.275          1531815472.0    该来的总会来
6.488          1531886503.0    泪目
6.893          1531813786.0    妙啊
7.064          1531794124.0    终于对这歌下手了
7.209          1531796598.0    自由的气息
7.217          1531815077.0    哲♂学
7.445          1531793471.0    强无敌
7.512          1531790635.0    天道好轮回，苍天饶过谁
7.869          1531800634.0    想起了那个中学♂生
7.966          1531812747.0    那个象征自由的男人回来么？
8.046          1532048963.0    fff
8.317          1531807739.0    BGM：that girl
8.552          1531814620.0    该来的还是来了
8.585          1531831951.0    螳螂劲敌
8.685          1531805728.0    666
8.709          1531808107.0    哲学♂宝藏
9.325          1531810191.0    给润东哥安排
9.407          1532051041.0    嗯嗯
9.581          1531813108.0    那个男人
9.707          1531805159.0    牛逼啊
9.726          1531815257.0    哈哈哈哈嗝
9.911          1531974478.0    fafafafafafafafafafafafafafafafafafa
9.966          1531825196.0    那个男人
10.288         1531805142.0    那个魔男
10.306         1531838538.0    月薪过亿调音师
10.541         1531802618.0    van亲了亲嗓子，自然过渡到下一段，也说明van是主角
10.604         1531831957.0    螳螂劲敌
10.643         1532066695.0    要火要火
10.665         1531793069.0    他还是来了
10.861         1531811096.0    那个爷们
