排名：95
网址：https://www.bilibili.com/video/av26848141
更新时间：07-18
弹幕总量：3625
preciseTime    ofTime          comment
0.0            1531643713.0    欢迎回来
0.067          1531819809.0    发发发发发发
0.157          1531881178.0    熟悉的开头
0.217          1531739824.0    第一?
0.221          1531577259.0    终于。。。。。。。。。『去世』
0.278          1531580993.0    都8102年了
0.301          1531886271.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
0.318          1531591050.0    夸父他到底说了什么啊
0.417          1531636386.0    爷爷，祖宗说的那个up主终于更新了
0.478          1531627906.0    有生之年
0.54           1531576184.0    看见戒撸我就进来了
0.604          1531623666.0    有生之年
0.606          1531748029.0    失踪番集回归
0.766          1531581070.0    有生之年
1.175          1531718435.0    失踪人口回归
1.257          1531577329.0    30分钟前？？？！！
1.279          1531643812.0    发发发发发发发发发发发发疯
1.378          1531617223.0    久违的开头啊
1.733          1531581889.0    有生之年系列
2.002          1531817794.0    支付寳搜一下“95O6639”，快上车！（滑稽）
2.16           1531580139.0    都忘了有这个系列了
2.161          1531578898.0    失踪人口回归
2.321          1531597671.0    发发发发发发，谢谢嘟督带给我的快乐
2.389          1531576047.0    先投币为敬
2.408          1531581169.0    wow
2.412          1531793680.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
2.421          1531886289.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
2.457          1531795795.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.482          1531582102.0    爱你爱你爱你随时都可以
2.651          1531576719.0    。。。
2.662          1531609143.0    出的真慢
2.742          1531582745.0    更新不易啊
2.899          1531586821.0    原来有前三话的？
2.901          1531703357.0    有生之年系列！！！！
2.979          1531615535.0    你要对狮子做什么！
2.999          1531580438.0    发发发发发发发发发发发发发发发发发发发
3.006          1531633286.0    有生之年系列
3.039          1531828506.0    有生之年
3.059          1531583571.0    爷爷，您关注的up主更新了
3.098          1531789057.0    发发发发发发发发发发发发发发发发发发发发发发发发
3.12           1531622585.0    失踪人口回归，失踪人口回归，失踪人口回归
3.157          1531599571.0    有生之年
3.158          1531623327.0    发发发反反
3.195          1531589060.0    7小时前
3.264          1531745876.0    来了
3.321          1531582246.0    有生之年
3.364          1531618674.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
3.369          1531613230.0    原来都督你还记得！QwQ等死我了！
3.421          1531664717.0    fffffffffffffffffffffffffffffffffffffffff
3.454          1531581814.0    发发发发发发发发发发发发发发发发发发发发发发发
3.481          1531625597.0    你还知道回来?
3.521          1531658839.0    发发发发发发发发发发发发发发发发发发发发
3.539          1531579148.0    好早阿
3.584          1531586849.0    失踪人员回归
3.605          1531683379.0    有生之年
3.679          1531678101.0    FA♂FA♂FA♂FA♂FA♂FA♂FA♂FA♂FA♂FA
3.724          1531630141.0    哦！！！！！
3.84           1531587720.0    六批
3.926          1531630547.0    A
3.975          1531629126.0    发发发发发发发发发发发发发发发发发发发发发发发发发
3.977          1531616953.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发
3.999          1531577197.0    有生之年
4.012          1531748522.0    排面
4.076          1531795837.0    发发发发发发发发发发发发发发发发发发发发
4.162          1531579702.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
4.175          1531608968.0    手都被咬掉了当然可以戒撸
4.18           1531577350.0    卧槽，更新了
4.181          1531588812.0    有生之年
4.222          1531627903.0    发发发发发发发发
4.259          1531742295.0    发发发发发发发发发发发发发发发发发发发发
4.269          1531586792.0    有生之年
4.284          1531827052.0    大声告诉我你们撸了多少次
4.298          1531652776.0    泪目啊~
4.31           1531589626.0    终于等到你
4.4            1531577365.0    有生之年
4.401          1531579612.0    标准开头
4.42           1531576727.0    哇哇哇
4.501          1531665248.0    发发发发
4.541          1531576267.0    第200万！(滑稽)
4.555          1531651209.0    凑个热闹，你们
4.579          1531634263.0    有生之年系列
4.592          1531576974.0    有生之年
4.659          1531788847.0    有生之年!
4.7            1531618846.0    发发发发发发发发发发发发
4.739          1531583554.0    比利时2:0英格兰
4.757          1531586424.0    发发发
4.76           1531588967.0    耳机耳机耳机！！！
4.86           1531587757.0    发发发发发发发发发发发发
4.901          1531583371.0    看看我刷到了什么
5.1            1531664732.0    愤愤分分付付付付付付付付
5.115          1531632576.0    有生之年
5.121          1531585121.0    6小时前?
5.15           1531611878.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发放发放发发
5.166          1531577337.0    发发发发发
5.219          1531578254.0    FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
5.22           1531612960.0    有生之年
5.261          1531736953.0    过审小王子
5.29           1531754958.0    早啊
5.312          1531578507.0    有生之年！
5.319          1531581182.0    我还是要问：新OP去哪了？！
5.339          1531576395.0    发发发发发发发发发发发发发发发发发发
5.34           1531730759.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
5.361          1531643565.0    失踪人口回归
5.461          1531752110.0    有生之年
5.548          1531617704.0    太姥爷，你提起过的那个人好像更新了！
5.579          1531663586.0    哇，都督更新了，要完了天塌了
5.621          1531640929.0    有生之年系列
5.652          1531663863.0    kkkk
5.665          1531586590.0    有生之年
5.699          1531581102.0    发发发发发发发发发发发发发发发$发发发发发发发发发发发发发发发$发发发发发发发发发发发发发发发$
5.717          1531617126.0    有生之年
5.803          1531843752.0    爱你爱你爱你嘟督一辈子！！！
5.82           1531628395.0    有生之年系列
5.93           1531683389.0    失踪系列
5.94           1531626514.0    你还知道更新这个啊
5.943          1531578859.0    安排
6.058          1531622105.0    失踪人口回归！！！
6.081          1531757349.0    有生之年
6.118          1531739190.0    fffffff
6.137          1531580234.0    发发发发发发发发发发
6.16           1531615490.0    有生之年
6.161          1531629571.0    发发发发发发发发发发发发发发发发发发发
6.162          1531750605.0    发发发发发发发发发发发发发
6.179          1531653811.0    有生之年。
6.201          1531589325.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
6.206          1531581710.0    的是非得失水电费水电费
6.257          1531585640.0    有生之年
6.269          1531577275.0    有生之年系列
6.273          1531580850.0    woc一分钟前
6.298          1531652752.0    发发发发发发发发发发发发发发发发发
6.3            1531910693.0    哇！都督开新更啦！为什么不从第一话播?
6.301          1531582499.0    高产高产
6.342          1531579438.0    看看我刷到了什么好东西
6.415          1531599085.0    发发发发发发发
6.419          1531639906.0    哇哇哇……
6.427          1531813297.0    发发发发发发发
6.481          1531582381.0    666
6.57           1531793785.0    发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发发
6.611          1531577775.0    你还知道更《孤岛惊魂》！
6.699          1531584739.0    有生之年
6.701          1531583278.0    嘟督
6.709          1531576395.0    哈哈哈哈哈哈
6.718          1531630094.0    发发
6.792          1531583460.0    金典啊！！！
6.804          1531577301.0    有生之年
6.88           1531581256.0    哈哈哈哈
6.912          1531806510.0    有生之年
6.916          1531740961.0    发发发发发发发发发发发发发发发发发发
6.932          1531874082.0    有生之年
6.961          1531825240.0    你还知道更新
7.017          1531617117.0    有生之年系列
