排名：60
网址：https://www.bilibili.com/video/av26853652
更新时间：07-20
弹幕总量：2097
preciseTime    ofTime          comment
0.068          1531809853.0    塔子阿姨呢？
0.277          1531812385.0    bgm?！我点进了什么！
0.586          1531906023.0    支咐宝首頁捜索“86OO14”真的别谢我
0.606          1531996444.0    诸君，这个bgm好耳熟啊
0.683          1532062426.0    缘之空。。。
0.884          1532061838.0    炽天使
1.18           1531820617.0    缘之某
1.3            1532009575.0    bgm想哭
1.413          1531809762.0    缘之空……！
1.463          1532076992.0    bgm:Old Memory（缘之空bgm）
1.863          1532076896.0    艾伦妈妈真的是虐
2.283          1531877803.0    我就知道有我钢炼……
2.688          1532060998.0    BGM每次听到就好伤感……
2.761          1531992620.0    空气逐渐德骨
2.785          1531812381.0    @ash
2.884          1532064266.0    bgm
3.064          1531857507.0    钢炼里的妈妈就是一个天使
3.624          1531875608.0    BGM好评
3.89           1532049419.0    某之空
3.924          1531877878.0    缘之空可还行
4.024          1531854516.0    卧槽，up你知道你用的这个bgm吗，炸出我
4.184          1531869823.0    斜肩单马尾都是危险发型
4.415          1531854979.0    必有德莉莎
4.494          1532073137.0    钢炼+
4.504          1532008155.0     缘之空好评
4.525          1532012086.0    某之空
4.623          1531864378.0    缘之空好评
5.006          1531878123.0    缘之空
5.124          1532079179.0    被爱德阿尔的妈妈吸引进来的！
5.162          1531810442.0    艾米莉亚
5.246          1531873902.0    bgm挺好
5.443          1532066336.0    钢炼，吃货我知道，其他的。。
5.501          1531809870.0    塔子阿姨没死啊！
5.802          1531859517.0    缘之空的bgm
5.832          1532050245.0    BGM:Old memories
5.901          1532068331.0    某之空好评
5.966          1531812345.0    BGM好评
6.035          1531813292.0    以为手机铃响了加我一个
6.055          1531897764.0    钢炼
6.065          1532010026.0    这bgm
6.262          1532069667.0    缘之空。。
6.49           1531812654.0    ？？？
6.525          1531851881.0    缘之空好评
6.778          1531872431.0    金木小天使，雏实的妈妈
7.174          1531876253.0    什么空？
7.375          1531867316.0    良子小姐
7.585          1531877740.0    侧马尾很危险
7.919          1531811608.0    缘之空bgm好评
8.023          1532020901.0    eee
8.04           1531811541.0    bgm好评
8.204          1531850369.0    上来就是缘之空
8.264          1531812336.0    承包小天使！！！！！
8.283          1531853558.0    笛口！
8.312          1531811708.0    缘之空
8.403          1531869762.0    啊啊啊啊啊啊老公好久不见
8.449          1531862970.0    危险的发型
8.478          1531854549.0    凉子!
8.673          1532019155.0    太太，你的发型很危险（混入视频中的视频中）
8.763          1531811653.0    缘之空bgm
8.824          1531810959.0    bgm:old
8.966          1532058420.0    三轮学！！！
9.325          1531878141.0    我的穹妹
9.496          1531812304.0    干，bgm犯规
9.638          1532072681.0    我也梳过这种把
9.947          1531856009.0    厉害啦 bgm
10.263         1531850403.0    bgm好评
10.857         1531809772.0    禁断
10.923         1531869359.0    我以为我手机铃响了
11.009         1532069462.0    炽天使
11.437         1532006639.0    某之空
12.02          1531878219.0    BGM缘之空
13.038         1531810353.0    BGM好评
13.534         1531809780.0    我的手机铃声阿
13.542         1532070214.0    BGM   缘之空
13.563         1531998156.0    危险的发型
13.817         1531810020.0    这种发型的都死了
14.064         1531864735.0    bgm....
14.316         1532055509.0    金木小天使
14.664         1532036119.0    德莉莎
14.768         1532072168.0    缘之空
14.776         1532073959.0    巨人
14.82          1531829443.0    艾伦妈妈，心疼
14.99          1531853672.0    嘿
15.524         1532061754.0    都领便当了
15.553         1531875561.0    bgm三轮学来自缘之空
15.747         1532076377.0    某之空我去
16.181         1531811455.0    BUM:缘之空的比翼的羽根
16.66          1531985319.0    因为梳这种发型的大部分都挂了
16.803         1531874660.0    岳母！！！
16.988         1531878035.0    要凉
17.032         1532070888.0    危险的发型
17.137         1532008248.0    刚补完喰种3
17.32          1531855152.0    里番少妇专用发型。。。。
17.391         1532056617.0    都死了
17.463         1532002167.0    危险的发型
17.529         1531869787.0    德莉莎233
17.606         1531850434.0    凉子小姐
17.964         1531812009.0    承包爱德妈
18.137         1531813320.0    容易领盒饭的发型
18.339         1531877985.0    因为有人妻头发的都会死
18.504         1531810349.0    德莉莎的发型
18.644         1532064072.0    每次出现这种发型这个人物就会。。。。
18.723         1531812274.0    盒饭发型
19.39          1531868257.0    艾伦的妈妈阿  心痛
19.552         1532077109.0    手机铃声＋1
20.186         1531876607.0    要死了
20.318         1532033240.0    死亡发型
20.411         1532006448.0    死亡发型233
20.453         1531853232.0    都拜拜了
20.641         1531812338.0    见闪电十一人滚
21.385         1531813170.0    为什么缓存不了
21.517         1532068454.0    为这个BGM学钢琴在此
21.545         1531810503.0    大姨妈！
21.664         1531876255.0    艾伦的妈妈..
21.992         1531906044.0    支咐宝首頁捜索“86OO14”你很棒棒哦
22.283         1531876225.0    是的，艾伦的母亲
22.562         1531887414.0    能不能别放那个BGM，要哭了
22.701         1532055932.0    23333
23.243         1532012302.0    夏洛特里的小熊，，，，
23.544         1531874671.0    岳母好！！
23.628         1531863536.0    和泉雾纱了解一下。
23.777         1532012807.0    进击的巨人
23.905         1531850547.0    这发型的人都要倒霉
24.326         1532058746.0    献出心脏!！！！！
24.46          1531813160.0    bgm好评
24.544         1531859730.0    我就知道有这个
24.636         1532023121.0    为利威尔兵长献出心脏！！！
24.74          1531877002.0    仁太妈妈
25.077         1531811162.0    兵长的丈母娘？（皮
25.244         1532068599.0    艾伦麻麻
25.285         1531876949.0    进击的巨人
25.343         1531810816.0    艾伦！！！
25.404         1531875356.0    艾伦！！
25.545         1531813026.0    德莉莎！
25.655         1532050496.0    一下屏蔽很舒服
26.217         1531861802.0    休想！
26.282         1532056600.0    为进击的巨人献出心脏为进击的巨人献出心脏为进击的巨人献出心脏为进击的巨人献出心脏
26.306         1531871138.0    巨人一生推
26.365         1531809715.0    啊……原来是这里
26.586         1531810193.0    巨人
26.643         1531811886.0    艾伦！！！！
26.663         1531874680.0    我妻艾伦！！
26.797         1531868269.0    啊啊啊  进击的巨人
26.825         1532067658.0    挡字幕的要点脸行吗
26.863         1532046431.0    好烦啊，刷屏的，真的什么都挡玩了
27.023         1532046384.0    一说就猜到类型
27.725         1531874640.0    艾伦艾伦
28.167         1531809804.0    6了
28.224         1532061889.0    危险，，
28.48          1532003206.0    艾伦小天使我的
28.536         1531811249.0    艾伦小天使！
28.584         1531810026.0    兵长～
28.629         1531877752.0    进击
28.645         1531810786.0    阿尼我爱你
28.823         1531876866.0    心疼啊
29.13          1531872501.0    啊啊啊
29.395         1532013100.0    夫人 你的发型很危险
29.444         1531812639.0    巨人！！
29.462         1531876972.0    🌚妈妈
29.465         1532008108.0    为兵长献出心脏
29.536         1531874889.0    为利威尔献出心脏
29.548         1531878507.0    艾伦妈妈看到就想哭
29.608         1531811960.0    奥托主教，你很危险
29.651         1531858677.0    一直以为这是av发型
29.839         1531810292.0    进击的巨人！
29.862         1531874654.0    巨人
29.885         1532005972.0    艾伦最可爱了！最爱艾伦小天使了~❤️
30.032         1532060167.0    我一直以为是由于时崎狂三
30.118         1532012127.0    (⊙o⊙)哦呼
30.721         1531868281.0    献出心脏
30.831         1531872972.0    艾伦的母亲
30.851         1531812996.0    艾伦
30.996         1531855990.0    哦突然明白了。。。
31.193         1531869343.0    诶呦
31.436         1531877305.0    '要说'早林月如最早吧，不过梗出现的晚
31.521         1531810898.0    懂了
31.523         1532078864.0    会被吃吗？？？
31.64          1532055526.0    进击的巨人
31.667         1531830747.0    巨人
31.845         1532021815.0    艾伦！！
32.147         1531812657.0    艾伦小天使
32.359         1531812389.0    原来如此
32.7           1531872678.0    为利威尔献出心脏
32.947         1531873647.0    艾伦还是个天使
33.228         1531874670.0    献出心脏
33.242         1531866439.0    妈妈啊
33.274         1531875531.0    巨人啊啊啊大爱
33.62          1531854660.0    这个发型可能会显得女性比较柔弱吧
34.037         1531811791.0    为兵长献出心脏
34.087         1531813154.0    这个片段实在无法欣赏
34.265         1531810024.0    献出心脏
34.406         1531882027.0    端木寺芸……
34.97          1531875940.0    亲亲艾伦
35.408         1531869904.0    啊啊啊啊啊啊啊，爱你，！
35.482         1531876851.0    1米6
35.533         1532018559.0    那德莉莎怎么办
35.859         1532017877.0    是这里吗
36.365         1531872235.0    明白，这些人都有排面
36.381         1531866729.0    献出心脏
37.104         1531873915.0    她妈妈被嘎嘣脆了！
37.483         1531874699.0    啊小艾伦真可爱
37.522         1532053371.0    艾伦小天使
37.744         1531813179.0    未闻花名，仁太的妈妈
37.804         1531868925.0    我先承包kaji
37.854         1531852951.0    这个梗不是来自里番的吗
38.008         1532004731.0    嗯！被吃了
38.212         1532075697.0    发型梗
38.304         1531833645.0    嚓，心痛
38.381         1531810339.0    kaji！！！
39.055         1531876984.0    哦噶桑
39.543         1532007207.0    利威尔我老公
39.62          1531813322.0    夫人好美
39.624         1531864373.0    这个发型的母亲我就没看到活过前三集的
40.459         1532056384.0    发型危险
41.447         1531871806.0    德丽莎不是太太啊
41.622         1531873705.0    艾伦么么哒
42.829         1531954895.0    夫人，你的发型很危险
43.38          1531872479.0    笠娘
43.397         1531813041.0    卡斯兰娜家族表示：？？？
43.542         1531869704.0    我笠美如画!
44.003         1531874699.0    哎，妈妈。
44.138         1532023200.0    三笠侧颜美爆了！！
44.685         1531873762.0    艾伦！
45.424         1531855033.0    承包小天使
45.45          1531869894.0    安莉。。。。。
45.84          1531812623.0    得，我懂了
46.827         1531818743.0    等等等！！！薇尔莉特？？
46.888         1531874183.0    夫人你的发型很危险啊
47.179         1531853363.0    刚看完12季的我
48.832         1531810585.0    等等，三笠不是男的吗
49.263         1531871829.0    画质好评
50.223         1531854759.0    梳着这个发型看视频
51.842         1531872228.0    我知道啊，但老子会变身啊
51.954         1531877792.0    不死及残
52.051         1531871947.0    看着我的侧马尾，我有点方
52.989         1531874721.0    巨人很棒
53.784         1532009318.0    承包
54.695         1531999397.0    三笠是八块腹肌的女人
54.903         1531853013.0    然后双亲被杀
56.454         1531993162.0    嗦嗦嘎哇嘎哒
56.684         1531874554.0    好烦呀，能不能不要在底部发弹幕了，(▼皿▼#) 挡住字幕了。
57.098         1531850209.0    问这是什么动漫。。真可怕
57.124         1531874561.0    别挡字幕啊
58.616         1531855425.0    这么高播放，就这么几个粉丝
58.717         1531871366.0    石川由依啊，三笠的cv
60.404         1532013160.0    德莉傻也是这个发型哦
60.407         1531856064.0    笠笠笠
61.605         1532006025.0    毫无剪辑痕迹😂😂😂
61.704         1531867325.0    kaji!
61.973         1532049494.0    kaji嘿嘿嘿
63.831         1531868629.0    献出心脏
63.924         1531870943.0    这是在讽刺我们吗
63.951         1531870604.0    7月22号进击的巨人3见
63.995         1531869818.0    你直接从主角他爹的第一个老婆吃第二个老婆哪里放不就行了
64.621         1531964447.0    VV
65.743         1532076975.0    父亲是巨人头头，他能说什么
65.782         1531850293.0    为自由之翼献出心脏！
65.865         1531870361.0    这发型，想到少恭
66.153         1532068330.0     我有个视频8k多播放也就4个粉丝啊
66.447         1531811986.0    你咋不从大爆炸开始录咧？
66.673         1531863327.0    。。
66.757         1531814520.0    艾伦
66.777         1531868998.0    kaji是我的，后来的人不要想了
67.352         1531869936.0    还好还好有资源，
67.478         1531871578.0    然后麻麻就被吃了
68.67          1531868732.0    父亲什么都知道
69.154         1532017910.0    笠笠笠！
70.488         1531878020.0    突然想再看一遍
70.645         1532008509.0    不知道哎
70.726         1531872264.0    话说游戏里的林月如也是这个发型吧
70.794         1531812517.0    乍一看以为是艾伦女装。。。
71.212         1532041500.0    进击的巨人
71.424         1532002085.0    对于吃货看了巨人几集我就吃不下东西了
71.465         1532011841.0    夫人您的发型会招来更多危险
71.607         1531878270.0    父亲是从外边进来的
71.961         1531999845.0    能不能不发底部弹幕？挡到字幕了
72.267         1532061053.0    除了发型，全部一样
72.838         1532058594.0    长发三笠好看
73.18          1531871887.0    他爹啥都知道。
74.636         1531852040.0    他爹就是墙外面的人啊，掌握巨人德秘密什么的
74.977         1531810431.0    太太，您怕是女装大佬吧
75.985         1532025386.0    仔细一想，这发型还真是那么回事……
76.123         1531810567.0    看把你能的
76.284         1531991673.0    哎嘿
77.407         1531862025.0    漫画党深刻体会到了这句话的意思
77.577         1531873616.0    他把他爹吃了
77.84          1532013058.0    进击的巨人  漫画很好看 动漫之家有
77.901         1532008789.0    不是会员知道了消停会儿
78.076         1531872257.0    来了，跳过
78.161         1531878059.0    抱起三笠，你们来追我啊
78.464         1531879535.0    发地段弹幕
79.324         1531813265.0    ？
80.103         1532077005.0    看到艾伦妈妈被吃真的是虐
80.202         1531874953.0    剧透的很有优越感吗？？
80.52          1532009464.0    果然很危险
81.03          1531812057.0    壁外。。。雪原
81.037         1531992119.0    这个剪得太多了吧
81.165         1531811742.0    蹦蹦蹦
81.502         1531875860.0    这种视频都有人剧透，哪来的优越感？
81.888         1531812161.0    啊啊啊！我不要看这里啊！太虐了
81.983         1532077033.0    说奥托的我笑出声哈哈哈哈哈哈哈，奥托我的
82.221         1531816366.0    低端弹幕挡字幕我见一次举报一次
82.407         1531874595.0    你怎么不从寒武纪开始录
82.727         1531813541.0    这里跳过了吧
83.221         1531995787.0    啊啊啊啊啊啊啊啊那个时候胆子小晚上做噩梦啊啊啊
83.291         1531868358.0    前方高虐
83.816         1531811982.0    前方高能
83.886         1532072032.0    这神奇的剪辑我也不想说什么了就不能从后面开始剪吗
84.426         1531810845.0    第一集
84.428         1531874773.0    巨人来了
84.472         1532016106.0    底端弹幕亲🐴爆炸
84.545         1532055630.0    第一次看这个，我正在吃薯条，还是番茄味的，顿时整个人都不好了。。。
84.799         1531869824.0    熟悉的剧情.....你莫非是那个男人的母亲?
85.217         1531871233.0    进击的巨人
85.364         1532010261.0    完了完了要被吃了。。
85.75          1531809887.0    后台很硬
85.843         1531813297.0    别往下看了吧
86.76          1531812346.0    哇
87.343         1531813083.0    前方美食番上线
87.912         1531874446.0    弹幕挡字幕就很烦，有病吗？
87.941         1532044784.0    这段高虐啊
