排名：100
网址：https://www.bilibili.com/video/av26857194
更新时间：07-18
弹幕总量：1277
preciseTime    ofTime          comment
0.818          1531668395.0    第一个。
1.111          1531702952.0    好湿
1.328          1531634507.0    山曰:大♂
1.36           1531621592.0    终于出现了
1.378          1531679991.0    汪！！！！！
1.421          1531891843.0    济宁的伙计到了！
1.556          1531637098.0    我来了
1.752          1531726214.0    支付寳搜一下“
1.758          1531644930.0    bgm:我们呢（金娃娃）
1.897          1531588075.0    看球归来
2.129          1531650533.0    失踪人口回归
2.307          1531637295.0    偷食材（×）女徒弟（×）灵魂画师（×）竹筒（×） 大河流水（√）狗狗／熊二（×）小剧场（×）斗笠男／女二（×） 牢底坐穿（×）注入灵魂（×）正经葱花（×）手撕葱花（×）无情铁手
2.494          1531743403.0    好湿好湿
2.841          1531628284.0    十五个小时前。。。但总算赶上了！！！
3.338          1531668402.0    第一嗷
3.497          1531806413.0    BGM 我们呢（郑国锋）
3.552          1531719697.0    机器灵，砍菜刀
3.595          1531822781.0    支付寳搜索5l342l732，上车，上车，血小板的车！
4.102          1531639488.0    哇好多年前听的歌，我们呢，skr~
4.2            1531897899.0    这个没有前情回顾吗
4.373          1531588690.0    888
4.457          1531677714.0    大
4.467          1531584870.0    恭喜比利时
4.52           1531584952.0    don't
4.561          1531898636.0    机器灵砍菜刀
4.606          1531621560.0    吹爆枪花
5.018          1531668408.0    好开心
5.262          1531665817.0    .666666
5.441          1531593393.0    机器灵砍菜刀
5.459          1531584444.0    bgm，机器铃砍菜刀
5.72           1531829518.0    星星还是那颗星星，被霾遮住了光明
5.721          1531665223.0    刑捕头儿~
5.9            1531584141.0    3029个人正在看
6.04           1531664195.0    山：好大
6.42           1531716587.0    好喜欢这首歌的
6.443          1531844514.0    我为什么要在深夜看这个눈_눈
6.458          1531668430.0    第一次这么早
6.661          1531586910.0    前
6.676          1531838115.0    。。。
6.678          1531642148.0    BGM好评！
6.739          1531667504.0    这bgm点赞，蒙头慢慢听能听哭
6.761          1531673432.0    BGM:机器灵砍菜刀
6.819          1531753487.0    好歌
6.86           1531701937.0    夜袭寡妇村，有吏夜捉人
6.96           1531584815.0    又是你
6.977          1531584067.0    为什么这玩意都是晚上给我推。太恐怖了。我还抵不住诱惑
6.996          1531637016.0    827楼了解一下
7.356          1531625033.0    BGM可以
7.379          1531756674.0    唯一一首我听不腻的歌
7.399          1531621622.0    哇！最爱的摇滚乐队❤❤❤
7.539          1531635366.0    3835638357383971
7.541          1531716798.0    我不知道所以不会所以我应该去发现
7.581          1531661408.0    我的第一
7.65           1531637302.0    偷食材（×）女徒弟（×）灵魂画师（×）竹筒（×） 大河流水（√）狗狗／熊二（×）小剧场（×）斗笠男／女二（×） 牢底坐穿（×）注入灵魂（×）正经葱花（×）手撕葱花（×）无情铁手
7.746          1531610811.0    在现场
7.762          1531627461.0    4396
7.928          1531617830.0    越来越短
8.018          1531668436.0    开心啊
8.22           1531736139.0    枪花？
8.228          1531589526.0    张卫，嘉祥的伙计
8.287          1531612298.0    济宁府乡绅路过
8.456          1531594870.0    2
8.475          1531711809.0    我类个乖  听的我心里瓦照
9.101          1531639552.0    原唱，原创，原歌名：我们呢？
9.202          1531636761.0    武陵人
9.681          1531611047.0    看见你以后我已经是10086个了
9.702          1531706724.0    看到我你就是35.2万往后
9.938          1531668443.0    美丽
9.985          1531660226.0    机器灵砍菜刀
10.004         1531585918.0    嫩那边来尽管挑
10.04          1531709201.0    杀杀杀
10.089         1531600700.0    我的GNR
10.32          1531665965.0    嘉祥人
10.452         1531663707.0    昨天
10.525         1531593485.0    大
10.574         1531754039.0    哇，机器灵砍菜刀
10.601         1531584807.0    机器零？
10.624         1531586625.0    提前好湿
10.87          1531667064.0    骚骚的
11.109         1531640266.0    还唱歌来着
11.198         1531585461.0    BGM好像是《我们呢》的伴奏
11.215         1531617733.0    下期食材
