排名：76
网址：https://www.bilibili.com/video/av26864857
更新时间：07-21
弹幕总量：5026
preciseTime    ofTime          comment
0.068          1531903210.0    绿谷出久！
0.134          1531970400.0    封面本子
0.242          1531903122.0    交封不杀╰（‵□′）╯
0.289          1531831915.0    血小板，我来啦
0.375          1532149719.0    卡
0.471          1531750606.0    我想知道up的封面怎么过的审
0.615          1531840843.0    交出封面
0.623          1531970304.0    一秒卡
0.671          1531922565.0    BGM两首
0.72           1532091483.0    见封滚
0.785          1532154684.0    卡
0.801          1532050920.0    封面xxxxx
0.821          1532092235.0    我老家有头母猪叫封面，最近怀孕了，谁干的？
0.932          1531969767.0    卡
1.077          1532108402.0    留图不留种 菊花万人捅
1.153          1531759752.0    看封面进来的吱一声
1.194          1531887868.0    见封滚
1.2            1531751271.0    看到老婆就进来了
1.214          1531746156.0    封面什么鬼
1.355          1531834718.0    封面在我们中国是要判刑哒
1.389          1531888881.0    血小板
1.474          1532157265.0    交封不杀
1.511          1531743382.0    我的血小板！拔刀吧，诸位！
1.572          1531912115.0    看见血小板我就滚进来了
1.603          1531758282.0    高调承包封面血小板
1.704          1531918817.0    你把你封面给我交了
1.761          1531725482.0    可耻的播放量
1.833          1531743951.0    交封不杀！
1.969          1532060217.0    交封不杀
2.271          1531718042.0    拔刀吧
2.456          1531743254.0    交封不杀
2.508          1531742269.0    偷偷
2.554          1532063890.0    牛战士？
2.596          1531730731.0    莓良心
2.656          1532079419.0    见封滚
2.73           1531746496.0    一卡
2.748          1531729193.0    封面……干细胞？
2.754          1531722549.0    猪孕谁？
2.85           1531995200.0    封面是认真的吗(⊙o⊙)
2.952          1531725438.0    支付寳搜一下“
2.983          1531831958.0    交封不杀
3.082          1531896589.0    自己日自己不犯法吧
3.11           1531729309.0    小久是我的
3.134          1531836345.0    封面r18还行
3.212          1532165841.0    没声音啊
3.231          1532080028.0    bgm yasashisanitsutsumareda
3.272          1531915504.0    把
3.335          1531987591.0    up真的太厉害了，1w点赞，1w投币，1w收藏。
3.431          1532033420.0    半次元了解一下？
3.439          1531760757.0    封面血小板我的！反驱无效
3.551          1531752844.0    看到老婆我就进来了
3.636          1531735022.0    为啥开头这么卡呢？
3.677          1531735488.0    哈哈哈哈哈哈哈胜出这个笑死我
3.698          1532026997.0    交封不杀
3.7            1531991172.0    封面是我干的，没错了
3.702          1531893566.0    见封滚
3.733          1531912933.0    封面我干的
3.792          1532069544.0    交封不杀系列
3.812          1531785954.0    小天使
3.839          1532012977.0    咔酱！！！
3.969          1531918597.0    在这里卡
4.021          1532004337.0    承包爆爆！
4.061          1531750974.0    左边第一只我的
4.093          1531710456.0    出久!咔酱!
4.129          1532019654.0    咔酱！
4.209          1531885185.0    幼驯染我的！
4.293          1531988269.0    放开血小板让我来
4.3            1531737618.0    承包封面老婆
4.392          1531831322.0    交封不杀
4.414          1531994352.0    封面是p站画师的血小板R18图
4.473          1532061568.0    承包出久小天使
4.493          1531718917.0    。。。。
4.674          1531837894.0    你把封面给我交了
