排名：53
网址：https://www.bilibili.com/video/av26868449
更新时间：07-18
弹幕总量：3610
preciseTime    ofTime          comment
0.0            1531796625.0    我只是来看捏脸的哈哈哈哈
0.083          1531890245.0    。。。
0.117          1531669975.0    老菊捏脸！
0.977          1531669982.0    老菊捏脸
1.224          1531741856.0    怎么，玩逆水寒？家里有矿啊？
1.48           1531721975.0    支付寳搜一下“
1.835          1531663499.0    惊了‘。
1.903          1531713589.0    支付寳搜一下“
1.951          1531695984.0    唔
2.077          1531671289.0    我不知道我是否应该看下去，我怕睡觉时做噩梦
2.441          1531737039.0    侏罗纪凉了么！
2.78           1531669997.0    老菊捏脸
2.798          1531677720.0    侏罗纪破产了？
2.864          1531737244.0    1.5倍速观看效果更佳
3.396          1531744753.0    惊了
3.56           1531744463.0    来了
3.879          1531692134.0    终于来了吗
3.88           1531893970.0    hh
4.137          1531669989.0    老菊捏脸
4.511          1531664824.0    霸霸已经饿死了吗
5.314          1531660744.0    终于又到了我最喜欢的老菊捏脸环节啦！！
5.47           1531665747.0    董事长能没有钱吗？毕竟都开发太空殖民地，还有石油，科技公司建筑公司太阳帝国
5.572          1531662491.0    家里有矿啊
5.958          1531673818.0    我就是来看捏脸的
6.455          1531707593.0    讲个鬼故事，老菊要捏脸了
6.521          1531660432.0    驚了！！
6.778          1531877663.0    你家里开矿厂的吗！
7.221          1531728760.0    快跑！！
7.289          1531668891.0    这游戏的地图小的跟05年的游戏一样。笑死我了
7.402          1531734666.0    某主播直播玩鸟月入百万
7.436          1531666643.0    。
7.5            1531852060.0    这破游戏不是要求配置很高么，1070ti都不能流畅运行
7.559          1531715651.0    老菊照着自己的脸捏的
8.222          1531661572.0    又一个捏脸游戏
8.382          1531697655.0    顺火暖无敌
8.544          1531704954.0    精了 高产老菊
8.73           1531741185.0    公园倒闭了？
8.741          1531749007.0    爽爽呢？
8.88           1531659953.0    论捏脸，到底是蕾丝强还是老菊强
9.38           1531667833.0    侏罗纪呢
9.473          1531715055.0    惊了！
9.502          1531668997.0    游戏石矿还行
9.736          1531660904.0    我要看侏罗纪
9.758          1531851817.0    苏西滚啊
9.844          1531703597.0    侏罗纪没了？
10.559         1531669632.0    看到没有，玩逆水寒，侏罗纪公园都破产了。
10.939         1531660344.0    顺火暖还行
11.379         1531713119.0    终于来了
11.665         1531846491.0    ？？？？？？？？
12.399         1531663239.0    惊了
13.263         1531655995.0    广告时间！
13.281         1531658818.0    高产啊
13.33          1531733033.0    惊了. 能说得这么不要face!
13.44          1531664626.0    呸，溺水含
13.723         1531694533.0    什么我太阳帝国亡了！
13.753         1531715012.0    来看捏脸
13.997         1531716041.0    老菊家里有矿？
14.013         1531657135.0    哇
14.473         1531659142.0    过来看捏脸
