排名：54
网址：https://www.bilibili.com/video/av26877360
更新时间：07-21
弹幕总量：2639
preciseTime    ofTime          comment
0.0            1531846377.0    我推荐银桑家的猪油渣
0.083          1532008556.0    点进来先投币
0.157          1531848013.0    真不知道半夜看这个干嘛【馋
0.319          1531908838.0    野哥为什么抖音上早就有了
0.518          1531972690.0    爷爷
0.597          1531846802.0    好像就是当初做海鲜粥的房子
0.758          1532022620.0    以买味道不错
1.312          1531995428.0    支付寳搜一下“
1.635          1531926312.0    抖音上很早就有了..
1.693          1532005274.0    这么大一块肉，大户人家
2.003          1532087362.0    00后表示吃过
2.239          1531851071.0    解
2.539          1532065703.0    这灵性的标题
2.632          1531849813.0    好
2.84           1531873704.0    啦啦啦
2.858          1531886753.0    抖看离
2.918          1532078965.0    隔壁小孩：那我是现在哭吗？
3.126          1531902252.0    哈哈小哥
3.157          1531853294.0    下次更新还敢这么慢呢
3.242          1531971469.0    油渣一生挚爱，别的东西都没觉得香，就他独一份
3.328          1532097814.0    在现场，是那个隔壁小孩
3.419          1531882370.0    油渣爱不起来
3.421          1531959810.0    贼好吃
3.626          1531906562.0    我来啦
4.041          1531982194.0    隔壁小孩真是不挑食
4.096          1531843980.0    小哥你真的是越来越短了
4.147          1531964465.0    hhhh
4.158          1532024294.0    失踪人口回归
4.174          1531879947.0    买了
4.185          1531844227.0    已购买
4.236          1532077962.0    油兹啦的别走
4.282          1531921591.0    隔壁小孩：我怎么老是被馋哭啊
4.501          1531865123.0    饿了
4.521          1531843830.0    更新了啊
4.558          1532063182.0    隔壁小孩不挑食系列
4.638          1532009627.0    吃饱了来看
4.64           1532053424.0    我下单买了一包，吃完告诉你们味道如何
4.673          1531885803.0    经常吃
4.778          1531967304.0    老公能连吃三大碗米饭？
4.874          1531922791.0    恭喜老板开业大吉
4.94           1531888221.0    大哥，回去给嫂子道个歉吧！
4.949          1531878541.0    杭州人当然吃过啦！
4.956          1531886132.0    油渣是真的香
5.205          1531842734.0    肉脂渣
5.227          1531907767.0    买好了油渣再看一遍
5.29           1532160859.0    我 隔壁大孩
5.331          1531911775.0    野少爷
5.505          1531842977.0    买买买
