排名：59
网址：https://www.bilibili.com/video/av26880493
更新时间：07-20
弹幕总量：1025
preciseTime    ofTime          comment
0.203          1531980269.0    0.5慢放，是白宇
0.418          1531756164.0    小宇(๑`･ᴗ･´๑)
0.438          1531806338.0    腹黑龙哥已上线😂
0.443          1532055527.0    我以为是我听错了。。事实证明不是。。是字幕搞事情！
0.597          1531833751.0    画质流批啊
0.638          1531756137.0    小宇ʘᴗʘ
0.717          1531907974.0    老干部式手势
0.856          1531907495.0    支咐宝首頁捜索“86OO14”真的别谢我
1.056          1531930003.0    我第一次就觉得是小宇，看字幕还以为听错了
1.231          1531975667.0    小宇？！！！！！
1.553          1531794641.0    捧杀，龙哥，666
1.635          1531915669.0    北老师 居老师不要看，这个视频没有魔鬼
1.798          1531891630.0    小宇!!
1.957          1531969349.0    小宇！
2.19           1531925757.0    就是小宇！我听了好几遍
2.198          1531993999.0    是白宇
2.229          1531989427.0    交封不杀
2.258          1531818095.0    白宇啊明明是
2.277          1531885927.0    是小宇没错了
2.637          1531883234.0    是小宇！听了很多遍了！
2.721          1531755969.0    小宇
2.798          1531907692.0    宇叔性格好开朗
2.821          1531890950.0    小宇
3.222          1531973738.0    是白宇，因为嘴碰到话筒了，真的，可以看嘴型的
3.374          1532011971.0    是小宇！！！
3.462          1531734894.0    啊啊啊来啦
3.779          1531897022.0    车呢
3.898          1531983248.0    小宇
4.018          1531826778.0    哈哈哈
4.159          1531907700.0    北宇好皮
4.407          1531887190.0    小宇
4.516          1531927996.0    白宇，绝对是白宇，连读吞音像小宇，冷静一点啊！
4.671          1531761640.0    168人正在看……什么情况……
4.944          1531663299.0    出不去了出不去了
5.387          1532068503.0    我信了你的邪
5.456          1531652027.0    送了个兰博基尼
6.163          1531823745.0    实力嘚瑟的大可爱❤↓
6.218          1532010270.0    说实话真的是白宇咳
6.3            1531752728.0    二刷
6.817          1531880597.0    ~啊啊啊啊啊啊，入坑
7.058          1531734867.0    笑绷不住了
7.198          1531749407.0    我最喜欢的环节
7.298          1531880314.0    330人正在看！
7.476          1531806687.0    看北老师的手机壳
7.52           1531757634.0    先吹一波再问，温柔的腹黑龙哥
7.717          1531936289.0    北老师小表情好可爱
7.797          1531885778.0    两位老师看这里！这个视频很正常！！！
7.958          1532056295.0    白宇，说的是
7.979          1531907502.0    支咐宝首頁捜索“86OO14”深藏功与名
8.038          1531653314.0    先夸一波再要车
8.114          1531896050.0    居老si挖坑中
8.257          1531656250.0    捧杀2333333
8.339          1531832942.0    没人
8.603          1531926118.0    哈哈哈哈哈哈哈
8.659          1531706002.0    白宇哥哥:真高兴但不敢笑
8.7            1531829010.0    哇有520个小伙伴在看开心
8.879          1531872739.0    画质感人
9.125          1532007347.0    先吹下白宇哥哥
9.18           1531839289.0    画质棒啊
9.333          1531826418.0    所以你可不可以不要再给我发表情包了
9.371          1531828262.0    实力嘚瑟233333
9.379          1531662614.0    说到脱离低级趣味我还以为居老师要说你以后能不能不要给我发毛猴了hhhhhh
9.619          1531661514.0    捧杀
9.678          1531830805.0    送了兰博基尼啊哈哈哈哈哈
9.723          1531809389.0    先扬后抑
9.767          1531734900.0    嘻嘻嘻
9.88           1531655948.0    脱离低级趣味？？？
10.021         1531752450.0    哈哈哈哈萌
10.139         1531805682.0    哈哈哈哈哈哈哈
10.213         1531836390.0    哈哈哈哈哈哈哈哈哈哈
10.283         1531656511.0    腹黑龙
10.438         1531665709.0    我又回来了
10.452         1531756389.0    hhhhhh
10.456         1531831890.0    又来了
10.661         1531666268.0    脱离低级趣味，然后天天发毛猴表情包吗哈哈哈哈哈哈哈
10.698         1531659580.0    兰博基尼在哪里
10.746         1532075163.0    纪念白求恩最后一段
10.817         1531741692.0    以退为进，先捧后杀😂
10.98          1531743456.0    承包居老师可爱的小手
11.014         1531725687.0    我以为他会说表情包的事情，哈哈哈哈哈
11.041         1531795162.0    白叔：确实～～
11.059         1531657510.0    我当时还以为哥哥要吐槽表情包
11.173         1531657518.0    抑制不住的上扬的嘴角啊哈哈
11.363         1531844741.0    居老师这是捧杀，哈哈哈哈
11.458         1531662967.0    白求恩？
11.979         1531743237.0    我信了你滴邪~
11.986         1531918384.0    白求恩hhh
12.098         1531657283.0    扬起我骄傲的小脑袋
12.442         1531972384.0    白宇啦是白宇
12.616         1531939632.0    确实~
12.74          1531739062.0    画质好评
12.777         1531887199.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
12.899         1531907944.0    老干部式发言哈哈哈
12.965         1531805935.0    不出去了不出去了
13.061         1531841508.0    哈哈哈哈或
13.239         1531659472.0    画质好评
13.948         1531845165.0    来自龙哥的捧杀
14.038         1531906264.0    北宇哥哥好可爱哈哈哈啊
14.145         1531830056.0    哈哈哈啊
14.797         1531656361.0    前面的我也以为是毛猴hhh
14.798         1532003030.0    承包龙龙 白宇哥哥两个小可爱♡
14.821         1531662627.0    白宇哥哥笑的啊
15.222         1531664391.0    居老师此时此刻算账的语速不止快了三倍半阿！哈哈哈哈哈哈
15.264         1531653702.0    车~
15.441         1531802555.0    都不知道掉坑里的白叔
15.446         1531840152.0    这么多人啊哈哈哈哈哈哈哈
15.521         1531657851.0    听到低级趣味以为是要说毛猴
15.994         1531749810.0    我还以为哥哥要说毛猴）
16.004         1531839509.0    天天刷镇魂
16.035         1531993485.0    语速突然加快的居老师
16.296         1531718590.0    是叫的小宇吗😊
16.6           1531789904.0    哈哈哈哈哈哈哈哈哈哈
16.898         1531651474.0    哈哈哈哈哈哈龙哥专业捧杀！
16.965         1531734933.0    哈哈哈哈哈哈哈哈哈哈
16.967         1531749959.0    居老师可不会坑自己提毛猴的
17.038         1531977757.0    哈哈哈哈哟
17.257         1531753458.0    先盖帽子再提要求hahahahah
17.42          1531718636.0    小澜孩很嘚瑟
