排名：47
网址：https://www.bilibili.com/video/av26886042
更新时间：07-19
弹幕总量：2086
preciseTime    ofTime          comment
0.083          1531726128.0    白居不易！未来可期！笔芯
0.285          1531823070.0    这一年我18 这一年我遇见了你 这是我最好的礼物！
0.566          1531733677.0    欢迎回来
0.986          1531917390.0    支咐宝首頁捜索“86OO14”真的别谢我
1.218          1531635004.0    姐妹们，词是白和居写的
1.302          1531715075.0    我不想出去了
1.456          1531785888.0    l令人感动的兄弟情
1.471          1531825888.0    第10001条弹幕
1.72           1531831807.0    请允许我为大家表演一个反复去世
1.73           1531725242.0    支付寳搜一下“
1.841          1531708439.0    白居不易！未来可期！
1.961          1531961632.0    N刷！
2.287          1531717654.0    支付寳搜一下“
2.375          1531712005.0    支付寳搜一下“
2.627          1531755486.0    白居不易，未来可期
2.72           1531719823.0    出不去了，循环好几次了
2.825          1531638538.0    1115人正在观看
3.122          1531670783.0    🌸🌸🌸🌸🌸🌸
3.564          1531732928.0    沈巍赵云澜，这个夏天遇见你们真好
3.694          1531967066.0    先投币！！！！
3.704          1531804201.0    何其有幸，这个夏天遇到你们。bygg,龙哥
3.832          1531716117.0    无线循环了
3.954          1531806335.0    交封不杀
4.01           1531917506.0    支咐宝首頁捜索“86OO14”能为所欲为
4.38           1531929710.0    弹幕刷起来
4.564          1531786363.0    支付宝首页搜索三零五四五零六，你会谢我的
5.077          1531733746.0    全程姨妈笑
5.324          1531645944.0    献给最美的夏日限定
5.34           1531742952.0    感谢夏天与你们的相遇
5.512          1531751500.0    这个夏天遇见你们真好
5.545          1531836030.0    根本停不下来
6.058          1531671493.0    感谢这个夏天
6.223          1531801182.0    呜呜呜呜~~~真的真的感动！！！感谢这个夏天与你们相遇
6.42           1531889191.0    白居不易 未来可期
6.705          1531908554.0    🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺
6.826          1531718457.0    来啦
6.868          1531639552.0    花路遍地。敬这场磊落相遇。
6.997          1531841255.0    白居不易、未来可期
7.449          1531827497.0    欢迎回来
7.494          1531791436.0    爆哭T﹏T
7.57           1531799884.0    哥哥们冲鸭！
7.838          1531810547.0     超级感动哭了
7.842          1531670791.0    🌸🌸🌸🌸🌸
7.859          1531678093.0    呜呜呜呜呜呜
7.861          1531840965.0    呜哇呜哇！！！
7.936          1531677503.0    不吹
8.135          1531886702.0    花路遍地。敬这场磊落相遇。
8.224          1531830698.0    补充弹幕
8.315          1531917397.0    支咐宝首頁捜索“86OO14”说了别谢我
8.349          1531825300.0    66666666666666666
8.368          1531714425.0    花路遍地。敬这场磊落相遇。
8.593          1531829280.0    又来了
8.64           1531677540.0    希望两位老师永远记得这份珍贵的友谊
8.679          1531757032.0    出不去了
8.981          1531705268.0    很想我龙哥啦～～～～
9.13           1531716056.0    无限循环了
9.139          1531702001.0    居老师白宇哥哥未来星途坦荡
9.419          1531671677.0    花路遍地。敬这场磊落相遇。
9.425          1531819374.0    感谢这个夏天
9.749          1531722708.0    为龙哥添砖加瓦！
9.776          1531900215.0    曲终人未散，与你誓想见！
9.831          1531718247.0    出不去了
9.898          1531837968.0    每天都要来刷ji ci
10.003         1531882347.0    感谢这个夏天，让我们相遇
10.099         1531708786.0    友情99！！！
10.581         1531638605.0    这个夏天喜欢你们何其有幸
10.617         1531884878.0    随时随地都有人
10.623         1531733977.0    啊
10.667         1531696186.0    感动
10.901         1531709669.0    好喜欢(｢･ω･)｢嘿
11.962         1531670798.0    🌸🌸🌸🌸
12.004         1531735517.0    上首页啦
12.059         1531806146.0    聚是燎原之火，散是日月同辉
12.317         1531875754.0    作词有他们两个人呜呜呜呜
13.18          1531876352.0    花路遍地，致这场磊落相遇
13.191         1531643029.0    这个夏天很幸运遇到了巍澜白居~
13.299         1531894135.0    时间飞行唱的是巍澜。地星撞海星唱的是白宇和朱一龙
13.566         1531714658.0    居居！
13.604         1531795597.0    每天看几次
13.616         1531808602.0    来日方长  未来可期
13.707         1531719838.0    木吉他弹走我的好心情
13.715         1531722860.0    兄弟情～～
13.718         1531672362.0    感谢有你们
13.922         1531670804.0    🌸🌸🌸🌸🌸🌸🌸
14.165         1531641080.0    我真的要哭了！！我要这硬币有何用
14.387         1531928525.0    qaq
14.762         1531907334.0    吹爆这个剪辑！
15.274         1531758472.0    曲终人未散，与你誓相见。二位是难得的夏日狂欢，镇魂朋友们是难得的夏日惊喜。这个夏天，很高兴与诸位一起镇魂。
15.279         1531835792.0    每天看一遍…太感动了
15.308         1531702394.0    循环播放中
15.466         1531756683.0    感谢有你们。
15.586         1531748215.0    啊啊啊啊啊啊啊啊
15.599         1531741924.0    🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
15.962         1531762299.0    🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸
15.978         1531721958.0    永远有人系列
16.139         1531883729.0    致敬这场磊落遇见
16.44          1531761178.0    谢谢哥哥们！！！
16.508         1531808344.0    来日方长   未来可期
16.561         1531800750.0    感谢这个夏天有你们
16.842         1531670810.0    🌸🌸🌸🌸🌸🌸🌸
16.9           1531838990.0    哭辽
17.199         1531754190.0    未来可期，我与你们同行
17.219         1531752106.0    这个夏天，谢谢你们
17.281         1531831630.0    龙哥第一句真的超级抓人啊！
17.318         1531715188.0    真实暴风哭泣
17.322         1531704495.0    歌名决定攻受
17.368         1531836064.0    分则各自为王，合则天下无双
17.434         1531669808.0    来刷弹幕
17.493         1531671533.0    爱哥哥和所有的镇魂女孩们，真的很幸运
17.517         1531738748.0    这个夏天有你们更美好
17.525         1531726212.0    白居不易！未来可期！
17.702         1531888161.0    又回来了
18.0           1531754939.0    🙊🙊🙊🙊🙊🙊🙊🙊🙊🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈
18.099         1531796939.0    这个夏天我们真的太幸运了！
18.396         1531752575.0    三生有幸这个夏季能遇到你们，愿友谊长久，未来可期。
18.442         1531670815.0    🌸🌸🌸🌸🌸🌸
18.521         1531748757.0    这个夏天有你们，真好mua
18.58          1531700509.0    感谢这个夏天
18.807         1531748035.0    友情！
18.821         1531789454.0    我也是循环了一天了，这首歌实在太好听了
18.858         1531842557.0    看了一遍又一遍的我 哈哈哈
19.118         1531748141.0    我又来了
19.2           1531799907.0    哥哥们走花路吧！！
19.285         1531748008.0    👏🏼👏🏼👏🏼👏🏼
19.326         1531745786.0    啊啊啊啊好喜欢
19.43          1531753519.0    嗷！！
19.44          1531757020.0    🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
19.476         1531843310.0    这个夏日真好
19.779         1531941713.0    女神们完全可以忽略了白居词作后面还有一个人23333
19.877         1531767308.0    🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸
19.882         1531784627.0    这个夏天，遇见哥哥们，遇见你们，何等幸运❤️
19.922         1531670820.0    🌸🌸🌸🌸🌸🕸
19.968         1531798868.0    白居最棒了
19.979         1531639046.0    这个暑假感谢有你们❤
20.025         1531743620.0    喜欢
20.186         1531634818.0    明明是这么欢快的歌曲，还是有点小伤感啊～
20.82          1531810596.0    这个夏天，很高兴认识你们
20.821         1531812835.0    感谢这个夏天，让我遇见了你们，来日方长，珍惜当下
20.902         1531941753.0    这些视频放娱乐好吗，怎么现在影视都是这些
21.162         1531752461.0    爱哥哥爱小笼包
21.365         1531738816.0    什么友情，是爱情
21.779         1531702411.0    循环播放中
21.81          1531643069.0    大大这个视频太戳心了(-̩̩̩-̩̩̩-̩̩̩-̩̩̩-̩̩̩___-̩̩̩-̩̩̩-̩̩̩-̩̩̩-̩̩̩)
21.99          1531759789.0    未来可期！
22.057         1531735725.0    这个夏天感恩有你们
22.518         1531837138.0    哭了T﹏T
22.594         1531635935.0    遇到你们 三生有幸😄😄
22.613         1531801276.0    曲终人未散
22.803         1531703410.0    居老师
22.84          1531847517.0    谢谢你们
22.885         1531686299.0    太太辛苦了
