排名：97
网址：https://www.bilibili.com/video/av26893030
更新时间：07-19
弹幕总量：522
preciseTime    ofTime          comment
0.0            1531796279.0    ...
0.1            1531650239.0    前排！！！！！
0.116          1531743246.0    有在看哦
0.218          1531650461.0    第一次这么前
0.792          1531840718.0    终于又看到这个siri说教程的视频了！！！
0.806          1531661365.0    3小时前！
0.953          1531650397.0    前排！！！！
0.972          1531658558.0    啊啊啊啊啊妈妈我最喜欢的up主更新了啊啊啊啊
0.974          1531664305.0    喜欢这种大泡芙！上次泡芙塔那种太硬啦感觉不像泡芙_(:з」∠)_
1.057          1531666518.0    1
1.104          1531791158.0    啊啊啊啊啊
1.395          1531831294.0    深夜放毒
1.413          1531650634.0    九分钟前！
1.888          1531653506.0    终于等到你
2.052          1531659532.0    我来辣哈哈
2.241          1531650446.0    第一次这么前
2.251          1531979689.0    第一眼看成芋头。。。我没救了
2.356          1531804007.0    其实这酥皮不成功啊
3.105          1531650296.0    我是第一
3.107          1531823445.0    水蜜桃？阳山小伙伴呵呵一笑
3.157          1531650394.0    哇哇哇今天好早啊
3.246          1531650091.0    2
3.446          1531654220.0    看到我你已经不是前190了
3.473          1531651719.0    2
3.531          1531747244.0    我的妈啊！我受不了了，快让我来一口
3.583          1531884985.0    正在吃泡芙的我
3.702          1531653090.0    终于更新了
3.925          1531650780.0    哈哈哈哈哈哈
4.106          1531651729.0    27分钟前
4.129          1531653090.0    啊啊啊啊啊啊啊啊啊啊啊啊更新了！
4.198          1531650569.0    8分钟前
4.391          1531803867.0    差点以为是红烧狮子头
4.897          1531720571.0    哇
4.998          1531798492.0    开口跪
5.011          1531650269.0    17！
5.031          1531664367.0    3万了
5.612          1531651276.0    ！！！！
5.679          1531650127.0    2
5.7            1531723126.0    我的妈，好多奶油
5.802          1531651146.0    4103
5.822          1531650137.0    刚刚！
5.873          1531714711.0    颜色好美貌
5.939          1531665310.0    噗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，
6.106          1531650144.0    第一条
6.12           1531908964.0    哈哈哈
6.433          1531650553.0    哇塞
6.689          1531650154.0    爱你
6.767          1531667340.0    四小时前
6.879          1531650208.0    感动
6.913          1531650281.0    三分钟
7.511          1531650186.0    前前前！
7.8            1531713027.0    好想吃
7.813          1531723737.0    声音好难受 对不起 我走了
7.973          1531651384.0    好多奶油😍
8.135          1531650368.0    三分钟！
8.225          1531668725.0    哇啊啊啊啊
8.274          1531758632.0    啊啊啊啊啊我为什么要半夜看这个
8.34           1531665286.0    好想吃！！！
8.413          1531748184.0    想吃
8.414          1531919964.0    奶油……好多
8.46           1531652040.0    哇
8.493          1531718138.0    想吃西树泡芙惹
8.72           1531653076.0    siri来啦
9.072          1531750605.0    哇
9.249          1531747142.0    Siri越来越近
9.505          1531651818.0    28分鐘前！
9.782          1531663064.0      爱您
10.3           1531674598.0    啊终于更新啦
10.314         1531650336.0    哇超前啊啊
10.459         1531662891.0    好棒啊！！！！！！
10.893         1531883988.0    新东方来的，我笑了
11.539         1531650800.0    来了来了
11.553         1531867581.0    好大的馅
11.794         1531651620.0    哇哦
11.938         1531662055.0    like u
12.057         1531714934.0    你是我的小水蜜桃儿
12.061         1531712999.0    哇
