排名：80
网址：https://www.bilibili.com/video/av26893624
更新时间：07-20
弹幕总量：929
preciseTime    ofTime          comment
0.0            1531908242.0    支咐宝首頁捜索“86OO14”真的别谢我
0.06           1531695345.0    碧诗，陈睿
0.165          1531834956.0    请大家看置顶评论
0.248          1531709953.0    88av
0.299          1531906101.0    BGM:The Right Path
0.338          1531852430.0    呼叫指挥部 我已暴露
0.36           1531658924.0    BGM：The Right Path
0.389          1531747312.0    BGM The Right Path
0.445          1531757180.0    贾斯丁布布
0.48           1531872161.0    某五位数的up:我只是打酱油的
0.502          1531656199.0    BGM. The right path 纯音乐超好听
0.534          1531668004.0    虎克别因
0.567          1531657373.0    肾磨?是可以进scp的那种吗？
0.721          1531832234.0    厉害
0.96           1531665755.0    独人13
1.296          1531632032.0    6666
1.597          1531646161.0    UID1站长的第一个测试号UID2站长专用号，正在晒女票
1.615          1531927628.0    虎克別音肯定有
1.769          1531908251.0    支咐宝首頁捜索“86OO14”说了别谢我
1.857          1531718917.0    支付寳首页搜索5l342l732，真的不用谢我
2.061          1531910620.0    这个标题把我引进来了
2.111          1531713566.0    支付寳搜一下“
2.226          1531652036.0    澳门皇冠
2.542          1531708754.0    在现场
2.557          1531891234.0    @贾斯丁bu bu t
2.661          1531725024.0    让我猜猜，应该有贾斯汀布布。
2.872          1531702604.0    虎克别因
2.898          1531658602.0    贾斯丁布布
2.923          1531653958.0    我猜有贾斯丁不不
2.925          1531938393.0    被发现了吗?可恶
3.154          1531704692.0    贾斯丁布布。
3.203          1531835424.0    来看看有没有我
3.222          1531913481.0    我啊
3.261          1531842255.0    贾斯汀布布
3.285          1531663756.0    说澳门皇冠的估计知道800av
3.36           1532063429.0    欢迎来到本期的创意实验室，大家都知道……
3.426          1531661839.0    哦，有趣
3.581          1531695761.0    所有没转正的用户都很神秘
3.621          1531829421.0    麦片哥
3.681          1531679201.0    这不是我吗？
3.761          1531833188.0    BGM：the right path 不谢
3.786          1531738260.0    ana
3.86           1531821019.0    肯定有虎可别因
3.881          1531702508.0    前面的，是 the right path
3.882          1531656413.0    我被发现了？
3.883          1531662474.0    最神秘的在此
3.899          1531668332.0    我
3.964          1531654540.0    bgm好评
4.084          1531704263.0    一定有鼻屎
4.163          1531651940.0    手机零
4.263          1531664621.0    我吗
4.384          1531878946.0    ANA
4.503          1531713778.0    凹凸≡￣﹏￣≡
4.543          1531917126.0    BGM好评
4.581          1531974773.0    ANA啊
4.701          1531643050.0    UP，最神秘，良心不火
4.723          1531667428.0    惊呆了
4.821          1531707074.0    BGM:THE RIGHT PATH
4.844          1532053900.0    贾斯丁布布。
4.861          1531654518.0    澳门金沙的别跑2333333
4.862          1532052777.0    therightpath
4.946          1531695879.0    难道不是我吗，愚蠢的人类至今对我一无所知～
4.951          1531656445.0    贾斯丁布布
4.963          1531656026.0    我才有我
4.982          1531661415.0    表白BGM
5.026          1531663686.0    我就想来看看有没有我
5.094          1531980358.0    这人是个BUG
5.097          1532013323.0    666
5.142          1531831955.0    哼,我就笑笑
5.287          1532009840.0    虎克别因
5.302          1531817010.0    虎克别因
5.386          1531644334.0    虎克别因注册于 2016-5-24但发布的第一个视频在2016-05-20
5.523          1531889496.0    TSA
5.629          1531754122.0    没我吗
5.683          1531831990.0    贾斯丁布布。
5.763          1531644971.0    BGM好评！
5.782          1532048658.0    贾斯丁不不。
5.846          1531736853.0    ANA，
5.923          1531667149.0    我只是个打酱油的，AV10492作者
5.981          1531708432.0    Bgm: the right path
6.003          1531656956.0    大家好，这里是保安蜀黍
6.022          1531711200.0    难道不是我吗
6.078          1531654188.0    贾斯丁布布。
6.216          1531698341.0    说我？
6.284          1531658506.0    BGM：last autumn
6.443          1531657643.0    我猜肯定有ANA
7.071          1531811353.0    最无聊的人
7.142          1531910025.0    对不起，这五个多是我小号
7.171          1531668658.0    好方啊怎么办
7.203          1531712849.0    当场去世
7.204          1531655618.0    看看有没有B站小王子
7.223          1531708779.0    我啊
7.334          1531659377.0    贾斯丁布布。吧
7.376          1531908256.0    支咐宝首頁捜索“86OO14”稳住别黄了
7.388          1531659726.0    优瓦夏？
7.403          1531925785.0    出现了，现场怪
7.468          1531685048.0    魏二愣子
7.499          1531705623.0    点赞2333 我不敢破
7.502          1531746733.0    碧诗吧，上面说是bilibili创始人
7.542          1531905226.0    贾斯丁布布。
7.543          1531712620.0    .....
7.726          1531798779.0    我啊
7.768          1531664330.0    你从哪打听到的我
8.139          1531695350.0    366445
8.164          1531900037.0    250人
8.343          1531666601.0    难道我就要被公布于世了吗
8.467          1531664330.0    虎克别因
8.635          1531993688.0    注册于24日第一个视频在20号发布？
8.781          1531653364.0    BGM是啥
8.798          1532066497.0    a little story
8.876          1531827843.0    BGM好评
8.931          1532055661.0    这是b站员工
9.021          1531668367.0    保安蜀黍出戏了
9.107          1531907746.0    我猜有站长
9.154          1531707047.0    刀哥
9.223          1531706699.0    保安蜀黍的别走，带我一个
9.382          1531968194.0    呼叫指挥部 我已暴露
9.43           1532046804.0    贾你妹布布
9.523          1532061200.0    老铁
9.596          1531721212.0    没错就是我啦
9.625          1531644428.0    虎克别因注册于 2016-5-24但第一个视频的时间在 2016-5-20
9.706          1531984442.0    qaq
10.05          1531714581.0    我
10.11          1531700297.0    墨韵教主的视频播放量也很高啊
10.203         1531669714.0    没错，这是我
10.303         1531987594.0    打广告的
10.391         1531730294.0    Bgm把我炸出来
10.427         1531667071.0    被BGM炸出来
10.454         1531736872.0    ANA
10.762         1531678291.0    哈哈
10.782         1531657521.0    BGM： The Right Path
10.964         1531651679.0    我就不信没有纯黑
10.994         1532041781.0    ANA
11.002         1531650772.0    这不是官方账号吗？
11.103         1531652414.0    前来观看是否有自己
11.152         1531832224.0    666
11.245         1531730566.0    澳门皇冠
11.542         1531881428.0    我手机响了!
11.576         1532063102.0    ana
11.623         1531660584.0    涩会涩会
11.802         1531827239.0    这是官方广告号
11.83          1532055672.0    这是b站员工
11.837         1531664854.0    贾斯丁布布
11.922         1531657447.0    这是广告
12.199         1531962609.0    这就是个发广告的
12.314         1531665885.0    注册5月24 那个视频  发于5月20
12.381         1531917844.0    BGM:The right path
12.427         1531974946.0    3200多W
12.596         1531661305.0    糖浆！
12.719         1531816877.0    我居然上榜了？
13.023         1531962342.0    我没发过视频我就不信，谁有我不出。
13.223         1531659643.0    螳螂呢
13.379         1532072629.0    最高？你怕不是不把我pump♂it放在眼里
13.408         1531710098.0    我。。。。因为你们没关注我
13.49          1531973640.0    舍长？
13.494         1531665009.0    我就知道这一个。。
13.504         1531696055.0    晚秋？！
13.595         1531728735.0    广告
13.596         1531809268.0    零级大佬
14.052         1531663056.0    投稿日期5.20注册时间5.24
14.301         1531694745.0    我也很神秘的
14.674         1531821455.0    我为啥搜不到
14.701         1531709602.0    是不是你
14.776         1531669245.0    男的我不神秘吗你们认识我吗
14.803         1531703257.0    404NOTFOUND你们知道吗
14.904         1532057923.0    原视频不是这个，被换了视频内容
14.95          1531666271.0    官方帐号
15.063         1531659715.0    表白the right path
15.423         1531801471.0    ？
15.425         1531663012.0    有什么可神秘的?
15.442         1531665207.0    我猜有雨鸦
15.508         1531908264.0    支咐宝首頁捜索“86OO14”何及汝之秀
15.527         1531875329.0    官方广告号吧
16.042         1532048516.0    这是鬼吧
16.271         1531658592.0    我被发现了
16.4           1531659982.0    麦片哥
16.582         1531661970.0    什么鬼播放量
16.841         1531678297.0    我来了
17.069         1531914617.0    测试号吧
17.149         1531663758.0    难道是压级up？
17.262         1531658112.0    bgm the right path
17.422         1531893423.0    橘里橘气
17.792         1531701992.0    @昔日友人
17.803         1531664945.0    对不起，白鼠的1800多万
18.264         1531846470.0    可能是工作人员吧
18.383         1532054047.0    刷的
18.725         1531655030.0    麦片哥
18.747         1531657258.0    bug么？
18.782         1531622183.0    刚刚
18.995         1531922085.0    麦片哥
19.0           1531695083.0    3200w看到没有??盲人??
19.222         1531664092.0    0级可以投稿么。。。。
19.269         1531989473.0    白鼠那个，人家这个可是单个视频播放量上三千万吖
19.296         1532024243.0    我
19.5           1531890127.0    我
19.517         1531660828.0    据说这个是广告，好像放某些视频会放这个广告，然后也会记录播放量
19.78          1531908976.0    这是广告
19.794         1531991764.0    我
20.163         1531668598.0    麦片哥
20.349         1531836577.0    2个都是广告诶？
20.412         1531839257.0    我在b站看b站
20.61          1531704514.0    牛逼
20.85          1532055688.0    b站员工发的
20.92          1531968241.0    八嘎
21.283         1531756768.0    当年看番时的广告，可以跳过
21.475         1531840353.0    0级能投稿？
21.551         1531806728.0    教练我想
22.102         1531836728.0    40万人600弹幕？
22.339         1532009783.0    我记得这个视频！看re0的时候的广告！
22.606         1531702910.0    不是麦片哥吗
22.842         1531835802.0    官方账号
22.888         1531843369.0    你是刷的 标题都写测试
23.087         1531740207.0    这个是广告，之前新番的片头广告，re0什么都有的，可以跳过
23.223         1532052680.0    最后战线？
23.323         1531653569.0    这是B站当年的广告，因为每个视频开始之前都会放
23.437         1531677101.0    哈哈哈这个广告，播放量这么高不奇怪。
23.681         1531661864.0    ANA有吗
23.751         1531882868.0    这不是那广告吗
23.917         1531914572.0    我就是想看看能不能发弹幕了
24.004         1531975568.0    元气骑士官方了解一下
24.005         1531840180.0    这不是B站很老的广告吗？
24.101         1531851697.0    教练，我想打篮球
24.323         1531657391.0    麦片哥带我
24.383         1531648715.0    15人正在看
