排名：87
网址：https://www.bilibili.com/video/av26902642
更新时间：07-20
弹幕总量：3451
preciseTime    ofTime          comment
0.0            1531968527.0    口肛
0.021          1531680230.0    没人!我第一
0.067          1531879347.0    925个小伙伴你们好
0.085          1531968547.0    口缸
0.11           1531684160.0    第一????
0.16           1531963997.0    买拖拉机
0.181          1531760318.0    有谁发现封面变了
0.195          1531887326.0    [0,0,"1-1",4.5,"欢迎回来",0,0,0.75,0.75,500,0,1,"SimHei",true]
0.258          1531799951.0    买拖拉机
0.318          1531705182.0    这个不是托运行李出口吗？
0.409          1531738938.0    1
0.426          1531969721.0    出現了，高級彈幕！
0.438          1531680992.0    看起来没人
0.512          1531989707.0    为什么你知道
0.658          1531919387.0    买拖拉机
0.665          1531830301.0    卡~
0.747          1531790897.0    卖拖拉机
0.874          1531834480.0    提前精彩
0.927          1531835212.0    失踪人口回归
0.977          1531707481.0    18分钟前
1.018          1531706009.0    瑞士朋克好像是
1.103          1531814503.0    一坨稀饭
1.118          1531680401.0    第一吗？
1.195          1531904388.0    [12,13,"1-1",4.5,"欢迎回来",0,0,680,440,1200,1500,1,"SimSun",true]
1.316          1531678738.0    梦回哥修改视频了，这次放心食用
1.344          1531719977.0    支付寳搜一下“
1.349          1531679705.0    1
1.361          1531961630.0    孔肛鸡肠
1.376          1531710170.0    失踪人口回归
1.408          1531829046.0     ha
1.417          1531718795.0    支付寳首页搜索5l342l732，真的不用谢我
1.458          1531721280.0    买拖拉机
1.537          1531702859.0    买彩蛋送游戏？
1.658          1531732325.0    先牲们驴士们
1.715          1531705579.0    买拖拉机
1.82           1532002575.0    nice
1.841          1531733046.0    有人的
1.87           1531858430.0    买拖拉机
1.88           1531706622.0    来了来了
1.932          1531705509.0    失踪人口回归！！！
2.041          1531717755.0    支付寳搜一下“
2.062          1531837507.0    失踪人口回归
2.439          1531907960.0    爷爷，你关注的up更新了
2.496          1531781062.0    第2017个彈幕
2.559          1532056785.0    逆风笑做过！
2.562          1531706529.0    好前
2.598          1531711458.0    空肛
2.659          1531887166.0    [169,216,"1-1",4.5,"欢迎回来",0,0,169,216,500,0,1,"SimHei, \"Microsoft JhengHei\"",true]
2.678          1531995460.0    孔肛鸡肠
2.75           1531761535.0    略略略
2.79           1531726023.0    1111111111111111111111111111111111117111111111111111111111111111111111111111111111111111111111111111
3.076          1531718496.0    弹幕怎么被清了
3.219          1531873632.0    买拖拉机（我是不是迟到了）
3.301          1531684205.0    低产黑
3.56           1531876766.0    h
3.579          1531818339.0    买拖拉机
3.604          1531974020.0    有生之年系列
3.758          1531733507.0    。。
3.764          1531816508.0    前方高能
3.818          1531711273.0    国际，适当馈赠戮介绍
3.977          1531707441.0    火钳刘明
4.154          1531795484.0    第一个精彩！
4.271          1531752815.0    买拖拉机
4.273          1531889666.0    ！
4.299          1531716566.0    买拖拉机
4.321          1531708613.0    @头号玩家
4.38           1531706501.0    出现
4.499          1531976340.0    五刷
4.608          1531741558.0    请先生们绿💩们
4.618          1531706393.0    好早
4.619          1531743933.0    11111521
4.748          1531703796.0    失踪人口回归
4.819          1531971371.0    高级弹幕合影！
4.824          1531757749.0    精彩
4.88           1531781072.0    我是第2018个
4.98           1531678810.0    20万播放，10弹幕，你们在干嘛
5.121          1531703995.0    看到我就是405以后了
5.14           1531695407.0    高产似母猪
5.159          1531828794.0    哦哦
5.22           1531734139.0    买拖拉机
5.225          1531732015.0    爵士朋克
5.318          1531738976.0    失踪人口回归
5.339          1532009198.0    买拖拉机
5.44           1531745168.0    来自四川的歪果仁
5.461          1531989723.0    。。。。
5.633          1531790615.0    终于更了
5.9            1531735181.0    33.3截图为证
5.918          1531724565.0    这口语，绝了
5.94           1531729221.0    国际空肛机场
5.965          1531714781.0    没人？
6.101          1531723457.0    哈哈哈哈哈
6.195          1532068403.0    有人啊
6.58           1531761588.0    这音调
6.659          1531795041.0    游戏名:爵士朋克
6.919          1531734164.0    1111
