排名：63
网址：https://www.bilibili.com/video/av26909084
更新时间：07-18
弹幕总量：534
preciseTime    ofTime          comment
0.238          1531890075.0    霸王撸
0.278          1531662177.0    肥宅快乐水
0.401          1531667788.0    这很东卑
0.463          1531799325.0    根据新闻，其实两个人吃了六个小时吃了200+而不是300，也喝了14瓶不是16瓶，不过确实是霸王餐
0.676          1531659280.0    问题来了，谁在拍视频？老板？
1.075          1531663121.0    这是网红的错误养成方式
1.22           1531700914.0    在现场
1.358          1531665943.0    看什么看没见过吃霸王餐的？换别家再吃。
2.322          1531656109.0    抱歉其他的让我想骂人这个是真的想笑
2.441          1531668057.0    想起来这种事自己干过
3.212          1531836774.0    我寻思这钱也妹人收啊？
3.542          1531757003.0    地域黑sm就完事了
3.571          1531666105.0    酒驾
3.637          1531662783.0    两女子狂撸
3.676          1531696531.0    八瓶啤酒，我可能跑不了
3.821          1531664580.0    霸王撸
4.09           1531654276.0    腾讯新闻都有了
4.247          1531669234.0    确认过眼神  没问题
4.419          1531660215.0    5个小时喝16瓶很多吗
4.65           1531700971.0    广东待久了喝的是晚茶
4.662          1531668857.0    辣鸡，我一个人干24瓶不是问题
4.724          1531667159.0    牛逼
4.836          1531669311.0    靠，居然是我们吉林的，真丢人
4.857          1531709468.0    那么问题来了，手机拍的?谁拍的
4.906          1531667364.0    不是6小时14瓶啤酒嘛？
5.268          1531687224.0    66666666666
5.36           1531655821.0    人模狗样
5.676          1531678672.0    等等。。。酒驾
5.76           1531654656.0    臭不要脸的
6.043          1531667164.0    吃霸王餐
6.204          1531659768.0    撸霸王串
6.349          1531680921.0    车不是她们的
6.57           1531707628.0    你的丑与你的脸无关，虽然脸也丑
6.72           1531665590.0    那么问题来了，摄像是谁
6.802          1531660697.0    当我们来到现场只剩这辆车的轮胎
6.835          1531709428.0    这个明显是用手机拍的电脑监控啊，还演的。。。。。
7.441          1531757023.0    地域黑sm就完事了
7.498          1531656848.0    看那大脸盘子我就知道他们不简单
8.003          1531661487.0    我寻思这钱你们不要了呢
8.237          1531654364.0    66666
8.608          1531666506.0                 A I’mi
8.691          1531663033.0    牛逼
9.34           1531741708.0    还酒驾
9.412          1531840822.0    瑞典铁汁又上分了
9.434          1531680284.0    在哈尔滨，十多瓶酒，养金鱼呢？
9.649          1531907790.0    凭本事！
9.662          1531685121.0    民主的香气
9.726          1531666703.0    酒驾，直接吊销驾照
9.891          1531706136.0    666666*6
9.994          1531657211.0    我家楼下……
10.079         1531712355.0    头条|･ω･｀)
10.31          1531688197.0    比较便宜，吃那么多才300
10.326         1531753103.0    ……
10.434         1531691603.0    这么牛批
10.66          1531664707.0    我寻思你这一桌子吃的放路边是不要了的
10.681         1531708019.0    小编是不是对女孩有什么误解
10.949         1531667838.0    冬被啊正常
11.342         1531676852.0    23333333
11.393         1531707504.0    哈哈哈
11.504         1531656373.0    人模狗样的东西，开着车，连个付钱的责任心都没有
11.704         1531663624.0    有可能喝醉了吧
11.706         1531696523.0    上个视频不是说6小时吗
11.757         1531663859.0    卧槽？
11.948         1531662847.0    666
12.182         1531661227.0    酒驾卧槽
12.399         1531712647.0    我就想知道为什么要有马赛克？露脸不好吗
12.555         1531678803.0    丢人玩意   完蛋货
12.627         1531660049.0    他是真的穷吗
12.7           1531656324.0    300块跑路多捞哦
12.702         1531660765.0    真给吉林人丢人
12.827         1531707690.0    痛风快乐水
12.863         1531657904.0    哈哈哈哈
12.864         1531893411.0    说镜头抖的，只是手机拍监控，不要自作聪明
13.008         1531660475.0    俩胖妞
13.015         1531658091.0    我还以为她俩要去开车😂
13.09          1531659009.0    人才
13.192         1531662797.0    丢人了啊。。。。我是吉林市的
13.341         1531813439.0    6666666666
13.5           1531711840.0    可怕
13.603         1531664713.0    666
14.294         1531661448.0    你看，瞧把孩子饿的
14.48          1531654854.0    我们这烧烤买一送一，啤酒免费（山东滨州）
14.549         1531660681.0    在现场
14.73          1531667539.0    我就想问镜头一直抖啥子，还是说从一开始你就知道他要霸餐
14.78          1531662678.0    真刺激
14.977         1531677756.0    三碗不过岗
15.066         1531666491.0    好像还酒驾了
15.37          1531657676.0    300元都出不起还开车
15.782         1531689669.0    打啥马赛克。以后来我家了给她一大脸巴子
15.811         1531659324.0    东北人真牛
15.918         1531669558.0    我寻思这钱你不要了呢
16.128         1531825398.0    可怕
16.362         1531665085.0    又不是她们的车，为什么一直说酒驾酒驾的
16.511         1531662887.0    才TM300，
16.626         1531829986.0    我大吉林牛逼
16.873         1531871130.0    两百多啊就跑路？
16.899         1531658443.0    哈哈哈哈哈有意思
16.968         1531667278.0    唉 人品就直300？
16.97          1531657639.0    6666
17.253         1531654092.0    300快都出不起
17.285         1531655705.0    戒赌吧高级会员
17.31          1531662581.0    不要脸
17.383         1531664256.0    意，之前新闻不是说将近200块吗，又涨价了
17.434         1531660645.0    酒驾
17.657         1531664202.0    溜了溜了
17.702         1531824618.0    多捞哦
17.74          1531664450.0    二罪归一
17.926         1531661801.0    啤酒用签子换的给什么钱
17.949         1531655479.0    笑死
18.536         1531663003.0    才300，大姐至于吗
18.694         1531661342.0    有地域黑
18.74          1531664187.0    都不收押金的吗？
18.782         1531668003.0    酒驾
18.8           1531666661.0    好像在腾讯上见到过。。。
18.813         1531658560.0    酒驾唉
18.926         1531704144.0    300块就跑路？
18.94          1531666863.0    也就300啊绝了
19.146         1531660586.0    笑死我了
19.468         1531677729.0    酒驾？
19.469         1531662150.0    在现场
19.517         1531654167.0    都霸王餐了，还要打上马赛克……
19.581         1531660695.0    这么串吗
19.601         1531664445.0    戒赌吧老姐
19.738         1531669192.0    人喝大的胆子就变大了
19.759         1531705536.0    才300啊哪里贵
19.766         1531813769.0    300都逃  撸你妹串
19.784         1531655696.0    (⊙o⊙)哇骚操作
20.061         1531661700.0    文明观猴
20.094         1531664953.0    干哈？在我们大东北那旮瘩，这小桌人老板都不屑收钱～🤔
20.237         1531661262.0    我刚花了300～～
20.341         1531661053.0    丑逼多作怪
20.408         1531676783.0    才300而已啊。。。
20.433         1531661829.0    签子我也没拿走给你放桌子上了给什么钱
