排名：92
网址：https://www.bilibili.com/video/av26910919
更新时间：07-20
弹幕总量：3691
preciseTime    ofTime          comment
0.0            1531892384.0    233
0.067          1531873890.0    全是黑幕。还去德国观赛。。。。
0.419          1531700729.0    为忽悠增加弹幕！！！！！
0.468          1531889071.0    只有我一个人带着姨妈笑又回来了吗
0.519          1531758942.0    人家发现这一集没有灵车漂移呢
0.617          1531708013.0    在现场，笑死
0.702          1532008182.0    看看人家刷出了什mó~
0.881          1531886407.0    “我”“会因为被喷心态爆炸”“太好笑了”“这帮皇杂战斗力还不如15年的兰厨”“鬼鬼”“拉黑拉的真爽”“笑死我了”“还让我道歉”“你再说一句你国籍没了信吗”“讲道理”“惹了很多皇杂
0.928          1531710497.0    素材枯竭？？？这个看过耶！！素材枯竭！！这个看过耶！！这个看过耶！！这个看过耶！！
0.941          1531711207.0    又是现场怪哈哈哈哈哈哈
1.325          1531802213.0    看见你已经是一万以后了
1.392          1531888225.0    快投币哦(๑•̀ㅂ•́)و✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.543          1531914545.0    有生之年
1.597          1531828250.0    右上角瞩目
1.65           1531715527.0    支付寳搜一下“
1.701          1531892408.0    有意思
1.723          1531825074.0    阿伟
1.894          1531826537.0    我又回来了
2.185          1531714800.0    好前哦~~~
2.196          1531702235.0    在现场！
2.317          1531712081.0    支付寳搜一下“
2.319          1531840292.0    注意右上角
2.381          1531934155.0    哦耶耶
2.848          1531805798.0    爷爷你关注的up主更新啦
2.875          1531923553.0    dd
3.113          1531831971.0    66666666666666666666666666
3.28           1531898088.0    忽悠忽悠
3.281          1531904092.0    第七次打卡
3.299          1531800139.0    忽悠
3.348          1531844273.0    团结中国
3.476          1531709530.0    现场阿阿阿啊啊！！！
3.599          1531721644.0    这个台湾人说话好像农农哈哈哈
3.661          1531886414.0    “我”“会因为被喷心态爆炸”“太好笑了”“这帮皇杂战斗力还不如15年的兰厨”“鬼鬼”“拉黑拉的真爽”“笑死我了”“还让我道歉”“你再说一句你国籍没了信吗”“讲道理”“惹了很多皇杂
3.84           1531732224.0    上一期结尾预告的下一期不是这个呀
3.858          1531847817.0    在现场
3.878          1531748952.0    在现场
4.12           1531717129.0    在现场
4.261          1531723417.0    💃💃💃
4.266          1531750223.0    终于在现场了！！！
4.358          1531735815.0    农农老婆报道
4.418          1531979281.0    紫字在干嘛？没有素材枯竭好吧，每天的直播都很有料的
4.439          1531835080.0    有生之年
4.524          1531806171.0    在现场
4.712          1532059722.0    现场怪！！！
4.809          1531814567.0    哈哈哈
4.918          1531722336.0    Hhhhhhhhhhhhhhg
4.964          1531699275.0    哈哈哈
5.091          1532070745.0    哈哈哈哈哈啊哈
5.361          1531710930.0    现场
5.656          1531714814.0    你屁！
5.721          1531886434.0    “我”“会因为被喷心态爆炸”“太好笑了”“这帮皇杂战斗力还不如15年的兰厨”“鬼鬼”“拉黑拉的真爽”“笑死我了”“还让我道歉”“你再说一句你国籍没了信吗”“讲道理”“惹了很多皇杂
5.866          1531793448.0    欢迎回来！！！
5.947          1531912934.0    傻fufu
5.979          1531800146.0    在现场
6.279          1531734168.0    在现场
6.294          1531734390.0    lail惹
6.298          1531753560.0    在现场，话说这素材是上个月的吧
6.321          1531794646.0    远古素材
6.52           1531748207.0    现场怪
6.529          1531716567.0    也不怎么好玩，就看了十来遍吧
6.539          1531756785.0    现场
6.675          1531714713.0    8999弹幕！
6.872          1532048627.0    特此看网骗
6.921          1531810234.0    看过
6.933          1531713691.0    20小时前
7.059          1531710132.0    发现这期我在现场呢
7.081          1531703736.0    在现场
7.083          1531700542.0    我是现场怪！
7.148          1531806242.0    三刷
7.312          1531726636.0    现场
7.34           1531710343.0    来啦
7.395          1531725466.0    失踪人口回归
7.594          1531710409.0    信义区
7.68           1532052698.0    在现场
7.85           1531730211.0    现场
8.141          1531792806.0    名扬千古大忽悠。。。
8.219          1531802805.0    终于在现场了
8.324          1531702864.0    17小时前
8.361          1531710065.0    现场
8.4            1531923558.0    看到了吗
8.62           1531791743.0    大忽悠你什么时候在和某幻君直播啊
8.958          1531771454.0    這個"台北口音啊"直接出賣了你wwwww台灣沒有這種口音啦
9.0            1531984737.0    翻车
9.201          1531890452.0    啊啊啊
9.215          1531799141.0    四刷了QAQ
