排名：65
网址：https://www.bilibili.com/video/av26914833
更新时间：07-18
弹幕总量：1171
preciseTime    ofTime          comment
0.08           1531879778.0    处女币给三猫了OWO
0.398          1531653106.0    我的马鸭终于更了
0.518          1531660224.0    喵
0.569          1531798602.0    三周目
0.597          1531697260.0    大早上吸猫
0.938          1531809647.0     1
1.119          1531679128.0    怎么可以这么可爱
1.194          1531648994.0    一小时前
1.358          1531673150.0    眼保健操
1.629          1531907708.0    没人？
1.657          1531704116.0    一脸被玩坏的表情
1.766          1531723329.0    支付寳搜一下“
1.779          1531709744.0    什么时候能放点中分李白杜甫啊
1.915          1531660004.0    第1001条
1.933          1531740617.0    1689
2.227          1531715406.0    支付寳搜一下“
2.474          1531712776.0    好可耐！
2.537          1531675425.0    啊啊啊啊这个开头我抱着我的猫一起升天
3.037          1531883126.0    嗷嗷怪
3.072          1531663347.0    终于等到你
3.304          1531662589.0    没看作者就认出了皮皮！
3.34           1531652638.0    等了这么久，终于更新了。
3.584          1531834963.0    嘤嘤嘤
3.754          1531651678.0    终于更了
3.9            1531654904.0    嘤嘤怪!!
3.978          1531717011.0    眼保健操？
4.126          1531677922.0    一进来什么表情2333
4.254          1531648223.0    前
4.32           1531744237.0    高产
5.496          1531649331.0    看看我刷到了什么
6.058          1531658167.0    四小时前
6.104          1531648681.0    我来啦
6.241          1531650456.0    来看看我的中分大佬
6.499          1531650223.0    莫名想看小皮皮割蛋蛋……
6.519          1531671532.0    原来是小皮皮呀
6.666          1531670148.0    按太阳穴轮刮眼眶
6.68           1531667881.0    第三遍…
6.732          1531658089.0    可爱😊
7.238          1531661986.0    好前！
7.358          1531716452.0    我来了！
7.443          1531664498.0    终于有猫吸了！！
7.72           1531708200.0    先点赞投币后食用
7.84           1531887572.0    承包皮皮
8.118          1531725152.0    1628！
8.241          1531664974.0    表白🆙和皮皮猫
8.362          1531648636.0    emmm又有猫片可以看了
8.444          1531790944.0    我又来了
8.631          1531653448.0    2小时前
8.779          1531663466.0    轮刮眼眶
8.84           1531689603.0    前来支援
8.921          1531752495.0    来了
9.179          1531651263.0    。。
9.399          1531657895.0    四小时钱!
9.42           1531715715.0    新视频！
9.54           1531843528.0    皮皮开始胖了
9.8            1531673177.0    来晚了
9.822          1531648441.0    耶✌
9.858          1531653132.0    后面的李白非常抢镜
9.901          1531707158.0    皮皮
9.998          1531661462.0    承包李白
10.104         1531657668.0    我这么早
10.24          1531649558.0    前排哎
10.379         1531648458.0    来啦！✧٩(ˊωˋ*)و✧
10.435         1531889990.0    可爱
10.639         1531805116.0    李白躺在后面装死hhh
10.838         1531670438.0    中场
11.024         1531649108.0    2小时前！
11.078         1531654216.0    皮皮
11.24          1531648062.0    来看皮皮惹（｡ò
11.54          1531673248.0    前排支持猫猫
11.62          1531748984.0    后面的李白好帅哦
11.632         1531648729.0    超前
11.777         1531841491.0    喵！！？！？！？！！屁屁屁个屁屁屁屁屁屁屁屁！！！？…？！？！！
11.811         1531677632.0    三猫小姐姐越来越好看了吖
11.939         1531654936.0    表白小姐姐
11.94          1531654169.0    三猫还是好看
11.942         1531701496.0    投币！！( •̀∀•́ )
11.971         1531653165.0    920
12.196         1531661637.0    皮皮
12.339         1531664750.0    皮皮胖了
12.357         1531670280.0    扁李白
12.373         1531890256.0    大声说出你们的体重
12.44          1531735890.0    白老师：zzzzzzZZZZZ...
12.544         1531657828.0    光速成长
12.56          1531655077.0    看到我你已经是6.9万后了
12.659         1531835748.0    emm
12.735         1531669538.0    啊 天使
12.971         1531679296.0    来了！
13.293         1531717802.0    白老师又睡着惹
13.681         1531648789.0    李白你怎么了
13.739         1531655792.0    昨天逛到的，好萌
14.046         1531653270.0    三小时
14.118         1531647935.0    承包李白
14.741         1531705693.0    后方李白瞩目
14.807         1531714964.0    66666666666
14.92          1531718353.0    pokemon的bgm！
14.961         1531739166.0    偷偷承包皮皮，没人看见吧⊙ω⊙
15.081         1531706487.0    白老师
15.099         1531835767.0    我……8分钟前
15.133         1531667740.0    1348
15.316         1531677653.0    李白瘫
15.588         1531657970.0    白老师
15.78          1531673935.0    法国冠军了
16.299         1531896021.0    白老师真可爱
16.401         1531672598.0    ↙液态李白
16.501         1531890276.0    你还需要朋友吗
16.652         1531663762.0    来啦
16.699         1531653343.0    可爱的皮皮*^o^*
16.84          1531650518.0    承包后方李白
16.972         1531648327.0    小姐姐好美啊
17.121         1531826614.0    16喵截图up表情有惊喜
17.244         1531805897.0    承包后方白老师o(^o^)o
17.259         1531785501.0    开心
17.332         1531659635.0    李白
17.455         1531824900.0    百度看完来b站
17.858         1531675964.0    皮皮这么大了！！！
17.921         1531675372.0    李白2333
18.093         1531753371.0    bgm好评
18.101         1531659089.0    全程盯李白
18.26          1531662849.0    9.7万
18.641         1531673854.0    口袋妖怪1号道路()
18.654         1531715485.0    二十小时前
18.846         1531795313.0    李白哈哈哈哈哈
18.96          1531754743.0    白老师又在睡觉！
19.179         1531805597.0    头发好油哈哈哈
19.401         1531705287.0    社会
19.438         1531884064.0    李白瞩目
19.797         1531657692.0    关上1100的大门
19.841         1531816758.0    社会化训练？？社会社会
19.914         1531814095.0    承包李白
20.033         1531735454.0    设会化……
20.318         1531716499.0    社会化!？
20.646         1531674227.0    不止现场的朋友，还被云共享了
20.913         1531653936.0    3小时前
21.002         1531648054.0    。
21.101         1531745756.0    李白睡姿销魂
21.179         1531668686.0    脖子好长
21.3           1531648019.0    社会社会
21.38          1531652323.0    白老师啊
21.415         1531724557.0    看到我已经是十六万之后了
21.504         1531828991.0    可我家的已经七个月了哭！
21.599         1531654493.0    早上才家里的猫抓到，到底有什么勇气来看这视频
21.758         1531875379.0    Bgm好评
22.016         1531662096.0    5689
22.351         1531877626.0    不要把猪染成这个颜色
22.4           1531652458.0    涩费化训练
22.528         1531839980.0    口袋妖怪的bgm
22.63          1531750691.0    白老师 醒醒
22.739         1531666354.0    李白熟睡
23.221         1531656375.0    来不及了 都两岁多了
23.284         1531734076.0    社会社会
23.335         1531658088.0    睡得好香
23.585         1531668946.0    小猫坎迪23333333333333333333333333
23.589         1531652522.0    再看一遍
24.093         1531671310.0    三角喵
24.561         1531669117.0    看到我你就已经12w以后了
24.586         1531655967.0    让我来让我来
24.659         1531690403.0    嘴巴好大
24.917         1531680812.0    完美性格...？你瞅瞅中分和皮皮
25.277         1531703917.0    大橘已定
26.118         1531704381.0    后面肥宅白老师
26.254         1531653691.0    皮皮猪真不是盖的
26.449         1531660805.0    五小时前
26.94          1531893894.0    肉眼可见的橘猫天赋
26.968         1531678805.0    卡哇伊的皮皮
27.061         1531665303.0    陈皮哟
27.116         1531661859.0    白老师醒一醒
27.278         1531677790.0    白老师还摊着哈哈哈哈哈
27.37          1531662136.0    哈哈哈睡的好乖
27.381         1531752890.0    不小了
27.441         1531678546.0    世界杯颁奖有人给普京撑伞！！！
27.472         1531653949.0    白老师猫薄荷事后
27.796         1531659942.0    皮皮变长了。。
28.065         1531727523.0    23小时……为什么不能凑个整数
28.331         1531650302.0    大了好多
28.521         1531661166.0    不小了
28.619         1531648172.0    不小了
28.841         1531666847.0    要变成大皮皮了呀？！
28.859         1531664840.0    有人吗
29.04          1531660706.0    哈哈哈
29.783         1531657886.0    社会社会
29.852         1531734984.0    李白就没醒过
30.901         1531902426.0    小屁屁
31.259         1531879369.0    为什么总有人黑up主，电脑端帮忙举报下
31.588         1531703923.0    大橘为重
31.673         1531671584.0    家里变样了。。
31.678         1531648558.0    一小时
32.195         1531839082.0    白老师可爱级啦。
33.003         1531663843.0    三猫好好看
33.398         1531842831.0    皮皮傻的可爱
33.536         1531650316.0    大脸杜甫
33.621         1531663209.0    历史总是惊人的相似
33.966         1531805230.0    超喜欢这小只
34.001         1531712342.0    沙发上李白瞩目
34.08          1531743442.0    甫子：冷漠
34.24          1531650438.0    皮皮的猪！
34.294         1531649554.0    白哥的样子就是我现在的样子
35.121         1531713613.0    口袋妖怪初代的BGM！
35.254         1531651137.0    皮皮:哇～
35.538         1531750070.0    口袋妖怪初代（火红叶绿）1号路bgm
36.233         1531654414.0    社会化。。
36.819         1531730413.0    同款宜家猪猪
37.12          1531659574.0    捉住，捉住，对付橘猫，这简直轻而易举！
37.421         1531896669.0    皮皮长大了好多呀
38.144         1531655946.0    宜家的猪子
38.68          1531705367.0    皮皮变大了
38.891         1531677755.0    哈哈哈哈哈哈哈哈哈这场景似曾相识
39.026         1531668685.0    铁门啊铁窗啊铁锁链
39.139         1531757327.0    好可爱
39.299         1531710118.0    自从有了皮皮以后其它猫咪就失宠了
39.312         1531657579.0    我家一个多月的猫狂的很一点都不怕人
40.12          1531652060.0    五万八
40.592         1531731397.0    好可爱啊！
40.874         1531680843.0    铁门铁窗铁锁链
41.601         1531755182.0    皮皮长得好快！
41.721         1531760369.0    同款宜家猪猪
41.742         1531719736.0    已经是3岁的猫了  可能没救了
42.752         1531732804.0    同款猪！但我没有屁屁大哭
42.9           1531807263.0    又一次被套路
43.027         1531714987.0    皮皮好可爱
43.062         1531812619.0    QwQ
43.704         1531744792.0    宝可梦bgm好评
44.122         1531682578.0    皮皮已经开始显现橘猫天赋了
44.574         1531888114.0    李白躺在后面默默看
44.936         1531664981.0    将皮皮训练成一只社会猫
45.481         1531790025.0    橘猫天赋
45.656         1531791990.0    哇，皮皮长的好快啊
45.762         1531726809.0    喵呜呜
46.121         1531741411.0    皮皮又胖了
46.141         1531826653.0    前面屁屁的我看到你了
46.635         1531758063.0    up不适合这么短的眉毛和这么长的眼睛（妆容建议？
47.055         1531661045.0    要让它习惯接客
47.895         1531755202.0    这里是橘色！！！
48.039         1531663064.0    泪啊止不住的流，止不住的往下流
48.202         1531652735.0    可爱w
48.478         1531664876.0    哈哈哈哈小短腿
48.558         1531878552.0    皮皮还是没经验啊
48.836         1531790476.0    哈哈哈哈
49.044         1531658409.0    好可爱
49.386         1531663988.0    我！去！偷！猫！了！
49.723         1531669574.0    天使！！！
49.918         1531651452.0    好可爱啊
50.049         1531709934.0    皮皮有吃的就行
50.121         1531657069.0    粉笼子超配ε==(づ′▽`)づ
50.38          1531656950.0    橘猫天赋
50.739         1531876214.0    领怀念的bgm
51.2           1531656964.0    hhhj
52.437         1531672942.0    皮皮大了好多
52.54          1531730006.0    姨母笑哈哈
52.651         1531665050.0    骂人！超凶超凶的！
53.291         1531657030.0    吃吃吃
53.66          1531835819.0    反复复习这期视频
53.837         1531677868.0    可爱死了啊啊啊啊啊
53.95          1531752646.0    我就是学up这样用手喂猫咪被咬了orz
54.08          1531734308.0    口袋妖怪的bgm
54.82          1531702840.0    喵:QAQ
54.957         1531666505.0    医疗兵！！！
55.04          1531659557.0    大师兄 人参果是什么味的？
55.938         1531679146.0    好萌啊
55.959         1531667300.0    有当大佬的潜质，叫一声三个哥哥都围着
56.236         1531755227.0    这里是橘色！！！
56.448         1531710756.0    白甫cp好暖，关心自家老小
56.544         1531878560.0    太傻太天真
57.099         1531666397.0    哈哈哈哈好长一声
57.344         1531659218.0    喵了一个长长的喵
57.365         1531661552.0     前排
57.864         1531659514.0    四小时前发的。。我就弹幕第1154了。。
58.119         1531656970.0    像小狗
58.311         1531664500.0    好腿
58.571         1531669887.0    好可爱哒
58.814         1531668610.0    组队抢猫1/1400000000
59.773         1531763985.0    接客hhhhh
60.447         1531739682.0    同款皮卡丘
62.037         1531652137.0    太可爱了吧
64.087         1531749151.0    喵喵喵？
65.241         1531764517.0    颜值好高
65.849         1531657502.0    皮皮气好长hhhhhhhh
66.897         1531753090.0    我越看越觉得up主长得像漫画人物
67.452         1531841551.0    秀！！！？！？！？！！屁屁屁个屁屁屁屁屁屁屁屁屁屁屁屁屁屁！！？！？！？！！
67.522         1531668640.0    组队抢猫2/1400000000
69.581         1531697460.0    主要是poppy性格非常好了
70.006         1531668658.0    组队抢猫3/1400000000
70.081         1531648871.0    社会我佩奇哥
70.302         1531808925.0    我家猫一开门就跑疯了
70.873         1531678823.0    好可爱
70.919         1531666600.0    宜家同款猪猪
71.64          1531665916.0    宜家的丑猪
71.967         1531698132.0    前面说poppy的别走。
72.032         1531662181.0    好可耐～
72.147         1531653668.0    和上一次在门里比确实长大了不少啊
72.92          1531660712.0    这样会不会直接跑丢
73.178         1531832421.0    太可爱了吧
73.581         1531667280.0    哇太可爱了！
74.24          1531879064.0    没人注意到这是佩奇么
74.339         1531650798.0    皮皮美颜暴击
74.7           1531731461.0    看我橘猫色！
75.64          1531656867.0    最喜欢皮皮小短腿吃货
75.951         1531807385.0    组队偷猫4/1400000000
76.574         1531651188.0    皮皮是真的可爱
76.97          1531715360.0    同款小粉猪🐷
77.32          1531881389.0    陈独秀
77.653         1531757243.0    弱点是馋
78.847         1531862676.0    好乖
79.061         1531660179.0    真•橘猫天赋
79.259         1531667594.0    皮皮只要吃什么都可以
79.36          1531709759.0    不愧是橘猫
79.895         1531750793.0    哈哈哈，陈皮好口耐
79.961         1531745825.0    有吃的什么都不怕了我的天
80.12          1531668989.0    太可爱了啊
80.239         1531701948.0    嘤嘤嘤
80.499         1531648559.0    伟大的橘猫天赋
80.528         1531664236.0    我好怕跑掉了
80.911         1531653265.0    依旧可爱的叫
80.976         1531746960.0    嘤嘤嘤嘤嘤嘤
81.108         1531895295.0    妈呀她好可爱啊
81.486         1531660956.0    嘤嘤嘤
81.5           1531828938.0    好可爱啊（ˉ﹃ˉ
81.802         1531841565.0    出！！？！？！？屁屁屁个屁屁屁屁屁屁屁屁屁屁屁屁屁屁！！？！？！
81.902         1531664723.0    皮皮真可爱
81.921         1531807258.0    有事没事走两步
82.376         1531709682.0    没病走两步
82.4           1531660550.0    没病走两步
82.45          1531665931.0    欢迎回来
82.688         1531812338.0    话痨皮
82.903         1531711985.0    记住他现在的样子
83.036         1531664534.0    没事走两步!
83.26          1531667148.0    没病走两步
83.342         1531676764.0    橘猫天赋
83.4           1531793180.0    真香
83.57          1531717907.0    撕去笼子之后
83.61          1531887613.0    橘猫天赋
83.626         1531712236.0    没病走两步
83.696         1531749484.0    硬核的旁白
84.095         1531786267.0    没病走两步
84.118         1531668071.0    可爱啊啊啊啊啊啊
84.167         1531725009.0    没病走两步
84.224         1531680916.0    没病走两步
84.539         1531654744.0    没事走两步
84.7           1531744890.0    可爱啊啊啊啊啊啊
84.78          1531651510.0    啊呀呀呀啊呀呀呀啊呀好可爱啊！！！！！！！
85.259         1531650328.0    我怎么感觉我家的出门就跑没影了
85.589         1531673421.0    小奶猫能跑哪里去
85.6           1531655568.0    皮皮长得好像我家猫啊😘
86.158         1531654314.0    奶萌奶萌的
88.234         1531704467.0    突然本山附体，没事走两步2333
88.736         1531665809.0    血槽已空
89.066         1531670136.0    又怕被卖掉但是又不能不吃
89.112         1531668932.0    皮皮，胖了
89.218         1531660384.0    太可爱了
89.985         1531665802.0    外卖小哥不热吗？辛苦了
90.441         1531718137.0    我很害怕小猫会一下子跑掉我追不上
90.961         1531820152.0    前方高能预警
90.965         1531716224.0    我的猫胆小到一出门就飞到树上 拉都拉不回来
92.384         1531664174.0    跑了怎么办啊
92.67          1531658597.0    （｡ò ∀ ó｡）
92.945         1531707756.0    肯德基的外卖小哥。。。
93.517         1531660961.0    没病走两步
93.616         1531704632.0    我家猫之前是流浪猫，胆子超大
93.761         1531649007.0    哪里是害怕
94.463         1531706584.0    看到一个奇怪的银
94.557         1531663450.0    百度外卖
94.761         1531826902.0    外卖小哥抢镜233
95.441         1531889627.0    哈哈哈哈哈哈哈
95.753         1531762643.0    毛色真好看呢！
96.35          1531877474.0    不会跑掉吗
96.68          1531663960.0    瞬间怂了
96.89          1531662863.0    原来是天空龙经过
97.024         1531670061.0    皮皮长大后。会不会再也蹦不起来啊。腿短加橘猫。。。
97.155         1531651585.0    这时一位外卖小哥恰好路过
98.22          1531665491.0    大橘！
98.299         1531759937.0    你怕我干嘛，宅急送很吓人嘛
98.642         1531648546.0    前方高能
99.186         1531652255.0    皮也不是很胖嘛
99.348         1531815042.0    蜘蛛侠哈哈哈哈
100.62         1531663131.0    大橘本色
102.208        1531668378.0    前方花花露脸警告
102.252        1531658549.0    哈哈哈皮皮吃东西乌拉乌拉的
102.826        1531648368.0    外卖小哥：？？？？？
104.853        1531664043.0    从人群中钻出一个光头
105.363        1531732942.0    麦当劳吧？
105.663        1531737428.0    桌子上的液体。。
106.208        1531691025.0    肯德基……
106.494        1531650521.0    同款sheba
106.825        1531826457.0    我的心都要化了
107.044        1531820169.0    前方高能
107.899        1531650991.0    喵喵喵
108.419        1531659096.0    一次lui推
108.732        1531704647.0    我家猫就叫猪猪qwq
108.739        1531743648.0    以此luei推
108.885        1531672366.0    你是不是想说循序渐进
108.919        1531662909.0    同款包包，可以装超多东西
109.491        1531769081.0    那是麦当劳外卖吧
109.627        1531668406.0    真的胖了
109.913        1531692321.0    皮皮是不是尿桌上了……有水迹
110.139        1531863065.0    皮皮:老子就是这么变胖的
110.436        1531685285.0    为以后成为社会化野猫做准备吗
111.198        1531840677.0    皮皮它胖了
111.332        1531666326.0    非正常镜头。
112.561        1531706147.0    哈哈哈后期无敌了
112.729        1531655247.0    惊讶
112.854        1531652591.0    此时应有SCARSONG
112.896        1531889653.0    wdm吓了一跳
113.956        1531805311.0    一吃东西就嗷嗷嗷的
114.537        1531659552.0    哈哈哈哈哈哈哈吓我一跳
115.828        1531676356.0    233333333333333
115.857        1531655387.0    吓了我一下！
116.57         1531648766.0    记住它现在的样子
116.684        1531657806.0    橘猫真滴话痨
116.699        1531812063.0    皮
116.734        1531664291.0    23333333
117.566        1531730343.0    BGM好评
117.76         1531667470.0    还以为在看法克说片
118.182        1531658471.0    皮皮真可爱ớ ₃ờ
118.3          1531723593.0    这是！
118.443        1531797249.0    我的键盘都是猫……
118.613        1531797256.0    23333
119.161        1531828683.0    差点信了
119.591        1531663002.0    柔弱 无助  但能吃
119.672        1531649635.0    2333333333333333333
119.68         1531655041.0    2333333333
121.335        1531841605.0    体！！？！地！！？！？！热死热死屁屁屁屁屁屁！！？！？！
121.744        1531715066.0    2333333333
122.013        1531651830.0    2333333333
122.09         1531818488.0    法克说片的你过来
122.109        1531649601.0    哈哈，剪辑搞事情
122.126        1531661591.0    寄生前夜的BGM
122.485        1531742998.0    哈哈哈哈哈
122.519        1531652044.0    666
122.568        1531690148.0    法克的＋1
122.585        1531664517.0    哈哈哈哈哈哈哈哈
122.713        1531654708.0    666666666
122.777        1531649817.0    啊♂宝贝
122.819        1531651562.0    这就是寄生前夜的主题曲
123.562        1531660773.0    233333
123.776        1531699887.0    66666666666
123.819        1531655919.0    戏精啊，up主
123.97         1531665440.0    优秀
124.476        1531678024.0    hhhhh
124.507        1531698396.0    哈哈哈
124.811        1531649422.0    2333333333
124.929        1531663700.0    np
125.118        1531658610.0    2333333333
125.198        1531658590.0    ～(￣▽￣～)~
125.398        1531748070.0    就在那一刻他意识到，他日了狗了
125.453        1531661757.0    2333333
125.901        1531894798.0    放开那只小猫，有什么事冲我来
126.061        1531652154.0    哈哈哈哈哈(ಡωಡ)hiahiahia
126.303        1531655998.0    吸猫团伙
126.38         1531652842.0    哈哈哈哈哈哈哈嗝.
126.601        1531649617.0    秀啊
126.97         1531650196.0    深井冰啊23333
127.206        1531662236.0    ？？？
127.723        1531706443.0    他完蛋了的意思
127.81         1531721433.0    哇！真香
127.85         1531657070.0    哈哈哈哈哈
127.979        1531758959.0    哈哈哈哈哈哈哈
128.364        1531737497.0    He fuck dog
128.4          1531661402.0    哈哈哈哈
128.648        1531654392.0    陈独秀
128.749        1531712041.0    有点像杰大??！！
129.177        1531648298.0    红字啊不是他日了狗啦😂是he
129.312        1531648583.0    哈哈哈哈哈哈哈哈哈哈哈哈，笑疯
129.339        1531665529.0    真 吸猫
129.461        1531652399.0    2333333
129.556        1531654624.0    哈哈哈哈哈哈哈哈哈
129.637        1531663522.0    哈哈哈哈哈哈哈
129.661        1531658665.0    23333333
129.681        1531701143.0    没有跳蚤吗
130.302        1531790126.0    2333333333
130.526        1531792064.0    233333
130.823        1531658257.0    fuckcup
130.912        1531670212.0    寄生前夜
131.515        1531790559.0    哈哈哈哈吸猫
131.559        1531832608.0    2333333
131.596        1531884161.0    没有跳蚤的那个会驱虫的好吗
131.741        1531659723.0    这猫太猛，有点儿上头了
131.932        1531726906.0    中分的口水味！
132.161        1531648115.0    有点尬啊这两位
132.187        1531666054.0    红红火火恍恍惚惚
132.264        1531678901.0    噗
132.42         1531731523.0    2333
132.864        1531690975.0    接客了
132.866        1531712062.0    等等，，也不是很像。。。不好意思
133.296        1531717627.0    啊哈哈哈
133.79         1531692814.0    2333333333333
133.804        1531660784.0    23333333333333333333
133.84         1531699442.0    哈哈哈哈哈哈
134.041        1531895348.0    23333333
134.241        1531666404.0    他完蛋了
134.275        1531821271.0    皮皮视角
134.68         1531668096.0    雷普小猫的屑，，，
135.04         1531706173.0    啊
135.276        1531670942.0    哈哈哈哈哈哈哈哈哈哈哈哈
135.3          1531664153.0    好像起小点
135.579        1531699695.0    人类啊
135.643        1531698480.0    陈皮的内心是崩溃的
135.71         1531661409.0    哈哈哈哈
136.099        1531652378.0    lunjian
136.26         1531659212.0    哈哈哈哈哈哈哈
136.301        1531658516.0    233333333333
136.406        1531666330.0    笑了
136.448        1531654549.0    优秀
136.853        1531708268.0    妈呀有毒
137.43         1531676565.0    2333333333
137.979        1531662082.0    哈哈哈哈哈哈
138.019        1531873156.0    哈哈哈哈哈哈哈哈
138.099        1531699717.0    铲屎官放开朕
138.439        1531758970.0    哈哈哈哈哈哈哈哈
138.478        1531654685.0    哈哈哈哈哈哈哈哈哈哈哈哈
138.617        1531649443.0    好可怕
138.817        1531710093.0    我也要吸！
138.926        1531651662.0    中分的口水味！
138.961        1531856133.0    哈哈哈哈哈哈哈哈哈哈哈哈
139.451        1531680861.0    哈哈哈(ಡωಡ)hiahiahia
139.481        1531665189.0    666666
139.583        1531815086.0    哈哈哈哈哈哈
139.665        1531656764.0    FBI open up!!
139.828        1531665862.0    2333333333
140.261        1531648538.0    把猫身上的虱子也吸下去
140.301        1531713987.0    233
140.361        1531652794.0    哈哈哈哈哈哈哈哈哈哈哈哈无敌
140.364        1531871386.0    丧心病狂
140.5          1531648964.0    吸猫
140.52         1531664892.0    放开那只猫，让我来。
140.523        1531660184.0    ◎非正常拍摄
140.632        1531658235.0    哈哈哈哈哈哈
140.758        1531664283.0    哈哈哈哈哈哈哈
140.945        1531663003.0    吸猫现场
141.097        1531652033.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
141.241        1531653651.0    哈哈哈哈
141.43         1531659588.0    哈哈哈
141.48         1531648571.0    哈哈哈哈哈哈哈哈哈哈
141.568        1531653698.0    233333
141.579        1531816895.0    23333
141.595        1531656612.0    什么鬼辣哈哈哈哈哈哈哈哈
141.66         1531755976.0    我也想吸!
141.782        1531658814.0    来一泡尿就爽了
141.999        1531672507.0    '
142.052        1531848647.0    哈哈哈哈哈哈哈哈哈哈哈
142.111        1531650457.0    哈哈哈哈哈哈
142.133        1531671645.0    233333笑死我
142.171        1531647867.0    23333
142.354        1531668820.0    上头了
142.457        1531650471.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
142.472        1531658223.0    什么玩意……
142.486        1531750250.0    猫:help   me😭😭
142.71         1531652084.0    猫:
142.995        1531675077.0    糟糕的台词
143.041        1531702757.0    阿哈哈哈哈哈哈哈皮
143.1          1531670934.0    爽啊，爽 死了
143.123        1531806059.0    生活终于要对我这只小猫咪动手了
143.139        1531655833.0    23333
143.208        1531882015.0    哈哈哈哈
143.531        1531649701.0    23333
143.579        1531806420.0    哈哈哈哈哈哈哈哈哈哈哈嗝儿
143.723        1531758419.0    233333333
143.779        1531648628.0    哈哈哈
