排名：46
网址：https://www.bilibili.com/video/av26915430
更新时间：07-19
弹幕总量：1064
preciseTime    ofTime          comment
0.0            1531659805.0    看前先投币
0.08           1531663378.0    忍不住N刷，配合原著太甜了qwq
0.197          1531707607.0    这里表示原著真的写的很好，不仅剧情还有文笔，表白up和皮皮啦~
0.621          1531909178.0    支咐宝首頁捜索“86OO14”这么优秀吗
0.823          1531814502.0    不就是硬币吗！我给你！放我出去！！
1.264          1531665493.0    看到更新，就先推荐投币收藏走一波
1.415          1531665078.0    天啊！！！！！！最后暴击！！！！
1.596          1531675878.0    接住了
1.921          1531720460.0    投币！收藏！点赞！我服了！
1.942          1531908361.0    (๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.974          1531805843.0    优秀
2.202          1531664902.0    仔细看了一遍，都没舍得发弹幕，又来看了
2.588          1531752633.0    弹幕！！！
2.768          1531663088.0    纯白如我竟一直以为up是看过原著的人
2.919          1531798911.0    优秀
3.029          1531674238.0    哈哈哈
3.242          1531749274.0    我滴妈 神仙up主
3.499          1531897815.0    来看神仙up
3.523          1531909193.0    支咐宝首頁捜索“86OO14”能为所欲为
3.688          1531904949.0    然而不过十几步的光景，他却已经忍不住回了一次头，但想看的人已经彻底拐出了他的视线。
3.821          1531653509.0    up主高产
3.856          1531793020.0    这视频看得我啊啊啊啊嘿嘿嘿啊啊啊
4.128          1531663111.0    原著是真的甜过初恋 建议没看过的镇魂女孩都去磕一磕
4.266          1531673542.0    妈呀！奉上我的膝盖了！
4.379          1531653689.0    再看一遍
4.608          1531811604.0    优秀！好看！
4.739          1531655902.0    真的！！！！居老师演出了原著
4.82           1531716712.0    表白up
5.29           1531664387.0    太太高产啊
5.369          1531663124.0    我就是因为原著才去看的剧版
5.54           1531801978.0    确认过视频，是看过原著的up主
5.61           1531706926.0    来啦~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~·
5.622          1531763187.0    高产
5.628          1531665023.0    优秀
5.735          1531671433.0    这个BGM是啥呀
6.249          1531661881.0    看封面识up
6.485          1531671501.0    刷完了，感觉异常美妙
6.571          1531697909.0    刚看完原著，简直打开新世界的大门
6.655          1531670535.0    优秀！
6.812          1531909201.0    支咐宝首頁捜索“86OO14”深藏功与名
7.253          1531695924.0    这指甲...
7.483          1531772646.0    我接住了
7.595          1531672115.0    阿婆主原著研究生没跑了
7.797          1531895607.0    up主高产啊
8.019          1531898126.0    表白阿婆
8.339          1531799368.0    亲爱的up你为什么这么优秀
8.573          1531664737.0    我爱你up主！！！居居又忘记微博密码了 求安慰
8.667          1531896658.0    原著女孩十分需要！
8.76           1531911083.0    阿阿阿
9.107          1531713008.0    原著党赶来～！！
9.219          1531671495.0    先看的原著，吹爆我小甜甜！
9.639          1531724302.0    嘤嘤嘤嘤嘤嘤
9.739          1531663312.0    承包这个秃秃的指甲
9.899          1531913779.0    赵云澜，自始至终都没问过沈巍，你爱的是我，还是昆仑？
11.046         1531655697.0    二刷专门赶来投币
11.081         1531672349.0    优秀
11.118         1531706677.0    BGM是ahisa的曲子啊啊啊
11.499         1531664453.0    菊次郎的夏天哎
11.561         1531716289.0    先不开弹幕看一遍。然后开了弹幕再来一遍
11.6           1531666047.0    我靠我Fong了啊啊啊啊啊啊啊
11.703         1531709857.0    原著是真的好看啊！
11.768         1531656200.0    BGM我吹爆！
11.821         1531894649.0    up主棒呆
12.049         1531836082.0    刚看小说表示很棒的啊
12.288         1531656385.0    看来我还是很前的
12.734         1531692216.0    啊啊啊up人才
12.735         1531793623.0    看了两遍小说了
12.897         1531651555.0    居居女孩＋镇魂女孩
12.975         1531656925.0    up优秀
13.119         1531909207.0    支咐宝首頁捜索“86OO14”真的别谢我
13.141         1531654210.0    天辣天辣！原著女孩飞奔过来
