排名：27
网址：https://www.bilibili.com/video/av26923469
更新时间：07-18
弹幕总量：1244
preciseTime    ofTime          comment
0.0            1531744842.0    《欢迎来到马化腾说漫威》
0.078          1531804630.0    封面木吉
0.193          1531723174.0    p
0.247          1531891859.0    捞瑞
0.259          1531658396.0    哦买嘎得更新了
1.04           1531728126.0    右下角迷之像灭霸……
1.441          1531655372.0    这其实是个预告片
1.451          1531669042.0    💃💃💃💃💃💃💃💃💃💃
1.548          1531655053.0    lorre即将参与复联5拍摄
1.676          1531807493.0    最喜欢的漫画！！终于来了！！
1.837          1531654359.0    我想看死侍2丫
1.924          1531758055.0    想什么呢，点收藏啊
1.993          1531660207.0    莫名恐怖
2.062          1531708860.0    。
2.068          1531907596.0    棒(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
2.102          1531789116.0    丧尸英雄
2.56           1531655787.0    一定是秘密入侵？
2.751          1531721793.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
3.083          1531659163.0    666
3.168          1531666381.0    哦豁，斯克鲁尔人
3.201          1531665051.0    快收藏
3.516          1531660431.0    6666
3.945          1531659872.0    这看着好像尤里的复仇
4.3            1531671684.0    6666
4.636          1531654949.0    看封面知秘密入侵
4.778          1531707603.0    马化腾评说漫威
4.807          1531659605.0    这怎么看着像尤里的复仇的加载画面
4.93           1531654044.0    高产
5.41           1531657725.0    收藏点赞投币直接来一套
5.612          1531708156.0    抱歉，妇联4是完结篇
5.635          1531657399.0    lorre，神符的视频什么时候更新啊
6.001          1531710893.0    终于更新漫画
6.262          1531655911.0    又来了
6.295          1531802052.0    灭霸的银鳞胸甲
6.363          1531671233.0    我几级
6.571          1531663324.0    突然高产
6.868          1531675841.0    毒奶
7.058          1531882507.0    木吉...
7.318          1531802660.0    哈哈哈哈哈哈哈哈
7.514          1531837219.0    2333
7.773          1531676595.0    法兰西
7.841          1531654752.0    渗透计划
8.225          1531743490.0    抖音好玩吗？
8.448          1531801505.0    我以为封面是木吉
9.694          1531657335.0    哦买嘎得er
9.792          1531704475.0    妇联五
10.178         1531806813.0    666666666666666666
10.293         1531798211.0    司库路
10.507         1531804389.0    更新了
10.522         1531802147.0    咪咪入倩0？？？
10.692         1531657356.0    绿魔吧
10.708         1531662975.0    买嘎得儿
10.898         1531897469.0    好像绿魔
11.399         1531659130.0    早
11.84          1531704888.0    丧尸？
11.878         1531736084.0    ⎛⎝≥⏝⏝≤⎠⎞
12.173         1531654062.0    6666666666666
12.328         1531676866.0    法国赢了
12.963         1531700723.0    最近又开始高速了
13.973         1531735062.0    要拍。
14.492         1531669723.0    更新了
14.499         1531685151.0    bgm渗人
14.781         1531666127.0    咪咪~入侵
14.995         1531833638.0    这么牛逼的种族，变谁就有谁的能力？那还听女王的话干嘛
15.074         1531675873.0    6666
15.117         1531815866.0    咪咪入侵
15.758         1531704029.0    咪咪入侵
15.9           1531658246.0    咪咪入侵
16.116         1531665106.0    封面好像木吉
16.146         1531662977.0    人比弹幕多
16.213         1531665262.0    妇联4出来？
16.321         1531654605.0    妇联四？
16.383         1531654866.0    咪咪入侵可还行
16.474         1531717662.0    好的，我来看剧透了
16.664         1531654239.0    咪咪入寝
16.725         1531731281.0    漫威:被猜到了？改剧本！
16.999         1531818233.0    可怕
17.075         1531669770.0    毒奶
