排名：42
网址：https://www.bilibili.com/video/av26930028
更新时间：07-19
弹幕总量：629
preciseTime    ofTime          comment
0.0            1531716428.0    葱色血小板
0.08           1531835735.0    这是小恩吧
0.163          1531796834.0    骑士团参见公主殿下！
0.166          1531806170.0    撌脣�單釣
0.395          1531715202.0    好听到没心思发弹幕系列
0.762          1531921958.0    39C5BB MIKU绿应援！！！
0.805          1531677443.0    39C5BB
0.917          1531730684.0    骑士团参见公主殿下！！！！！！！！
0.94           1531887323.0    萝控之魂熊熊燃烧
1.04           1531691951.0    我老婆怎么绿了
1.119          1531846444.0    欢迎回来？【话说我有开洗脑循环吗】
1.247          1531881420.0    骑士团团长参见公主殿下
1.339          1531812895.0    别人的血小板
1.358          1531698729.0    试色
1.461          1531903435.0    39c5bb
1.491          1531701741.0    腿有点。。。。短
1.605          1531908165.0    那个啊那个啊
1.716          1531752420.0    哎可爱。
1.718          1531816678.0    刚从
2.331          1531710194.0    是《工作细胞》里的
2.396          1531908168.0    参见公主殿下(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
2.576          1531699571.0    关上前一百的大门
2.685          1531749153.0    骑士团参见公主殿下！！！
2.733          1531674380.0    血小板
2.741          1531698764.0    试色
2.751          1531721620.0    情务必怎么做
2.86           1531678665.0    绿毛讲究
2.946          1531895982.0    把这个也送进派出所
3.073          1531837450.0    好
3.078          1531756306.0    骑士团参见公主殿下
3.487          1531794883.0    初音未来 世界一番可爱
3.861          1531748381.0    不就是硬币嘛
3.883          1531821426.0    神了！
4.025          1531895306.0    血洗音乐区
4.249          1531737138.0    原谅色
4.369          1531708661.0    血小板什么意思？
4.389          1531720325.0    。。
4.458          1531805947.0    骑士团参见公主殿下！！！
4.476          1531806147.0    撌脣�單釣
4.603          1531742989.0    我需要血！！！！
4.866          1531810832.0    参见公主殿下
5.031          1531743455.0    骑士团参见公主殿下
5.394          1531723910.0    搜索栏
5.559          1531745244.0    一定是我老婆miku的
5.656          1531811869.0    ？？？？？？？？
6.172          1531878976.0    承包血小板！
6.224          1531714708.0    额，人血中含有三种细胞，血细胞，白细胞和血小板，好像是这样吧
6.527          1531742902.0    嗯
6.895          1531751803.0    糟糕
7.06           1531834358.0    miku赛高！
7.206          1531889613.0    骑士团参见公主殿下！！！
7.405          1531835732.0    我来了
7.509          1531762374.0    66666
7.633          1531822849.0    好可爱
7.76           1531818271.0    为殿下任劳任怨
7.772          1531810303.0    骑士团参见公主殿下!!!~
7.874          1531794455.0    可爱可爱
8.175          1531673503.0    绿头
8.177          1531837893.0    谁开的洗脑循环
8.29           1531834440.0    我又来了
8.336          1531881278.0    你绿了
8.578          1531911252.0    恩奇都——
8.616          1531800216.0    果断循环了
8.949          1531700725.0    太可爱了
8.959          1531887814.0    ⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞~⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
9.133          1531724597.0    好棒
9.194          1531896904.0    山羊骑士团团长参见公主殿下
9.276          1531785051.0    好看
9.481          1531892041.0    参见公主殿下
9.534          1531715420.0    我又来了
9.902          1531708704.0    恩都奇？
9.939          1531715497.0    她就是血小板，一种细胞
10.011         1531716183.0    39c5bb
10.336         1531718364.0    一种在血液里的细胞，有止血作用，如果你的血小板过于少一流血就会大出血，然后危及生命
10.423         1531677028.0    恩奇都的身体
10.44          1531826424.0    这不是鬼畜吗，，
10.495         1531745666.0    参见公主殿下
10.773         1531845137.0    刚刚查了一下，吃花生皮有益于增加血小板，各位再见，我要先买个几斤
10.799         1531838740.0    我死了
10.82          1531908904.0    骑士团参见公主殿下
10.891         1531715042.0    火钳刘明
10.98          1531789795.0    血小板人人都有，不要抢
11.094         1531914083.0    搞基弹幕捕捉！QWQ
11.18          1531718646.0    哇哦
11.23          1531799357.0    怎么绿了
11.238         1531909574.0    可爱
11.493         1531830113.0    这么可爱
11.823         1531737338.0    我绿的血小板都绿了
11.842         1531728619.0    。。。。
11.858         1531709726.0    骑士团参见公主殿下
11.912         1531964047.0    骑士团参见公主殿下
12.062         1531731320.0    所以为什么头发是绿的
12.324         1531992807.0    骑士团参见公主殿下
12.466         1531711740.0    工作细胞
12.501         1531659642.0    啊啊啊!好可爱的miku
12.814         1531703804.0    人参？
12.891         1531720543.0    调音师厉害了
13.156         1531654313.0    只愛ミク，ミク賽高！ミク是最棒的~\(≧▽≦)/~啦啦啦~点赞！
13.261         1531702601.0    miku酱的血小板
13.272         1531753952.0    卡哇伊卡哇伊
13.505         1531671995.0    可耻的播放量
13.651         1531714688.0    至少帽子没变色
13.7           1531886996.0    骑士团参见公主殿下！
14.021         1531908912.0    骑士团参见公主殿下
14.1           1531881795.0    初音不是生物吧
14.291         1531736487.0    啊啊啊啊啊！！！！！！！！！！！！！！！！！！
14.364         1531691844.0    好听好听
14.447         1531811954.0    参见公主殿下
15.06          1531722538.0    发色，，嘶
15.327         1531744834.0    柯索  再来一万遍！！！！！！！！！！
15.348         1531879522.0    ......
15.379         1531716184.0    哦，这美丽的颜色
15.55          1531671692.0    头发。。。。
15.599         1531810310.0    太可爱了
15.749         1531796472.0    太可爱！
15.815         1531707403.0    为什么头发是绿的
15.877         1531754284.0    好像不是这个颜色.......
15.882         1531853975.0    你快闭嘴吧你 血小板是这声音？！
16.04          1531800450.0    第三遍了
16.161         1531917595.0    葱葱的血小板
16.661         1531733334.0    初音是个邪恶的东西
16.775         1531751813.0    妈耶
16.81          1531834268.0    666
16.881         1531705973.0    人参的带我一个(！！！)
16.937         1531702378.0    为啥绿了……
17.104         1531839202.0    好萌
17.142         1531716306.0    初音最棒的！！！
17.221         1531702589.0    可爱
17.234         1531777478.0    嘿嘿
17.362         1531718416.0    我刚刚……在QQ群里看到血小板娘的AV……
17.623         1531811193.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
17.652         1531749169.0    。。。
17.715         1531815898.0    参见公主殿下
