排名：64
网址：https://www.bilibili.com/video/av26933191
更新时间：07-21
弹幕总量：2873
preciseTime    ofTime          comment
0.0            1531663805.0    终于等到你
0.006          1531669096.0    大片
0.08           1531901170.0    啦啦啦
0.183          1531981250.0    再看一遍
0.333          1531666122.0    爷爷爷爷，你关注的up更新啦！
0.338          1531735540.0    哥伦比亚影业公司
0.519          1531735462.0    迪士尼电影公司
0.659          1531980614.0    支咐宝首頁捜索“86OO14”这么优秀吗
0.818          1531735498.0    米高梅电影公司
1.046          1531735524.0    派拉蒙影业公司
1.455          1531903434.0    死亡人口回归
1.591          1531993788.0    有生之年
1.716          1531909681.0    emmm
1.87           1531922296.0    失踪人口回归
1.888          1531665372.0    一小时前，1.1万
1.895          1531963085.0    有生之年系列
2.061          1531663736.0    良心进度条。
2.139          1532047718.0    再看亿遍
2.276          1532164051.0    这届中国队运气真的差 好不容易进来了
2.478          1531871777.0    镇站之宝
2.641          1531850475.0    更新了
2.699          1532088071.0    欢迎回来
2.898          1531997879.0    666
2.933          1532042590.0    233
3.038          1531735607.0    环球影片公司
3.08           1532062733.0    大家好
3.381          1531845807.0    PLPL
3.396          1532015418.0    人才  我居然默默地看完了
3.539          1532059694.0    以下制片厂均已倒闭
3.758          1531919028.0    看我炸出来什么好东西！
3.955          1532062828.0    可以
4.502          1531981297.0    最后一遍
4.538          1531735630.0    联美电影公司
4.66           1531892614.0    失踪人口
4.896          1531670063.0    太爷爷，你关注的up主更新视频了。 我等下烧给你
4.901          1531967252.0    曾曾曾爷爷，你关注的视频更新了
4.949          1532011770.0    互粉吗我id 海棠大表哥    就想直播的时候跟你们聊聊天行吗
5.012          1532078613.0    有生之年
5.538          1531735660.0    迪士尼电影公司
5.546          1531990665.0    失踪人口回归
5.728          1531994923.0    终于等到你
5.778          1531924529.0    火之前我来过
5.899          1531663538.0    失踪人口回归
5.961          1531663557.0    66666666666666
6.063          1531901177.0    啦啦啦哩
6.09           1531910215.0    日常听到这段解说。。。。还有一句留给中国队的时间不多了。。。
6.214          1531964302.0    少林功夫好嘞
6.468          1531846004.0    索尼大法好
6.539          1532156561.0    失踪人口回归
6.636          1531919988.0    6666
6.698          1531735671.0    20世纪福克斯电影公司
7.726          1531988599.0    三刷
7.818          1531665728.0    啊啊啊啊啊，留名，第一
8.238          1532053415.0    祖国蓝TV
8.301          1532057969.0    终于更新了
8.462          1531971656.0    开头见！！！
8.619          1531990384.0    2002年世界杯
9.578          1531878485.0    厉害了
9.8            1531709983.0    素质三连，点赞，投币，收藏
9.824          1531925140.0    这货居然知道更新了
9.895          1531920449.0    666
9.962          1531919850.0    失踪人口，，，
10.022         1532154627.0    纸巾已经就绪。视觉刺激开始……海绵体充血开始……海绵体充血度9%……19%……31%……46%……67%……81%……99%……海绵体充血完成……持续动能输出开始……动能计算开始……10J……20J…
10.617         1532056443.0    我要这硬币有何用！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
10.66          1531900963.0    火钳刘明
11.008         1532077008.0    666
11.14          1531848683.0    以上公司均已倒闭
11.242         1531997747.0    终于等到你了
11.437         1531988997.0    太厉害了
11.438         1531919272.0    额
12.0           1531935308.0    完美
12.028         1531878622.0    有生之年
12.056         1532081280.0    郜林！
12.117         1531982836.0    有生之年系列
12.317         1531664227.0    42分钟前
12.839         1531906115.0    哈哈
12.841         1531916700.0    索尼
13.369         1532163268.0    不火没有天理。
13.432         1531908472.0    白斩鸡国足
13.945         1531999844.0    火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明
14.066         1531989884.0    此时，一位空中劈叉的睿智清洁工路过
14.281         1531665166.0    我沒错的话，星爷电影的日语配音是山治的声优哦
14.384         1531902864.0    有生之年
14.522         1531897563.0    贺知章啊
14.894         1531852137.0    卧槽，我发现
15.597         1531916097.0    有趣
15.627         1531851467.0    出不去了
16.179         1531874580.0    这么多人观看
16.76          1531933400.0    火钳刘明
17.404         1531988374.0    第二遍
18.523         1531922822.0    我是勒夫  我现在慌得一批
18.619         1531906135.0    叫什么名字
18.957         1532056964.0    中国队日常
18.959         1531995653.0    阿拉达斯加电影
19.541         1532043131.0    23333
20.18          1531899224.0    日常云龙兄
20.275         1531913789.0    终于可以发弹幕了，庆祝下
20.495         1531899169.0    华谊兄弟电影出版
20.754         1532001950.0    2018 7 19
20.905         1531664181.0    有生之年
21.121         1531999841.0    还行
21.252         1531918762.0    少林足球之意大利炮传奇
21.499         1531909953.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
21.74          1531875614.0    二刷
22.186         1531877326.0    第二遍
22.559         1531920743.0    大妹大妹大妹
22.851         1531669106.0    楼上的醒醒啊，法国已经赢了
23.099         1531669914.0    怀念农夫足球
23.484         1531877300.0    1047个伙伴
23.893         1531734694.0    毫无违和感
24.193         1531911614.0    毫无ps痕迹
24.581         1531717934.0    瓜怂
24.779         1531900966.0    66+
24.881         1531848381.0    个弹幕，咦发早了
25.02          1532099085.0    不是山治
26.506         1532014375.0    第二遍
27.055         1531664188.0    终于更新了
27.921         1531913706.0    有生之年
28.532         1531914812.0    团长，讲究
28.677         1531735484.0    刃牙的老爸！出场的动作！！
29.014         1531905976.0    火钳刘明
29.179         1531877306.0    666
29.203         1531907362.0    恭喜各位找到镇站之宝
29.393         1531895733.0    1302人？哇
29.517         1531999850.0    666
29.774         1531704866.0    腰马合一！
29.907         1531913683.0    哈哈哈哈
30.029         1531968535.0    emmm
31.144         1531909131.0    吔屎啦你
31.582         1531909154.0    吔屎啦你
31.779         1531893360.0    意大利炮呢？
32.589         1531900483.0    火钳留名
33.223         1532001963.0    温故知新
33.745         1532079920.0    失踪人口回归！！！失踪人口回归！！！失踪人口回归！！！
33.811         1531868082.0    团长
34.135         1531867007.0    梁非凡
34.934         1531845845.0    日语完全不是字幕上的意思哈哈哈
35.219         1531967447.0    我说球，不是这么踢滴
35.335         1531908342.0    团战来了
35.558         1532014944.0    火钳刘明
35.618         1532015789.0    少林足球，踢不赢就打呗
38.757         1531918805.0    日语？洋气
39.037         1531876222.0    万能日语
39.34          1531879087.0    真以为我不会日语
39.912         1532079927.0    失踪人口回归！！！失踪人口回归！！！失踪人口回归！！！失踪人口回归！！！
40.518         1531999891.0    怎么说
40.521         1531908230.0    0.5倍好评
40.661         1531669940.0    别说谁赢谁赢了，我现在很慌..
41.005         1531929640.0    ............
42.059         1532067885.0    万能的日语
42.867         1531971691.0    火钳刘明
43.541         1531717426.0    万能的日语
43.98          1531918082.0    吔屎啦
44.425         1531901356.0    万能日语
45.385         1531718630.0    用日语就可以空耳瞎JB配字幕了啊
45.795         1532007625.0    ？？？？？？？？？？？
45.811         1531997782.0    今年是2118
45.815         1531871250.0    假装听不懂日语
46.077         1531664407.0    是的，而且650W人中有大半是青少年
46.133         1531991022.0    233
46.419         1531670168.0    句句扎心，国猪你有什么用
46.66          1531845338.0    假装听不懂中
46.739         1531895631.0    万能的日语
46.943         1531981340.0    一周年快乐
47.371         1531846720.0    万能日语
47.58          1531719792.0    当观众听不懂系列
47.701         1531913893.0    真当我听不懂日语？
48.321         1531911591.0    用德语多好
48.758         1531961817.0    老子一句话也听不懂
48.819         1531911413.0    万能的日语
48.941         1532087274.0    嘴型对上了
49.072         1531908419.0    强行日语，略恶心
49.178         1531900830.0    假装听不懂的样子
49.2           1532095876.0    就会骂你行你上啊
49.347         1531915535.0    为什么要日语.
50.069         1532139218.0    第二遍看了
50.135         1531917272.0    云龙兄
50.635         1531992787.0    那支队
51.773         1531941634.0    星爷配音是日版的唐伯虎点秋香
51.855         1531918107.0    屁！眼字
51.896         1531907603.0    绝了
52.101         1532167262.0    毫无PS痕迹
52.105         1532109026.0    ，，，
52.187         1531909208.0    哈哈哈哈哈哈哈哈
52.22          1531790266.0    欺负我不会日文
52.658         1531885524.0    违和君下线
52.845         1531886957.0    哈哈哈哈啊
53.014         1531878692.0    真的烦，说日语干嘛
53.325         1531882385.0    6666
53.446         1531883495.0    牛逼
53.841         1531715889.0    日语= =偶某系楼爱
53.933         1531891519.0    真以为我不会日语？
54.172         1531904427.0    日语还能听一点，有点违和
54.541         1531699685.0    用日语才能给字幕发展空间啊
55.755         1531669951.0    中国足协注册的球员只有8000人少的可怜
56.876         1531924367.0    哈哈哈哈哈哈
57.201         1531874402.0    2333333
57.623         1531983461.0    一股违和感扑面而来
58.081         1531897042.0    那些说日语很烦的碍国小将省省吧，不用个你听不懂的语言字幕怎么发挥？
58.24          1531910580.0    用日语说(我们中国)几个意思
58.788         1531880885.0    团长？
58.941         1531907470.0    感觉不搭啊这个日语
59.124         1531978102.0    万能日语
59.134         1531901510.0    自己去看简介
59.936         1531953920.0    你尊重星爷吗
60.497         1531904438.0    无路赛！
62.166         1531917284.0    李云龙
62.367         1532084489.0    就是这个电影的日语配音
62.551         1531881074.0    BAKAhentai无路赛！
62.739         1531906620.0    1771人耶
62.741         1531708771.0    无路赛
63.422         1531666924.0    真当我听不懂日语
