排名：48
网址：https://www.bilibili.com/video/av26945087
更新时间：07-20
弹幕总量：516
preciseTime    ofTime          comment
0.077          1531763301.0    友情提示：请在右下角调至最高画质|･ω･｀)
0.105          1531793651.0    锦依卫参见吃货殿下
0.227          1531818230.0    秘籍三指放大
0.263          1531670639.0    1.25食用更佳
0.273          1531748061.0    画质可以调的
0.406          1531736100.0    糊的你需要一个大会员的世界（天依好美.jpg）
0.413          1531818181.0    竖屏讲究
0.575          1531891287.0    .大会员画质提高警告
0.628          1531736038.0    前排提示1080+60有奇效！
0.671          1531916843.0    BGM:红昭愿
0.73           1531894869.0    支咐宝首頁捜索“86OO14”这么刺激吗
0.777          1531826580.0    果断投币
0.847          1531899424.0    建议16：9使用效果最佳
0.914          1531740138.0    竖屏   将就
1.123          1531907660.0    支咐宝首頁捜索“86OO14”福利的节奏
1.127          1531793764.0    绿字参见
1.332          1531897035.0    欸欸？这就完了，好少
1.65           1531797446.0    锦依卫参见天依殿下
1.872          1531906325.0    蓝色字幕君参见天依帝下
2.048          1531789841.0    呃
2.116          1531907691.0    参见吃货殿下(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
2.21           1531666769.0    这个画质
2.282          1531667796.0    ヾ(●´∇｀●)ﾉ哇～
2.329          1531748075.0    一起洗丁丁
3.301          1531902969.0    锦衣卫参见吃货殿下
3.326          1531828784.0    BGM:红昭愿
3.47           1531897674.0    一起洗丁丁
3.509          1531903859.0    好
4.022          1531880131.0    不知道那些没有年会的人怎么看下去的
4.034          1531748139.0    最近真的超流行白姐的衣服啊
4.053          1531891229.0    强烈推荐4:3观看
4.135          1531866878.0    锦依卫参见殿下
4.138          1531899437.0    建议16：9使用效果最佳
4.214          1531767721.0    nm
4.218          1531915063.0    。
4.351          1531826590.0    让我开了超清，感觉还不错
4.534          1531784463.0    这个画质1080也就不了😂
4.929          1531815791.0    一起洗丁丁~
5.037          1532059027.0    16：9惊喜！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
5.094          1531904485.0    6666666
5.246          1531887284.0    欺负电脑bilibili观看者系列
5.28           1531890286.0    AV画质
5.422          1531666936.0    av画质hhhh建模很漂亮哦，up加油~
5.513          1531905835.0    一起洗丁丁
5.871          1531880505.0    弹幕要用这个颜色 事不过三
5.896          1531718939.0    坚屏，讲究
6.163          1531706088.0    白姐姐的衣服诶
6.192          1531758871.0    竖直好评
6.268          1531890895.0    BGM：一起洗丁丁
6.307          1531794142.0    一起洗丁丁
6.36           1531835145.0    这衣服怎么像白姐姐的？
6.813          1531747648.0    BGM红昭远
7.069          1531809528.0    锦依卫参见吃货殿下
7.129          1531795383.0    为什么是竖屏
7.238          1531814835.0    WW
7.278          1531798452.0    锦衣卫参加吃货殿下
7.435          1531817922.0    720特别清楚
7.656          1531873903.0    天依是我老婆
7.997          1531879662.0    bgm好评
8.179          1531896830.0    弹幕请使用代码：66CCFF
8.296          1531738891.0    可不可以换个衣服。。。
8.855          1531856032.0    一起洗丁丁~
8.866          1531677081.0    好棒
