排名：84
网址：https://www.bilibili.com/video/av26954320
更新时间：07-19
弹幕总量：849
preciseTime    ofTime          comment
0.073          1531736016.0    封面2.38
0.381          1531704118.0    空降233你会感谢我的😊
0.817          1531702891.0    居然换开头了
0.914          1531734962.0    见封进
1.506          1531747373.0    佐藤胜利！！！
1.89           1531730483.0    见封滚
2.251          1531728661.0    666
2.402          1531734093.0    贾斯丁布布。
2.437          1531985051.0    布拉格之恋~好像是这个吧？
3.27           1531735628.0    环奈！！女神啊啊啊
3.518          1531714194.0    357
3.522          1531890511.0    封面：2分33秒
3.832          1531732859.0    见封进
4.521          1531798108.0    打结了
5.013          1531702860.0    我也当第一拉
5.325          1531706153.0    换片头了?
5.531          1531798821.0    封面呢草
5.783          1531728830.0    这是哪部电影？
5.799          1531789278.0    打结不能忍
5.835          1531733450.0    音量较低建议开完音量
6.324          1531788335.0    。
6.374          1531702706.0    早
6.689          1531702575.0    第二，截图为证
8.284          1531916432.0    支咐宝首頁捜索“86OO14”真的别谢我
8.438          1531734732.0    张伟
8.732          1531730274.0    这耳机线我看了很不舒服
8.749          1531726132.0    张伟！？
8.796          1531706071.0    看我发现了什么
9.271          1531798134.0    这耳机线！难受！
9.6            1531758605.0    开头呢？
10.044         1531783738.0    封面老婆
10.472         1531710765.0    我还以为我视频出问题了 还好是我手机卡了
10.491         1531768345.0    那些年日版？
10.633         1531717414.0    环奈酱？
10.647         1531792806.0    我耳机坏了
10.681         1531717497.0    我聋了？
11.269         1531735812.0    可耻的播放量
12.437         1531790190.0    谢瞎胡
13.012         1531789736.0    巅峰时期的颜值
13.857         1531792034.0    封面是姜泰利嘛！
14.324         1531733384.0    似李，车轮滚滚
14.551         1531735109.0    去吧 车轮滚滚
14.6           1531736308.0    可耻的播放量
14.722         1531711701.0    车轮滚滚
14.796         1531706134.0    2333333333
14.855         1531763296.0    卧槽，我的耳朵
14.953         1531707696.0    我手机铃声响了
14.997         1531726944.0    耳机线，不能忍
15.137         1531711686.0    next to you
15.257         1531787902.0    似李，狂鼠
15.421         1531716667.0    车轮滚滚
15.429         1531711455.0    我还以为我聋了
15.464         1531735013.0    龙龟6啊
15.592         1531890523.0    封面：2分33秒
15.602         1531736666.0    bgm好评
15.639         1531734738.0    chw
15.732         1531736122.0    寄生兽
16.181         1531703147.0    寄生兽
16.184         1531705225.0    狂鼠发大了
16.214         1531725342.0    你吓我一跳，我以为来电话了。
16.225         1531704445.0    看过这个
16.314         1531892757.0    披甲龙龟
16.514         1531790389.0    牛笔
16.565         1531727148.0    我以为我的电话响了
16.674         1531921513.0    啊啊啊寄生兽
16.699         1531916441.0    支咐宝首頁捜索“86OO14”真不用谢我
16.893         1531735682.0    寄生兽好评！
16.932         1531727632.0    我有这个图片！
17.013         1531730491.0    寄生兽
17.034         1531703017.0    寄生兽！
17.133         1531705558.0    龙龟
17.243         1531787938.0    人车合一
17.274         1531725468.0    Bgm好评
17.384         1531739119.0    是你吗？车轮滚滚！！！
17.432         1531731816.0    怀孕的猴。。。。
17.446         1531737225.0    bgm
17.733         1531732573.0    寄生兽好评
17.892         1531788708.0    emmmm
17.954         1531732877.0    寄生兽！
18.008         1531715661.0    我手机铃声，我以为我来电话了。。
18.132         1531728418.0    寄生兽把我炸出来了
18.153         1531835366.0    玩过
18.229         1531797368.0    桥本环奈？
18.273         1531702884.0    405播放量
18.38          1531734071.0    bgm好评
18.674         1531726802.0    bgm点赞
18.732         1531794574.0    寄生兽！
18.999         1531711616.0    同以为手机响了
19.091         1531735199.0    老司机开车稳
19.113         1531705616.0    拉莫斯
19.22          1531734602.0    发呀的候!
19.279         1531734750.0    车轮滚滚！
19.73          1531796793.0    bgm：next to you
20.021         1531705828.0    我以为我电话响了
20.364         1531726653.0    去吧，车轮滚滚
20.502         1531793835.0    寄生兽
20.534         1531731219.0    Fire in the hole
20.622         1531736819.0    我的天
20.72          1531729388.0    龙龟是你
20.826         1531778871.0    卡布达
20.913         1531703281.0    车轮滚滚！
20.934         1531769497.0    黑衣人早期作品拍摄现场
21.007         1531787716.0    丸子龙！！？
21.073         1531797982.0    bgm好评
21.079         1531729774.0    狂鼠
21.133         1531702988.0    BGM:    Nxet to you 
21.211         1531795349.0    脊椎骨不会坏的吗？
21.232         1531710052.0    我tm这个片段看过好几回了
21.314         1531718748.0    我也是以为电话来了
21.334         1531711300.0    next to you
21.421         1531704514.0    丸子龙
21.453         1531788444.0    握草黑衣人
21.574         1531913026.0    BGM好评
21.688         1531727764.0    车轮滚滚
21.733         1531754185.0    @龙龟
21.932         1531732066.0    以为电话来了
22.04          1531704456.0    车轮滚滚
22.119         1531713467.0    龙龟！！！
22.204         1531730717.0    是你吗！铁甲小宝
22.214         1531799947.0    车轮滚滚笑死我
22.453         1531735823.0    手机铃声
22.516         1531726681.0    车轮滚滚
22.833         1531786728.0    辐射4的主题曲
22.845         1531738748.0    是你，狂鼠！！
22.934         1531818943.0    我丸子莱莱翻滚球球
23.034         1531956446.0    丸子龙？
23.273         1531716057.0    似李，车轮滚滚!
23.54          1531774191.0    前方高能
23.67          1531705703.0    似李，车轮滚滚！
23.773         1531735250.0    车轮滚滚？
23.889         1531713854.0    bgm:
23.913         1531716223.0    车轮滚滚
23.96          1531734910.0    丸子轮
24.073         1531786304.0    电话响了
24.092         1531705111.0    你以为下去就完事了？不！你错了！
24.182         1531764796.0    這不是車輪滾滾嗎
24.321         1531737748.0    车轮滚滚
24.4           1531731654.0    真特么会配背景音乐
24.514         1531735735.0    铁甲小宝，试你
24.732         1531787919.0    狂鼠
24.865         1531747782.0    我生前也是这样玩的
24.866         1531704268.0    岛田轮胎滚起来啦
24.957         1531892765.0    龙龟
25.048         1531711654.0    超级无敌风火轮
25.155         1531729046.0    车轮滚滚！
25.206         1531793821.0    车轮滚滚
25.275         1531733739.0    车轮滚滚
25.462         1531814192.0    无敌风火轮
25.718         1531735643.0    狂鼠！
25.836         1531704477.0    狂鼠，是你
25.874         1531713881.0    bgm:next  to   You
25.892         1531797105.0    是你车轮滚滚
26.04          1531738830.0    狂鼠开大了快跑
26.094         1531913046.0    我以为我酷狗音乐响了
26.151         1531786747.0    醒醒，根本没人给你打电话
26.172         1531738098.0    真.灰太狼我会回来的。
26.234         1531794885.0    战术翻滚
26.235         1531702994.0    出现了，车轮滚滚
26.316         1531937304.0    车轮滚滚
26.367         1531788206.0    会玩233333
26.774         1531734508.0    天人合一
27.308         1531703572.0    nxet……
27.393         1531704313.0    车轮滚滚！
27.453         1531732547.0    车轮滚滚
28.253         1531720509.0    丸子轮是你
28.258         1531713273.0    狂鼠
28.293         1531787176.0    WATE
28.3           1531733817.0    小右。
28.364         1531791656.0    车轮滚滚！似李
28.454         1531703400.0    为寄生兽 大call
28.694         1531712765.0    车轮滚滚
28.702         1531788388.0    当场去世
28.746         1531749137.0    星之卡比？？？
28.749         1531702785.0    流弊
28.961         1531731082.0    冲着这个BGM，我也得投币
29.03          1531786331.0    我的妈啊。。
29.033         1531788329.0    不是倒放
29.092         1531731534.0    关键是他又回来了
29.151         1531737205.0    23333
29.492         1531797315.0    两仪滚
29.644         1531734959.0    优秀
29.788         1531734283.0    奇行种
29.833         1531734554.0    在现场
29.847         1531902422.0    bgm：next to you
29.954         1531921531.0    寄生兽
30.224         1531735195.0    无敌风火轮
30.234         1531726662.0    奇行种
30.609         1531729825.0    王 德 发？！
30.632         1531703209.0    车轮滚滚
