排名：39
网址：https://www.bilibili.com/video/av26957825
更新时间：07-20
弹幕总量：2217
preciseTime    ofTime          comment
0.0            1531977139.0    你竖起的中指， 是我今生不变的信仰，唯我pop子和pipi美永世长存！
0.084          1531741849.0    有生之年
0.1            1531977152.0    你竖起的中指， 是我今生不变的信仰，唯我pop子和pipi美永世长存！
0.157          1531731419.0    关上八万的大门
0.229          1531903655.0    快跑
0.272          1531814858.0    有生之年
0.339          1531724139.0    关闭6万的大门
0.377          1531904240.0    失踪多少次了…
0.419          1531829636.0    令人窒息
0.421          1531812818.0    有生之年
0.509          1532052562.0    FBI warning
0.561          1531837456.0    有生之年
0.595          1532031482.0    支咐宝首頁捜索“86OO14”这么优秀吗
0.616          1531730421.0    有生之年!
0.677          1531731364.0    In
0.697          1531873945.0    看我刷了个什么？
0.728          1531730168.0    失踪人口回归
0.756          1531751324.0    不知不觉吔了7集屎了
0.802          1531723051.0    我是梅西，我现在慌得一批
0.82           1531897755.0    [230,350,"1-0",2,"如果你追到我",0,0,230,350,500,0,1,"SimHei",true]
0.894          1531890430.0    消嘤器准备就绪
0.914          1531721179.0    终于来了
0.938          1531744466.0    有生之年
0.939          1531808247.0    欢迎回来
0.955          1531760182.0    我发现了什么？！
0.968          1531738136.0    终于更了
1.034          1531850135.0    有生之年
1.058          1531734645.0    看我发现了什么！
1.059          1531723198.0    三小时前。。。
1.06           1531786986.0    我竟然在鬼畜区追番
1.116          1531923024.0    ..
1.136          1531865940.0    看我刷到了什么
1.156          1531727329.0    □
1.197          1531812157.0    有生之年
1.201          1531721127.0    有生之年！
1.204          1531783397.0    惊了
1.208          1531897774.0    [230,380,"1-0",2,"我就让你",0,0,230,380,500,0,1,"SimHei",true]
1.297          1531737860.0    爷爷爷爷你追的番更新了
1.299          1531897712.0    [230,320,"1-0",2,"你追我",0,0,230,320,500,0,1,"SimHei",true]
1.396          1531750606.0    嘤文瞩目
1.486          1531968838.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
1.489          1531762267.0    这个系列原来还在更新啊
1.602          1531869686.0    另外的374人你们好
1.603          1531996972.0    好
1.638          1531852665.0    失踪人口回归
1.677          1531731590.0    有生之年
1.778          1531754305.0    看看我刷到了什么大宝贝
1.817          1531830785.0    我又回来了1...
1.82           1531893374.0    火钳刘明
1.915          1531731705.0    有生之年！
1.925          1531838483.0    我笑傻
1.985          1531751918.0    有生之年系列
2.06           1531725596.0    难道这回游那个大人在吗？
2.141          1531790323.0    总算是出来了
2.177          1531729845.0    有生之年
2.196          1531728724.0    失踪人口回归
2.247          1531897831.0    [260,410,"1-0",2,"嘤",0,0,260,410,500,0,1,"SimHei",true]
2.299          1531750584.0    有生之年
2.307          1531753491.0    吔屎世界杯
2.343          1531731310.0    有生之年
2.345          1532058005.0    http://abc.qhdvf.com/media/videos/mp4/93583.mp4?st=2e8h-nVmgCxdfPfxgTsSIg&e=1532023892
2.367          1531897844.0    [290,410,"1-0",2,"嘤",0,0,290,410,500,0,1,"SimHei",true]
2.454          1531737132.0    失踪人口回归
2.456          1531931882.0    失踪人口回归
2.496          1531740490.0    终于等到你，还好我没放弃_(:з」∠)_
2.62           1531731321.0    In
2.655          1531929157.0    看我刷出了什么！
2.658          1531904360.0    来自g胖的审判
2.757          1531727781.0    兄弟等你好久了
2.954          1531924439.0    嘤嘤嘤
