排名：75
网址：https://www.bilibili.com/video/av26961018
更新时间：07-19
弹幕总量：637
preciseTime    ofTime          comment
0.0            1531926059.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
0.134          1531924167.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
0.15           1531995311.0    还没看当即硬币投上，炮姐！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
1.111          1531960580.0    你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！
1.393          1531960418.0    你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！
1.499          1531920065.0    超炮赛高~~~
1.764          1531959653.0    君の指先で舞いてる電光は、僕の今生に変わらない信仰！
1.963          1531907821.0    君の指先には光が跃る、私はこの世に消えない信仰
2.164          1531917604.0    你指尖跳动的电光，是我永恒不变的信仰。唯我超电磁炮永世长存！！
2.38           1531994585.0    你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！
3.276          1531917006.0    你指尖跳动的电光，是我永恒不变的信仰。唯我超电磁炮永世长存！
3.343          1531926066.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
3.359          1531924157.0    你指尖跃动的电光，是我此生不变的信仰，唯我电磁炮永世长存
3.649          1531919635.0    你指尖跃动的电光，是我此生不变的信仰。唯我超电磁炮永世长存
3.77           1531920590.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存。
3.825          1531994255.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存！！你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存！！
3.884          1531959681.0    君の指先で舞いてる電光は、僕の今生に変わらない信仰！
4.044          1531924734.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
4.408          1531977485.0    你指尖跃动的电光，是我此生不变的信仰。唯我超电磁炮永世长存!
4.468          1531920859.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
5.315          1531920301.0    支付宝首页搜索三零五四五零六，你会谢我的
5.319          1531977206.0    君の指先には光が跃る、私はこの世に消えない信仰
5.472          1531920711.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存。
5.867          1531923660.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
6.071          1531905569.0    做mad死路一条
6.408          1531920863.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
7.104          1531967775.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存
7.425          1531920725.0    先投再看系列
7.552          1531968342.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
8.144          1531996076.0    君の指先には光が跃る、私はこの世に消えない信仰
8.251          1531916622.0    炮姐还能再战50000年！！
8.648          1531920868.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
9.456          1531995901.0    你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！
9.474          1531953230.0    封面封面
9.532          1531910597.0    !!
9.844          1531929681.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存
10.488         1531920873.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
10.614         1531959134.0    niupi
11.036         1531926855.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
11.058         1531919699.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存
11.247         1531961045.0    X
11.259         1531926182.0    合影
12.368         1531925913.0    你指尖跳动的电光，是我永恒不变的信仰。唯我超电磁炮永世长存！！！！
12.847         1531920878.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
12.892         1531921290.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
13.029         1531918870.0    南条爱乃！
13.076         1531920070.0    你指尖跃动的电光。是我此生不变的信仰。唯我超电磁炮永世长存
13.221         1531918846.0    你指尖跃动的电光是我此生不变的信仰为我超电磁炮永世长存
13.225         1531996081.0    君の指先には光が跃る、私はこの世に消えない信仰.
13.273         1531926078.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！
13.689         1531926241.0    你指间跳动的电光，是我此生不变的信仰，唯我超电磁炮永世长存
13.742         1531922605.0    居然不是坟？！
14.327         1531995911.0    你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！你指尖跃动的闪光，是我此生不变的信仰，唯我超电磁炮永存！
14.773         1531967530.0    你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存。
15.987         1531923672.0    你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！你指尖跃动的电光，是我此生不灭的信仰，唯我超电磁炮永世长存！
16.597         1531922792.0    你指尖悦动的电光，是我此生不变的信仰，唯我超电磁炮与世长存！！
16.683         1531903970.0    弹幕让不让人好好看啦
