排名：69
网址：https://www.bilibili.com/video/av26962994
更新时间：07-19
弹幕总量：1014
preciseTime    ofTime          comment
0.323          1531746705.0    BGM:HOP
0.638          1531823370.0    bgm本色
1.021          1531746670.0    傻白
1.689          1531742709.0    欢迎来到“聋的传人”
2.366          1531745570.0    BGM:山海
3.126          1531750089.0    dgm:聋的传人
3.157          1531748311.0    弹幕数量：666
3.353          1531753251.0    BGM:聋的传人
3.683          1531752842.0    这儿现在777
3.82           1531788701.0    到时候我有俩手机我也这么玩
4.176          1531741818.0    请问有BGM吗
4.712          1531831693.0    66666666
4.876          1531743533.0    BGM好评
5.453          1531747304.0    Bgm:爱的供养 再问自杀
5.572          1531744888.0    求bgm
5.596          1531749367.0    好老的梗
5.638          1531751426.0    Bgm：远走高飞
5.722          1531745955.0    b数？心里是没有的
5.759          1531841906.0    你们一堆刷BGM的😂😂
5.978          1531793738.0    bgm青媚狐
5.993          1531743541.0    bgm:聋的传人
6.124          1531820754.0    bgm皇帝的新歌
6.141          1531831138.0    BGM真好听
6.261          1531743557.0    bgm叫什么？真是太好听了
6.52           1531740534.0    BGM爱的自杀再问供养
6.576          1531800176.0    弹幕数量:1000
7.001          1531796664.0    BGM威风堂堂
7.161          1531750631.0    BGM:cao  li   ma
7.386          1531818820.0    bgm我是你的谁
7.579          1531796925.0    BGM要抱抱
7.582          1531803770.0    我能发顶部弹幕了？
7.661          1531751535.0    bgm爱的自杀 再问供氧
7.867          1531745056.0    bgm：聋的传人
7.881          1531744396.0    BGM：lost rivers
8.102          1531812801.0    我聋了？
8.201          1531742132.0    两只手机的人就是好，这么能水
8.5            1531809293.0    弹幕1111？
8.742          1531746306.0    bgm：你聋了_(:з」∠)_
8.761          1531799507.0    bgm聋的传人
8.781          1531746691.0    233333
8.841          1531815882.0    233
8.861          1531805154.0    bgm：极乐净土
9.105          1531748659.0    bgm聋的传人
9.28           1531742156.0    BGM：hop
9.419          1531801105.0    bgm：hop
9.566          1531816075.0    不要闹感觉有点宠哈哈哈哈
9.659          1531822398.0    bgm学猫叫
9.78           1531831155.0    BGM叫lemon
