排名：96
网址：https://www.bilibili.com/video/av26981492
更新时间：07-19
弹幕总量：326
preciseTime    ofTime          comment
0.0            1531911886.0    BGM鸿告鸟志
0.851          1531798762.0    惊天动地，很好的游戏，可惜了
1.095          1531758476.0    烂游戏！要人缝！烂游戏！要任缝！😂
1.331          1531931395.0    鲨鱼卡比打折后的游戏本体贵多了，这就是gta5长期霸占销量榜的原因
1.887          1531893395.0    惊天动地
2.592          1531852935.0    求.BGM
2.84           1531800892.0    哇，竟然是惊天动地，当时觉得奇迹之后挺炫酷的游戏
3.446          1531880765.0    惊天动地去
3.873          1531838799.0    惊天动地 玩的第一款网游
4.195          1531802112.0    还是安保不够，我看没人去砸腾讯
4.293          1531737510.0    在现场……初二
4.897          1531753844.0    惊天动地？
5.039          1531801808.0    哎，何必做这么绝呢？
5.646          1531891666.0    哈哈哈，玩过
6.223          1531751147.0    我的天
6.421          1531796707.0    惊天动地
6.611          1531929684.0    惊天动地！！！
6.761          1531901016.0    满满的回忆
6.77           1531877838.0    惊天动地
6.817          1531751166.0    惊天动地吗，初中时候玩的
6.954          1531924389.0    惊天动地，好怀念啊
7.09           1531885767.0    还可以
7.185          1531892543.0    刺激个什么……我四阶一的屠夫现在想去砸网易
7.892          1531905021.0    吓得我还以为是某黄金无敌玩家呢
8.012          1531809842.0    很恶心，很无耻哈
8.055          1531872640.0    哇，cabal
8.234          1531740407.0    摩力游
8.659          1531985792.0    摩力游？
8.762          1531871899.0    啊回忆啊
8.852          1531787971.0    惊天动地现在还有私服
8.866          1531840734.0    惊天动地
9.548          1531795567.0    我的世界玩家可以把深圳迷你公司砸了qwq
10.074         1531832948.0    我的魔剑士啊
10.892         1531912578.0    我不想知道怎么办
10.893         1531892348.0    惊天动地啊
11.011         1531756041.0    玩过
11.66          1531828723.0    我想到了蛋拐
12.097         1531926828.0    玩过
12.486         1531851293.0    玩过
13.167         1531915207.0    惊天动地
13.233         1531760895.0    没听说过，前辈们牛逼
13.393         1531754011.0    砸某讯
13.517         1531901432.0    永恒之塔
13.899         1531758558.0    砸了么
14.564         1531880691.0    我的惊天
14.594         1531892363.0    太出名了
14.76          1531785503.0    我什么时候能砸了米哈游。
15.041         1531823374.0    私服
15.715         1531752589.0    天美结局
16.236         1531758498.0    烂游戏！要人缝！烂游戏！要任缝！😂
16.332         1531839450.0    玩过，没多久没玩了
17.526         1531775693.0    这代理封号网站做成死亡笔记！！！弱治得一批
18.197         1531908647.0    竟然在b站看到了惊天动地
18.282         1531773236.0    敢不敢砸腾讯
18.713         1531902813.0    腾讯现在也乱封号了，敢不敢砸腾讯
18.826         1531837002.0    惊天动地私服我都玩了不少
19.267         1531905226.0    魔剑士
19.32          1531909846.0    支咐宝首頁捜索“86OO14”深藏功与名
19.844         1531892161.0    老子打个手游cf打的第一把匹配到的全是人机杀了40多个号给封了
19.936         1531894155.0    玩过，180级双剑了解下
22.134         1531854540.0    双刀天下第一，谁反对谁不客观
22.258         1531890843.0    我爆过摩托哈哈
22.959         1531796092.0    bgm？
23.415         1531904680.0    果然惊天动地
23.575         1531782159.0    小格拉虫
24.602         1531745927.0    玩过私服
25.299         1531906275.0    我的童年啊  扎心！
26.196         1531833759.0    什么时候才能去砸了米忽悠
26.499         1531758045.0    这个游戏画质没这么差吧
28.273         1531752272.0    这个角度好难受
28.813         1531809873.0    你们滚吧，恶心死了，
29.419         1531910179.0    我還造了一個周杰倫
29.914         1531814406.0    GTAol了解一下。。。
30.057         1531780945.0    蓝洞，封20万
31.413         1531805453.0    @世纪天成
31.484         1531818063.0    没有绝对的无辜，谁说的清楚哪些在演戏
31.922         1531765086.0    和蓝洞一个吊样
32.174         1531883253.0    @网易我的世界
33.029         1531793834.0    敢不敢砸腾讯
33.134         1531724916.0    111111111111
33.364         1531794925.0    我就说这游戏就没有了呢
34.64          1531886393.0    跟世纪天成的CSOL一样我就无缘无故的被封了
35.035         1531802104.0    无缘无故？我不信。
35.054         1531968490.0    这是个好游戏，可惜
35.374         1531899088.0    因挂被封怪游戏公司？？
35.602         1531840761.0    私服了解下
37.492         1531923028.0    敢
37.682         1531905244.0    海盗王，飞飞，惊天动地
37.75          1531811678.0    狗JB蓝洞公司了解一下
38.033         1531838698.0    我的有三个角色 狂战 魔剑 双剑 都是长老技能加星耀满级 
38.407         1531786419.0    ？？？三观歪了吧？
38.534         1531730176.0    然后魔力游就被砸了
38.664         1531934443.0    卧槽，还我惊天
39.566         1531835918.0    官方作死卖挂了解一下
39.75          1531790323.0    跟蓝洞一样
40.194         1531932723.0    腾讯有通告
40.819         1531828016.0    有没有人组团去砸腾讯
40.993         1531803029.0    也就是法律有漏洞人就可以肆意妄为了呗？
41.077         1531820261.0    敢不敢炸了蓝洞
41.339         1531931461.0    我吃鸡单排掉分都给我封号了，招谁惹谁了？
41.528         1531761753.0    这个是我玩过最后一款有脱机挂的游戏
41.541         1531756072.0    cabal当年画质数一数二的
41.597         1531901237.0    我考试作弊有错吗？谁让你们监考老师那么挫?居然这样对我
41.784         1531791105.0    不就是官方出的挂吗
41.853         1531860391.0    什么破逻辑...
41.892         1531762305.0    惊天动地？
42.38          1531882692.0    玩过
42.539         1531871290.0    DNF吗
42.714         1531824079.0    杠精↓
43.074         1531811082.0    @世纪天成
43.225         1531921910.0    好意思说公司
