排名：11
网址：https://www.bilibili.com/video/av26985487
更新时间：07-19
弹幕总量：5721
preciseTime    ofTime          comment
0.0            1531792145.0    关弹幕保智商
0.047          1531801371.0    20小时前
0.063          1531750402.0    标题boy
0.076          1531747465.0    6小时前！！！
0.08           1531791931.0    哦，是吗？
0.097          1531833611.0    达芬奇了解一下
0.179          1531741105.0    1
0.202          1531749432.0    达芬奇了解一下
0.277          1531895540.0    建议屏蔽了解一下观看
0.336          1531839298.0    哈喽大家好这里是中国BOY
0.395          1531739765.0    哦豁~
0.426          1531788675.0    看鬼畜了解一下！
0.512          1531740331.0    Wow,was,la,was,so,w
0.518          1531747700.0    六小时前
0.52           1531749797.0    前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前前
0.558          1531753183.0    七小时前
0.659          1531741494.0    达芬奇了解一下
0.762          1531748964.0    所以你玩不了
0.903          1531838362.0    卡了
0.939          1531836959.0    开头卡
1.038          1531825352.0    二周目科普，猩猩玩的爱因斯坦难度是不会传送回去的！
1.158          1531876481.0    各位观众 我提前提醒大家一下 在普通难度下选错了才会被传送回来 而在爱因斯坦难度下 每个门都可以进但是在最后会告诉你错了几个让你自己回去检查
1.19           1531743902.0    竟如此高智商,那么达芬奇呢?
1.194          1531740929.0    终于更新了
1.196          1531743874.0    五小时前20万之后了。。。
1.198          1531830313.0    贼卡
1.233          1531830541.0    看一秒卡四秒还行
1.281          1531803548.0    只有智商超过爱因斯坦才能看的视频
1.293          1531829395.0    卡
1.299          1531743475.0    达芬奇了解一下！！！！
1.361          1531758521.0    达芬奇了解一下
1.517          1531740805.0    2小时前
1.542          1531754170.0    怕不是
1.612          1531849943.0    一秒卡一下的我
1.75           1531968483.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
1.879          1531838413.0    卡成狗
1.899          1531909674.0    爱因斯坦要哭(๑•̀ㅂ•́)و✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.96           1531746942.0    达芬奇
2.099          1531839809.0    前方高能预警
2.158          1531825450.0    爱因斯坦难度下每扇门都可以走，但会在最后告诉玩家的选择的对错
2.16           1531740960.0    好久不见甚是想念
2.177          1531804265.0    boy达芬奇呢boy
2.18           1531748740.0    6小时前
2.2            1531742892.0    超级大沙发在此
2.229          1531741796.0    四小时前
2.24           1531889031.0    达芬奇啊！！！boy！！！达芬奇！！！
2.28           1531837547.0    达芬奇了解一下
2.32           1531977540.0    前排提醒：屏蔽关键词“达芬奇”！
2.363          1531794407.0    来了
2.413          1531757722.0    看完之后我觉得浪费了我16分50秒
2.439          1531833275.0    爱猩斯坦？
2.478          1531746925.0    同款衣服，快乐
2.509          1531745460.0    1
2.702          1531812295.0    看鬼畜了解一下
2.72           1531839321.0    你们不要担心这个游戏画面
2.725          1531750495.0    达芬奇了解一下！
2.793          1531749240.0    啊又是六...
2.816          1531899526.0    我想知道他们怎么做出这个游戏的
2.892          1531803845.0    那设计这游戏的都超过了。。。
