排名：27
网址：https://www.bilibili.com/video/av26985758
更新时间：07-21
弹幕总量：779
preciseTime    ofTime          comment
0.0            1532052148.0    我又回来了
0.163          1531853667.0    这个视频的踩点本强迫症患者觉得爽爆了
0.354          1531989583.0    欢迎回来
0.373          1531880072.0    欢迎回来
0.377          1532094113.0    大家好，我又来了
0.43           1532056425.0    放我出去！！！
0.44           1532028041.0    欢迎回来
0.46           1532140684.0    1.5倍速食用更佳哈哈哈哈哈哈哈
0.474          1532098203.0    欢迎回来！！！
0.491          1531859498.0    我回来了
0.511          1531878365.0    居老师终于有个可以看了，快来！
0.551          1531882788.0    欢迎回来
0.591          1532074434.0    放我出去啊啊啊放我出去啊啊啊
0.594          1531884568.0    真真是狙老师呀
0.621          1531883370.0    龙哥你一定要看阿阿阿啊啊
0.712          1531883498.0    欢迎回来
0.733          1531859642.0    欢迎居老师，请进请进
0.823          1532050630.0    欢迎回来
0.84           1531880663.0    每天10遍迟早药丸
0.845          1532167141.0    ……一直循环的我……发个弹幕停下来眨眨眼……
0.89           1531874994.0    当场去世
0.954          1531991345.0    我回来了
0.975          1531978998.0    下睫毛也好长啊
1.01           1531989459.0    让我看看发现了什么好东西！
1.141          1531879471.0    出不去！！！！！真的
1.194          1532060481.0    眼神杀呀！
1.228          1532019901.0    n刷，up主大神收下我的膝盖
1.251          1531852187.0    大家好，我给大家表演一个死去活来
1.285          1531913331.0    迷人的微笑
1.287          1531878155.0    任务已完成
1.316          1531873003.0    给你给你不就是硬币吗？都给你还不行吗
1.461          1531883096.0    普通好看朱一龙
1.501          1532053624.0    我为什么要点开这个视频
1.547          1531884378.0    今天第五遍
1.554          1531978590.0    任务不眨眼55秒
1.57           1531991744.0    出不去了。
1.621          1532039165.0    真美人，出不去了
1.631          1531885252.0    55秒挑战成功
1.634          1532091943.0    接下来我为大家表演55秒不眨眼
1.716          1532004220.0    欢迎回来
1.741          1531873656.0    真的出不去了，罚自己无期徒刑
1.773          1531880447.0    我成功了✔！没有眨眼！
1.794          1531937359.0    全员阵亡！！！
1.914          1531925383.0    不行了，快给我叫救护车...
1.973          1532131223.0    欢迎回来
1.991          1531967511.0    单人贡献一百次点击
1.996          1531978224.0    每天三刷
2.12           1531883849.0    放我出去！
2.136          1532132531.0    不娶何撩！！
2.171          1532097547.0    1.25自杀毒药
2.202          1532103123.0    终于看到高清版了
2.252          1532051528.0    我又回来了
2.255          1532080226.0    居居好帅
2.332          1531853785.0    踩点看的真爽
2.334          1531867955.0    嗷嗷嗷！！！
2.341          1531976757.0    我又回来啦1！
2.345          1532151059.0    1.5倍的你有毒，信了你的邪。
2.355          1532016336.0    再看一遍！
2.373          1532148765.0    也就看了这么几十次吧
2.389          1531849634.0    最后一遍！！！我保证！看完我就睡！！！！！
2.394          1531870924.0    优秀
2.412          1532078453.0    n刷
2.539          1532108763.0    我死噜
2.546          1532008712.0    又回来了hhh
2.577          1532013657.0    求bgm！
2.658          1532050637.0    欢迎回来
2.66           1531877771.0    火钳刘明
2.697          1532063649.0    我又肥辣辣~
2.711          1531882955.0    成功接受任务
2.714          1532054624.0    大家好我又回来了
2.831          1532061760.0    我又来了
2.865          1532074296.0    我又回来了狙老师
2.874          1531855099.0    我能舔无数遍
2.894          1532064784.0    大家好我又回来了
2.905          1532152057.0    我回来了
2.975          1532148307.0    就这个视频踩点最爽了出不去了
2.998          1532067391.0    又见面了
3.0            1531851180.0    交封不杀！！！
3.02           1532141653.0    我真的再看两遍就出去！
3.113          1532099954.0    觉得0.5倍速更a只有我一个人吗？
3.129          1532084826.0    给大家表演一个反复去世
3.212          1532046694.0    好好啊
