排名：24
网址：https://www.bilibili.com/video/av26986710
更新时间：07-19
弹幕总量：2073
preciseTime    ofTime          comment
0.0            1531812181.0    瓜瓜！！！
0.097          1531749384.0    仙儿
0.104          1531752032.0    萧音弥漫，忆梦思君，情意绵绵，ALEX
0.134          1531848727.0    三哥  三哥
0.25           1531977376.0    前奏好像拜无忧呀
0.297          1531752942.0    表白作词作曲！！！
0.318          1531742314.0    表白仙儿
0.335          1531744017.0    晚了晚了表白仙儿
0.387          1531746421.0    表白仙鹅
0.402          1531784491.0    不是风动，是心动❤
0.453          1531810580.0    表白瓜瓜！！
0.878          1531755847.0    前排表白瓜瓜！！！！
0.945          1531810624.0    挂线大法好！
1.017          1531929599.0    承包瓜瓜，后面都是小号
1.31           1531916878.0    表白仙儿和瓜瓜！
1.381          1531836747.0    表白瓜瓜
1.494          1531856848.0    果然升key了 
1.585          1531906993.0    排骨在路上
1.609          1531740443.0    表白仙儿
1.671          1531930090.0    不，是你的心在动
1.817          1531742344.0    讲真，1.5倍挺好听的
2.289          1531757646.0    不，是心劫
2.435          1531880545.0    表白仙儿和瓜瓜！
2.466          1531810596.0    瓜瓜！！
2.468          1531917634.0    表白仙儿!
2.477          1531891638.0    不是幡动，不是风动，是心动
2.716          1531755861.0    瓜瓜！！！！！！！
2.778          1531840668.0    大家好我回来了
2.889          1531742011.0    表白西瓜
2.922          1531804093.0    7.17的13:07分有520个人在陪我一起看！！
3.024          1531805490.0    最近是怎么了！！！！！我好高兴！
3.033          1531749427.0    啊啊啊啊
3.098          1531744687.0    前奏有点像拜无忧开头
3.218          1531794211.0    河图！！！！
3.245          1531808044.0    tu
3.398          1531794192.0    表白全员
3.402          1531762781.0    唉唉唉唉唉唉唉唉唉
3.444          1531887604.0    表白瓜瓜
3.531          1531741586.0    来了
3.76           1531800529.0    来了
3.889          1531751961.0    萧音弥漫，忆梦思君，情意绵绵，ALEX
4.197          1531915221.0    【 表白作词择麻麻  熟稔用典，又不显得堆砌辞藻 】
4.354          1531794000.0    表白俩人，表白瓜瓜🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉
4.428          1531774130.0    我的小号们来了
4.658          1531755317.0    是心动
4.763          1531829450.0    好听好听
4.801          1531827938.0    表白仙儿
4.831          1531809457.0    既然你们都在表白瓜瓜和仙儿，那我就把作曲带走了！！！
5.023          1531740955.0    啊啊啊啊啊啊啊
5.116          1531740677.0    仙仙啊
5.298          1531824692.0    表白瓜瓜
5.361          1531743339.0    美妙
5.465          1531743357.0    我又来了
5.489          1531821026.0    表白两人
5.56           1531982704.0    排骨终于不绿了！
5.621          1531744534.0    表白仙儿
5.683          1531742347.0    前排抱走瓜瓜和仙儿
5.701          1531740844.0    打call
5.741          1531875904.0    有来了我
5.928          1531746563.0    妈耶！！！！！！！！！！！！
6.07           1531745337.0    表白瓜瓜
6.08           1531745397.0    。
6.12           1531898678.0    来了来了
6.128          1531804998.0    我瓜！！！！
6.201          1531746093.0    表白瓜瓜！
6.203          1531797151.0    我又来了！
6.302          1531748841.0    表白瓜瓜
6.425          1531914167.0    表白瓜瓜表白仙儿
6.608          1531792550.0    表白瓜！！
6.678          1531754942.0    啊啊啊啊
6.745          1531755452.0    瓜瓜瓜瓜>3<
6.914          1531755089.0    仙儿！！！！！！！！
6.928          1531750729.0    天啦
6.95           1531829446.0    不是风动，是我的心在动♡
7.021          1531931522.0    表白萧忆情
7.141          1531754905.0    表白瓜瓜和仙儿!两个男神终于又合唱辣(๑Ő௰Ő๑)
7.304          1531753026.0    是心动！
7.35           1531748409.0    表白瓜瓜！！！！
7.381          1531823128.0    表白瓜瓜
7.466          1531833483.0    是心动
7.616          1531812955.0    纵有似水流年，长生只愿与瓜
7.65           1531745809.0    是风动还是幡动，不，是我心动
7.677          1531916774.0    支咐宝首頁捜索“86OO14”低调别黄了
7.696          1531800014.0    拜无忧？？？？？
7.744          1531806840.0    是心动
7.767          1531740515.0    一小时前
7.772          1531743992.0    最喜欢的歌
7.795          1531741899.0    瓜瓜
7.974          1531747662.0    表白两位！耳朵怀孕
8.023          1531874478.0    来了
8.075          1531782768.0    心动的声音
8.12           1531809579.0    必须表白瓜瓜
8.181          1531903898.0    西瓜仙🍉
8.194          1531915312.0    表白瓜瓜仙儿！！！
8.24           1531750645.0    是心动啊
8.253          1531745168.0    表白仙儿
8.279          1531813271.0    心动的感觉
8.36           1531888120.0    表白仙儿瓜瓜！
8.462          1531748289.0    表白瓜瓜
8.48           1531745184.0    啊啊！！！瓜瓜和仙儿啊！！！！
8.487          1531752433.0    表白瓜瓜
8.503          1531741861.0    仁者心动
8.52           1531741697.0    啊啊啊啊
8.577          1531741224.0    超喜欢这首歌！！！
8.672          1531832642.0    瓜瓜
8.674          1531749737.0    表白星际网红瓜
8.691          1531799477.0    表白仙儿
8.78           1531809724.0    就我感觉有一点像拜无忧嘛。。。
8.782          1531830771.0    ！！！！！！！！！！！！
8.8            1531846296.0    ⊙∀⊙！不一样的调调
8.851          1531746758.0    瓜瓜我来啦！！！
9.027          1531898251.0    是我心动
9.277          1531771057.0    好听诶
9.296          1531831580.0    超爱这首歌！
9.339          1531744061.0    不是风动，不是幡动，仁者心动。
9.463          1531896270.0    V信公众号qltx678有肉番资源
9.655          1531918215.0    表白仙儿瓜瓜
9.755          1531922026.0    前奏像拜无忧
9.861          1531845598.0    这个前奏……
9.905          1531798775.0    仙儿
9.945          1531750324.0    是我心动。
10.251         1531782712.0    emmm前奏好像拜吴悠哇…
10.269         1531754465.0    表白瓜瓜！
10.286         1531742596.0    表白仙儿，瓜瓜
10.341         1531770260.0    是幡动，是风动，是我心动。
10.396         1531745066.0    瓜瓜仙儿
10.4           1531743752.0    表白我仙我瓜
10.427         1531748713.0    表白瓜瓜
