排名：85
网址：https://www.bilibili.com/video/av26994635
更新时间：07-19
弹幕总量：990
preciseTime    ofTime          comment
0.0            1531973019.0    233
0.1            1531910092.0    蛊惑女仔这个名字起的好
2.414          1531983049.0    悄悄告诉你，你被官方盯上了😂
2.484          1531901139.0    标准开头
2.511          1531969461.0    你被官方盯上了
2.705          1531915737.0    2333
3.489          1531762477.0    优雅23333
4.288          1531879099.0    哈哈
4.682          1531752142.0    优雅？！你个屎*系同个口调转嘎
4.774          1531835121.0    股滑女仔2333
4.832          1531912769.0    有木有高能
5.359          1531991305.0    1001
5.862          1531820473.0    nga好评
6.181          1531748281.0    喔好咸湿啊
7.42           1531756373.0    更新拉！扑街
8.141          1531870905.0    一路向西还行
8.594          1531879178.0    湛江话西游记，请！
8.816          1531891017.0    薇雯微博来的
9.156          1531848011.0    ？？？？
9.166          1531970893.0    好卡啊！！！！！！
9.733          1531753934.0    死咯 一路向西
9.798          1531991139.0    支付寳首页搜索5l342l732，真的不用谢我
10.044         1531988067.0    西游记BJM 哈哈哈哈哈
10.071         1531799679.0    不雅用语
11.04          1531761379.0    被剪哈哈哈哈
11.267         1531929039.0    蛤蛤蛤香港人表示这真的很标准了
11.271         1531924732.0    没事没事，反正我妈又听不懂
12.281         1531746656.0    广东人表示很喜欢
12.953         1531905270.0    TVB西游记BGM耶！
13.045         1531971329.0    哈哈哈哈哈剪了还行
13.657         1531873319.0    233
14.034         1531841415.0    இwஇ我谂起dk了
14.381         1531877215.0    西游记bgm!我顶！
14.692         1531902757.0    西游记
14.894         1531802468.0    忽然想去
15.077         1531930001.0    期待
15.193         1531746024.0    西游记
15.319         1531981527.0    西游记啊慢慢的童年回忆
15.348         1531846227.0    古装剧惯用BGM 233333
15.713         1531974239.0    悟空空的bgm
15.741         1531913684.0    不行了，好怀念呀
15.763         1531751451.0    TVB西游记的旁白风格233333
15.78          1531745612.0    bgm法术乌魔多
15.843         1531872856.0    齐天大圣孙悟空！！
16.574         1531762816.0    西游记哈哈哈哈
16.636         1531863586.0    张卫健的西游记？！好怀念啊
16.929         1531756343.0    哈哈哈哈哈，好熟悉的bgm
17.134         1531793825.0    张卫健版西游记配乐
17.228         1531748340.0    阿更新拉，POOR GUY
17.261         1531756828.0    西游记旁白
17.314         1531802479.0    忽然想起567
17.412         1531881489.0    双字幕好评
17.491         1531907427.0    TVB版本西游记的背景音乐！！！！
17.674         1531757709.0    这个BGN绝了，TVB首选
18.166         1531973538.0    噗噗噗，听着就想笑
18.43          1531746959.0    2333好亲切啊
18.59          1531917678.0    BGM
19.509         1531799693.0    麦玲玲！
19.686         1531887829.0    这bgm很出戏啊 老想到张卫健 那版西游记很棒呀
19.732         1531768341.0    张卫健版西游记 好亲切的bgm
19.916         1531846614.0    西游记！！！！
20.118         1531746961.0    233333
20.562         1531863979.0    算命还行
22.126         1531746287.0    大话西游233333
23.045         1531893641.0    麦玲玲！
23.502         1531935209.0    更新啊扑街
23.918         1531989481.0    233333333333333333
24.954         1531746036.0    666
25.435         1531926527.0    2333333333333
25.577         1531878583.0    配乐满分
25.704         1531915777.0    23333
26.091         1531980519.0    西西游记、、、、
26.201         1531745847.0    BGM太六
26.493         1531987472.0    啊哈哈
26.795         1531758735.0    全部都可以形容XJ
26.869         1531917702.0    23333
26.94          1531926040.0    2333333
27.557         1531747444.0    啊？？？
27.76          1531801364.0    麦玲玲
28.53          1531835776.0    666666
28.562         1531920357.0    天地争霸美猴王
28.617         1531899758.0    笑死
29.401         1531970305.0    睇相！
29.604         1531806024.0    bgm233333333
31.873         1531933819.0    有小姐姐
32.438         1531746181.0    全r警告
32.686         1531927593.0    学粤语，喜欢
32.881         1531970769.0    233333333333
33.001         1531873025.0    毫无违和感
33.55          1531890902.0    66
33.677         1531890390.0    注意，是他们。。。
33.91          1531893124.0    2333333
34.932         1531970689.0    普通话用语和粤语用语对照字幕好评
36.212         1531785932.0    xj对麦玲玲是真爱啊
36.734         1531906165.0    海阔以偶
37.213         1531898390.0    真•PPT
37.618         1531759533.0    样衰，不用解释也该知道是什么意思了吧...
37.706         1531808853.0    他？！
41.235         1531929164.0    點解唔叫蠱惑妹 lol
41.333         1531750544.0    配音好评
42.373         1531747107.0    张卫健版西游记
45.602         1531967651.0    bgm好评！
45.894         1531975110.0    长得太帅
45.996         1531746986.0    死肥宅没有爱情再见
46.233         1531746989.0    23333333
46.528         1531971321.0    支咐宝首頁捜索“86OO14”这么讲究吗
46.633         1531846265.0    字幕搞事情！！！！
48.34          1531924775.0    有人来拍照要记得插袋！
48.81          1531757174.0    以为我听不懂粤语？字幕错了
49.075         1531752435.0    麦玲玲
49.36          1531748088.0    浮夸233333
49.519         1531897301.0    广东人的胜利
49.523         1531916646.0    233333
50.159         1531802059.0    哈哈哈哈哈哈哈浮夸
50.554         1531889021.0    2333333
50.858         1531757402.0    最近up好中意Eason啊哈哈哈哈好开心啊
51.034         1531974291.0    陈奕迅:我啥时候教过
51.224         1531915715.0    666
51.302         1531976659.0    唔系叫影相咩？
51.406         1531893764.0    要人来拍照要记住插袋
51.624         1531745659.0    大娱乐家
52.327         1531936863.0    这BGM...
52.351         1531881559.0    浮夸
52.466         1531792603.0    有人来拍照要记住插袋
52.794         1531878634.0    陈奕迅的浮夸
53.013         1531846122.0    有人来拍照要记住插袋～
53.264         1531915804.0    233333
53.563         1531966255.0    陈先生教过23333
54.49          1531792921.0    样问题
54.524         1531981567.0    哈哈哈哈浮夸的歌词
54.948         1531747004.0    2333333333
55.293         1531928333.0    2333333
55.705         1531782191.0    233333333
56.471         1531899682.0    本妖都人打卡
57.274         1531790003.0    hhhhh从广州过来
58.075         1531873192.0    xj好多女朋友啊
59.127         1531787689.0    听成看鸟了23333
59.297         1531866715.0    2333333333333333333
59.873         1531925944.0    麦玲玲警告
60.338         1531850300.0    233333333333333333
61.028         1531878738.0    给广州打call？？？？？
61.039         1531896217.0    啊哈哈哈哈哈哈哈
62.586         1531792414.0    麦玲玲
63.133         1531971338.0    支咐宝首頁捜索“86OO14”你是对的人
63.731         1531970030.0    嗯？（察觉）
63.982         1531751447.0    ん？
64.074         1531917743.0    ん（察觉）
64.979         1531748167.0    嗯❓
65.096         1531920392.0    哈哈哈哈哈哈
66.338         1531837208.0    没你滴好果汁吃
66.453         1531919086.0    ん？
66.551         1531836408.0    ん？
66.884         1531758347.0    ん？
67.113         1531849364.0    这什么(ﾟoﾟ;
67.627         1531912221.0    小火汁哈哈哈哈
67.778         1531750594.0    你“条友”洗得干净（滑稽）
67.837         1531917762.0    ん（察觉）
68.794         1531786763.0    人妖都是homo(暴論)
68.906         1531915820.0    23333333
69.576         1531871759.0    广东人都知道翻译不大对……
72.613         1531897897.0    666666666
72.987         1531926086.0    23333333
73.114         1531841476.0    哈哈哈哈
73.919         1531929197.0    點解唔叫蠱惑妹
74.033         1531973744.0    哈哈，听得懂广东话笑死了
75.85          1531747437.0    我好兴奋啊！！！
76.765         1531746317.0    掌纹连浓硫酸都洗不掉，别问我为什么会知道
77.093         1531970001.0    23333333333333333333333333
77.154         1531886831.0    233333
77.954         1531877341.0    用逆王水试试吧
78.376         1531807864.0    剧组系真系穷啊，块面整成甘果样
78.467         1531971167.0    哈哈哈哈哈哈哈哈
78.744         1531898119.0    粤语真心听不懂
78.754         1531747495.0    师父？
82.299         1531875676.0    字幕好评
82.497         1531934070.0    23333
82.557         1531925949.0    拜见教主！！！！！！！！！！！！！！！！！！！
83.035         1531918404.0    睇条铁哈哈哈
84.312         1531885710.0    点解嘎
85.708         1531990072.0    佛山人路过
85.783         1531882484.0    ........
86.524         1531975186.0    故意的翻成这样的
86.811         1531834806.0    佛山风评被害
87.572         1531748525.0    黄子华
87.808         1531898586.0    哈哈哈哈徐子珊
88.13          1531963062.0    傻的吗
88.694         1531758757.0    好叻啊∠( ᐛ 」∠)＿
88.841         1531802193.0    黄子华
88.899         1531745737.0    点解嘅
88.958         1531919349.0    MY盛lady
90.74          1531891631.0    爱因斯坦：？？？
90.914         1531888114.0    好冷
91.11          1531969566.0    黄子华2333
91.292         1531970309.0    黄子华
91.426         1531789670.0    神经病啊哈哈哈哈
91.773         1531927577.0    佛山大沥打卡∠( ᐛ 」∠)_
91.852         1531745508.0    真系噶？点解嘅？你好叻啊～聊天百用技巧
92.754         1531759616.0    哈哈
92.978         1531985309.0    2333333333333333333
93.111         1531750871.0    黄子华my盛lady
93.114         1531902488.0    台词讲究
93.154         1531761150.0    哈哈哈哈哈哈哈哈哈！扑街我敢肯定灵感来自my盛lady徐子珊！
93.536         1531875526.0    23333333333333333333333333
93.602         1531887913.0    黄子华梗
93.639         1531753191.0    hhhhmy 盛lady的台词
93.772         1531981644.0    敷衍～
93.79          1531801810.0    烂gag
94.003         1531882522.0    系好叻ehhh唔系 好叻了😂
94.007         1531978369.0    其实呢三句系喺森美嘅talk show出嚟嘅~并唔系黄子华梗
94.58          1531885019.0    哈哈哈哈哈哈哈哈
94.682         1531906015.0    哈哈哈哈哈哈哈哈
95.559         1531968481.0    my 盛lady23333
96.581         1531918410.0    你好叻叻猪啊
96.607         1531973799.0    23333333333333333333333
96.674         1531920424.0    哈哈哈哈哈哈哈
96.859         1531919872.0    孔雀开瓶
97.413         1531975654.0    这个哈哈 xswl
97.716         1531810546.0    ....
97.818         1531747047.0    好冷啊
98.103         1531947426.0    哈哈哈哈
98.217         1531930085.0    这表情。。。
98.323         1531756598.0    哈哈哈哈或
98.632         1531752268.0    23333
99.039         1531846693.0    哈哈
99.131         1531936910.0    哈哈哈哈
99.149         1531751724.0    黄子华
99.29          1531893190.0    hhhhh
99.782         1531916068.0    66666
99.946         1531875694.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
