排名：20
网址：https://www.bilibili.com/video/av27011605
更新时间：07-21
弹幕总量：1143
preciseTime    ofTime          comment
0.0            1531929976.0    出不去了
0.04           1532001722.0    欢迎回来
0.067          1531994152.0    额为额
0.159          1532081936.0    建议屏蔽关键表情💃
0.977          1532073981.0    完了，我出不去了，看了十三遍了。。。
1.024          1532011544.0    我是l嘉怡 我已经报警了！！！
1.205          1532083594.0    刘明
1.349          1532045602.0    每日一刷
1.381          1531934251.0    火钳刘明
1.609          1532005849.0    锦依卫在此
1.641          1531994659.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
1.792          1532014356.0    欢迎回来
1.843          1531960617.0    1.5倍
2.183          1532003613.0    ⎝≥⏝⏝≤⎠⎝≥⏝⏝≤⎠⎝≥⏝⏝≤⎠⎝≥⏝⏝≤⎠⎝≥⏝⏝≤⎠
2.254          1532005639.0    1.25倍开始
2.315          1532064156.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
2.53           1531993849.0    标准开头
2.544          1531958812.0    标准开头
2.56           1531975058.0    火钳刘明
2.6            1531956751.0    火钳刘明
2.644          1531973754.0    我是Momoland经纪人，我已经报警了
2.656          1532010734.0    欢迎回来
2.825          1531969607.0    欢迎回来
3.011          1532002855.0    我也就看了，100遍而已。
3.072          1531937446.0    六啊
3.073          1532006992.0    强烈建议1.25倍速
3.22           1532084354.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
3.584          1531975317.0    火钳刘明
3.596          1532155621.0    建议打开洗脑模式
3.64           1532011365.0    吴jianhao，李yujie我知道你们在看
3.827          1532087879.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
3.901          1531981573.0    每天一遍
3.928          1531987512.0    就没有我燕小六不会吹的
4.022          1532000399.0    火钳刘明
4.267          1532095534.0    卡
4.277          1532003190.0    第四遍
4.289          1531994371.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
4.481          1531962854.0    6啊。。。
4.545          1532014231.0    。。
4.607          1531979814.0    hi
4.68           1532084360.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
4.92           1532009824.0    火钳刘明
4.928          1531982244.0    qoq
5.064          1531993764.0    吹个什么玩意儿
5.1            1532024067.0    火钳刘明
5.152          1531994449.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
5.341          1531927960.0    欢迎回来
5.376          1531964968.0    二刷
5.661          1531984008.0    欢迎回来
5.781          1532018365.0    这吹的什么玩意？
6.06           1532016881.0    摇就完事了
6.104          1531964840.0    火钳刘明
6.144          1532019836.0    出不去了
6.162          1532074032.0    快跑
6.179          1532135074.0    👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯👯💃👯👯👯👯👯👯👯👯👯👯👯👯💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
6.241          1531981116.0    6啊
6.299          1531958885.0    开口脆
6.341          1531995032.0    加了特技
6.553          1531999179.0    出不去了啊
6.681          1531974273.0    火钳刘明
6.961          1532111305.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
6.999          1531922701.0    简介瞩目
7.062          1531990015.0    跳下去了
7.168          1532019774.0    硬核蹦迪
7.196          1531995782.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
7.302          1531975064.0    刘明
7.362          1532111506.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
7.368          1531998841.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
7.4            1531988974.0    火后刘明
7.412          1532002821.0    报告非凡哥
7.5            1531957285.0    每天来一遍
7.715          1532008851.0    ┗|*｀0′*|┛
8.002          1531993864.0    标准开头
8.46           1532102249.0    这是一个洛天依误入鬼畜区最终学会蹦迪的悲伤又感人的悬疑科幻故事......
8.491          1532064162.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
8.519          1532137329.0    没有我燕小六不会吹的曲子
8.52           1531955744.0    交给我了!
8.641          1531977414.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
8.649          1531937115.0    火钳刘明
8.878          1532079418.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
8.898          1531975677.0    1112
8.902          1532076870.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
8.94           1531941473.0    火钳刘明
9.101          1531990035.0    跳下去了
9.499          1531980017.0    23333
9.518          1531941023.0    跳下去了
9.557          1531967402.0    火钳刘明
9.602          1532005354.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
9.689          1532010436.0    1.25倍新世界
9.69           1531923066.0    这里笑死了哈哈哈
9.748          1532014924.0    没有我燕小六吹不了的曲子
9.838          1531979334.0    这里笑死
10.001         1532010725.0    [48,24,"1-1",5,"我龙哥不信",22,20,449,426,500,0,1,"SimHei",true]
10.02          1531970337.0    交给我了
10.066         1532011623.0    互粉吗我id海棠大表哥
10.411         1532007892.0    回来了，不用欢迎
10.476         1531999650.0    火钳刘明
10.576         1531970363.0    蹦不就完事儿了吗
10.785         1532002998.0    好的
10.982         1532052489.0    标准开头
11.09          1532069307.0    哈哈哈哈哈哈哈哈哈哈哈哈
11.139         1532074035.0    跳下去了
11.229         1532005139.0    笑死
11.264         1531975328.0    哈哈哈哈
11.276         1532082371.0    501
11.313         1531926601.0    🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺🎺
11.342         1531964586.0    23333333
11.776         1531982254.0    qoqo
11.821         1531980000.0    有请燕小六上场
12.179         1531928245.0    开炮！！
12.318         1531968682.0    没我燕小六不会吹的曲子
12.326         1531966115.0    没有他不会的
12.33          1531988510.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
12.373         1532072398.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
12.507         1531975069.0    火钳刘明
12.553         1531984618.0    哈哈哈
12.71          1532092518.0    搞基蛋木合影
13.038         1532065782.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
13.05          1531967501.0    就没有我燕小六不会吹的曲子
13.094         1531967497.0    成熟的作品，加油加油
13.14          1531964781.0    欢迎回来
13.312         1531999853.0    画质可以
13.38          1532092734.0    就没有我燕小六不会的曲子
13.41          1531977872.0    就没有我燕小六吹不出来的曲子
13.441         1531946233.0    N遍了
13.443         1531994538.0    不是hop，差评
13.458         1531976620.0    火钳刘明
13.473         1532000840.0    ▂▃▄▅▆▅▄▃▂▂▃▄▅▆▅▄▃▂▂▃▄▅▆▅▃▂▄▅▆▅▄▃▂▂▃▃▄▅▆▅▄▃▄▅▆▅▄▃▂▂▃▂▂▃▄▅▆▅▄▅▆▅▄▃▂▂▃
13.511         1531944224.0    💃💃💃💃💃💃💃💃💃💃
13.521         1531966926.0    已打开无脑循环模式
13.539         1532011355.0    💃💃💃💃🏊🏊🏊🏊💃💃💃💃💃💃
