排名：98
网址：https://www.bilibili.com/video/av27015140
更新时间：07-19
弹幕总量：495
preciseTime    ofTime          comment
0.125          1531754774.0    一小时前
0.127          1531832692.0    阿晨，我爱你
0.468          1531797852.0    另两大难题是什么呢？
0.519          1531752367.0    来了来了
1.04           1531899280.0    来啦
1.164          1531775545.0    .
1.283          1531755629.0    夜食记
1.388          1531753081.0    一小时前
1.501          1531756736.0    夜食记
1.522          1531755296.0    夜食记
1.578          1531753284.0    一小时 五万一 喵喵喵？？？？
2.001          1531799429.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.262          1531765091.0    啊啊啊夜食记
2.431          1531753861.0    来了来了
2.442          1531756815.0    夜食记
2.527          1531763651.0    咦 夜食记
2.563          1531752317.0    哇，喜欢这期的BGM
2.625          1531757064.0    每到深夜，美食UP主就露出他们丑恶的嘴脸
2.706          1531780602.0    来了来了来了
2.898          1531755311.0    夜食记
3.028          1531754190.0    看到我你就5•7万后
3.142          1531757534.0    夜食记
3.181          1531756017.0    夜食记
3.224          1531753716.0    名副其实——夜食记
3.562          1531757499.0    夜食记。
3.579          1531754012.0    一小时前
3.643          1531755288.0    夜食记
3.661          1531810371.0    夜食记
3.795          1531890426.0    夜食记
3.796          1531754810.0    1小时前！！啊啊啊啊啊！
3.803          1531918951.0    夜食记
3.963          1531755196.0    夜食记
3.979          1531755367.0    酥饼大人
3.986          1531753002.0    一个小时前
4.162          1531753237.0    夜食记
4.266          1531783746.0    酥饼你不是活在游戏里的猫吗
4.393          1531757105.0    夜食记
4.513          1531755715.0    夜食记跟虾过不去，还跟半夜饿得心慌的我过不去
4.541          1531756894.0    夜食记又来了！
4.641          1531762259.0    夜食记开始了
4.661          1531753780.0    夜食记
4.669          1531757760.0    夜食记
4.76           1531753536.0     夜食记
4.781          1531773648.0    夜食记
5.076          1531752809.0    夜食记！！
5.247          1531762116.0    夜食
5.302          1531754188.0    啦啦啦啦
5.482          1531757790.0    两小时
5.564          1531758313.0    夜食记
5.683          1531763773.0    呵，夜食记
5.74           1531755193.0    欢迎在b站收看梅西做饭
5.933          1531812181.0    夜食记
5.991          1531755642.0    夜食记
6.101          1531886282.0    夜食记
6.119          1531752981.0    明天飞思卡尔智能车比赛，祝我好运吧
6.134          1531811334.0    1
6.359          1531753227.0    夜食记
6.467          1531754202.0    咦咦咦！
6.639          1531755507.0    深夜自杀现场
6.752          1531752366.0    一小时前！
6.8            1531829023.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
6.963          1531764236.0    来了！
6.969          1531800647.0    来了来了
7.126          1531756937.0    夜食记
7.262          1531767379.0    夜食记
7.276          1531754027.0    一小时前，不错，夜食记
7.38           1531752729.0    难得这么前！
7.443          1531752546.0    你是恶魔吗
7.465          1531766092.0    夜食记
8.282          1531838972.0    终于等到你！！
8.497          1531752573.0    夜食记，哼唧，又要让我吃胖或馋哭了，手动滑稽
8.575          1531762164.0    夜食记
8.621          1531756683.0    期待的终于来了
8.674          1531755704.0    啧，饿了
8.773          1531752778.0    一小时前！
8.868          1531761776.0    三小时前
8.88           1531753779.0    不想吃晚饭看见这个饿了。。。
9.206          1531761807.0    前1000！
9.341          1531752544.0    夜食记
9.581          1531753998.0    怎么了
9.591          1531753557.0    哦，可恶的椰子鸡。
10.042         1531816234.0    夜食记
10.113         1531752813.0    一小时前
10.188         1531843976.0    发现多特粉！！！！
10.213         1531800678.0    来啦
10.218         1531753646.0    一小时！
10.238         1531755933.0    两小时前
10.479         1531757277.0    来早了
10.49          1531834042.0    老刀射门
10.653         1531755550.0    2小时前
10.748         1531819784.0    dd
10.879         1531803004.0    夜食记
10.88          1531784937.0    md截图给谁看
10.986         1531782422.0    越来越短
11.042         1531752392.0    求BGM
11.12          1531810785.0    一天前
11.122         1531754561.0    一小时前
11.22          1531820823.0    虾🦐你吃，球衣我要了
11.302         1531754914.0    夜食记
11.356         1531757565.0    老刀好帅
11.381         1531755399.0    夜食侠
11.426         1531754651.0    夜食记
11.708         1531841463.0    前一千？？？
11.74          1531755222.0    夜食记
12.089         1531804043.0    我来了
12.661         1531782405.0    法国队
12.72          1531851551.0    饥饿
12.891         1531760993.0    夜食记
12.893         1531759329.0    偷偷承包我阿根廷德国的球衣
13.129         1531752307.0    嗷嗷嗷啊
13.302         1531804470.0    bgm是什么
13.442         1531760336.0    看到我已经是8.4万之后了
13.48          1531754169.0    深夜作死环节
13.881         1531756156.0    6324
14.278         1531805451.0    2333333333
14.38          1531791815.0    惊了
14.622         1531849743.0    所以我为什么大半夜点进来
14.731         1531803734.0    为什么我老是黑屏
14.795         1531757452.0    夜食记
