排名：61
网址：https://www.bilibili.com/video/av27018046
更新时间：07-21
弹幕总量：1734
preciseTime    ofTime          comment
0.459          1531929860.0    太棒了呜呜呜
0.573          1531830508.0    结局厉害了，万万没想到，你是这样的up主
0.68           1531906650.0    躺床上眼泪流耳朵里了55555
1.0            1531795003.0    兜兜转转又粉了同一对cp
1.118          1531756003.0    又见榴莲，和我喜欢的两位哥哥，感动ing
1.241          1531973142.0    重新来开头表白真的太厉害了
1.382          1531989504.0    百鬼夜行抄！我超级喜欢的！
1.421          1532086074.0    啊啊啊啊啊啊啊啊啊最爱的百鬼夜行抄！！！超有感觉的纯音！！！阿婆主我爱你！！！
1.45           1531967024.0    看到结局啊我的天呐！！！！！！！
1.811          1531820868.0    ❤
2.01           1531979213.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
2.02           1531970181.0    二刷回来
2.73           1531980019.0    又和太太在一个坑里了呜呜呜
3.181          1531846537.0    从结尾回来再看一遍我就睡觉！
3.199          1531786570.0    二刷
3.261          1532165855.0    啊啊啊啊啊啊啊
3.281          1531968408.0    从结尾回来，up人才！
3.328          1531967039.0    我本人真相现场啊啊啊啊啊啊啊啊
3.46           1531911568.0    榴莲大大
3.522          1531992671.0    结尾回来的 眼泪不值钱
3.669          1531800709.0    榴莲大大回来了 我也来了
4.01           1531907289.0    从结尾再回来，暴哭
4.266          1531908395.0    从结尾回来的我一个爆哭
4.409          1531805439.0    又和榴莲粉了同一对
4.478          1531807138.0    二刷
4.499          1531920583.0    我又和太太喜欢了同一对cp!真的很开心能再次见到您!
4.567          1531845487.0    我又来了
4.608          1531831880.0    万万没想到我当年看了一万遍都陆地up又跟我一样入了巍澜
4.738          1531754941.0    失踪人口回归！
4.778          1531822288.0    从头再来一遍
4.86           1531968444.0    最后那里真的戳到我！哭死了
4.956          1531962483.0    谢谢阿婆主！16分钟极其良心！在这也要吹爆两位老师演技
5.02           1532165875.0    啊啊啊啊啊啊啊啊
5.277          1531979020.0    所有的相遇，都是久别重逢，以前的同伙，现在的镇魂女孩儿们，爱你们!
5.639          1531978478.0    我去这个进度条
5.841          1531919221.0    又回来了
5.973          1531882802.0    又和榴莲在一个坑里
6.058          1532141866.0    再来一遍
6.485          1531924550.0    进度条是认真的？
6.926          1531786584.0    我回来了
7.237          1531906696.0    来了！
7.482          1531756385.0    榴莲！
7.619          1531965026.0    再来一遍
7.663          1531754917.0    来了！
7.778          1531754966.0    今天起我们都是镇魂女鬼
8.06           1532051901.0    来吃原著
8.921          1531919232.0    神仙剪辑
8.961          1532001857.0    又在一个坑
8.964          1531970388.0    一定要看到结尾！
9.201          1531913339.0    二刷来投币～表白！
9.238          1531966571.0    同陆地入巍澜！前面别走带我一个
9.285          1531928111.0    嘿嘿嘿，爬完一个坑又到同一坑
9.44           1531831544.0    进度感人
9.759          1531872364.0    还没日康N
9.821          1531932179.0    从微博跑来
9.932          1531903410.0    二刷
10.065         1531934047.0    二刷
10.155         1531916839.0    又和榴莲相遇了 相隔一年 恍如隔世 呜呜呜呜呜呜
10.325         1531967863.0    啊啊啊啊百鬼夜行抄啊
10.387         1531837628.0    剪的太棒了
10.602         1531917754.0    同曾经陆地！别走
10.78          1531904233.0    百鬼夜行抄？
11.055         1531979730.0    进度条感人
11.861         1531921551.0    原著原著！！激动！
11.928         1531905810.0    太赞了
12.032         1531963017.0    大大我来了
12.074         1531799948.0    这个频很温柔啊～up主一定是个很温柔的人
12.32          1531919264.0    结尾是准备要我命的
12.544         1531972743.0    又见榴莲大大
12.842         1531970762.0    我回来了
12.887         1531754986.0    榴莲欢迎回来啊啊啊啊啊
12.912         1532068009.0    被进度条吓到 好良心
12.959         1531872394.0    还没看完，先为阿婆主投币！
13.158         1532007504.0    ❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀
13.235         1531802662.0    榴莲太太！！
13.319         1532097333.0    卧槽16分钟  我我我…膝盖呈上
13.454         1531971477.0    什么电视？？？？？？求解
13.559         1532165883.0    每天一看
13.568         1532002790.0    这个进度条是真实存在的吗
13.775         1531965741.0    来了
13.824         1531845507.0    各位一定要看到结尾啊
13.862         1531992698.0    前世今生 一万多年 我们还在一起 万幸
13.881         1531959014.0    进度感人
14.02          1531907027.0    up是神仙阿阿阿啊
14.118         1531807148.0    呜呜
14.143         1531917054.0    赶来这里发弹幕 爱原著
14.26          1531906871.0    百鬼夜行抄 手机铃声！
14.394         1532105095.0    从结局回来
14.621         1532016911.0    仙六的bgm阿阿阿阿阿阿给阿婆打call
14.681         1531978328.0    up主下凡辛苦！！！
14.759         1532080298.0    竟然是原著向！
14.941         1531759172.0    表白up！！！
15.285         1531783124.0    榴莲欢迎回来
15.347         1531906275.0    留名
15.847         1531966286.0    陆地的别走，我也是
15.957         1531845518.0    结尾高能
16.068         1531921653.0    小昆仑啊这是！！！
16.097         1531836943.0    我敲  当年陆地大大?
16.658         1531756092.0    这个夏天是芒果椰子味儿的，忽然多了一丝榴莲味
17.018         1531879449.0    二刷专门来发弹幕！！！
17.16          1532010620.0    进度很有安全感
17.46          1531905757.0    BGM好熟悉
17.523         1531754926.0    大大由我守护
17.674         1531963797.0    啊啊啊，我又来了
18.202         1532070464.0    一天重复个N遍
19.334         1531834153.0    呜呜呜榴莲！！！
19.535         1532103386.0    我要这硬币有何用
20.033         1532001873.0    回来了，好激动
20.743         1531783177.0    榴莲
20.782         1531755031.0    看我刷出了什么！
21.077         1531755389.0    榴莲啊啊啊啊啊好久不见
21.22          1531796146.0    表白榴莲
21.375         1531965549.0    来了
21.803         1531837634.0    超级原著了
22.92          1532081990.0    神仙！乱哭
23.159         1531960550.0    进度条吓到我了
23.42          1531783188.0    好久不见
24.086         1532095055.0    好久不见
24.235         1531970024.0    这个熟悉的水印！想哭······
24.588         1531969247.0    看到结尾哭出声音来啊
24.746         1532101582.0    当年的陆地，如今的巍澜
25.088         1532147843.0    开头就想跪了
25.213         1531756852.0    榴莲我爱你！！！！
25.683         1531939223.0    陈长生是你吗
25.739         1531836567.0    表白
26.036         1531783849.0    共工撞不周山
26.259         1531921222.0    好久不见榴莲大大
26.262         1531806109.0    好久不见
26.608         1531965066.0    感谢 太棒了
26.9           1531964331.0    又见大大，又见夏天！！
27.04          1531923061.0    表白up
27.816         1531984417.0    每天几刷
27.964         1531783216.0    又来到了同一个圈子开心！！！
28.586         1531924229.0    共工驾神龙撞倒不周山
29.212         1532119192.0    三刷开始
30.464         1532000250.0    又得哭一次
32.474         1532054515.0    啊啊啊我又见到榴莲大大了😭一年了啊😭
32.548         1531966819.0    😭我哭还不行吗
32.565         1531846255.0    好久不见
32.972         1531829699.0    大神啊
33.228         1531756565.0    还是熟悉的味道～
33.536         1531966320.0    兜兜转转我们又在新圈见面啦
34.139         1531841109.0    水印有点。。
35.1           1531922130.0    bgm好熟悉…
36.032         1531783254.0    榴莲出品，必属精品
37.038         1531783895.0    昆仑的肩火掉落大不敬之地
38.035         1531758285.0    哇哦
38.656         1531924250.0    大不敬之地
39.059         1532078875.0    百鬼夜行抄
40.191         1531969231.0    BGM百鬼夜行抄
40.789         1531964631.0    榴莲这个水印是不是有点过于显眼了。。
41.141         1531807821.0    果然是相同的人
41.357         1531904542.0    哇 我喜欢的bgm  哭了
42.281         1531921716.0    小鬼王！！！第一次看见剪了小昆仑和小鬼王的up！
42.833         1531903443.0    表白绿字
42.864         1531916203.0    握草百鬼夜行抄啊
42.984         1531967501.0    水印醒目
43.163         1531783914.0    双鬼王出世
43.264         1531904043.0    鸡皮疙瘩都起来了！
43.605         1531924316.0    鬼王昆仑魂火坠入促生出鬼族，鬼王出世
43.772         1531971547.0    什么电视求解
43.945         1531990621.0    别爱我没结果QAQ
44.032         1531983944.0    仙剑的配乐！
44.579         1531904282.0    第一个看到小昆仑还是小鬼王啊？
44.98          1531821762.0    少年鬼王
