排名：22
网址：https://www.bilibili.com/video/av27018335
更新时间：07-20
弹幕总量：3506
preciseTime    ofTime          comment
0.0            1531999321.0    666
0.08           1531757803.0    看我发现了什么！
0.308          1531786841.0    1111111111111111111111
0.397          1531892086.0    狂三是我第几个老婆？
0.426          1531801778.0    g
0.493          1531905123.0    支咐宝首頁捜索“86OO14”我现在很慌
0.638          1531771061.0    哇！第一！
0.951          1531791399.0    十一小时前
1.017          1531792134.0    铭家军降临，张高玩牛逼
1.185          1531859368.0    第一弹幕了解一下
1.478          1531793378.0    看我刷出来什么
2.106          1531793551.0    来了
2.118          1531757461.0    劳资第一
2.283          1531801258.0    奈斯，大夫
2.299          1531796085.0    当你看到后已经是38万之后了
2.713          1531759763.0    两小时前
2.811          1531787005.0    31.3
2.9            1531793114.0    封面：王迅
2.928          1531760671.0    三小时前
2.939          1531764072.0    哈哈哈
3.04           1531757858.0    老师好
3.239          1531757780.0    11111
3.36           1531937758.0    半
3.419          1531758233.0    看我刷出什么
3.47           1531979462.0    推荐
3.483          1531806140.0    1111
3.5            1531769323.0    今天我生日
3.586          1531785936.0    今天我成年了
3.682          1531800986.0    奈斯大夫
3.779          1531771286.0    失踪人口已回归
3.784          1531817730.0    你还有脸回来
3.8            1531800205.0    失踪人口回归
3.95           1531797584.0    66666666666
4.04           1531790450.0    j
4.181          1531784005.0    失踪人口哦回归
4.199          1531796006.0    其实是真滴捞
4.26           1531786681.0    震惊
4.266          1531784119.0    看我找到了什么
4.372          1531853521.0    猴你嘛时候津门第一啊？
4.64           1531981091.0    牛批
4.86           1531765103.0    有生之年
4.865          1531995838.0    吱付寳首页搜索5l342l732，真的不用谢我
4.951          1531929457.0    m
5.12           1531840302.0    超清警告！！
5.121          1531835702.0    看到马老师就点进来了
5.261          1531761847.0    看看我刷出了什么
5.293          1531939406.0    杨tree班长
5.376          1531766611.0    前排围观老师
5.378          1531770676.0    what！
5.515          1531786538.0    有生之年呀
5.581          1531761602.0    看我刷到了什么
5.679          1531787894.0    失踪人口回归
5.681          1531794027.0    111111111
5.731          1531759618.0    两小时前，
5.739          1531758091.0    5000之内
5.841          1531760087.0    还要不要人睡觉了啊
5.859          1532002708.0    刚刚
5.9            1531757807.0    嘿呀！
5.902          1531818956.0    好巧，今天我也过生日6月初五
6.22           1531821368.0    来来来
6.229          1531878784.0    嘛意思嘛意思嘛意思弟！弟！
6.34           1531787382.0    串戏了?
6.401          1531765185.0    You R dd
6.485          1531794901.0    111
6.539          1531757911.0    诈尸
6.66           1531762165.0    看我刷出了什么
6.761          1531757612.0    每周日悄悄更新
6.816          1531767155.0    播放3
6.949          1531797613.0    看我刷到了什么
7.02           1531757524.0    好早
7.042          1531761180.0    21.5w
7.084          1531763275.0    三小时前
7.161          1531997656.0    666
7.181          1531890749.0    来看猴
7.291          1531813737.0    弹幕好多
7.402          1531835560.0    姜纯雨别撸了
7.518          1531761001.0    寅子我知道你在看
7.619          1531757666.0    乌拉乌拉乌拉
7.64           1531792093.0    主机篇 有大司马什么事么？
7.662          1531796333.0    来看猴
7.721          1531762682.0    没人的吗
7.729          1531766457.0    这才4小时就20.2万播放量
7.739          1531759440.0    播放1
7.838          1531905131.0    支咐宝首頁捜索“86OO14”稳住别黄了
7.841          1531784397.0    脸刹
7.86           1531793226.0    看看我刷到了什么
8.019          1531910387.0    前前前
8.021          1531860131.0    啦啦啦啦
8.08           1531806154.0    11111
8.141          1531757604.0    两小时前
8.192          1531805195.0    进度条警告⚠️
8.213          1531817760.0    截图给我看
8.219          1531786820.0    失踪人口回归系列？
8.245          1531842657.0    我真是服了
8.277          1531812273.0    1747黝黑蜗壳
8.309          1531926742.0    10万后
8.379          1531819951.0    徐文龙你看见了吗？
8.448          1531788669.0    进度条好评
8.522          1531801001.0    都tm给我说奈斯大夫
8.601          1531757738.0    关上18万的大门
8.933          1531800021.0    乌拉
8.96           1531757491.0    2小时17万
8.977          1531892327.0    说你们拖了多久
8.979          1531809802.0    来了
8.981          1531977286.0    投币
8.984          1531793571.0    有生之年
8.988          1531890870.0    ？
9.101          1531833776.0    看见大司马还以为不是主机篇
9.199          1531765978.0    啦啦啦
9.22           1531798751.0    看我刷到了什么
9.474          1531761578.0    还没招够吗？？？？你们是掩护招后期来吃的吧！！！
9.639          1531773373.0    活了
9.659          1531794789.0    失踪人口回归啊啊啊啊啊
9.699          1531790653.0    抱走女流
9.918          1531767238.0    四小时钱
10.099         1531762605.0    你们是猪吧这么快
10.161         1531757489.0    截图传家宝吗？买个U盘吧
10.241         1531813285.0    招了一个多月了吧
10.501         1531762015.0    等的我花都谢了
10.801         1531909702.0    666
10.819         1531798544.0    40.2w大门关闭
11.005         1531824403.0    学天天卡牌？
11.008         1531950702.0    弟弟
11.243         1531757430.0    截图给朋友看啊，你们不会没有吧
11.264         1531797483.0    啦啦啦啦
11.281         1531778390.0    关上26万的大门
11.459         1531979494.0    烨烨
11.491         1531763200.0    3小时22w
11.52          1531759707.0    20万？
11.521         1531757556.0    11111111
11.559         1532074160.0    W
11.579         1531758251.0    1111
11.819         1531757995.0    播放量！18万
12.179         1531872898.0    截图给谁看
12.221         1531780516.0    。。。。
12.401         1531794369.0    你们都播放1那我也是😏😏
12.459         1532065939.0    维他柠檬茶够真才出色
12.493         1531758485.0    深夜福利
12.665         1531760304.0    3小时前
12.799         1531797150.0    见马近
12.815         1531991022.0    第84.2万
12.874         1531759091.0    19.4万
12.936         1531770308.0    你们被绿了几次？
13.141         1531882638.0    好长
13.22          1531759978.0    前20w
13.24          1531786644.0    失踪节目回归
13.366         1531977450.0    大司马啥时候成主机区的了
13.438         1531929957.0    看到马老师就滚进来了
13.536         1531816965.0    在厕所
13.551         1531760861.0    3500
13.739         1531779447.0    ，，，，
13.828         1531871574.0    nnnnnnnnnnnnnnnnnnnbbbbbbbbbbbbbbbbbbbbbbbbbbb
13.888         1531817783.0    马猴骚久任务开始
14.368         1531828154.0    大事吗
14.453         1531757504.0    17万警告
14.54          1531778284.0    多捞啊
14.721         1531802766.0    法国4比2
14.86          1531757936.0    十次
15.459         1531759753.0    左右不对齐
15.85          1531763372.0    看到你多少后有什么意义？
15.921         1531807007.0    前方高能预警
15.936         1531794854.0    刘明
16.059         1531786437.0    哈哈哈哈哈
16.067         1531827103.0    来看猴了！！
16.105         1531811856.0    哦，上帝看，我看到了什么，耶稣释迦牟尼玉皇大帝观音菩萨万岁。
16.201         1531959900.0    bgm基佬的歌好评
16.227         1531759149.0    看看我刷出来了什么
16.384         1531762493.0    今天过生日
16.684         1531791146.0    你还有脸更新
16.765         1531790610.0    发现了新大陆
16.781         1531821487.0    大宝贝
16.852         1531833119.0    2000
16.916         1531797591.0    你TM就不能不拖更？
17.139         1531894293.0    看的大司馬，全體起立
17.343         1531787481.0    大司马还能上主机篇
17.493         1531767173.0    凌晨2:52在看举手
17.539         1531797161.0    见马进
17.577         1531873316.0    可耻的播放量
17.611         1531822377.0    播放量50万
17.745         1531795686.0    哈哈哈哈哈哈哈
17.845         1531761306.0    深夜党的福利
18.073         1531767610.0    3763前排
18.095         1531797004.0    前40w
18.155         1531788505.0    以为主机篇不更了呢
18.299         1532008116.0    0次
18.323         1531883777.0    1
18.639         1531887570.0    绫萌茶
18.66          1531778804.0    全体起立
18.688         1531785075.0    关上30万大门
18.699         1531899985.0    10086
18.82          1531913432.0    实锤错字
18.841         1531993751.0    马老师
18.899         1531875517.0    老大发脾气了
19.073         1531760063.0    弹幕呢？？？？
19.159         1531908794.0    1
19.301         1531808134.0    看到我那就是46w后了
19.419         1531920442.0    up主辛苦了
19.468         1531908183.0    多捞哦
19.746         1531774265.0    B站房价
19.863         1531894334.0    我X
20.053         1531882942.0    Nice大夫
20.096         1531817874.0    马猴骚久任务开始[0/4]
20.099         1531761980.0    失踪人口回归
20.342         1531834967.0    弹幕呢？
20.44          1531765061.0    看到我以后23万の大门就关上了
20.576         1531806236.0    biu！
21.035         1531757520.0    我发现了什么
21.041         1531901144.0    这么些死肥宅爱发弹幕
21.136         1531896484.0    社会源哥
21.241         1531760425.0    现在是变成两周一更了？？
21.314         1531787712.0    多捞啊
21.4           1531758476.0    18万
21.973         1531812581.0    17小时前
22.085         1531757837.0    16200人正在看
22.2           1531796037.0    吔屎
22.512         1531791164.0    看到我你就说34.8万以后了
22.534         1531801015.0    奈斯大夫
22.918         1531813760.0    处女弹幕
22.919         1531786460.0    哈哈哈哈哈哈好哈哈
23.134         1531956043.0    。。。
23.273         1531888414.0    661000
23.552         1531978674.0    老马在几分钟
23.598         1531783164.0    我是00后
23.642         1531876300.0    马老C怎么跑主机篇来了
23.794         1531981790.0    牛皮
23.819         1531757739.0    哟，小老板你怎么皮到主机区来啦
24.234         1531783958.0    终于更新了（╯‵□′）╯︵┴─┴
24.263         1531762812.0    来了来了
24.27          1531765938.0    看到我你就是24万以后了
24.429         1531764028.0    我知道又有某个主播会放这个
24.446         1531832506.0    在这停顿
24.63          1531831518.0    解
24.735         1531978840.0    不多3次
24.748         1531780874.0    看到我你就是27w以后了
24.851         1531762516.0    嘛意思弟弟
25.235         1531793243.0    森系刚
25.36          1531970768.0    B站有房
25.508         1531774378.0    凌晨4.52这时有人吗
25.569         1531962419.0    卡到爆炸
25.649         1531763496.0    3小时23万!？
25.674         1531802781.0    奈斯大夫
25.845         1532002462.0    333333
26.026         1531791744.0    你还有脸更新
26.15          1531907625.0    奈斯大夫
26.176         1531909536.0    发不了大屏幕
26.379         1531766856.0    奈斯大夫
26.55          1531784529.0    233
26.639         1531793104.0    我黑切呢？
26.671         1531761163.0    4255
26.944         1531905803.0    在现场！！！
26.963         1531834776.0    000
27.072         1531976275.0    多捞哦
27.294         1531817120.0    看到我你们已经是2000万了好吧
27.456         1531918599.0    上课了
27.539         1531849600.0    嘛时候更新地
27.648         1531920282.0    奈斯,大夫
27.819         1531787801.0    2023年7月13第三次世界大战
28.073         1531780283.0    哈哈哈
28.478         1531967390.0    NICE 大夫
28.655         1531833207.0    真尼玛卡
28.662         1531824798.0    好卡
28.88          1531876934.0    你捞任你捞，我偷你鼠标
29.101         1531875603.0    如果没有奈斯大夫 我都不看这节目了
29.352         1531801045.0    每隔一周周二更新
29.41          1531834866.0    逆风笑屁股翘
30.154         1531818368.0    欻欻
30.528         1531759723.0    主真会玩播
30.539         1531759402.0    两小时19.7
30.561         1531879411.0    刷来给谁看？
30.734         1531801026.0    奈斯大夫
30.807         1531873999.0    马氏跑动杀
30.9           1531867418.0    你们是住在b站了是吧
30.904         1531784095.0    有生之年系列
31.499         1531812269.0    看到我你已经47.2万后了
31.511         1531880134.0    绿帽子
31.828         1531796064.0    沃日
31.877         1531809551.0    46.4万
32.0           1531864936.0    星际牛仔
32.043         1531768526.0    看到我你已经是25.1万后了
32.065         1531759181.0    每周一悄悄更新
32.219         1531763535.0    第一次这么靠前哈哈哈
32.311         1532060364.0    看到我你已经是80万以后了
