排名：24
网址：https://www.bilibili.com/video/av27028643
更新时间：07-20
弹幕总量：3531
preciseTime    ofTime          comment
0.042          1531797777.0    5402个肝你们好呀
0.1            1532072569.0    关注，我是海归” App 你想知道的海归信息都有，创业，活动，政策，交友,招聘会等
0.153          1531925210.0    强烈建议关闭弹幕观看，后方弹幕大量负面个人情绪输出
0.347          1532009767.0    不要关闭举报就行了
0.472          1532007706.0    加微看各大影视a279269967
0.718          1531810946.0    第64573457242345176454345845433795843684543438854
0.894          1531837231.0    只可惜看懂的时候，已经过了考清华的年纪
0.948          1531802322.0    封面震哥哥～
1.078          1531765931.0    我是第一名♥呃呃呃
1.093          1531984740.0    终于不是镇魂了
1.115          1531808100.0    推荐关闭弹幕观看！
1.317          1531933984.0    为毛不易来
1.392          1531806467.0    最爱的电影解说up主没有之一
2.145          1531878434.0    好喜欢这部电影
2.182          1531813580.0    本来是为清华100周年校庆拍的影片，最后献给了北大120周年校庆XD
2.3            1531808120.0    推荐关闭弹幕观看！！！
2.388          1531801317.0    这个是我们暑假放假前在教室看的
2.776          1531806148.0    这
2.848          1531819472.0    666
2.88           1531803832.0    来了!
3.062          1531801370.0    小章！！！
3.426          1531817823.0    木鱼水肝
3.73           1531843909.0    盼了好久了
3.766          1531835930.0    我卡
4.139          1531795334.0    前天刚看完，木鱼就讲解了
4.209          1531919922.0    永远良心的水心
4.661          1531801309.0    10148位小伙伴
4.742          1532007802.0    感谢前排弹幕提醒
4.899          1531793501.0    看完了嘿嘿嘿
5.128          1531802767.0    第？名
5.183          1531763822.0    11
5.425          1531793313.0    许愿清华
5.45           1531768741.0    修仙
5.518          1531836562.0    有点卡
5.851          1531785253.0    我觉得挺好看的
5.913          1531925275.0    建议关闭弹幕观看，弹幕影响心情
5.918          1531801002.0    谢谢
6.112          1531788844.0    j
6.286          1532011651.0    我就想问下 这个bmg
6.308          1531785945.0    .....
6.562          1531826948.0    我认为这是上半年最好的一部国产电影，和药神一样！
6.614          1531782618.0    降临？
6.913          1531818628.0    电影超好看！
