排名：70
网址：https://www.bilibili.com/video/av27029412
更新时间：07-21
弹幕总量：1808
preciseTime    ofTime          comment
0.0            1531893883.0    看我发现了什么！！！！！
0.037          1531940415.0    前排提示，党妹是超越妹妹亲妈粉，黑子们请自重
0.45           1532032426.0    支咐宝首頁捜索“86OO14”深藏功与名
0.512          1532049182.0    三刷～党妹牛皮啊……(´･Д･)」
0.598          1532005444.0    裙子好像chuu的
0.683          1531837201.0    跳的太好了叭！！！
0.77           1531877915.0    前排屏蔽ycy等关键词
0.836          1532101737.0    前排提醒 关闭音量使用更佳
0.987          1531896022.0    再看2次就不看了！！！我保证
1.02           1531842801.0    想想党妹说过的单口相声
1.112          1532004416.0    厉害了我的党妹
1.239          1531916572.0    c位出道!!!!
1.241          1531972542.0    欢迎回来
1.261          1531824828.0    哇！党妹转型了哈哈哈
1.358          1531984777.0    有种进错区的即视感
1.386          1531903942.0    吱付寶输入7220383领取巨额红包
1.398          1532012503.0    我天，惊了
1.432          1531985299.0    镇站之宝
1.47           1532052714.0    哈哈哈哈哈哈哈哈哈哈哈哈
1.568          1531909324.0    哇哦舞蹈区颤抖吧(๑•̀ㅂ•́)و✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.579          1531826871.0    美妆up跳舞啦
1.641          1531837079.0    二刷哈哈哈哈
1.646          1531893346.0    38.6万播放了
1.792          1531928575.0    卧槽？？！震惊了！
1.91           1531990149.0    支付寳搜一下“
1.921          1532014879.0    妈妈爱你！！！！！！！
1.945          1531969736.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
2.12           1531829547.0    啊啊啊啊啊硬币都是你的
2.143          1532103411.0    66666
2.171          1531836757.0    党妹也跳舞吗
2.198          1531854475.0    天呐嗷嗷嗷嗷
2.219          1531888954.0    每天看一次
2.222          1531921288.0    党妹跳舞了？？？？？
2.252          1531904780.0    妈耶！！！！
2.383          1532135799.0    恭喜党妹成功进驻舞蹈区
2.463          1531935000.0    欢迎回来
2.481          1532000941.0    号外号外！B站舞曲被美妆up攻陷。。。（*＾ワ＾*）
2.499          1531913194.0    怎么都转行了？？（笑哭）
2.522          1531837912.0    忍不住高清～
2.561          1532010516.0    夭寿了！
2.708          1531998215.0    啥？？？？！
2.736          1531830457.0    第二遍哈哈哈哈。上一遍全程姨母笑看完。
2.776          1532058426.0    现在美妆up都开始跳舞了
2.974          1531935288.0    确认过眼神，是见色起意的人！
2.987          1531843260.0    ～～～
3.038          1531826976.0    第三遍
3.158          1531839263.0    鬼鬼
3.176          1531839490.0    哇党妹改行啦？开始抢别人饭碗了2333
3.223          1531845022.0    夭寿了不务正业美妆UP
3.239          1531828266.0    两秒一卡
3.243          1531841289.0    看了三遍
3.262          1531884638.0    每日一刷
3.283          1531885071.0    舞蹈区颤抖吧
3.634          1532059954.0    日常一看
3.661          1531906672.0    表白党妹，(*/ω＼*)
3.737          1531827736.0    五刷
3.779          1532162108.0    惊了!
3.827          1531849776.0    ！！！！
3.84           1531840373.0    二刷！！
3.899          1531833203.0    你跳舞了！！！！
3.939          1532003057.0    一看到杨超越亲妈粉立马对这个妹子路转黑了
3.945          1531841057.0    恭喜党妹进军舞区
4.053          1531849908.0    ？！
4.054          1532032444.0    支咐宝首頁捜索“86OO14”福利的节奏
4.106          1531992169.0    ？？？？？？？？？？？/
4.133          1531844157.0    表白我黨妹
4.168          1531837016.0    宝贝妈妈爱你
4.177          1531876250.0    欢迎！
4.18           1532097690.0    党妹c位出道！
4.273          1531835481.0    我的妈我刷到了什么！！
4.3            1531881604.0    党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹党妹
4.342          1531981623.0    呀呀
4.395          1531832789.0    啊啊啊
4.541          1531845066.0    不要在这个视频踩超越妹妹哦！
4.601          1532134842.0    党妹  妈妈爱你   看看妈妈吧！
4.635          1532137981.0    三刷！！
4.687          1532056865.0    各位开头见
4.753          1531927119.0    ？？？？
4.768          1531826132.0    不会跳舞的相声演员不是好的美妆博主
4.77           1531915346.0    啊啊啊啊啊啊啊党妹
4.822          1531830138.0    pick党妹!！!
4.863          1531923387.0    党妹我宣你！！！
4.878          1531910964.0    妈呀
4.935          1531893146.0    相声，讲究说学逗唱
4.969          1531853591.0    卧槽党妹我爱你！
4.98           1532090662.0    今天才学完!爱你啊爱你❤
5.046          1531832734.0    不务正业
5.12           1531979174.0    啊啊啊啊啊党妹跳舞了！
5.241          1532001235.0    文明观猴？
5.268          1531890460.0    也就看了五遍罢辽
5.376          1531887357.0    爆灯！
5.436          1532072563.0    没缺您一个···黑就黑赶紧走，反正您一辈子也没有党妹可爱
5.442          1531890623.0    哦哦哦!爱你
5.477          1531982072.0    好好看呐，党妹
5.488          1531827443.0    哇
5.602          1531829280.0    出道
5.632          1531840525.0    糟了。是心动的感觉。啊啊啊。为啥只能一个币
5.682          1531919501.0    大惊喜
5.697          1531967309.0    震惊震惊
5.764          1532013440.0    我爱你啊啊啊啊啊啊啊啊
5.78           1531840595.0    啊啊啊啊啊啊啊啊啊
5.861          1532053808.0    啊啊啊啊啊啊啊
5.973          1531964591.0    1
6.18           1531831337.0    啊啊啊
6.208          1531893944.0    每日一遍
6.229          1531826187.0    您可太棒了！请出道！
6.239          1531892290.0    先粉为敬
6.279          1531885315.0    wtf？？？？？？？？
6.32           1531926509.0    我特么社保
6.37           1531836779.0    啊啊啊啊啊党妹党妹党妹
6.4            1531913910.0    我的妈啊！出道吧！！！
6.487          1531867107.0    阿阿阿啊我的妈，党妹求你出道吧
6.571          1531838865.0    啊啊啊啊啊啊啊啊啊啊
6.59           1531881840.0    我出不去了！！循环n遍了
6.6            1532074360.0    这个眼神，哇  被撩到了
6.615          1531874419.0    我的天
6.622          1531915493.0    666
6.722          1532008618.0    i
6.827          1531996670.0    出道吧
6.912          1531860517.0    妈呀我的党啊！！！！！
6.952          1532075787.0    党妹啊啊啊啊啊啊啊啊
6.97           1532147640.0    ？？转黑的戏太多了吧ybm
6.983          1531830011.0    第二十六遍
6.997          1531843970.0    党妹出道吧！！！！
7.02           1531848419.0    第四遍
7.123          1531906298.0    一天一次
7.139          1532012579.0    收拾收拾可以出道了
7.224          1532138149.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
7.24           1531822451.0    妈耶
7.26           1531996204.0    第四遍！
7.492          1531851548.0    哇
7.521          1531825178.0    党妹你！。。。。。。。。真好看
7.599          1531827327.0    看到我你就是28万以后了
7.601          1531832586.0    你出道吧！
7.66           1531839768.0    终于要进军舞蹈区了吗
7.68           1532080493.0    党妹求你c位出道
7.75           1531830849.0    党妹！！
7.815          1531896268.0    wtf？？党妹？
7.923          1531981065.0    欢迎回来！！！
8.021          1531908852.0    我发现了什么
8.052          1531909882.0    我记得我是来看相声的
8.074          1531902227.0    党妹！！！！！！！！！！！！！！！好看死了！！！！！！！！！
8.105          1531835755.0    哇哇哇哇哇哇哇哇哇
8.119          1531927033.0    开头好美啊
8.339          1532025850.0    太美啦，帅爆辣，党妹嫁我吧！
8.345          1531849568.0    什么时候？？
8.448          1532084507.0    请c位出道
8.481          1532062862.0    第一次看党妹跳舞，，鸡冻
8.493          1531910273.0    啊啊啊啊我的党
8.497          1531834230.0    啊啊啊啊呵呵哈哈哈
8.5            1532008947.0    d'ng
8.601          1532139393.0    党妹我爱你❤
8.622          1531912249.0    你我是我的心头肉
8.706          1531896628.0    哇
8.721          1532014921.0    出不去了！
8.736          1532016648.0    党妹不说相声了！
8.842          1531887148.0    同款裙子
8.887          1532008635.0    不是化妆主播吗，全能6666
9.001          1531921086.0    前方高能预警
9.005          1531879616.0    ..............
9.06           1532100964.0    我都不知道看第几遍了……
9.065          1531832717.0    新人up都是怪...等等这是党妹？？
9.163          1531901983.0    四十万哈哈哈哈哈哈哈
9.281          1531927684.0    有那么一下 我觉得有点像泫雅！！
9.299          1532086236.0    哈哈哈哈哈哈哈哈哈哈哈哈哈
9.3            1531835061.0    真的是啥都会
9.301          1531841390.0    夭寿了，某美妆博主竟进军舞蹈区
9.398          1531841181.0    请您出道啊啊啊啊啊啊啊啊
9.4            1531899725.0    ？这不是化妆区的吗
9.536          1531996861.0    再来一遍
9.899          1532008238.0    再刷一遍！！
9.939          1531975870.0    每天看三遍～
10.06          1531843418.0    我们最近刚好在学这个舞
10.109         1531838047.0    党妹的表情动不动就跑偏
10.161         1531915672.0    你为啥不出道？
10.169         1531999867.0    我发现了什么？？
10.175         1531851419.0    啊啊啊啊党妹！
10.237         1531985282.0    表白党妹!♡
10.302         1532008953.0    a
10.328         1531920775.0    看我刷到了什么 太可爱了
10.501         1531957717.0    欢迎回来
10.561         1531852941.0    不得了了
10.575         1531969095.0    aaaaaaaaaaaaaa!!!!!!!!!!!!!!
10.6           1532007786.0    妙哉
10.625         1532012198.0    党妹你怎么变了
10.704         1531885443.0    震惊！舞蹈区第一居然是相声up主！！！
10.818         1532006043.0    什么鬼
10.841         1531981202.0    妈妈爱你！！！
10.983         1531981655.0    mua
10.999         1531990572.0    求求你了，出道吧
11.205         1531824081.0    woc
11.287         1532144912.0    我要这币有何用
11.289         1531897509.0    全程看脸
11.381         1531894123.0    ？？？
11.448         1531844187.0    呦呦呦，，這小細腰
11.455         1531905714.0    冲榜第一！！！！！！
11.566         1531887712.0    哈哈哈哈哈哈哈哈不知道为什么有种特别搞笑地感觉
11.578         1532130101.0    爱上了党妹
11.667         1531831727.0    天啊啊啊啊啊啊啊
11.699         1531989289.0    被圈粉了。。。。
11.741         1531827978.0    挖槽！！！你是！？！？你不是我认识的相声up主了！！
11.916         1532081477.0    五刷！
12.111         1531878393.0    卧槽党妹跳舞？！
12.126         1532170031.0    对再看一遍
12.201         1532008983.0    党妹^O^党妹^O^加油＾０＾~，爱你❤
12.263         1532071279.0    出不去了
12.376         1531914619.0    终于有了同款～裙子
12.4           1531898764.0    猥琐党黄哈哈哈哈哈哈哈
12.494         1531886632.0    pick党妹
12.5           1531823437.0    wwaa
12.712         1531922713.0    没有人说真话吗?！！
12.744         1531985128.0    表白
12.76          1531905373.0    数拍子不要点头啊 心里默默数就行
13.018         1531837666.0    投币！
13.179         1531827660.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊党妹我好爱你啊啊啊啊啊啊啊啊啊
13.249         1531898322.0    ！！！！
13.568         1531852940.0    woc！？？？党妹进舞蹈区了
13.569         1532097188.0    所以说你最近在学这个！
13.586         1531992178.0    c位
13.591         1532151637.0    哇果然是主持了一个一堆舞见小姐姐的活动后心动了
13.595         1531896045.0    出不去了。。。
13.692         1531933593.0    NBNBNB
13.811         1531833930.0    哈哈哈哈哈哈原来这就是惊喜！！！
13.837         1532016156.0    次噢，，，这青春气息真是。。。
13.862         1531921915.0    出道吧！
14.162         1531836150.0    这里没有开口跪，请放心食用
14.165         1531848512.0    美妆区不赚钱了吗
14.176         1532058119.0    相声，讲究说学逗唱，这跳舞，就是这四门里的“学”！
14.189         1531835981.0    终于出道了
14.201         1531856901.0    阿阿阿阿阿阿
14.232         1531903661.0    woc?!!
14.249         1532071331.0    哈哈哈
14.35          1531839682.0    莫名sunnee
14.511         1531834213.0    妈哎！！！
14.6           1531853002.0    小短腿
14.627         1531967323.0    厉害厉害
14.755         1532085815.0    哈哈哈哈哈哈哈我看到了什么
14.908         1531972254.0    天呐党妹？？？？？？？？？？？
14.914         1531914666.0    1001
14.972         1531825735.0    妈耶！！
