排名：29
网址：https://www.bilibili.com/video/av27038136
更新时间：07-21
弹幕总量：2060
preciseTime    ofTime          comment
0.0            1532146494.0    会被做成视频发到B站
0.016          1531993227.0    看视频前请注意up说的不止童年游戏还有经典游戏
0.067          1531995758.0    会被剪辑成视频发送到B站
0.083          1531992750.0    6
0.213          1532168456.0    欢迎回来
0.245          1532102641.0    突然感觉自己老了
0.255          1532011172.0    经典啊 经典 经典 不只是童年啊
0.478          1532002893.0    强烈建议屏蔽“童年”观看
0.647          1531999315.0    看完发现我老了。。。。。
0.675          1531992678.0    看哭了！！再看一遍
0.686          1532005962.0    mc进
0.737          1532007669.0    2333
0.805          1531995932.0    比起这些，各位还是好好欣赏视频吧
0.992          1531964932.0    BGM;Last
1.017          1532021054.0    前排提示00小孩。只有街机游戏和插卡电视游戏才配叫做真正的童年
1.038          1532008785.0    关弹幕保智商
1.278          1531977007.0    会被做成视频发到B站
1.297          1532085812.0    00后的我已经感觉到老了
1.311          1531994034.0    你问我会发生什么？当然是会被人录成视频发到B站啊
1.434          1531995066.0    可以说是经典，但是不是我的同年
1.447          1532023082.0    支付寳搜一下“
1.683          1531995356.0    支付寳搜一下“
1.813          1532001394.0    00后。。。。
2.088          1532031260.0    支咐宝首頁捜索“86OO14”真的别谢我
2.614          1532041846.0    那个90后的，你纸张？
2.719          1531992670.0    比起纠结这些游戏算不算童年，希望更注重视频的呈现效果
2.878          1532107627.0    看标题啊，同志们！！
3.153          1531994563.0    666
3.331          1531997378.0    会被做成视频发到B站
3.408          1531992954.0    求求你们看看标题吧，童年
3.783          1532062896.0    那个90后你的童年还真伟大啊
3.955          1531999277.0    看到我你就已经在1000后了
4.097          1532006827.0    这童年……up很涟清啊
4.218          1531993918.0    看到植物大战僵尸就进来了￥￥￥￥￥
4.523          1532000241.0    BGM：Last
4.925          1531966932.0    红警
5.12           1532007669.0    奥比岛奥比岛奥比岛奥比岛！！
5.295          1532059407.0    火钳刘明
5.791          1531978061.0    MC
6.03           1531988892.0    会被做成视频发到b站上
6.091          1531990458.0    BGM:last
6.314          1531981203.0    这是我的人生
7.035          1532068443.0    红警！
7.117          1532007076.0    啊  上来就是最爱的
7.19           1532006114.0    我的世界！！！！
7.337          1532166269.0    见封面所有游戏茎
7.738          1531999073.0    MineCraft
7.823          1532036485.0    Minecraft这游戏都是童年了  在座的童年宝宝你们好
7.864          1531994840.0    支付寳首页搜索5l342l732，真的不用谢我
8.11           1531978704.0    我的世界
8.364          1531991692.0    开局MC大赞
8.489          1531988282.0    MC是童年？不好意思，MC是我的一生！
8.635          1531969473.0    我现在还在玩MC
8.729          1532008467.0    MC/我的世界
9.105          1532069494.0    壮大我mc
9.137          1532165145.0    我的世界!
9.336          1531989470.0    信仰
9.346          1531983026.0    MC！！！！！！
9.439          1531995861.0    我的世界
9.752          1532007778.0    壮哉我大Minecraft！！！！
9.86           1531978001.0    饥荒的等等我..貌似饥荒和标题没有关系
9.941          1531986282.0    MC
10.232         1532142383.0    此生无悔入MC来时愿做方块人
10.244         1531987287.0    MC！！！
10.303         1532013078.0    开头说一句‘UP05后吧。我们老了
10.45          1532016765.0    MC
10.511         1531965374.0    生命要像烟花一样，死之前总要绚丽一次
10.542         1532101943.0    MC成童年游戏了？
10.794         1531972592.0    童年万岁~\(≧▽≦)/~童年万岁~\(≧▽≦)/~童年万岁~\(≧▽≦)/~童年万岁~\(≧▽≦)/~童年万岁~\(≧▽≦)/~
10.868         1532085281.0    MC
10.889         1531966831.0    前面的弱智小游戏？那你可去死吧，你这辈子都体会不到MC的乐趣
10.969         1531989474.0    我的大minecraft
11.22          1531966950.0    MC不是童年，是一生
11.331         1532068458.0    mc信仰！
11.361         1532021305.0    mc是信仰
11.583         1531980743.0    我的世界？？？？？？？？
11.703         1532007634.0    mc
11.789         1531995268.0    见封gun
11.829         1531992146.0    MC!!!
11.92          1531986286.0    mc
11.94          1532089855.0    mc！
11.964         1532005471.0    MC四年，从未后悔
11.998         1532098214.0    壮哉我大mc
12.029         1531970094.0    minecraft
12.247         1532007394.0    壮哉我大mc！！！！！！
12.297         1531967005.0    mc！！！
12.298         1531988662.0    壮哉我大MC
12.349         1531995069.0    好评，MC
12.364         1531999831.0    这尼玛已经是童年游戏了？1.13刚出，还在玩
12.485         1532058853.0    mc
12.512         1531969939.0    1/36
12.764         1531995834.0    壮哉我大MC！！！！！！！！！！
12.773         1532007037.0    MC是经典但绝不只是童年
12.806         1531994525.0    注意标题是写“童年/经典”，mc是当之无愧的经典游戏
13.158         1531994901.0    36/1
