排名：80
网址：https://www.bilibili.com/video/av27043367
更新时间：07-21
弹幕总量：980
preciseTime    ofTime          comment
0.0            1531915442.0    虚了
0.151          1531925301.0    更硬朗了
0.204          1531914913.0     哇前排
0.251          1531985772.0    高产（｡ò ∀ ó｡）
0.289          1531918684.0    突然高产
0.419          1531922979.0    四小时前
0.424          1532032336.0    支咐宝首頁捜索“86OO14”真不用谢我
0.471          1531928611.0    失踪人口回归警告
0.496          1531916291.0    硬朗的身体变得更硬朗了
0.571          1531915841.0    一个人在家看片的你
0.759          1531989942.0    湾湾？
0.768          1531918144.0    突然高产
0.773          1532053696.0    竟然更硬朗了
0.852          1531920686.0    突然高产
0.861          1531915440.0    我很爱吃拉面的！
0.912          1532052775.0    会变成拉面
0.93           1531917254.0    啊！你！你！你不是基基，基基怎么可能这么高产
1.079          1531931211.0    @爱吃拉面的小泉同学
1.34           1532004567.0    高产基
1.415          1531987187.0    支付寳搜一下“ 95O6639”，你会回来打死我的（滑稽）
1.474          1531983888.0    变成面筋人，然后被烤2333
2.011          1532067720.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
2.034          1532059052.0    我高中吃了两年方便面
2.133          1531919794.0    高产似母猪
2.143          1532102308.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
2.473          1531977559.0    鸣人吃了10多年
2.693          1532067735.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
3.02           1531958678.0    高产的猪猪男孩
3.073          1532093989.0    我上初中时候连续吃了一个月，怎么说
3.295          1531921442.0    高产似那啥
3.361          1531915754.0    不是广告啦！！！！！
3.413          1531916131.0    竟然变得更硬朗了？
3.457          1531928416.0    爱吃拉面的小同学
3.47           1531928922.0    高产似那啥？
3.494          1532040898.0    看成泡面
3.559          1531920203.0    感觉这是个广告！
3.692          1531921526.0    会产生查克拉
3.815          1531913224.0    高产似那啥
3.875          1531924862.0    看封面字体识基基
4.035          1532041037.0    应该是会变胖的
4.311          1531961009.0    基基又短了
4.699          1531981470.0    突然高产？
4.893          1531922178.0    会变得再也不想吃拉面
4.94           1532019508.0    迷之喘息
5.089          1531922555.0    基基高产
5.273          1531919101.0    肯定是硬朗的身体变得更硬朗了。
5.442          1531920117.0    突然高产，猝不及防
5.955          1531975367.0    喘什么
6.114          1531922006.0    高产啊
6.135          1531914872.0    上基基
6.177          1531984314.0    基基越来越短了！！
6.396          1531924894.0    看封面字体识基基
6.431          1531917428.0    吓得我声音都关小了………
6.434          1531975150.0    又不是没吃过我
6.689          1532046364.0    高产的基基
6.802          1531958379.0    信息量好大
7.286          1531915369.0    再看一次
7.355          1532162777.0    你是以为你燃堂吗
7.48           1531918537.0    虽短但高产
7.849          1532045986.0    会拉面
7.884          1532164199.0    可…可恶…我居然在妈妈旁边开了最大音量
8.26           1532022963.0    死肥宅
8.445          1531977564.0    会拉面
8.492          1531933628.0    什么鬼
8.693          1531954004.0    越吃越胖
8.82           1531917829.0    嘴刁相机？
9.049          1531926379.0    爱吃拉面的小泉同学
9.321          1531964479.0    会拉面
9.41           1531961175.0    基基好短啊
9.432          1531916080.0    欲望の手
9.692          1531918726.0    up最近高产棒棒哒(･ิϖ･ิ)っ
9.781          1532140709.0    腿毛瞩目
9.855          1531913402.0    嘴叼摄像机
9.95           1532024631.0    更硬朗了?
9.992          1531918033.0    噗嗤
10.193         1531926030.0    硬朗不是老年人吗
10.455         1531927981.0    嘴叼相机  优秀
10.534         1531923890.0    哈哈哈哈哈哈哈睡神经病
10.575         1532157626.0    更加硬朗了
10.685         1532039079.0    我一个星期不吃饭。
11.072         1532048578.0    这个腿毛是真的emmmmmm浓密
11.157         1531998682.0    你真的短
