排名：15
网址：https://www.bilibili.com/video/av27047275
更新时间：07-21
弹幕总量：1412
preciseTime    ofTime          comment
0.0            1531909490.0    这么高产，我不看先赞！
0.259          1531827004.0    2小时前
0.298          1531974578.0    为四姐打call
0.398          1531835335.0    四小时前，抱歉来迟了
0.522          1531824768.0    嘿嘿来啦
0.673          1531880494.0    前方高能请把音量关闭
0.718          1531846801.0    你们喷我我也要说！就是比什么代古拉一类的跳的好看。
0.795          1531825756.0    前排承包西四!
0.923          1531832397.0    四姐超棒
0.933          1531991349.0    西四女神也来蹦迪了
1.144          1531922622.0    一个玩玩胶达的宅汉子，为什么跳的这么可爱。。
1.402          1531840958.0    先一条龙
1.598          1531878994.0    终于等到你！
1.926          1531827828.0    看我刷出了什么！
1.939          1531871765.0    啊啊啊啊四四
2.065          1531910098.0    支付宝首页搜索三零五四五零六，你会谢我的
2.128          1531959732.0    打搅了
2.197          1531825668.0    我喜欢！
2.258          1531899517.0    四刷
2.531          1532144672.0    可爱的四姐也一样招人爱！！
2.654          1532018923.0    50万
2.786          1531887859.0    哇
2.9            1531823282.0    BGM:BBoom
2.919          1531825404.0    爱爱爱爱
3.192          1531823002.0    我滴妈呀，高产的7月
3.275          1531843576.0    不行了太爱1:07~1:30这段了ヽ(*。>Д<)o゜
3.281          1531821384.0    qian
3.297          1531956244.0    来了来了来了来了
3.322          1532130348.0    天啦噜
3.499          1531834660.0    好前!
3.596          1531905372.0    支咐宝首頁捜索“86OO14”心动的感觉
3.598          1531832536.0    先一条龙再观看~
3.742          1531889082.0    啊啊啊
3.774          1531930601.0    第十次
3.9            1531826437.0    哇我最近超迷这首的！然后西四就跳了我的妈耶
3.983          1531880557.0    欢迎回来
3.99           1531988990.0    开头见
4.165          1531832366.0    卡在了奇怪的地方
4.168          1531951465.0    每日一刷
4.569          1532006096.0    50W助攻
4.576          1531824754.0    这熟悉的场景
4.671          1531982624.0    bboom
4.681          1531845490.0    哇哦(⊙o⊙)哇
4.815          1531895786.0    啧啧
4.838          1531903463.0    承包西四
4.854          1531827130.0    开心(∩_∩)233
5.016          1531887003.0    文翰学子前来看bboom bboom
5.181          1531825665.0    卡到了奇怪的地方
5.193          1532086399.0    开心
5.261          1531990036.0    这么快五十万
5.336          1531835573.0    哇塞！
5.402          1531832749.0    美腿
5.6            1531905312.0    支咐宝首頁捜索“86OO14”糟了！心脏
5.681          1531824834.0    可爱四
5.72           1531916454.0    关注西四以来最喜欢这个粉嫩妖娆恋爱风！没有之一！！！
5.797          1531832372.0    西四女神
5.833          1531822576.0    表白女神
5.879          1531833445.0    最近再听这个，西四就跳了，棒棒哒！
5.921          1531937989.0    来了
6.048          1532100118.0    滤镜好亮 瞎了
6.081          1532093336.0    可爱
6.327          1531825761.0    550
6.349          1531826565.0    哇哇！！喜欢！~
6.383          1531821946.0    一小时前
6.405          1532093813.0    支咐宝首頁捜索“86OO14”说了别谢我
6.617          1531900576.0    高产
6.8            1531847446.0    画质太难受了！！！！
6.801          1531878901.0    啵嘴!
6.836          1531887016.0    文翰学子来了
6.91           1531834034.0    (◦˙▽˙◦)
6.961          1531822832.0    一个小时哇我哭啦太开心啦
6.981          1531925065.0    好可爱!
7.018          1531831603.0    脖子呢您？
7.046          1531996319.0    emmm
7.154          1532002184.0    能把滤镜关了吗  晃眼
7.156          1532006357.0    镇站之腿
7.418          1531828397.0    哇！西四蹦迪！
7.424          1531878186.0    尴舞
7.457          1531872591.0    ？。。
7.488          1531834732.0    我的女神跳我女神们的个啊！！！！！！！！！
7.539          1532000103.0    6666666666666666666666666666666666666666666666666666666666666666666
7.579          1531833805.0    终于出了
7.629          1531826438.0    哇哇哇
7.7            1531828008.0    高....高产四赛高！！
7.721          1531996525.0    💃💃💃💃💃💃💃💃💃💃💃💃💃
7.758          1532162803.0    安全裤啊啊啊啊啊啊啊啊
7.799          1531824872.0    画风不对啊四爷！
7.863          1531884362.0    短裤
8.038          1531851847.0    最好的版本！！！
8.087          1531843047.0    棒！
8.156          1531887033.0    文翰学子一听到就怕的音乐！
8.167          1531840671.0    我发现了什么
