排名：2
网址：https://www.bilibili.com/video/av27052563
更新时间：07-18
弹幕总量：2973
preciseTime    ofTime          comment
0.0            1531827848.0    在现场
0.067          1531829668.0    期待！
0.083          1531877475.0    增加弹幕量
0.229          1531830192.0    在现场
0.278          1531820247.0    有生之年系列
0.287          1531829748.0    一起上帮老E拔毛~
0.339          1531817536.0    自己看评论区！
0.728          1531833710.0    有生之年，还能再看到这个系列
0.88           1531824145.0    5小时前!
0.949          1531828439.0    动物园
1.079          1531819601.0    大家记得收藏一下呀
1.158          1531834132.0    封面什么鬼
1.358          1531824848.0    求大家看之前先收藏啊……~2.5W收藏看老鹅爆肝！
1.418          1531819162.0    有kb倒地计数菌吗ヽ(•̀ω•́ )ゝ
1.421          1531892738.0    boy!!!
1.469          1531843415.0    10小时前
1.521          1531831944.0    看封面我就知道有boy
1.959          1531875953.0    建议1.5倍观看
1.98           1531838599.0    好了我可以不用收藏了。。2.6万了都。。
2.039          1531826038.0    就我卡?
2.12           1531830783.0    666
2.459          1531834039.0    封面什么鬼
2.478          1531840667.0    一起上帮老E拔毛
2.561          1531830955.0    27分钟前
2.592          1531824629.0    工兵：我做错了什么你们为什么要把我扔出去？？？
2.714          1531890817.0    这
3.09           1531819457.0    竟然是这个！！渣旗录播看不了，没想到竟然出视频了！
3.15           1531908203.0    很强(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
3.426          1531821550.0    这么高产？？！！！
3.692          1531829385.0    闻猩鹅b
3.754          1531830179.0    有生之年
4.101          1531826753.0    求大家看之前先收藏啊……~2.5W收藏看老鹅爆肝完结！
4.12           1531826385.0    地球陨落
4.281          1531902360.0    前排前排前排!
4.321          1531820887.0    随什么？
4.479          1531887444.0    随什么？？？？？？？？？？？？
4.66           1531845698.0    哇⊙∀⊙！
4.739          1531831561.0    惊了！老E那么长
4.821          1531877335.0    高产似内啥
4.836          1531823602.0    封面不对啊
4.86           1531817409.0    什么求生之路3
4.93           1531837221.0    李还敢肥来！！！
5.065          1531874160.0    妈呀！
5.081          1531820530.0    都给我收藏啊！！！！！！！！
5.585          1531817624.0    。。 
5.678          1531871351.0    谢谢在百忙之中抽空敷衍我们
5.879          1531819413.0    哇好前
5.921          1531906925.0    在现场
6.001          1531882480.0    更新了！?
6.144          1531824113.0    爷爷！老e的求生之路更新啦！！
6.155          1531895076.0    你的底特律还没更完呢！
6.17           1531890821.0    这个
6.22           1531896096.0    妈呀
6.493          1531822537.0    惊了，你终于更新了
6.534          1531826335.0    爷爷，你关注的up又双叒叕更新了
6.579          1531818544.0    看到我你已经是十八万以后了233333333333333333
6.779          1531831923.0    你个儿~～~～~~
7.012          1531822668.0    脑e
7.017          1531816431.0    鹅啊！！！！！！！！！！！！！
7.341          1531826033.0    妈鸭！
7.436          1531827189.0     有生之年
7.509          1531893690.0    求生之路3
7.515          1531824826.0    在现场
7.551          1531819763.0    6666666
7.619          1531816851.0    在现场
7.761          1531824128.0    在现场
7.842          1531820555.0    妈呀
7.881          1531818824.0    三小时前。。。
7.984          1531819107.0    2333
8.0            1531910246.0    某幻？？？
8.169          1531819175.0    妈呀！
8.326          1531908358.0    来拔毛
8.397          1531833978.0    求生之路3？
8.513          1531872727.0    233
8.534          1531820754.0    你把你黑魂给我交了
8.623          1531830420.0    弹幕好多
8.96           1531820675.0    乔纳斯’乔斯达
9.081          1531828896.0    妈呀
9.24           1531908369.0    妈呀
9.256          1531835825.0    什么，求婚之路更新了？？？
9.299          1531823610.0    我都看完你了，从战旗娘的小小号哪里
9.34           1531895127.0    全站第二庆贺ヾ(@^▽^@)ノ 
9.472          1531819894.0    妈呀！
9.557          1531827447.0    妈呀
9.644          1531828045.0    求生之路出3了？
9.659          1531833359.0    妈耶
9.699          1531819607.0    求生？
9.779          1531829932.0    nigga~ 
9.811          1531817747.0    鹅鹅鹅饿
9.898          1531887203.0    有生之年系列
9.901          1531820750.0    好听
9.96           1531820483.0    什么游戏？
10.155         1531883568.0    么么哒！又等到李！开心
10.3           1531908187.0    厉害啊，
10.401         1531832959.0    妈呀
10.499         1531849817.0    我选马扣儿～
10.581         1531824031.0    这些身影好像van
10.64          1531840369.0    流量播放
10.99          1531837065.0    卡卡卡
11.066         1531902663.0    支付寳首页搜索5l342l732，真的不用谢我
11.201         1531823973.0    什么游戏啊
11.504         1531816404.0    封面大猩猩
11.579         1531819825.0    boy！！！
11.601         1531825430.0    L4D4
11.618         1531835190.0    鹅和大猩猩？？？
11.784         1531836125.0    随什么？
11.946         1531822626.0    老菊？
11.979         1531817137.0    nigger
12.117         1531872064.0    在现场系列
12.422         1531833535.0    有生之年。
12.516         1531835573.0    elissa呢
12.52          1531906325.0    看我发现了什么！
12.572         1531818934.0    3小时前
12.59          1531825095.0    哇 这什么游戏？
12.706         1531907951.0    求婚之路
12.828         1531820356.0    四小时前
12.878         1531817324.0    收藏吧大家！！！！！！！！
12.941         1531819070.0    肉吃梨?
12.986         1531886835.0    底特律！底特律！变咕，变咕
13.124         1531816437.0    鹅鹅鹅鹅鹅鹅饿
13.393         1531907902.0    高产我曹
13.4           1531819346.0    有点像COD10的那模式！打外星人
13.48          1531828408.0    声音很小
13.619         1531826044.0    香香！
13.885         1531822890.0    是JOJO！！！！
14.011         1531829441.0    收藏起来！
14.12          1531821260.0    上次黑魂也是这样说的
14.266         1531823783.0    MAYA
14.285         1531817099.0    精神！
14.321         1531817694.0    大猩猩！
14.461         1531818702.0    李还知道回来
14.499         1531819006.0    大猩猩！
14.651         1531830015.0    收藏已2w
14.677         1531817802.0    闻香的声音？
14.848         1531882304.0    哇我在现场啊啊啊
14.869         1531820422.0    蚊香香～
15.183         1531817898.0    三小时后的我
15.4           1531841415.0    左下角，中国boy
15.471         1531879534.0    我怎么感觉听到了猛汉的声音
15.496         1531827649.0    6小时前
15.601         1531832998.0    大猩猩
15.616         1531819215.0    2p 2p2p2p2p2p2p！！！！！
15.782         1531908710.0    猩猩与鹅
15.786         1531825650.0    在现场
15.845         1531897042.0    和田玛雅
15.956         1531840782.0    在现场
16.169         1531824843.0    爷爷你关注的up主更新了
16.172         1531882040.0    二五仔
16.268         1531837326.0    香香！
16.401         1531830915.0    猩猩与鹅的外星之旅
16.499         1531835314.0    8小时前！！！最前的一次了
16.62          1531820287.0    腿怎么这么短
16.702         1531834978.0    马耶
16.721         1531820723.0    第一眼把玛雅看成玛德(ಥ_ಥ)
16.881         1531890072.0    有生之年
16.994         1531823340.0    不用收藏了已经1万五了
17.08          1531830859.0    哇 大猩猩和老e
17.714         1531833088.0    boy！
17.821         1531847805.0    哇，大师球
17.939         1531838951.0    弹幕多的看不清
17.942         1531829671.0    ↙中国boy
17.975         1531879229.0    ...
17.98          1531817227.0    欧文中年作品
18.437         1531829794.0    求生之路3（滑稽）
18.507         1531841733.0    38集？
18.54          1531842697.0    在现场
18.605         1531818875.0    l4d3:外星入侵！
18.639         1531835022.0    在现场
18.708         1531819238.0    大猩猩
18.816         1531830413.0    噫， 好，我中了！
18.9           1531830447.0    乔布斯
19.001         1531817208.0    中国boy！
19.199         1531834088.0    头小孙子大
19.2           1531837632.0    脑袋小脖子粗不是大佬就是伙夫
19.261         1531829713.0    抢个后排
19.309         1531818157.0    三小时前！
19.502         1531854702.0    VAN样同款影子
19.961         1531816444.0    鹅鹅鹅鹅鹅鹅！！！！！
20.001         1531831140.0    哇  大猩猩和老鹅一起玩游戏啦
20.004         1531877504.0    前来增加观众量
20.021         1531825538.0    似李!汪涵
20.119         1531821704.0    什么游戏？？？
20.233         1531822462.0    有生之年系列
20.309         1531832502.0    为什么四个人物全是nxxxxxr
20.34          1531819033.0    我记得stn说过这游戏…
20.43          1531825569.0    @王师傅
20.689         1531908577.0    。
20.759         1531819433.0    猩猩233
20.868         1531831712.0    物是人非  求hun之路  感动
20.907         1531817923.0    毒猩猩牛皮
20.939         1531885174.0    g胖会数3了？
20.992         1531822920.0    猩猩选了个猩猩
21.129         1531820769.0    在现场
21.162         1531832444.0    boy啊啊啊啊啊啊啊
21.164         1531839493.0    高产似母鹅
21.187         1531835439.0    。。。
21.248         1531829428.0    drake？
21.303         1531840349.0    黑枪之路
21.396         1531823315.0    蚊香，自走挂
21.493         1531824311.0    什么游戏呢？
21.539         1531909630.0    哇，大猩猩
21.648         1531841820.0    这游戏我已经退款了。。。
21.674         1531822167.0    哇哇哇 boy
21.801         1531819364.0    11111111
21.962         1531816397.0    boy
22.278         1531820646.0    @爆头小子
22.442         1531889056.0    椰哥的理想状态
22.869         1531835180.0    跳跳和fear
22.9           1531833406.0    左下角看看↙
22.961         1531820462.0    王师傅！
22.993         1531820334.0    hank
23.05          1531835158.0    首发弹幕
23.109         1531897247.0    @ash
23.381         1531817570.0    蚊香？
23.444         1531910207.0    ash
23.508         1531833518.0    哇
23.521         1531820497.0    啥游戏
23.541         1531829683.0    二五仔
24.348         1531819779.0    这么早
24.362         1531820673.0    又该我头大的JAGER来镇场子了
24.592         1531817336.0    1w收藏更新！！！！！！！！！
24.987         1531850153.0    怎么上来就38。前37集呢
25.047         1531909704.0    好像公鸭
25.12          1531819334.0    温斯顿是你！
25.26          1531837784.0    8小时41万！！！
25.822         1531830150.0    没有elissa么。
25.836         1531871204.0    爷爷爷爷
25.887         1531817825.0    2333
26.044         1531832105.0    大猩猩
26.177         1531842963.0    十小时前！
26.22          1531836126.0    欧文中年的笑死我了
26.36          1531819037.0    王师傅的真相了
26.441         1531867344.0    猩猩！
26.447         1531817498.0    妈耶有生之年？
26.47          1531817023.0    在现场kb视角
26.924         1531832193.0    就我一个听成头小孙子大？
26.99          1531840579.0    一万多人正在可我一起看！
26.992         1531816451.0    老鹅
27.081         1531839511.0    boy？？？
27.1           1531818256.0    Jager:你说谁头小呢？
27.655         1531819227.0    快开2P！！！！
27.856         1531869494.0    l4d既视感
27.886         1531825052.0    先收藏投幣一波流再看鵝(•̀⌄•́)
27.954         1531845978.0    我发现我关注的主播都跑到一起了
28.198         1531816940.0    王师傅
28.219         1531874568.0    王师傅
28.329         1531830778.0    woc是boy
28.403         1531869107.0    这人物手好长
28.721         1531837152.0    难度:简单，普通，困难，地狱，KB
28.798         1531822730.0    是你Bernard
28.83          1531842429.0    猩猩
28.899         1531910144.0    大猩猩好评
28.98          1531820617.0    似你
29.27          1531835644.0    len物
29.339         1531831910.0    什么游戏
29.558         1531820657.0    张爱丽真好看
29.741         1531883466.0    喔！boy
29.961         1531848885.0    炸出一群小朋友
30.179         1531834928.0    玛雅手到膝盖
30.24          1531818605.0    boy？
30.539         1531816358.0    我看过这个直播了
30.579         1531881652.0    猩猩
30.612         1531853750.0    有生之年
30.68          1531831983.0    Drake是你吗
30.7           1531836023.0    哈哈哈哈哈在现场
30.75          1531830407.0    弹幕太多了啦
30.819         1531837245.0    王师傅
30.878         1531830333.0    王师傅哈哈哈
31.014         1531848083.0    看了直播。。
31.215         1531877879.0    “K B”是魁拔？
31.284         1531842909.0    肉盾，，，算神预言吧2333
31.41          1531822474.0    什么鬼！
31.44          1531839825.0    头大身子下那是陀螺
31.858         1531818271.0    中国boy
31.868         1531835530.0    哈哈哈哈哈哈哈哈
32.011         1531817355.0    看完才知道为什么说二五仔
32.459         1531827575.0    王师傅
32.469         1531891763.0    噢草这个字体！！！哭哭
32.6           1531831089.0    你们说温斯顿怎么了？
32.647         1531822148.0    哭了
32.653         1531818136.0    这熟悉的字幕
32.897         1531820209.0    明明是肥宅
32.938         1531816456.0    k
32.979         1531825508.0    前面没有kb就稳了的打脸了
33.099         1531825016.0    这熟悉的字体hhhhhh
33.194         1531821709.0    boyyyyyy！
33.381         1531821216.0    boy!
33.384         1531827772.0    大佬们告诉下这游戏要加速器吗
33.89          1531909186.0    熟悉的字体
34.294         1531889990.0    有生之年
34.325         1531821897.0    好久没看到这个字幕了QAQ
34.394         1531820726.0    额
34.4           1531822600.0    熟悉的字，只是当时已惘然
34.462         1531828927.0    猩猩
34.6           1531825957.0    我的天!求生系列
34.601         1531825042.0    猛男落泪
34.779         1531832139.0    这真是太KB了
34.843         1531821215.0    KB难度
34.851         1531844398.0    我去有生之年啊啊啊啊
34.863         1531816459.0    回忆篇
34.979         1531822249.0    钱峰怎么剪头发了还带了个眼镜
35.061         1531826435.0    ！！！老鹅还记得这个！然鹅人却不全
35.075         1531817377.0    1.5w观众、、、
35.36          1531908380.0    地球沦陷？
35.499         1531820199.0    这个熟悉的字体和人物介绍，突然想哭
35.516         1531836468.0    多久了，几年了吧这个系列
35.548         1531822287.0    这个标题！！！！
35.831         1531842646.0    竟然有中国大猩猩
35.948         1531843879.0    大猩猩可还行，二五仔KB
36.059         1531838054.0    这游戏的射击感挺差的
36.094         1531845712.0    天啊。。。看到开头 泪目
36.35          1531844922.0    boy!
36.472         1531825074.0    好卡
36.579         1531834979.0    kb
36.7           1531890719.0    二五仔KB2333
36.706         1531890087.0    有生之年！！！
37.202         1531860418.0    熟悉的字体
37.76          1531834729.0    妈也,有生之年（假）
37.973         1531882795.0    有生之年！！！！
38.151         1531829185.0    中国大屁股？
38.231         1531820033.0    老E竟然还记得这个系列？！
38.272         1531820376.0    ！！！！！！！
38.433         1531820946.0    蚊香！！
38.541         1531816287.0    等等 求生之路22????
38.656         1531825830.0    有生之年
38.778         1531889599.0    哭了
38.84          1531821078.0    握草，竟然是这个系列
38.881         1531826700.0    闻香识中国boy 哈哈哈哈
38.894         1531887355.0    求大家收藏投币呀www
38.92          1531828976.0    有生之年啊我特么哭爆
38.983         1531847427.0    瞬间两万九
39.122         1531818018.0    好多年没看见这个开头了
39.168         1531848419.0    有生之年…泪目
39.259         1531898196.0    哭了
39.797         1531821551.0    香香
39.936         1531834447.0    哈哈哈哈哈！闻香识中国boy哈哈哈
40.019         1531822225.0    什么?大猩猩?
40.156         1531822163.0    泪目泪目
40.53          1531907052.0    有生之年
40.533         1531828984.0    二五仔哈哈哈哈
