排名：84
网址：https://www.bilibili.com/video/av27059042
更新时间：07-20
弹幕总量：259
preciseTime    ofTime          comment
0.242          1531969875.0    bgm break up in a small town
0.639          1531906106.0    b站看片就是现在
1.664          1531904732.0    。。
3.746          1532062545.0    求bgm！
3.76           1531845944.0    She will get down somebody know
4.16           1531909848.0    交出封面
5.195          1532008554.0    发射
5.421          1531886586.0    啃啃
5.456          1531852016.0    太性感了！
5.971          1531900192.0    封面
6.246          1531840525.0    老刘不死！
7.017          1531957165.0    见封进
7.164          1531844066.0    开场BGM是什么
7.453          1531840862.0    233小黑屋
7.644          1531837955.0    交出封面。
7.824          1531970696.0    可耻的播放量
8.285          1531871842.0    科技馆地铁站
8.9            1531837506.0    35美元的小电影看不起，我还是看岛国的吧，一样也有玩芭蕾的
9.682          1531981720.0    bgm Break Up in a Small Town
9.997          1532005672.0    行了，不要封面了
10.205         1531846952.0    在现场
10.86          1531883365.0    这屁股玩三年
11.605         1531846107.0    黑的屁股大 腿更粗
11.63          1531997854.0    可耻的播放量
13.674         1532000912.0    见封滚
14.839         1531886595.0    屁股
15.0           1532008575.0    准备发射
15.626         1531908798.0    bgm i wake up in a small town
15.732         1531843988.0    英雄不死！
16.071         1531841041.0    ……
16.193         1531979746.0    熟悉的场景，有司机发车吗
16.548         1531995966.0    喵喵喵？
16.878         1531839424.0    我完事了
17.124         1532029096.0    可耻的播放量
17.383         1531884315.0    打不过打不过
17.391         1531843894.0    35刀我愿意
18.596         1531840555.0    委了，对不起
18.665         1531990488.0    微微一硬
20.883         1531885574.0    练舞的女孩腿粗
20.974         1531901344.0    打扰了
21.041         1531851311.0    打扰了..
21.563         1531839934.0    你好慢啊！
21.903         1531948558.0    老刘！你又回来了！
22.208         1532005973.0    这个广角
23.151         1532065518.0    ？？？我以为是35W的刀
23.31          1531890097.0    啊~抱歉，打扰了！
23.484         1531838912.0    心疼这双脚
23.731         1531848385.0    脚尖业余，差评……
23.805         1531984552.0    可耻的
23.818         1531837387.0    腿好结实
23.966         1531980509.0    拜拜
24.207         1531967373.0    打不过系列
24.263         1531985194.0    完活
24.298         1531887239.0    金刚芭比
24.341         1531975342.0    索然无味
24.605         1531994186.0    这一对大肥臀 哈
25.017         1531956575.0    出现了现场怪
25.224         1531975892.0    腿粗怎么了，都是肌肉比那些筷子腿强多少
25.599         1531836674.0    好像在看青钢影写真
25.864         1531845705.0    受不了了。。。我要射了。。。
26.223         1531847652.0    四万多的播放量，86条弹幕，你们在干什莫
26.401         1531850008.0    我去洗个手
26.598         1531837560.0    脚好大
26.974         1531833177.0    30刀是什么意思？
26.996         1531840078.0    鸭子么
27.286         1531848457.0    我在B站不用刀
27.37          1531876159.0    卡洛斯
27.495         1532010258.0    这小腿肌肉，打不过打不过
27.55          1531908150.0    德玛西亚！
27.608         1531976531.0    打扰了
27.922         1532039633.0    18w播放量，可耻啊
27.948         1532004106.0    脚费了
28.975         1531998701.0    厉害，
29.032         1531837126.0    带劲
29.189         1531910540.0    wc这个腿肌。。
29.564         1531839899.0    这肌肉。。。
29.651         1531894283.0    粗腿还挺美
29.681         1531868698.0    一拳一个现场怪
29.819         1532004339.0    不一样的片
30.116         1531838431.0    打扰了
30.534         1531852046.0    咽口水
30.924         1531838357.0    小腿上那肌肉比我都壮实
31.007         1531996145.0    这一脚下去你下面得爆
31.056         1531883890.0    已撸各位随意
31.762         1531846628.0    心疼脚+1
31.872         1531839892.0    刀是美元
32.363         1531896478.0    练岔了啊 诡异的肌肉
32.578         1531838140.0    我只心疼脚
32.969         1531909406.0    在现场
33.223         1531837521.0    美元
33.883         1531835515.0    30美金＄
34.338         1531848445.0    跳舞的腿部肌肉都发达，没办法，你一天8个小时脚尖站立试试？你早废了
