排名：21
网址：https://www.bilibili.com/video/av27062182
更新时间：07-20
弹幕总量：2917
preciseTime    ofTime          comment
0.0            1531985946.0    boy是青岛的嘛？
0.047          1531927280.0    人之初，性本善，我录视频你来看。
0.083          1531899704.0    中国boy你怎么还不更新看鬼畜啊？啊？你不是说四个月一更的吗？现在都™几个月了？你再不去更新看鬼畜我就去自杀！ ——中国boy
0.246          1531899728.0    中国boy你怎么还不更新看鬼畜啊？啊？你不是说四个月一更的吗？现在都™几个月了？你再不去更新看鬼畜我就去自杀！ ——中国boy
0.254          1531988864.0    高产似那啥
0.301          1532061477.0    空降3分57
0.491          1532073375.0    空降3分57
1.465          1531923848.0    然而你并不会
1.758          1531983649.0    哈喽各位亲爱的观众姥爷们你们好
2.414          1532061505.0    空降3分57秒有高能
2.862          1532061176.0    王瀚哲芭比
3.299          1532015441.0    3:50粉红色高能
3.327          1531976564.0    3.55你会感觉自己爱上了一头猩猩
3.328          1531984502.0    小小梦魇DLC之煤老板了解一下
3.499          1531980882.0    这期弹幕炸裂
3.759          1531905817.0    哈哈哈哈哈哈哈
3.849          1532071794.0    从鬼畜区来的
4.163          1532072807.0    今天薛之谦生日
4.36           1531902591.0    我来了
4.487          1531903269.0    王瀚哲芭比
4.599          1531906722.0    刚看三个鸡玩过
4.881          1531961353.0    蛤哈哈
5.395          1531914699.0    我们来玩的游戏是
5.427          1531907289.0    3:57高能！！！苏断腿
6.299          1531935867.0    没有每日一嗝啦?
6.78           1532002545.0    wtf？
7.039          1532065215.0    音 量 注 意
7.168          1531985777.0    达芬奇！！！你倒是录啊！！！
7.425          1532002026.0    达芬奇警告⚠️
7.559          1532003702.0    大大鸡🐔（大大期）
7.703          1531912848.0    呜啦啦啦
8.164          1532001988.0    王瀚claping
8.259          1532066049.0    达芬奇了解一下boy
8.324          1532057488.0    看鬼畜
9.116          1532002040.0    达芬奇警告
9.149          1531974458.0    我是来考古的
9.379          1532002561.0    王德发！
9.49           1532004216.0    十七分钟后可以查成绩，正好看个视频
10.02          1531907735.0    达芬奇了解一下
10.24          1532068725.0    看鬼畜了解一下！
10.41          1531901981.0    著名歌猩
10.48          1531991611.0    达芬奇啊达芬奇
10.6           1532002813.0    @大大鸡
11.024         1531900299.0    中国boy你怎么还不更新看鬼畜啊？啊？你不是说四个月一更的吗？现在都™几个月了？你再不去更新看鬼畜我就去自杀！ ——中国boy
11.03          1532002050.0    达芬奇警告
11.139         1531919467.0    空耳好评
11.178         1531989785.0    我去看了下boy在2017年的视频，回来发现    他胖了。
11.69          1531912115.0    meme review
11.73          1532043102.0    达芬奇呢
11.752         1531899877.0    王瀚哲爸比
12.1           1531976579.0    达芬奇了解一下啊！
12.179         1531916497.0    达芬奇？？？    boy有录过吗？
12.335         1531905020.0    大大期，玩过这个游戏。
12.416         1532002066.0    达芬奇警告
12.47          1531902505.0    达芬奇了解一下
12.54          1531911874.0    爱因斯坦呢
12.714         1532052517.0    3:55高能预警！！！！
12.716         1532014638.0    三个鸡
12.796         1532061762.0    鬼畜上线
13.083         1531980803.0    还不更新？
13.179         1531957467.0    小小梦魇，了解一下。
13.259         1531978305.0    看鬼畜
13.72          1531915735.0    大大期
13.757         1531922843.0    我想和你啪啪啪
14.081         1531943476.0    汪涵他爸比
14.117         1531926900.0    八分音符酱！
14.121         1531914082.0    @楚河
14.182         1531952804.0    越来越喜欢你了
14.399         1532058251.0    连侏儒？？？？？？
14.484         1532064649.0    刷启看鬼畜
14.534         1532008910.0    我觉得还猩
14.642         1531964872.0    大猩猩日更拉！
14.72          1531995530.0    嘤嘤嘤~
14.862         1531926101.0    才看老E直播Σ( ° △ °|||)︴
14.871         1531970733.0    回来听低音炮
