排名：71
网址：https://www.bilibili.com/video/av27065027
更新时间：07-21
弹幕总量：977
preciseTime    ofTime          comment
0.0            1532073924.0    太可爱了啊啊啊啊啊 
0.083          1531991645.0    1
0.126          1531821269.0    该来的总是回来的……
0.358          1531882657.0    该来的总是要来的
0.473          1532097342.0    开了弹幕重新看一遍
0.798          1531823032.0    该来的总会来的
0.94           1532009135.0    哟吼
0.98           1531813131.0    失踪人口回归
1.058          1532152913.0    该来的总会来的
1.082          1531875220.0    每个cp一定会经历的
1.142          1531826461.0    该来的总会来的
1.165          1531817072.0    有生之年！！！
1.495          1531881406.0    该来的总会来。
1.5            1531824055.0    hhhhhh
1.504          1531882393.0    已经一天n刷了哈哈哈哈哈根本停不下来
1.543          1531816004.0    泰克艾乐[！！！]
1.58           1532169516.0    特调处大型逼婚现场
1.621          1531814950.0    该来的还是会来哈哈哈哈哈哈哈哈哈哈
1.636          1532060020.0    该来的总会来
1.678          1531818459.0    该来的总会来哈哈哈哈哈哈
1.843          1532069709.0    早晚有今日。。。
1.862          1531816499.0    该来的总会来的
1.893          1531975272.0    我又来了
1.906          1531970401.0    该来的总会来的
2.023          1532063703.0    二刷
2.144          1531833743.0    哈哈哈哈哈
2.243          1532087295.0    好可爱
2.472          1531814680.0    哈哈哈哈哈哈哈哈哈
2.547          1531827978.0    全程高能!!!!
2.56           1531839980.0    神仙手书！！！！！！！！！！！！！！！
2.644          1531816592.0    二刷
2.654          1532006359.0    蛤蛤蛤蛤蛤
2.667          1532001758.0    啊啊啊啊啊刚在微博上看完就看到了！！！！
2.771          1531832746.0    服了
2.786          1532062532.0    前几天还在想怎么找不到巍澜的版本 就有太太出了 完美～～～
2.872          1531834128.0    该来的还是会来的
3.092          1531827102.0      泰精彩了哈哈哈哈哈哈
3.093          1532165325.0    该来的总会来
3.153          1532095109.0    太可爱啦！！
3.345          1531822392.0    该来的总会来的
3.561          1531832448.0    该来的总会来
3.673          1531979194.0    别误导大家了，这是音乐剧，gay or 欧洲人，欧洲人是英文，搜there right there是找不到音乐剧的
3.684          1532132406.0    空间来得23333
3.84           1531944095.0    6666666666666666666666666666666666666666666
3.918          1531814257.0    失踪人口回归！
3.924          1532017852.0    终于有人画这个了！！
3.983          1531831855.0    该来的总会来
3.991          1531984484.0    吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
4.067          1531912546.0    hhhhh必经之路！！！
4.182          1532073601.0    啊啊啊啊这首超级魔性
4.281          1532056796.0    该来的总会来的
4.283          1532069735.0    苍天饶过谁啊
4.383          1531966664.0    全程超可爱！！啊啊啊
4.437          1532099858.0    该来的总会来
4.498          1532019433.0    该来的总会来的
4.584          1531837398.0    该来的还是来了。。。
4.601          1532018181.0    第三遍
4.607          1531827399.0    该来的总是会来的
4.67           1531875346.0    人才啊
4.714          1531836497.0    弹幕助攻
4.862          1531827811.0    火钳刘明
5.089          1532067272.0    别猜了他就是
5.234          1531968941.0    恭喜上首页了哈哈哈哈哈哈哈哈
5.248          1531881541.0    qila
5.297          1531823748.0    恭喜首页！
5.365          1532046883.0    第n遍才发弹幕的我
5.778          1531823850.0    熟悉的BGM
5.792          1532042951.0    又来啦
5.82           1532061502.0    cp的必经之路
5.862          1531965988.0    23333
6.115          1531968198.0    233333
6.141          1531828259.0    4小时前
6.263          1532056120.0    up真的是人才！
6.303          1531983327.0    9刷纪念一下😂
7.091          1532052770.0    这个真的超可爱！！
7.11           1531820029.0    循环模式开始!
7.303          1532069751.0    人才
7.315          1531881557.0    该来的总会来
7.561          1531816462.0    必经之路
7.993          1531900434.0    该来的还是会来
8.058          1532098304.0    太有创意了
8.24           1531827745.0    切肤子太太是神
8.277          1531825224.0    该来的总会来的
8.303          1531907571.0    空间来的！！
8.321          1531976653.0    该来的总会来哈哈哈哈哈哈哈哈
8.379          1531839629.0    我就知道会有这首
8.429          1532006304.0    谁都逃不了哈哈哈哈
8.767          1532000622.0    神仙手书！
9.001          1532071368.0    该来的总是会来的
9.041          1532088553.0    i
9.17           1531831802.0    全程高能
9.382          1532001746.0    不知道几刷了
9.78           1531907108.0    该来的，躲不掉，上一个笑疯我的还是秦明
9.822          1531930419.0    有毒
9.863          1532069781.0    沈教授凉也……
10.078         1531822313.0    该来的终于来了
10.18          1531836960.0    该来的总回来的
10.223         1531828196.0    该来的还是来了
10.239         1531929307.0    该来的总会来
10.24          1531829255.0    cp此经之路
10.381         1532109452.0    果然。。。。
10.55          1531821854.0    太可爱了！！！！！！！！
10.551         1531826317.0    该来的还是会来
10.615         1531833752.0    好看
10.628         1531839719.0    太优秀了哈哈哈哈哈
10.689         1531915526.0    该来的总会来的
10.801         1531966719.0    我又来了
11.213         1531834216.0    该来的总会来
11.34          1531833190.0    逃不过的bgm
11.6           1532003646.0    哈哈哈哈
11.678         1531977021.0    实在太有才了
11.961         1531829282.0    该来的总会来(◍ ´꒳` ◍)
11.997         1531816849.0    失踪人口回归！
12.258         1531968204.0    2333
12.475         1531880562.0    大庆好可爱
12.66          1532055233.0    gay？
12.696         1531874142.0    该来的…
12.883         1531931873.0    给切肤子太太打电话!!!超厉害
12.967         1532090415.0    该来的，还是会来的
13.041         1531973095.0    哈哈哈
13.137         1531858970.0    我猜对了这首歌哈哈哈哈哈哈哈哈哈哈
13.141         1531816994.0    太可爱了
13.315         1531839112.0    太可爱了，我出去了
13.478         1531818491.0    每对兄弟的必经之路
