排名：23
网址：https://www.bilibili.com/video/av27070309
更新时间：07-21
弹幕总量：2027
preciseTime    ofTime          comment
0.0            1531931834.0    粉粉的
0.341          1531965627.0    0秒卡
0.944          1531981000.0    少废话！
1.068          1531995181.0    二楼掉下个妹子你们看了吗？
1.115          1532087656.0    我推荐开头的这部番---恋爱研究所
1.93           1532079262.0    支付寳搜一下“
2.192          1532057795.0    1002个朋友你们好
3.56           1532052026.0    关了吧并没有介绍新番
4.693          1531999654.0    开场白越来越短了233333333
4.827          1531990688.0    1001
5.474          1532083605.0    卧槽什么时候发的
6.033          1531981657.0    。。。
7.623          1531933456.0    然而目前就追了2部
7.765          1532064225.0    滚开让我自残我要看血小板
8.299          1532149134.0    0.5倍速
8.555          1532009534.0    7月都TM过半了
8.605          1532060847.0    。。。
8.645          1531967133.0    轮流神马？(
8.957          1532081784.0    666666666
9.1            1532057673.0    22
9.598          1531991006.0    支付寳首页搜索5l342l732，真的不用谢我
10.925         1532071444.0    我会空中劈叉！
10.98          1532022187.0    终于可以发弹幕了qwq
11.48          1531988240.0    V信公众号qltx678有这个动画的精彩情侣头像
12.412         1531970457.0    超能力女儿很好看哒
13.482         1532053443.0    求约3a
13.597         1532090584.0    不不不，你想多了，全看的
14.496         1532038238.0    战栗杀机banana fish
14.503         1532057033.0    2333333
14.719         1532067051.0    好的胖次
15.27          1532048056.0    banana fish 吹爆！！！
15.318         1532078879.0    轻羽飞扬!
16.107         1531961059.0    好的胖次
17.481         1532021557.0    杀戮天使！
19.181         1531975550.0    我看了个遍
19.456         1531972496.0    战栗杀机
19.701         1531964007.0    一集定律
19.88          1531963971.0    banana
20.08          1532075309.0    说我咯
20.099         1532010262.0    bananafish啊啊啊啊啊啊
20.182         1531980882.0    是我
21.203         1531971827.0    一秒钟定律
21.539         1532004035.0    杀戮天使!
22.035         1532157596.0    不不不，新番基本上都看的，而且基本上没有不对胃口的
22.301         1532057645.0    新奇的画风
22.478         1532008430.0    血小板啊啊啊啊
22.846         1531969129.0    banana
22.98          1531936731.0    我一般点都不点开
23.027         1531965921.0    只看本子
23.649         1532011779.0    是饿哦
23.975         1531964250.0    是我，没错了
24.184         1531991687.0    是我本人
