排名：94
网址：https://www.bilibili.com/video/av27072973
更新时间：07-20
弹幕总量：358
preciseTime    ofTime          comment
0.0            1532013836.0    谷哥！
0.278          1532014048.0    店主叫老谷，年轻时候犯过错蹲了好几年，出来后洗心革面遵纪守法
1.063          1531837872.0    为何我看这个视频如此之卡
1.143          1531838481.0    我们都卡  
1.621          1532069863.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.675          1531971210.0    北京开的起饭馆的都是有钱人
2.562          1531838329.0    为蛤蟆这么卡
2.883          1531834435.0    一遇到这种事就卡
3.622          1531994228.0    26w315/1031
3.722          1531842407.0    说个事，这家老板我老看见。。
3.814          1531833472.0    求bgm
4.581          1531828941.0    新版本碰瓷
4.874          1531913243.0    我我我我我……我也不知道说啥了，口才没你东北人好23333333
5.286          1531881016.0    有监控
5.62           1532010486.0    人群当中钻出来一个
6.276          1531839092.0    卡的+1
6.428          1531997099.0    我又来了
6.653          1531839551.0    摸头杀
6.828          1532020375.0    小樱的BGM
7.241          1531835441.0    这个店主很有意思，哈哈哈
7.361          1531994396.0    没毛病👍
8.777          1531845704.0    bgm：ほえ？
9.129          1531855659.0    没卡啊
10.817         1531841774.0    听不懂
10.858         1531835543.0    妙啊
10.883         1531892398.0    教科书啊。服了服了
10.899         1531819333.0    吔屎啦
10.919         1531876236.0    东北人！！！！！！！！！！！！！
11.133         1531837883.0    为什么看其他其他视频都挺溜，这个这么卡？
11.419         1531819635.0    白食者都被问成结巴了，估计是没想到老板这么壮
11.499         1531980815.0    没毛病
12.981         1531978399.0    听不懂。。
13.561         1531838466.0    来广东，敢吃霸王餐把你吃了
13.762         1531928609.0    没毛病没毛病
13.764         1531837948.0    我也卡，绝对不可能是网络的问题。
13.971         1532007733.0    没毛病
14.712         1531842910.0    刺激
14.839         1531826048.0    没毛病铁汁（滑稽）
16.871         1531838738.0    这个视频有毒
17.132         1531969501.0    北京人
17.177         1531838054.0    好卡
17.462         1532069722.0    没毛病老铁
18.0           1531833375.0    都这么冲，不干起来才怪呢，
18.111         1531981659.0    没毛病）哈哈哈
18.344         1531838519.0    昨天我吃烧烤烤了半个小时
18.483         1531897238.0    结巴？
18.63          1531896359.0    我的法
18.742         1531837447.0    对对对，都是我们东北干的，你说得对
19.369         1531825718.0    没毛病
19.516         1531906193.0    没毛病
19.76          1531834084.0    明显喝多了装逼
20.061         1532066376.0    就这水平还想吃霸王餐？
20.342         1531924496.0    别废话，直接上
21.079         1531907272.0    我不卡啊
21.2           1531841776.0    到底谁是店家
21.307         1532069764.0    当场去世
21.442         1531929529.0    这种事我在东北饺子馆也见过，在四川，本地人顾客欺负外地60多岁老板
21.827         1532078413.0    美毛病啊
22.261         1531868604.0    我不卡啊
22.467         1531838444.0    换清晰度
22.861         1531839467.0    不卡啊
22.996         1531929450.0    我不卡阿
23.037         1531889900.0    大家都是湿会人  玩套路就没必要了吧
23.127         1532078423.0    每男兵啊
23.219         1531840891.0    我头发让他俩给薅没了
23.462         1531960051.0    这光头不是公交车耍横给打的那个吗
24.077         1531839886.0    郭德纲
24.635         1531863776.0    我tm吃个烧烤等一个小时都不发火的
25.38          1531887013.0    就看不惯多喝了两滴猫尿的。我要是遇见了管你是不是发酒疯，乱整，让你清醒清醒
25.462         1531916077.0    表示真心不卡
25.532         1531840818.0    牛b
25.86          1531935020.0    开启0.5倍新世界
26.677         1531843601.0    没有10万8万的起不来
26.935         1532078433.0    没脑病把
27.387         1531847188.0    老铁没毛病
27.527         1531871987.0    这老流氓
27.585         1531887996.0    北京话听着真有意思
28.321         1531839573.0    摸头杀
28.472         1531825404.0    你竟敢摸光头！
28.654         1531839061.0    都360P了还卡
29.502         1531840664.0    哎呀，好大的劲啊，碰头那一下天崩地裂的
29.536         1532078443.0    妹毛病啊
29.806         1531835863.0    滑滑的
29.961         1531892721.0    一脸懵逼
30.401         1531834755.0    我还以为碰瓷的是光头
30.462         1531924514.0    搞他
30.515         1531892662.0    猝不及防
31.209         1531834676.0    能当经理的，都有两把刷子
31.222         1532038247.0    -99999999
31.37          1531968790.0    摸头杀
31.611         1531887956.0    灵魂吸取
32.333         1531845555.0    当场离世
32.542         1531848105.0    @内马尔
32.553         1531835761.0    内马尔?
32.984         1531843677.0    行家啊，一看店长就是行家啊
33.376         1531834340.0    你对秃头一无所知！
34.28          1531987908.0    666
34.322         1531933410.0    233333
34.639         1531848140.0    哈哈哈哈哈哈骚的我腰都折了
34.675         1531835264.0    哈哈哈哈哈哈哈哈哈哈哈哈
34.733         1531837014.0    干得漂亮
34.749         1531836216.0    报警吧愣着干撒哈
34.83          1531851900.0    ……
35.12          1532065285.0    这跟内马尔学的吧
35.234         1531841428.0    这才是正确的做法。法治社会，你打我一下。我就躺地上，没五千起不来
35.374         1531835425.0    逼事多
35.636         1531837039.0    哈哈哈
36.164         1531833968.0    躺倒的动作干净利落
36.26          1531828868.0    233333333333333
36.431         1531846173.0    仙人抚顶
36.621         1531834036.0    真·摸头杀
36.638         1531842263.0    强啊
36.709         1531837823.0    摸头杀
36.834         1531833929.0    还爷们
36.942         1531834656.0    干得好，对付无耻之人，就得用无耻之法
36.981         1531835040.0    23333
37.022         1531827706.0    哈哈哈哈哈!
37.061         1531915602.0    哈哈哈这碰瓷。。。
37.105         1531913030.0    经历一听就是北京人
37.171         1531834703.0    666
37.338         1531833662.0    666666666666
37.351         1531922728.0    6666
37.356         1531885863.0    郭德纲不是光头
37.479         1531834619.0    666
37.788         1532075947.0    秀
37.917         1531923986.0    无招胜有招
37.948         1531834069.0    哈哈哈哈
38.043         1531833973.0    233333333机智店主
38.388         1531837727.0    哈哈
38.521         1531915610.0    真，摸头杀。
38.623         1531834480.0    秀啊
38.76          1531838731.0    干的漂亮
38.799         1531827432.0    6666
38.804         1531833533.0    厉害了
38.862         1531916082.0    卧槽哈哈哈哈哈哈
38.876         1531981487.0    6666666
38.953         1532072661.0    哈哈哈哈哈哈哈哈
39.058         1531833647.0    6得一批
39.144         1531922087.0    哈哈哈哈啊哈哈
39.282         1531926666.0    哈哈哈哈哈
39.42          1531836577.0    一口京腔
39.442         1531950654.0    23333
39.577         1531838093.0    卧槽
39.61          1531926319.0    哈哈哈哈
39.698         1531956281.0    太专业了的吧23333
39.843         1531892342.0    秀
39.845         1531845204.0    哈哈哈哈哈哈哈哈哈哈哈哈哈老板秀啊
39.919         1531835960.0    2333
39.921         1531983832.0    利索
39.958         1532011929.0    笑死了 ，南方的是不是见个北方人就说是东北的， 你们什么耳朵
40.102         1531887878.0    这也 太秀了
40.164         1531842190.0    天灵盖碎了
40.201         1531834676.0    突然去世！！
40.277         1531842429.0    好可爱的店主呀！
40.481         1532070884.0    不是说越秃越强吗
40.495         1531887937.0    哈哈这么弱
40.501         1531969893.0    神碰瓷哈哈哈哈哈哈哈哈
40.571         1531976774.0    哈哈哈哈哈哈
40.628         1531899060.0    郭德纲的声音?
40.838         1531927815.0    6666666666666666666
40.861         1531848050.0    人高马大的我还以为要打人了呢
40.874         1531926009.0    抱紧吧，赶紧的！😙🤣
40.919         1531828775.0    666
41.204         1531923557.0    影帝级别
41.22          1531905292.0    吓的你酒醒
41.229         1531967668.0    这不是大力哥吗？
41.301         1531835392.0    打辅警666
41.436         1531893275.0    吴克
41.647         1531993349.0    2333333
41.926         1531826783.0    人辅警招谁惹谁了
42.319         1531840525.0    哈哈哈
42.339         1531962086.0    来啊，互相伤害啊
42.444         1532021162.0    ？？？为什么还发辅警？   这么找死？
42.486         1531925421.0    66666666
42.573         1531833798.0    哈哈哈哈
42.705         1532015865.0    真·摸头杀
42.804         1531999071.0    还好还好
42.811         1531837320.0    这是北京吧天津吧 还东北 无语了 🐮
42.995         1531838322.0    喝多了
43.027         1531885973.0    233333
43.086         1531963232.0    我擦，疼啊！少五千你跑不了
43.1           1531838997.0    辅警：我**mmp
43.217         1532017793.0    666666
43.42          1531841638.0    666
43.424         1531904433.0    靠玩这个来的本钱开的店。别班门弄斧，不知好歹。
43.503         1532072904.0    哈哈
43.577         1531837840.0    摸头杀
43.689         1531996471.0    66
43.752         1531884959.0    嚯嚯嚯，你就是北京内马尔？
43.766         1531885214.0    机智的老板
44.016         1531842856.0    这声音好像郭德纲
44.079         1531992407.0    秃啊，秀子
44.104         1531930280.0    做得好
44.262         1532016316.0    666666666
44.284         1531847126.0    你俩是一家人吧？
44.358         1531904953.0    烤串经理HP1
44.489         1531931173.0    还打了警察，厉害了两位
44.493         1531835379.0    233
44.86          1531881670.0    笑死了
45.46          1531872310.0    哈哈
45.621         1531897189.0    哈哈哈哈哈哈哈哈哈哈哈哈秀啊
45.64          1531932905.0    打辅警就6了
45.67          1531840839.0    66666
45.72          1531838106.0    神演技直接倒下
45.793         1531826326.0    23333
45.796         1531836255.0    这波操作让那个男的都措手不及😂😂
45.811         1531926636.0    好好好
46.0           1531915627.0    真。摸头杀。
46.336         1531836353.0    好卡，，，，
46.377         1532019733.0    哈哈哈
46.583         1531836794.0    踢球去吧
46.641         1531830947.0    你两牛逼了，你也不知道我哪来的钱开这店的
46.961         1531841857.0    呵呵红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈
47.021         1532065959.0    警察只会看谁先动手的  不会管轻重
47.138         1531833501.0    666666666
47.26          1531892469.0    跪下了哈哈哈哈哈哈
47.307         1531835678.0    666
47.418         1531889605.0    哈哈哈
47.433         1531985384.0    以前踢足球的
47.442         1531916968.0    文明人
47.447         1531976066.0    教科书般的技巧啊
47.448         1532068516.0    当场去世
47.731         1531843026.0    2333机智
47.858         1531878031.0    服了。
47.986         1531921304.0    赚了，
48.116         1531922739.0    这么厉害的吗
48.5           1531835153.0    赚了
48.513         1531992595.0    666
48.576         1531840212.0    该
48.601         1531974236.0    哈哈哈哈哈哈哈哈
48.757         1531905757.0    6
48.903         1531915025.0    血亏啊
48.905         1531836360.0    辅警招谁惹谁了
49.001         1532055973.0    牛逼
49.058         1531999077.0    哈哈哈哈
49.098         1531985110.0    迫真演技
49.112         1531920854.0    哈哈哈
49.175         1531918778.0    牛皮
49.399         1531935871.0    优秀
49.596         1531888904.0    66666666666666666666
49.601         1531844689.0    北京人真会玩
49.658         1531835703.0    伏地魔
49.813         1531838305.0    66666
49.907         1531841054.0    6666666
49.976         1531836302.0    665
50.35          1531884354.0    23333333
50.395         1531918792.0    墙都不服，就服你
50.574         1532009845.0    服了……
50.696         1531911011.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
50.723         1531889835.0    北京人真伟大！
50.743         1531834044.0    一顿500600的饭现在要3000才可以解决还不可以吃到
50.817         1531930360.0    233干得好
50.926         1531890498.0    23333333333333
50.989         1531826629.0    霸气
51.041         1532005023.0    666666
51.253         1532011016.0    当场去世
51.293         1531927550.0    这是哪家店？
51.589         1532072914.0    神魔鬼捏？
51.641         1531966265.0    哟呵老手知道打辅警不算袭警，老手
51.847         1531840658.0    霸气 !痛快!
52.001         1531841597.0    666666666666666计划通
52.041         1531932399.0    安排！
52.06          1531969561.0    牛逼
52.064         1531847166.0    店老板也是性情中人
52.151         1531842635.0    国足:嗯，不错，来当教练吗？
52.43          1531880995.0    这套路纽币
52.467         1531885467.0    牛掰，你是内马尔的球迷吧？
52.77          1531941408.0    不理智的解决问题，用这种手段能解决问题？
52.841         1531982532.0    直接拘了哈哈哈
52.892         1531921001.0    。。。。。
52.897         1531991668.0    66666666
52.915         1531838610.0    守护这片天空的到底是谁呢？
52.941         1531845223.0    爽
53.0           1531818703.0    6666
53.088         1531821661.0    爽了
53.177         1531969785.0    66666666，男子汉
53.237         1531987384.0    优秀
53.355         1531886721.0    能屈能伸
53.56          1531907457.0    2333
53.758         1531846781.0    牛比了
53.76          1531981762.0    大哥不差钱，就要你进去蹲两天儿！
53.872         1531837926.0    真香
53.901         1531833768.0    霸气侧漏啊！！这位经理大哥
53.952         1531930161.0    大快人心
54.041         1531844974.0    nb
54.051         1531923697.0    哈哈哈
54.219         1531827700.0    帝都大哥
54.278         1531930512.0    666
54.323         1531963093.0    666666666
54.372         1531839013.0    厉害了👍
54.423         1531986451.0    干得漂亮，能屈能伸的范例，哪家店，想去送花
54.574         1531904868.0    雷打不动的大哥倒下了！
54.603         1531912599.0    那两人为什么不跑？？？？
54.702         1531961674.0    把你膝盖给我交了
54.836         1531885898.0    省的祸害别人
54.961         1531961165.0    优秀
55.002         1531970481.0    这骚气的配乐
55.14          1532063963.0    23333333
55.337         1531842607.0    国足看了想要你
55.392         1532004436.0    噗哈哈哈
55.418         1531847070.0    大哥也是社会人
55.87          1531912152.0    厉害
56.271         1531886024.0    这是什么操作
56.588         1531920564.0    牛逼
56.841         1532002519.0    没毛病，老哥躺的是真快…
56.932         1531833411.0    舒服
56.94          1531833227.0    哈哈哈哈
57.312         1531819709.0     一看就是两个外地到北京混的
57.317         1532001522.0    66666666
57.463         1531836021.0    6666666
57.492         1532078989.0    NB
57.536         1531837930.0    真香
57.733         1531974808.0    涩会
57.935         1532002479.0    哈哈哈哈哈
58.109         1531981194.0    优秀
58.272         1531835068.0    秀啊秃兄
58.725         1531842532.0    我会直接揍挑事的怎么办
59.18          1531849740.0    店里的服务员都好好看好好学，这就是为什么人家能当经理你们却不能的原因
59.254         1531845348.0    这教会了我们被人打该怎么办
59.312         1532078532.0    666啊
59.696         1531833760.0    哈哈哈哈哈哈哈哈哈哈
59.749         1532005199.0    对不起我不是故意笑的hhhh
59.776         1531920438.0    23232323323
59.897         1531925639.0    请问谁在拍
60.323         1531980443.0    不缺钱，拘捕了
60.957         1531846002.0    哈哈哈哈哈
61.058         1531875977.0    一看就得了内马尔真传
61.148         1531879853.0    京痞
61.433         1531906735.0    牛，我服
61.476         1531992659.0    北京爷们 挺好的这表现
61.678         1531909921.0    俩外地一北京腔？
61.788         1532063116.0    哈哈哈啊哈哈哈哈哈哈哈😄
62.22          1531890104.0    厉害了
62.311         1532060276.0    真实亏
62.645         1531835159.0    厲害
62.787         1532015842.0    真快啊
62.871         1531841621.0    666
63.119         1531976554.0    秀
63.159         1531831313.0    前面的看不起外地人?
63.331         1531861050.0    从人家说这两个是来混的变成瞧不起外地人，挺会引战啊
63.529         1531840374.0    血赚
63.632         1531843009.0    数据全靠编
64.353         1531969619.0    哈哈哈，漂亮
64.361         1532009499.0    我只想问赔钱了没
64.542         1531829303.0    棒啊
64.679         1531886665.0    老板这体格不打死他啊
64.816         1531926636.0    一队沙皮
64.862         1532015336.0    23333
65.294         1531833455.0    又是来北京的外地b
65.383         1531838351.0    老手
65.408         1531842726.0    打辅警666666
65.666         1532015771.0    有趣有趣
65.872         1531841058.0    爷们
66.228         1531840117.0    666666
66.27          1531926314.0    硬气
66.311         1532007646.0    牛逼
66.374         1531958510.0    666
66.388         1531926641.0    卧槽这个光头大哥练过的呀
