排名：58
网址：https://www.bilibili.com/video/av27079326
更新时间：07-21
弹幕总量：530
preciseTime    ofTime          comment
0.318          1531969297.0    88狙100米散布比M870这霰弹打独头弹还大，这才有88霰的外号
0.662          1531981178.0    支咐宝首頁捜索“86OO14”能为所欲为
0.75           1531964374.0    国产大狙！
0.758          1531969398.0    88狙100米散布比M870这霰弹打独头弹还大，这才有88霰的外号
1.24           1531886754.0    体验服吗？
1.523          1531884120.0    耳总越来越短了
2.4            1531890410.0    英国L86A1式5.56毫米轻机枪正式装备
2.637          1531969346.0    一
2.801          1531969455.0    我本来不喜欢mini看完这个必须喜欢mini了
2.874          1531976956.0    人质死了，任务也就结束了--88式反人质霰弹枪
2.957          1531938001.0    画质爆炸！
3.0            1531962685.0    真的更了
3.383          1532021334.0    88当精确射手步枪还凑合
3.913          1531939458.0    这车sony
4.201          1531965037.0    不在现场
4.662          1532146702.0    88式反人质霰弹枪
4.758          1531973567.0    帧数好评
4.994          1531978006.0    23333
5.042          1531969198.0    帧数感人
5.07           1531880763.0    反人质散弹枪
5.135          1531888315.0    我
5.153          1531958797.0    88霰
5.454          1531971104.0    88式反人质...
5.459          1531966894.0    出现了！讲究怪
5.615          1531883742.0    88时反人质霰弹枪！
5.714          1531974987.0    88霰
5.743          1531967811.0    88狙
5.834          1531945390.0    封面88
6.037          1531958005.0    订书机这么好听还换什么
6.142          1531957369.0    帧数好评
6.2            1531965245.0    电影视角
6.501          1531894417.0    电脑第一视角真逼真，手机的就像一坨稀饭
6.627          1532091687.0    我拿过98杀。
6.663          1531888720.0    帧数好评
6.94           1531963384.0    说88霰的知道怎么回事吗就到处说 一群傻子
7.26           1531968550.0    帧率感人
7.462          1531961629.0    88狙？
7.501          1531976033.0    哈哈哈哈哈
7.534          1531973317.0    开车，讲究
7.78           1531977514.0    QB是指Qiang Bu, Bu Qiang
7.983          1531891282.0    哈哈
8.19           1531889194.0    QBU88
8.376          1531891321.0    88式的定位本来就不是高精狙！
8.767          1531961104.0    画质帧数好评
8.78           1531973033.0    看见枪就滚进来了
9.07           1531888965.0    还能开雨刷
9.116          1531914298.0    在现场
9.421          1531918927.0    这是新车
9.473          1531894441.0    刚开始还以为是开车录视频呢。。。
9.602          1531978192.0    QZY88怎么有变成QBU了？
9.634          1531973874.0    88式
10.03          1531981187.0    支咐宝首頁捜索“86OO14”这么讲究吗
10.64          1532003103.0    这配置是有多高？
10.719         1531970405.0    嘿嘿
10.981         1531936591.0    60帧
11.352         1531939805.0    八八式本来就不是精度狙，中狙击的连狙
11.38          1531973451.0    88霰
11.425         1531883943.0    帧数舒服
