排名：40
网址：https://www.bilibili.com/video/av27079692
更新时间：07-20
弹幕总量：2248
preciseTime    ofTime          comment
0.0            1531973677.0    爱彭姐！！又回来咯
0.08           1532019239.0    请问你发膜都用什么牌子呀！！！ 发质看起好好
0.327          1531897206.0    十九小时前，哭唧唧
0.478          1531922696.0    有毒彭姐
1.296          1531925681.0    结果彭姐还是选了2啊哈哈哈哈
1.509          1532060473.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.586          1532015517.0    江西南昌等你哟
1.941          1532027275.0    我来啦
2.614          1531987444.0    求一个关于隐形眼镜的视频
2.627          1531918579.0    好疯狂哈哈哈哈哈哈哈
3.201          1531898487.0    来辣!
3.53           1532013498.0    唉我居然没看...
3.584          1531903533.0    十年过去了
3.86           1531930197.0    二刷
3.925          1531925323.0    我为什么要睡前看这个？
4.021          1531897544.0    宝贝～～你来啦！想死你了
4.179          1531980140.0    啊啊啊啊啊啊又见彭姐！！！！
4.42           1531984417.0    开心ヽ(○^㉨^)ﾉ♪
4.518          1531991101.0    终于回来了
4.524          1531987449.0    求一个关于隐形眼镜的视频
4.545          1531987579.0    求一个关于隐形眼镜的视频
4.944          1531902813.0    终于等到你
4.979          1531911844.0    终于回来了
5.034          1531927888.0    啊啊啊我大重庆
5.202          1531974058.0    终于回归了！彭姐我爱你
5.383          1531962432.0    啾咪❤️
5.7            1531895201.0    ❤️❤️
5.94           1531893780.0    好久不见！！
6.321          1531979610.0    补弹幕来了
6.329          1531956262.0    啊啊啊更新了
6.422          1531928626.0    彭姐
6.528          1531908169.0    我的妈啊
6.764          1531987585.0    求一个关于隐形眼镜的视频
7.061          1532050980.0    不 我要衣服视屏
7.177          1531918598.0    你好聪明！！
7.197          1531911832.0    盆姐这才是真的开心啊
7.282          1531912929.0    看到彭姐就好开心啊！
7.305          1531911421.0    终于更新了！
7.379          1532016317.0    真的好喜欢彭彭啊！！！考研释放压力一个好去处
7.399          1531993362.0    爱看彭姐的vlog
7.641          1532004275.0    哈哈哈哈哈哈哈哈哈哈
8.373          1531933197.0    终于等到你
8.779          1531962372.0    再看一次
8.879          1531914044.0    来啦来啦
8.912          1531906291.0    终于更新了
9.64           1531996875.0    哈哈哈开头就笑得不行
9.985          1531933157.0    爱你
10.14          1532057758.0    彭姐看样子是很开心嘛～这就对了～
10.438         1531922138.0    失踪人口回归
10.866         1532002800.0    开心
10.922         1531930150.0    等了你好久！彭姐！
11.121         1531902789.0    啾咪
11.31          1531928681.0    彭姐
11.418         1532012171.0    依照惯例投币了收藏了点赞了嘻嘻嘻 快夸我！
11.626         1532077282.0    我的床上！！！！有一只一模一样的狗狗玩偶！！！！激动惹
12.351         1531968322.0    不就是硬币，给你
12.437         1531901034.0    终于等到你
12.459         1531930321.0    失踪人口回归啦！
12.629         1531971341.0    鬼畜up
12.661         1531922129.0    终于更新
12.714         1531896585.0    再看一遍！
13.02          1532048144.0    2333
13.259         1531911164.0    终于看到你啦~
13.271         1531928641.0    失踪人口回归
13.64          1531909171.0    心情不好来看肥瞳了
13.824         1531893001.0    肥瞳的笑真的很有感染力！！
14.081         1532068714.0    我真的觉得你变丑了，曈姐啊！！！！！
14.2           1531915020.0    彭姐!啾咪!
14.374         1532013208.0    爱您
14.421         1531920136.0    明天重庆回成都
14.565         1531930749.0    哈哈哈哈哈哈哈哈宝贝
14.848         1531902967.0    啊啊啊啊啊啊
14.933         1531920967.0    天天念叨你
15.253         1531984452.0    发生了啥子
15.378         1531988726.0    阿阿阿阿阿阿阿阿
15.681         1531941156.0    今天看完镇魂的沙雕剧情真的好气但是看了彭姐我就好多了
16.798         1531981482.0    笑得像个傻子
16.814         1531897855.0    你还知道回来！！！
16.892         1531928644.0    我来了
17.079         1531926970.0    瞳瞳
17.355         1532021483.0    同款狗。。。
17.579         1531980981.0    超喜欢她，很真实，
17.641         1531909841.0    十二分钟看不够啊曈曈!
18.101         1532004286.0    开心
18.299         1531986292.0    彭曈曈啊啊啊爱死你了
18.801         1531925996.0    诶嘿嘿嘿嘿嘿嘿嘿嘿嘿，，，，，，
18.945         1531990628.0    失踪人口！！
18.97          1532011881.0    人妖？
19.464         1531908182.0    刷到了宝贝
19.521         1532056855.0    刷第二遍❤️
19.592         1531918611.0    嘿嘿嘿嘿嘿
19.626         1531915672.0    美颜暴击
19.67          1531910964.0    我为什么要跟着笑哈哈哈哈
19.774         1531968935.0    笔芯
19.776         1531906078.0    是不是限流了
19.899         1531980181.0    看到这个床就想起拉姆啃彭姐的猪🐷
20.22          1532019438.0    彭姐又回来了，更新喽
20.379         1532059904.0    啊啊啊啊
20.576         1531904296.0    我的彭姐啊啊啊
21.077         1532057082.0    刚从重庆回来啊
21.271         1531910625.0    重庆！！
21.35          1531905593.0    支咐宝首頁捜索“86OO14”这么优秀吗
21.478         1532062550.0    我在重庆集训，啊啊啊啊啊啊啊啊
21.752         1531928691.0    彭姐笑得真好看
21.754         1531993387.0    啾咪
21.76          1531925185.0    你月半了
21.764         1531928649.0    彭姐
21.907         1531911172.0    超级想你~啾咪
21.971         1532004289.0    宝贝
22.172         1532065780.0    俩小时！！
22.359         1532059911.0    重庆!
22.379         1531968266.0    呜呜呜错过了！
22.59          1531992691.0    wdm，彭姐更新了！！！
22.804         1531916503.0    跟着彭姐笑
23.477         1531969231.0    彭姐太好看了吧
23.529         1531968333.0    爱生活爱彭姐
23.745         1531893705.0    死亡鼻影
23.841         1531931971.0    可爱
24.419         1531910067.0    天哪，彭姐你啥时候来重庆的，我都没看见你呜呜
24.49          1531907937.0    口红！！！好看！
24.576         1531904199.0    彭姐是不是该减减啦呀
24.768         1532061991.0    既然放假了彭姐要多录点视频哦
24.793         1532016123.0    是不是....胖了？
25.574         1532016972.0    欢迎来重庆！！啾咪
25.856         1532078161.0    唯一一个不发彩妆的美妆博主我还爱看的
25.961         1531925303.0    熟悉的背景
26.2           1531925478.0    开弹幕看一遍 关弹幕看一遍
26.709         1531990735.0    好可爱好可爱！
27.05          1532076727.0    同款腊肠狗！
27.668         1531907458.0    彭姐的眼线怕是要飞到天上去了😂😂😂
28.798         1532014973.0    伤心什么时候来重庆了qwq
29.051         1531908790.0    同款T恤
29.281         1532015202.0    彭姐好美
29.321         1531920271.0    🌟🌟🌟🌟🌟
29.415         1531934059.0    卡在了奇怪的地方
30.014         1531927910.0    曈曈瘦了！！！
30.868         1531918317.0    瘦了瘦了
31.075         1531984445.0    好久不见，真的胖了
32.877         1531934405.0    这是在四川
33.465         1531909122.0    啊啊啊很开心你又更新了
34.761         1531912700.0    👄
35.925         1531918627.0    眼镜好好看
36.38          1531930831.0    白种人妆
37.117         1531926992.0    卡
37.37          1532011669.0    🌼
37.407         1532014540.0    我想要！！！
37.641         1531984619.0    胖了
37.888         1531921435.0    哈哈哈
38.015         1531895257.0    口红颜色好好看
38.368         1531906097.0    为什么没有看到更新的动态！！
38.98          1531927578.0    🔱
39.014         1532070963.0    我靠
39.22          1532057801.0    ！！！我也想要！！！
39.275         1532072952.0    正能量 泪目预警 备好纸巾
39.514         1532072051.0    哇(⊙o⊙)哇(⊙o⊙)哇(⊙o⊙)哇
39.52          1532077716.0    瞳瞳是不是瘦了
39.523         1531969426.0    哇哇
39.781         1532079160.0    瘦了瘦了
40.292         1532062139.0    哈哈哈哈哈
40.591         1531984477.0    我爱你彭姐！！！！！
40.874         1531922936.0    太羡慕了
41.281         1532070155.0    曈曈你什么时候来找我
42.098         1531912714.0    🌸🌸🌸
42.325         1531983049.0    卧槽
42.474         1532015556.0    快来
42.862         1532060144.0    许茜许茜许茜
43.74          1531978707.0    👁
43.979         1532021809.0    有点肉肉了？
45.568         1531916461.0    卧槽
45.76          1531893933.0    啊啊啊啊
46.59          1531902320.0    羡慕炸了
46.932         1532046623.0    真的热
47.616         1532062931.0    哈哈哈哈走到彼此的套路中！好有情趣喔
47.63          1532072985.0    羡慕使我扭曲
47.721         1532070180.0    曈曈你什么时候来找我来找我来找我！！
48.005         1532012482.0    mmp
48.808         1531976160.0    👑
48.82          1531899535.0    羡慕
49.215         1531928821.0    哈哈，都是套路
49.438         1531908650.0    一碗麻辣烫，晚上16(≧∇≦)/
50.327         1532012489.0    湖南欢迎你
50.752         1531896101.0    彭姐来长沙！！！！
51.033         1532058093.0    同款床单
51.279         1532062008.0    这个床单亮了 哈哈哈
51.541         1531996931.0    哇塞好棒啊
51.783         1531918653.0    霸气！！！
52.2           1531906612.0    想嫁
52.31          1531914271.0    我就是重庆的！！！
52.7           1531908229.0    重庆超热
52.753         1531913958.0    卧槽(*｀へ´*)
52.794         1531957762.0    太羡慕了
52.798         1531901081.0    羡慕啊啊啊
53.139         1531977935.0    啊啊啊啊啊太羡慕了啊啊啊
53.241         1532041652.0    🌸🌸🌸🌸🌸🌸🌸
53.509         1532065409.0    深圳了解下！！！！！！！！！！！！！！！！！！
54.001         1531975691.0    原来大奖是你啊，卧槽！
54.041         1532051044.0    卧槽 我新疆的 你来好不好
54.521         1531921182.0    哈哈哈哈哈哈哈哈哈
54.794         1531921456.0    好羡慕啊啊啊啊啊啊啊啊
54.869         1531924962.0    我爱你
55.188         1532066381.0    首投给了你，我看的太激动了
55.515         1531971850.0    老子追你追到天涯海角
55.943         1531928725.0    哇嫉妒使我丑陋
55.955         1531900911.0    羡慕！
56.021         1532047289.0    太可爱了！
56.219         1531967159.0    哈哈哈
56.3           1532067880.0    糟了 想嫁
56.62          1531902070.0    哈哈哈哈哈哈哈哈哈哈哈
56.681         1532047429.0    爱你
57.072         1531920796.0    6666
57.099         1532078518.0    我也是重庆的！
57.271         1531994026.0    想嫁
57.553         1532005785.0    哈哈哈哈哈
57.682         1532001443.0    幸亏没抽到我，我是新疆的
57.779         1531917654.0    怎么没偶遇！！气死本兄弟了
58.292         1532029537.0    重庆人这两天热到不想出门
58.333         1532072996.0    嫉妒使我愤怒
58.453         1531920038.0    超级可爱啊！！！！
58.623         1532047441.0    哇(⊙o⊙)哇~羡慕
58.711         1532048190.0    2333
58.912         1532062158.0    23333333
58.979         1531892879.0    老子追你追到天涯海角
59.023         1532076797.0    太可爱了
59.306         1531901658.0    呜呜呜好羡慕啊
59.33          1531972923.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
59.478         1531914928.0    羡慕
59.56          1531968325.0    这个鼻影真的。。。。绝了。。。
59.562         1532046006.0    羡慕艳羡嫉妒
59.733         1532009385.0    老子追你追到天！涯！海！角！
59.762         1532052685.0    拍手暗示啪啪啪？ 23333
59.819         1531918114.0    你竟然来重庆啦！我在啊，偶遇啊！
59.889         1531901244.0    羡慕啊啊啊
60.074         1531908396.0    二刷
60.22          1531901135.0    羡慕那位同学
60.843         1531984511.0    哇哇哇哇好羡慕啊啊
61.761         1532072928.0    那么幸福
61.885         1531969458.0    羡慕到发疯
62.654         1531903077.0    哈哈哈哈哈哈哈哈
62.721         1531911532.0    实名羡慕了
62.976         1531983073.0    羡慕
62.998         1531908798.0    羡慕
63.22          1531910117.0    羡慕到爆炸
63.398         1531907788.0    羡慕
63.762         1531919796.0    太羡慕啦彭姐太有心了，爱死你了，长三角考虑一下不
64.254         1532009632.0    宠粉！
64.379         1531899630.0    这个眉毛是什么意思啊
64.548         1532060166.0    许茜许茜许茜
64.58          1531919276.0    羡慕
64.618         1531928734.0    羡慕
65.706         1531919243.0    鼻影太重了啦
67.076         1531929136.0    哈哈哈哈哈哈哈
69.538         1532061259.0    哇哇哇哇好羡慕啊啊
70.741         1532070781.0    怎么觉得彭姐越来越像龙妈了
70.916         1531919296.0    不热吗？？？！
71.632         1531911134.0    羡慕到爆炸！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
73.813         1531916507.0    我突然发现同款娃娃
74.565         1531927037.0    贼卡
75.732         1531995337.0    那么热
78.544         1531904005.0    羡慕啊啊啊！
78.997         1531932472.0    美姐惹
79.206         1531928749.0    哈哈哈哈
79.417         1531970634.0    哈哈哈
81.323         1531931261.0    是学环境的兄弟啊哈哈哈哈哈
82.156         1531995343.0    真爱了
83.143         1531931274.0    我也是去污水处理厂实习
83.178         1531907538.0    羡慕啊啊啊啊啊啊
87.499         1532068866.0    环境科学了解一下
88.36          1531911151.0    瞳瞳我也想见你！！！！！！！！！！！！！！！！！！！！！！！！！
88.461         1531996980.0    我的妈天大的玩笑哈哈哈
88.665         1531968410.0    同款狗狗！！
89.173         1531984314.0    同款专业！给水排水工程！
90.182         1532007281.0    污水处理厂。。。市政还是环境的。。。
90.319         1532015751.0    污水处理厂？？？？给排水专业了解一下
90.709         1532007483.0    哈哈哈哈哈哈同款实习了
91.292         1532007463.0    环境工程吗
91.419         1531980265.0    哈哈哈哈哈哈哈哈移动速度贼快
91.648         1531900899.0    哈哈哈同是环境工程的，实习去污水处理厂hhh
91.811         1531994064.0    真爱
91.818         1532066317.0    卧槽看见弹幕才发现也是同款狗！！
91.899         1532012661.0    好羡慕
91.921         1531920417.0    难道是给排水专业
92.177         1531914002.0    哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！！
