排名：95
网址：https://www.bilibili.com/video/av27080567
更新时间：07-21
弹幕总量：144
preciseTime    ofTime          comment
1.024          1531986584.0    0.5倍食用效果更好
1.638          1531931182.0    完事了
1.971          1531922307.0    5万播放，55弹幕你们的手在干嘛
2.672          1531974769.0    请大家尽量舒服~
3.333          1531929463.0    我已经完事了
4.01           1532023250.0    可耻的播放量
4.502          1531904557.0    我喜欢这奶奶
7.979          1531907297.0    这播放量不够可耻
9.244          1532149959.0    真的大
9.634          1531980499.0    这个是谁啊(°_°)…
10.644         1531962641.0    好大
10.952         1531910034.0    都在操作，我来证明你开了弹幕
11.32          1531923324.0    过审小王子
11.431         1531972076.0    这可耻的播放量
11.939         1531930878.0    舒服了 溜了
12.299         1532081300.0    我完事了
12.572         1532066772.0    索然无味
12.627         1531899696.0    我开动了
13.216         1531909830.0    3.7万播放 36弹幕，你们在干嘛！？
13.349         1531890767.0    双手打字以示清白
13.568         1532017497.0    妈妈我恋爱了
13.579         1532169021.0    好漂亮的**
14.741         1531920087.0    配上弹幕就可耻了
15.032         1532058831.0    😏😏😏😏😏😚😚😚😚😚
15.067         1532023926.0    🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌
15.522         1532088269.0    大大大大大大大大大……
16.059         1532005454.0    杨紫
17.189         1532060245.0    韩国妹子性感
17.339         1531925751.0    撸死在b站
17.597         1531896996.0    她叫什么？
17.899         1531975773.0    播放量是谁为什么可耻他做了什么
18.078         1531908617.0    大大大
18.731         1531872897.0    空屏啊
19.114         1531976393.0    膝盖不好看
19.121         1532060797.0    大大大大大大大大
19.159         1531968351.0    我靠，招架不住了
19.18          1531919964.0    手太忙了，只能用舌头打字
19.285         1531908401.0    我好了
19.842         1531895050.0    播放2w弹幕只有11？
20.053         1531907308.0    真的大啊
20.34          1531913316.0    其实身材有点壮
20.366         1532080132.0    我完事了，你们呢？
20.736         1532167552.0    啪啪啪
20.906         1532001001.0    过分！
20.939         1532010155.0    叶一茜
21.077         1532023297.0    好想一头扎进去，
21.162         1531988231.0    喵喵喵？？
22.179         1531911140.0    才22秒啊兄弟你好了？？？
22.76          1531892564.0    没人
23.706         1531875778.0    这谁?
23.762         1531903477.0    我完事了，你们呢
24.254         1531908780.0    3.6万  但是弹幕呢？
24.638         1531912568.0    线路围巾
25.452         1531925329.0    坐的时候抖了两下
25.536         1531928655.0    一大大尅骂死
26.142         1531983976.0    救救我
27.18          1531889860.0    钟淑
27.967         1532001479.0    好凶
28.368         1531919938.0    很普通
28.602         1531901267.0    晕奶晕奶
29.506         1531921986.0    大家一起来可耻吧
29.61          1531907735.0    李易峰
29.673         1531982032.0    播放8.2W，弹幕47
29.782         1531905031.0    好可爱的样子
30.19          1532015216.0    我老婆
30.261         1532063631.0    啊，我恋爱了，
30.288         1531889960.0    终于看到一个封面和内容一样的良心视频了
30.472         1531928594.0    握草嘞
30.601         1532062494.0    双脚打字以表清白
31.041         1531888071.0    文明看球
31.413         1531904690.0    番号多少
31.867         1532072806.0    是鸡动的感觉
32.347         1532096354.0    有点假，手这么粗腿这么瘦
33.663         1531977632.0    单手打字真麻烦
33.926         1531987144.0    可耻的播放量
34.08          1531996809.0    啊∽
