排名：50
网址：https://www.bilibili.com/video/av27081848
更新时间：07-20
弹幕总量：1486
preciseTime    ofTime          comment
0.0            1531991732.0    哟哟哟哟切克闹
0.067          1532003133.0    手环2的举个手
0.083          1532000632.0    快高考
0.441          1532045928.0    我想要诶
0.519          1531840566.0    其实我是来看盗墓的
0.539          1531990266.0    666
0.638          1531873709.0    污哦~
0.729          1531913378.0    这
0.878          1531989493.0    污哦～
0.889          1531880397.0    污哦~~
0.899          1531986657.0    我觉得还是挺好看的
0.977          1531843701.0    前排留名污偶
1.236          1532045357.0    12342234
1.598          1532077408.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.599          1532000197.0    拉低中奖
1.658          1531914835.0    第一波抢购用户路过
1.895          1531985791.0    污哦
1.93           1532003024.0    哈哈哈
2.078          1531878368.0    污哦！
2.175          1532050944.0    ……
2.245          1531988827.0    呜哦~
2.699          1531895408.0    污！
2.883          1532008843.0    污哦
2.965          1531985916.0    6
3.044          1531985493.0    污哦~
3.067          1531844838.0    呜哦
3.328          1531997370.0    抽我吧
3.376          1532000414.0    污哦
3.56           1531895274.0    酷友：清风白笙空降成功
3.656          1531988306.0    污哦～
3.712          1531997715.0    我来了。
4.392          1531862326.0    污哦~
4.401          1531841509.0    污喔
4.64           1531988725.0    wu。
4.772          1531986343.0    啦啦啦啦
4.776          1531985858.0    真有钱
5.001          1531853848.0    戴着手环3来看
5.3            1532010320.0    一直想买个小米手环，可是没钱买😂
5.653          1531996158.0    污
5.78           1531895414.0    污哦！
6.124          1531878388.0    污哦
6.407          1531995385.0    抽奖
6.419          1531873249.0    手戴3观看
6.509          1532012217.0    污哦
6.658          1532013566.0    污哦
6.826          1531900810.0    污哦！
6.921          1531843785.0    污哦
7.117          1531987773.0    啦啦啦啦啦啦
7.253          1531877622.0    一直带着除了充电
7.358          1531900260.0    前方高能！
7.424          1531992016.0    买吧
7.522          1532051871.0    过生日媳妇送了这个给我
7.601          1531843393.0    2104
7.673          1531914062.0                                        得意的眼神
7.92           1531844223.0    只为了喔噢
8.045          1531997473.0    嘤嘤嘤嘤嘤嘤
8.449          1532003031.0    哈哈哈哈
8.704          1531848428.0    乌哦
9.051          1531999861.0    围观
9.458          1532044340.0    什么呀
9.506          1531889133.0    前方高能
9.661          1531890201.0    污哦~
9.84           1532002995.0    。。。。。
9.921          1531875689.0    标准片头
10.183         1532004614.0    我我我
10.218         1532008673.0    污污污
10.259         1531874555.0    卒
10.395         1531995881.0    污哦！
10.668         1531842567.0    得意忘形
10.787         1531990588.0    ？？
10.922         1531842070.0    成功截图
11.034         1531903152.0    污哦
11.328         1531841349.0     同款姿势！
11.459         1531996568.0    万一呢
11.522         1531992657.0    希望中奖
11.771         1531995612.0    冲
11.88          1532018424.0    哦豁
12.066         1532012242.0    傲娇的小眼神，真是绝了
12.182         1531842468.0    骄傲
12.216         1532010997.0    666的
12.622         1532071273.0    都是给别人买的
12.719         1532075406.0    买了
13.055         1531911572.0    污哦~
13.137         1531999895.0    好图
14.433         1531996283.0    额，，
14.51          1531965375.0    这么晚的开箱
14.841         1531987907.0    哦或
14.852         1532006485.0    没有1080P60吗
15.612         1531990323.0    拉低中奖率
16.087         1531930213.0    今天手环刚到就看到视频了
16.246         1531848716.0    坐等抽奖
16.844         1531988363.0    拉低中奖率
16.882         1531992699.0    科技美学是最火的新媒体平台没有之一
16.91          1531993753.0    手带手环三观看
17.011         1532047042.0    等NFC版
17.091         1531924368.0    都用了一个半月了。。。
17.38          1531841632.0    哈哈哈哈哈
18.16          1531849886.0    手戴小米手环3
18.36          1532060023.0    呜哦
18.558         1531898136.0    污
18.599         1531985593.0    wwww
18.791         1531991809.0    1
18.901         1531989433.0    米粒！！！
19.076         1531985396.0    投币一波
19.242         1531881602.0    360N7耐用吗？
19.969         1531865553.0    戴了一个月了。。
20.337         1531916684.0    d u like mi band
20.782         1531851262.0    现在现货咯
21.059         1531857458.0    手持ticwatch观看
21.163         1531992551.0    终于更新视频
21.322         1531841614.0    污哦
22.121         1531842737.0    wo
22.162         1532072799.0    看着外观不错
23.319         1531905002.0    爱斯基摩人
23.502         1531989811.0    差不多把
23.59          1532002122.0    现在正戴着。。。。。。。。。。。。。。。。。。。
23.603         1531991608.0    还不错。
23.742         1531841154.0    同款手环
23.961         1531842763.0    我要那岩手上的表
24.365         1532014758.0    拉低中奖率
24.49          1531915152.0    刚才的小眼神亮了
24.82          1531880024.0    手戴小米手环2观看
25.451         1531879759.0    哈哈哈哈
25.522         1531998692.0    是我  是我
26.007         1531989868.0    感觉不错
26.034         1531848863.0    手持米环3观看
26.055         1531927508.0    不抖差评！
28.04          1531990438.0    中奖率来了
29.537         1531847333.0    爱撕机膜人
29.582         1532013589.0    还在用2
29.708         1531994823.0    下方是我们的一个万代
31.092         1532012384.0    bandai
31.509         1532013954.0    下方是一根万代
32.059         1531925699.0    要抢吗？
32.08          1531988226.0    嘤嘤嘤
32.394         1531969799.0    带着后妈养的米动手表青春版
32.447         1531928234.0    amazfit cor路过
32.68          1531895413.0    酷友到此一游
33.34          1531897459.0    什么时候开箱TNT?
33.451         1531979734.0    手带miband3观看
34.242         1531928648.0    财团b
34.499         1531993155.0    来看看
34.5           1532055898.0    van带
34.741         1531890229.0    德基买的3
34.972         1531992618.0    同样带着…感觉还不错，挺好看
35.377         1531924205.0    bou～
35.409         1531990447.0    小米手环2丢了😭
35.603         1532029634.0    卡婊呢？
35.729         1531988528.0    海星
35.769         1531995228.0    哇可以额
36.439         1531980544.0    万代
36.579         1531895474.0    带了一个多月了
37.906         1531993186.0    咯啦咯啦咯了
37.982         1531916285.0    啵＾3＾
38.135         1531885748.0    戴着我手痛
38.58          1531888862.0    啵
38.785         1531843951.0    波-4
39.216         1531973201.0    ？？？万代
39.655         1531878208.0    载体
40.131         1531999022.0    啵
40.649         1532006879.0    我要吃了钠盐
40.656         1531993933.0    前面小米手环2丢了的等等我，我也是
42.604         1531983583.0    为什么不换个片头
43.392         1531989907.0    波！
43.579         1531988438.0    电线
43.867         1531847706.0    手持手环3
44.361         1531908716.0    z在等watchx+
45.212         1531997748.0    为什么不抖一下？？？
45.3           1531888896.0    手持小米手环1观看
46.65          1531878215.0    假体
46.75          1531985597.0    (*°∀°)=3
47.942         1532002253.0    波
48.042         1531847051.0    大概三十一厘米
49.687         1531988205.0    不是18:9差评
50.076         1531892087.0    蚂蚁积分换了一个 - -
51.549         1531881211.0    环三不如环二经典
51.72          1531919649.0    等等,充电线还没量长度呢
53.12          1531841734.0    米黑你们好呀
53.446         1531986547.0    应该知道下载
53.795         1531889597.0    手2
54.905         1531973274.0    万代：喵喵喵？？？
55.938         1531894675.0    万代
56.773         1532032615.0    我一直在用小米3试用版
56.785         1532008920.0    罗老师："假的！"
57.003         1531911982.0    从背面装
57.831         1532071640.0    万代
57.9           1531919582.0    万代
58.812         1531878073.0    哇刚好是我的生日。就为个日期我决定买小米手环啊哈哈哈哈哈。
59.44          1531904870.0    万代还行
61.344         1532010216.0    这贴纸最开始还以为是真的显示
61.41          1531912731.0    答题转正就为了你给发弹幕
61.739         1531999110.0    噗
62.251         1531841963.0    第一次还是比较紧的
62.334         1531840923.0    万代
62.376         1531868714.0    第一次还是比较紧的，哎我怎么变色了？
63.087         1531922064.0    带着手环3看
63.321         1531844679.0    不抖一下，差评
63.998         1531895356.0    第一次比较紧啊
64.867         1531991852.0    第一次还是比较紧的
65.032         1531989946.0    第二次就松了
65.309         1531915334.0    等nfc版
65.488         1531842066.0    91那先生
65.599         1531912238.0    方向反了..从下往上的....
65.66          1531917061.0    这充电线怎么量
