排名：29
网址：https://www.bilibili.com/video/av27082303
更新时间：07-20
弹幕总量：993
preciseTime    ofTime          comment
0.0            1532071390.0    f
0.067          1531828373.0    fff
0.124          1531832819.0    高产似那啥
0.15           1531829251.0    关上5.8w的大门
0.162          1531827071.0    你是谁
0.167          1531826758.0    请介绍一下你自己
0.185          1531826421.0    9779
0.215          1531826210.0    沙发
0.301          1531836270.0    高产高产
0.423          1531829557.0    一个小时
0.44           1531837085.0    突然高产
0.665          1531835259.0    高产似那啥
0.782          1531827445.0    高产
0.905          1531964641.0    still
1.083          1531827181.0    高产?
1.22           1531827631.0    先啊为敬  啊啊啊啊啊啊啊啊啊啊啊啊
1.244          1531837514.0    马化腾我知道是你
1.255          1531831086.0    Hello Lorre好，我们是你的大家
1.276          1531826701.0    高产lorre
1.373          1531887964.0    高产似那啥
1.574          1531840963.0    高产老瑞
1.596          1531830109.0    高产似那啥
1.619          1531934595.0    up要女装了啊
1.797          1531891184.0    高产！！
1.837          1532076761.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.873          1531831601.0    高产啊
1.877          1531995622.0    支付寳搜一下“
2.188          1531825925.0    xixi第
2.267          1531833015.0    突然高产? ?
2.329          1531843768.0    阿尔萨斯
2.485          1531996692.0    能打几个姓奎的？
2.647          1531885022.0    27万
2.667          1531833321.0    高产捞
2.687          1531905431.0    哇，真的高产
2.693          1531827365.0    恭喜老瑞成功晋级为勤劳up主
2.836          1531833259.0    ⎛⎝≥⏝⏝≤⎠⎞
3.071          1531853401.0    这两天高产似那啥
3.158          1531825934.0    第二阿阿阿
3.292          1531827098.0    符文？王雷神？
3.37           1531915459.0    666
3.402          1531829735.0    突然高产
3.419          1531839260.0    泡面作品
3.539          1531832925.0    高产
3.558          1531827830.0    芙蓉王雷神
3.685          1531838637.0    脑电波过强的人，要么是天才，要么是疯子
3.8            1532005170.0    (๑•̀ㅂ•́)و✧支付宝搜一下⑺⑺⑻⑼⑺⑵⑺,你会回来谢我的
3.867          1531826184.0    ！！！！
3.899          1531827089.0    史上最快 爱你表白老瑞
3.906          1531839766.0    芙蓉王雷神
4.139          1531827134.0    母猪
4.344          1531829592.0    高产啊
4.401          1531899016.0    秘密入侵呢
4.465          1531827788.0    bgm:still
4.606          1531826030.0    高产
4.718          1531889790.0    芙蓉王雷神
4.76           1531830652.0    一套纯攻击力符文
4.891          1531826170.0    早
4.965          1531827254.0    哇？!
4.989          1531828740.0    芙蓉王？
5.023          1531828862.0    买嘎得，这么强！
5.147          1531827507.0    嘤嘤嘤
5.188          1531847677.0    我的《秘密入侵》呢？
5.286          1531833198.0    突然高产
5.315          1531826094.0    卧槽人这么少
5.482          1531833780.0    高产啊
5.524          1531829494.0    为何如此高产
5.542          1531825943.0    为何如此之快
5.919          1531849145.0    高产
5.939          1531827625.0    最爱大公主~\(≧▽≦)/~
5.973          1531844975.0    u
6.2            1531878951.0    高产啊！
6.419          1531826784.0    封面好像欧叔啊哈哈哈哈
6.431          1531841707.0    突然高产
6.477          1531826819.0    高产那啥
6.546          1531827254.0    莫名高产？
6.56           1531828993.0    符文王战神奎爷表示弱爆了
6.632          1532009597.0    高产
6.978          1531831266.0    原谅色的是洛基
7.121          1531831460.0    BGM:Still D.R.E
7.483          1531825970.0    2播放
7.539          1531832997.0    突然高产
7.719          1531827351.0    yyy
7.883          1531826341.0    哦呼
8.019          1531826586.0    高产
8.186          1531828590.0    沙赞
8.506          1531828090.0    王雷神
8.527          1531825965.0    2
8.703          1531826197.0    高产似
