排名：75
网址：https://www.bilibili.com/video/av27086679
更新时间：07-21
弹幕总量：1178
preciseTime    ofTime          comment
0.044          1532011695.0    我估计看这个视频的大多都是月球人
0.393          1531983389.0    没有一点关于崩崩崩的内容，想看崩3的可以直接关了
0.438          1531972893.0    碧蓝还没凉，up说的是现在凉了的游戏。
0.835          1531969946.0    因为大多数人都是非洲来的
2.38           1531970414.0    我的少女前线呢？
2.831          1532051739.0    支付宝的全举报了
3.199          1532010363.0    网易发来的律师函警告
3.301          1531989286.0    我是魏籍吴人
4.227          1531969962.0    啊
4.645          1532052250.0    yys？
4.95           1531974444.0    红字真相
5.1            1531971511.0    我大MC何在？
5.158          1532010105.0    老哥不是游戏行业的吧。。人家现在月流水好歹还2亿 你说人家衰落 b站有几个能上2亿的
5.169          1531986118.0    支付宝的来一个我举报一个
5.341          1532011721.0    差不多个屁FGO开服玩了一个月好几个5星阴阳师玩半年一个SSR没有
5.411          1531974686.0    感觉一模一样
5.854          1532020126.0    立华奏，优库里伍德
6.102          1531974847.0    肝不到 肝不动了
6.19           1531991873.0    没觉得阴阳师会凉，大不了当养成收集完，但是希望他凉，游戏体验最差没有之一
6.539          1531972345.0    吾乃常山赵子龙
6.9            1532037024.0    并没有，在非洲人眼里没抽到卡就不会凉
6.953          1531973625.0    哦
7.058          1532100926.0    穷逼和非洲人表示无所谓
7.811          1531972413.0    封面全在肝。。。
8.236          1531974838.0    瞎BB
8.73           1531971872.0    吴国
9.66           1531993670.0    肝不动了，肝不动了，坐船回非洲了
9.7            1531971319.0    痒痒鼠还是有人玩的
10.601         1531974517.0    非洲人路过
10.677         1531969661.0    碧蓝航线
10.833         1531991538.0    看到崩坏3就进来了
10.896         1531971452.0    mc万岁
11.36          1532079872.0    戰艦少女R 了解一下
12.167         1532043586.0    舰长来个空中劈叉
12.239         1531969590.0    然而我是吴国的
12.768         1531973689.0    蜀国的人过来集合
12.963         1532079078.0    Hong Kong
13.1           1532090762.0    第五人格会衰吗
13.25          1532013180.0    阴阳师没凉啊
13.481         1531992234.0    等着看下期up打算黑谁（滑稽）
14.218         1532011267.0    居然一句都没提我大魔灵
15.413         1531974777.0    蜀国的我来报道了
15.701         1531974542.0    我也是吴的。。。
15.925         1532010403.0    保值警告
15.939         1532084704.0    应为是猪厂啊
16.241         1531971208.0    睿智的会空中劈叉的清洁工飘过
16.401         1531971578.0    吴国的等等我
16.541         1531975447.0    吴国的等等我
16.663         1532047870.0    肝不动
16.766         1532049655.0    都不玩了解一下
17.113         1532085842.0    因为钱和肝
17.184         1531974790.0    你把碧蓝航线当啥了
17.926         1532083432.0    菊之逸参上！
18.193         1531984085.0    唉
18.315         1532074180.0    我的拜年老蒙药
18.463         1532011463.0    吴国
18.474         1531973067.0    秃子来了
18.568         1531969448.0    碧蓝玩家出来嗦fa！
19.155         1532061210.0    营养师真的肝不动
19.463         1532080621.0    支咐宝首頁捜索“86OO14”深藏功与名
19.663         1532078226.0    幸运e
19.707         1531982950.0    看见崩崩崩进来的
19.812         1531974733.0    德丽莎世界第一可爱
20.273         1531986731.0    我的DNF都黄了十年了，手游还在开发
20.34          1531973674.0    我这个三国的奸细...
21.027         1532090839.0    平安京的算魏国吗
21.056         1532010268.0    我崩崩还没凉
21.429         1532083444.0    痒痒鼠用不认输！
21.477         1531973002.0    痒痒鼠没有凉！！！！！！！！要重复几遍？
22.102         1531971829.0    我能说我都还在玩么
22.236         1532090501.0    w
22.553         1532009819.0    就想看看有百万亚瑟王没
23.133         1532011027.0    没钱.....................
23.49          1531973467.0    2010年？！
23.756         1531977841.0    我大MC永垂不朽！
24.122         1531973273.0    为世界的美好与和平而战，崩3的大旗有我来扛起
24.673         1531973759.0    崩坏三
24.779         1532078162.0    百万氪金王？？
24.934         1532090512.0    吴国加一
25.091         1532009898.0    蜀将何在？
25.398         1532009205.0    呵呵
26.481         1531975328.0    三。。三国杀
26.602         1531996236.0    ?????
26.84          1532072646.0    前面三个都玩的头发还在吗?？?
27.167         1532086067.0    碧蓝吊打阴阳？你活在梦里？
27.592         1531989260.0    痒痒鼠 营养屎
27.718         1531974590.0    碧蓝呢
27.765         1532084208.0    痒痒鼠凉了吗？
28.027         1532071776.0    bgm：battle of rose
29.089         1532009508.0    依稀记得是八月公测……？
29.148         1532052115.0    较高的游戏质量。。。。。。。。。。。。。。。
29.213         1531970601.0    我们都是非洲人
30.201         1531971031.0    我大cos在哪里cos大乱斗呢我的楪祈啊
30.404         1531974886.0    吴国长盛
30.416         1531974708.0    诺基亚，帝国OL
30.601         1531970873.0    弃吴投魏
30.96          1532072916.0    碧蓝航线是群雄吗？
31.601         1532065698.0    两年吴国人
31.721         1532051005.0    崩坏走向fgo
32.082         1532081559.0    ？？？这游戏现在还不够火
32.183         1531970858.0    痒痒鼠没有凉！！
32.229         1532012879.0    bgm好评
32.258         1532008904.0    SD阴阳师
32.787         1532081441.0    连感情都像快餐一样，更不用说手游了
32.848         1532082440.0    魔灵加一
33.022         1531986367.0    2.11事件68万评了解一下，我大阴阳师还没凉
33.04          1531978193.0    yys我要玩到它关服（大声bb
34.123         1531970172.0    第一个玩的就是yys
34.483         1532022709.0    要论衰我不战而胜…
35.028         1531975684.0    我R还能再苟四年
37.341         1531994387.0    阴阳师真的腊鸡
37.379         1532084917.0    阴阳师没凉····
38.043         1532008550.0    我永远爱维奇塔
38.138         1532080502.0    舰R还能活到下一个1纪元
