排名：96
网址：https://www.bilibili.com/video/av27090731
更新时间：07-20
弹幕总量：980
preciseTime    ofTime          comment
3.914          1531997823.0    我接触的日本人不是怎么喜欢中国，所以对前景不看好
3.993          1531939050.0    66
5.825          1531965678.0    なになに？
5.972          1532062646.0    110
5.993          1531913936.0    110
6.199          1532006465.0    我听的是：绅士大奶一分钟
7.852          1531928441.0    满弹幕戾气~
9.215          1531981625.0    哈哈哈哈哈哈哈哈哈哈
11.371         1531988926.0    迷之眼红
11.612         1531925317.0    血丝
13.004         1531973323.0    人多还是比例高？
13.673         1531951816.0    我还以为屏幕上有头发
14.03          1531928238.0    啦啦啦。
14.269         1531929988.0    异议あり
14.508         1531927138.0    红眼？
14.514         1531922044.0    谁说的。。。
14.577         1531984153.0    人口多不是分母大吗？
15.116         1531997732.0    角膜炎？
15.67          1532019244.0    就应该这样没毛病啊
15.869         1531914067.0    这怎么可能？
15.907         1531986516.0    辛苦了，注意身体
16.015         1531985121.0    既然是调查肯定被调查人数应该一样
16.11          1531985909.0    血债血偿
16.124         1531930734.0    不是因为我们人多吗
16.247         1531965697.0    しごい
16.719         1531999229.0    标题日本“年轻人”是谁！
16.823         1532017605.0    因为中国人口多…
16.836         1531974879.0    是吗？怀疑
16.942         1531916410.0    ????你是不是看错字了
17.441         1531923690.0    那是央视做的调查吧
17.613         1531972815.0    哦
17.833         1531966620.0    这个人看太多片了
18.091         1532007953.0    精分现场
18.272         1532012335.0    6666
18.549         1531972151.0    眼睛好红
19.052         1532010021.0    感觉有点像我不是药神里面的人。
19.11          1531921240.0    注意休息啊
19.559         1531999865.0    眼睛好红
19.574         1531925001.0    呵呵
19.96          1531916015.0    我可以发置顶了？！
20.113         1532007756.0    假的
20.373         1531928542.0    还天朝，你猪皮清早亡了！
21.833         1531924527.0    真的？
21.88          1531929216.0    ？！？？
22.15          1531924789.0    毕竟我们还是发展中国家
22.218         1531987927.0    。。
22.568         1531997088.0    结婚了么
23.001         1531965066.0    乡下直播
23.573         1531982246.0    中国人数本来就是最多的，这个不最多都不好意思吧
23.953         1531997290.0    不看比例的吗？
24.452         1531986446.0    修仙了吧，眼睛好红啊
24.714         1531995605.0    猪
25.132         1532004690.0    暂停看背景
25.633         1531919398.0    好话题 我喜欢
26.06          1531981795.0    和平！
26.353         1532012853.0    其实说实话祖国的出生率不高
26.373         1532008698.0    为什么我想移民去日本。。
26.493         1532061520.0    黑圆胖！
27.0           1531994209.0    中国的教育制度摆在那里了
27.994         1531995621.0    祖国和日本不共戴天，请不要再说了
28.022         1531987794.0    带上脑子说话
28.643         1531925904.0    吐槽归吐槽，我心底里坚信世界未来是中国的
29.73          1531965711.0    みぁい
30.381         1531965006.0    干的漂亮
30.634         1531967151.0    发置顶不行阿
32.501         1531924552.0    等这些年轻人踏上社会就会mmp了
32.776         1531998857.0    日本都快沉了还有未来？？
33.071         1531951271.0    所以房价一直涨
33.307         1531930390.0    至少我挺乐观啊，种花家曾经创造过多少繁华，有什么理由不被期待
33.313         1531991655.0    做过英语阅读理解...
33.498         1532007769.0    并不乐观
34.038         1532012170.0    他什么时候调查的我啊
34.412         1531960172.0    所以为什么都是小孩
34.432         1532045403.0    nice
35.034         1531913097.0    我怎么没被调查
35.252         1532009959.0    感觉没有未来
35.335         1531984108.0    我猜是India
35.532         1531999168.0    中文越来越好了
36.314         1531995651.0    祖国和日本不共戴天，请不要再说了
