排名：16
网址：https://www.bilibili.com/video/av27092824
更新时间：07-21
弹幕总量：1611
preciseTime    ofTime          comment
0.438          1532151281.0    贾斯丁布布
0.682          1531896933.0    大家好，他是王刚
0.777          1531909443.0    bgm
1.227          1532076717.0    支付寳搜一下“
1.282          1531901745.0    贾斯丁布布。
1.358          1531944934.0    大家好我是王刚，今天给大家分享一道创新菜--泡椒山猫
1.619          1531956263.0    23333333
1.757          1531995771.0    支付寳搜一下“
2.467          1531895561.0    bgm彩蝶舞夏
3.326          1532007156.0    真香预感
3.585          1531957736.0    哈哈哈 王刚的等等我
3.852          1531915138.0    舌尖上的主子
4.0            1532002014.0    旬刀 讲究！
4.14           1531902275.0    我就知道一定会有这个音乐
4.341          1532154215.0    猫:洗澡就洗澡，放什么葱姜蒜和胡椒粉嘛(橘色)
4.657          1531929046.0    惹
5.459          1531895937.0    邻居家小孩儿都馋哭了(´;︵;`)
5.699          1531996963.0    哇 这个刀！！！
5.756          1531924004.0    封面太可爱了
6.44           1532078067.0    啧。这播放量
6.656          1531935310.0    封面！！！！
6.839          1531914475.0    我养的是仓鼠
7.784          1531917798.0    交封不杀
8.019          1531905884.0    看大尿看傻了，大尿！
8.442          1531909029.0    铲屎的
8.594          1531988799.0    bhhh
8.598          1531972248.0    天猫精灵，猫肉汤
8.861          1532163311.0    封面太可爱了
8.96           1531928237.0    一听这音乐就饿了
9.15           1531928308.0    王刚还行
9.179          1531903212.0    BGM莫名舒心
9.439          1531901121.0    666666
9.539          1532013686.0    臊🐱汤
9.691          1531898633.0    up你是个人才
10.041         1532090172.0    王刚呵呵哈哈哈
10.119         1532082897.0    开口跪
10.259         1532095781.0    丧心病狂
10.301         1531934757.0    听到就饿了。。。
10.315         1532154209.0    想要嫁给这个小哥哥，温柔
10.33          1531904279.0    猫：下体一烫
10.48          1531938383.0    猫汤就是用猫熬成的汤
10.541         1531893539.0    舌尖上的胡说2333
10.659         1532091785.0    是谁那么坏唉～
10.837         1532066064.0    王咩阿
11.234         1532043456.0    不可以
11.627         1531900417.0    旬
12.023         1531992578.0    不是八大菜系吗？？
12.052         1531929053.0    哈哈哈
12.201         1531981238.0    封面真是无辜又可爱
12.229         1532041304.0    真香
12.906         1531980113.0    支咐宝首頁捜索“86OO14”深藏功与名
13.29          1532064292.0    假中国人
13.312         1531927516.0    爱猫人士强烈谴责
13.521         1531891652.0    食材不错（滑稽）
14.562         1532149681.0    假炖猫，你要给我只猫，即刻烧水，来一锅蛇猫鸡。
14.674         1531898046.0    猫汤就是用猫炖成的汤
14.917         1532083968.0    讲究
14.919         1531971375.0    一本正经的跑火车
14.932         1532022794.0    bgm讲究
14.977         1532077783.0    我还以为是王大尿→_→
15.041         1531917232.0    bgm原来如此呀
15.127         1532062556.0    你已经触犯了蒂花之秀法中不可饶恕的瞎姬霸秀罪，我独秀铠甲宣布将剥夺你所有秀的权利,并实行封印天秀，束手秀琴吧，独秀剑，独秀战神斩，独秀封魔掌，独秀剑法，独秀光爆蛋。
15.289         1532007399.0    王刚劝退
15.361         1532050160.0    不是八大菜系么
15.525         1532095336.0    厨刀牛x
15.801         1531980710.0    一本正经的胡说八道
15.902         1532029690.0    好像我朋友的声音语气
16.035         1531900778.0    猫肉不好吃
16.079         1531959639.0    优秀
16.139         1531919331.0    哈哈哈哈哈哈哈
16.374         1531923334.0    不是八大菜系么
16.386         1532064425.0    桃子是啥猫啊，布偶吗
16.399         1532086726.0    八大菜系吧
16.403         1531933717.0    声音像张艺兴
16.762         1531892328.0    八大菜系
16.878         1532068948.0    八大菜系
17.066         1532083219.0    一千到三千的旬不是好刀？  买了卷刃双立人觉得自己牛逼了
17.089         1532066614.0    四大菜系：鲁菜  粤菜  川菜  苏菜。八大菜系只是比四大菜系分的更详细一点罢了
17.121         1531895334.0    开口跪
17.141         1531902457.0    @大尿
17.302         1531908637.0    看成猥琐
17.779         1531955428.0    猫：喝我洗澡水吧
17.912         1531899149.0    香
18.0           1531972980.0    猫：从现在开始，我们就已经是表面主仆了
18.523         1531982593.0    在厨房洗猫真的好吗
18.7           1532067912.0    交汤不杀
18.945         1531900551.0    我爸说猫肉和蛇肉一起煲汤有营养
18.979         1531964550.0    胡说八道
19.126         1531974172.0    这叫白虎汤
19.347         1531898231.0    弹幕呢？？
19.402         1531903126.0    哈哈哈哈
19.756         1531890781.0    666666
20.281         1531980427.0    四大菜系？！
20.309         1532076130.0    洗碗池洗猫是乐至
20.579         1532052302.0    人才😂😂
20.842         1531961826.0    66666
21.082         1531903725.0    哈哈哈哈哈哈
21.145         1532053270.0    太有才了
21.301         1531892308.0    好猫！！！
21.477         1531919596.0    胡说九盗
21.521         1531992313.0    不是八大吗？
21.574         1531992070.0    233333
21.779         1531891602.0    放厨房水槽里洗可还行
21.801         1532046947.0    一本正经的胡扯八道和满脸蒙圈的主子2333
21.85          1531890886.0    好苏胡～~
22.029         1531974438.0    首先，要有一只猫
22.138         1532097291.0    在厨房???
22.36          1532015512.0    错了！第一步是先把猫打一顿！
22.533         1531919648.0    眼影！！！
22.709         1531958864.0    猫汤有点恐怖
22.784         1531929020.0    @王咩啊
23.101         1532148765.0    鲁菜，粤菜 川菜 淮扬菜是传统的四大菜系
23.221         1531928039.0    好看！
