排名：37
网址：https://www.bilibili.com/video/av27093618
更新时间：07-21
弹幕总量：424
preciseTime    ofTime          comment
0.234          1531965375.0    吴克
0.504          1531888410.0    嘿嘿
0.636          1531967552.0    镇江江南学校马生荣
0.729          1531980324.0    支咐宝首頁捜索“86OO14”一点都不慌
0.734          1532131200.0    哇，光头！
0.835          1531959894.0    鬼畜新素材
1.002          1531838590.0    刚刚
1.158          1532014352.0    金刚？
1.196          1532055088.0    老板：你试试！
1.202          1531869484.0    这就是传说中的“摸头杀”
1.333          1531888205.0    在死亡边缘试探
1.515          1531883726.0    嘿！光头 
1.575          1531964705.0    哎，光头
1.715          1531968083.0    哎，吴克
2.464          1531838595.0    刚刚
2.627          1531840229.0    up:吐槽视频，分类在收藏【吐槽】里，持续更新
2.813          1532016648.0    有毛病＊1
2.983          1531885405.0    人群之中钻出来一个光头
3.014          1531875003.0    吴克！
3.327          1531965994.0    外地bo来北京欺负北京人？
3.377          1531876398.0    摸头杀
4.518          1531963641.0    我变强了，也变秃了
4.53           1531850197.0    无意冒犯
4.859          1532078902.0    大程子是你吗？
4.868          1532113086.0    活着不好吗
4.898          1531869488.0    摸头杀
4.975          1531850118.0    给你机会你不中用啊
5.119          1531841621.0    摸一下当场去世
5.124          1531840938.0    死亡的边缘疯狂试探
5.435          1531960199.0    声音有点郭德纲老师的味道
5.481          1531876984.0    当场嗝屁
5.595          1531876081.0    光头没头发
5.638          1531841759.0    摸头杀！！！
5.742          1531841131.0    当场去世
5.856          1531882583.0    当场洗鼻
6.069          1532076382.0    当场去世
6.275          1532142636.0    当场去世
6.369          1532134290.0    舒服
6.399          1531886692.0    frist blood
6.445          1531965845.0    啊呀
6.498          1531885423.0    我一把就把他爆了起来
6.633          1531962916.0    当场去世
6.995          1531964289.0    倒地  讲究
7.397          1531884702.0    1
7.402          1531839384.0    达叔？
7.62           1531886353.0    碰瓷拿手
7.638          1531888139.0    看来你是不知道我开 店的钱是怎么来的！
8.003          1531840516.0    up:所有视频都分类在【收藏】里，持续更新
8.198          1532156644.0    一听就是北京的
8.235          1531882896.0    经理以前是踢球的
