排名：46
网址：https://www.bilibili.com/video/av27096606
更新时间：07-21
弹幕总量：358
preciseTime    ofTime          comment
0.661          1531858204.0    求第一段BGM
0.799          1532072543.0    我怎么黄了
0.8            1531838530.0    双马尾赛高
0.84           1532147028.0    这胸是真的，略下垂隆的胸很挺
0.843          1532166449.0    你老婆真好用
0.902          1531938401.0    交出封面
1.12           1531942144.0    单身打字好累
1.129          1532002224.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.321          1531941708.0    这衣服真大
1.503          1531998098.0    支付寳搜一下“
1.514          1531859157.0    q我来学洗衣服的
2.103          1531851987.0    欢迎回来是最骚的
2.162          1531939765.0    看来我还是忘不了那个女人，我又回来了了
2.189          1531939172.0    可耻的播放量
2.202          1531940326.0    麻烦让一下 我想走近点看这衣服怎么洗 我想学习学习
2.237          1531936704.0    贾斯丁布布。
2.304          1531939144.0    我先！可耻的播放量
2.616          1532076501.0    之付宝搜索“510695745”，有你想要的
3.04           1531941716.0    这水真白
3.043          1531941113.0    我是来看衣服西美洗干净的，不是看胸的，真的
3.297          1531937462.0    忘了那个他  我偷电动车养你
3.683          1532153722.0    这衣服真大
3.7            1532099880.0    洗的男朋友的精子
3.708          1531939959.0    wochao
3.84           1531937912.0    欢迎回看
3.847          1531936904.0    看到她的第一眼，我连孩子的名字都想好了
3.879          1531855460.0    假的
3.883          1531856692.0    我老婆23333
3.887          1531997238.0    这么可爱一定是男孩子的了
3.919          1531854999.0    胳膊太瘦了
3.922          1532133287.0    欢迎回来
4.08           1531859263.0    变性人……
4.217          1532108878.0    衣服真白😊
4.26           1531844847.0    一般女生的胸不是聚拢的哦
4.56           1531855226.0    这胸器是认真的么
4.592          1532096757.0    没有颤动啊 感觉像假的
4.599          1532168540.0    支咐宝！输1入 5 2 3 8 31 8 2 6 有心动小姐姐！
4.638          1532168479.0    支咐宝，搜索匡里输入 “52 3831826”启齿大乳
4.647          1532085079.0    小姐姐好漂亮
4.69           1531843180.0    听说你叫过审王？
4.74           1531941104.0    内裤那是破损还是蜜汁液体？？
4.815          1531981324.0    支咐宝首頁捜索“86OO14”稳住别黄了
4.872          1531965971.0    封面
4.946          1531854390.0    这个胸有点不真
4.953          1532168667.0    伎咐宝 输入 “5 2 3 8  31  826 ”哇小姐姐不能忍啊
4.999          1531936116.0    这腿瘦的吓人，是不是不给饭吃？
5.242          1531942689.0    双马尾是世界上最好的方向盘
5.373          1532165894.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥
5.4            1531858606.0    弹幕呢？你们都在干嘛我去
5.763          1532091407.0    掉下来了快
5.821          1531939436.0    洗什么衣服啊，我养你啊，让仆人洗
5.823          1531981448.0    支咐宝首頁捜索“86OO14”滴，快上车
5.832          1531942348.0    为啥不用洗衣姬？
6.011          1531839184.0    欢迎回来
6.221          1531938414.0    刚撸完没感觉了
6.289          1531939973.0    卧槽
6.451          1531936519.0    欢迎回来
6.468          1531942261.0    别说，我有个同学的胸还真的是又大又挺，她本人也很瘦
6.483          1531942965.0    这盆真白，啊不对，这衣服真大
6.493          1531854703.0    整容脸，瘦如柴
6.563          1531937764.0    太奇怪了，哪有这样子的啊。人又瘦，胸还大，这脂肪长得真集中
6.621          1532058188.0    嚯！！！
6.655          1531838528.0    好球
6.821          1531936589.0    乳神
6.849          1531936826.0    假的吧。。。
6.903          1532153403.0    无耻的播放量
6.909          1531979548.0    哇啊啊啊啊舔爆
6.929          1531855379.0    为什么你胸前放两块布丁
7.126          1531938133.0    在现场
7.158          1531937759.0    这衣服好白
7.383          1531855812.0    (⊙o⊙)哇，刺激
7.394          1531941170.0    手腿粗细成反比
7.445          1531935913.0    这可耻的播放量
7.591          1531943118.0    有钱隆胸 没钱买洗衣机
7.634          1531861128.0    求开场bug
7.695          1531936690.0    这搓法……这真的是在洗衣服吗……
7.779          1531939744.0    假的，如果胸这么大肩膀也会宽厚许多
7.826          1531941037.0    胸衣都不穿的么
7.921          1532097233.0    那么瘦还那么大！
7.999          1531940597.0    那么瘦不可能有这么大的胸
8.139          1531858866.0    硌的疼
8.157          1532144546.0    恕我直言我能舔死她
8.299          1532077290.0    这是带的吧
8.308          1532169971.0    瞧这瘦的
8.482          1531855414.0    后。。后。。后街女孩？
8.616          1531996890.0    感觉被糟蹋过，哈哈哈
8.781          1531853257.0    居然洗衣服，，，，你男人呢？
8.803          1532138004.0    这应该是连胸了吧…
8.814          1532098801.0    这不是很多小年轻喜欢的厌食症患者身材嘛哈哈
8.952          1532154654.0    可耻的播放量
9.203          1532162169.0    我完事了，你们继续
9.341          1531969938.0    双马尾是世界上最好的方向盘
9.4            1531859275.0    这胸好假
9.742          1531936077.0    两坨硅胶，不用看了
10.124         1532158472.0    假的
10.401         1531939477.0    隆胸过吧。。
10.522         1531846331.0    我！是你这辈子都得不到的男人！
11.217         1531857454.0    太瘦了吧 心疼
11.235         1531942299.0    已撸（～￣▽￣）～
11.28          1531937435.0    脸上画了浓妆，胸整过
11.421         1531936556.0    这衣服有点白 不对 这水有点大 不对 算了不说了
11.444         1531937903.0    审核是你爹呀
11.501         1531941076.0    一看就是假胸，这么瘦 ，胸部是脂肪类组成的
11.543         1531937156.0    小姐姐洗个衣服而已，真难看
11.552         1531937585.0    不科学
11.602         1531853436.0    欢迎再回来
11.647         1531838801.0    好瘦
11.756         1531936989.0    我是不是看到了腋毛？
11.802         1532086475.0    我老婆......
11.838         1531936677.0    好大
11.86          1531856449.0    答应我不要让别人抓住你的双马尾
11.933         1531940090.0    播放量
12.083         1532107983.0    这不科学
12.099         1531936052.0    泰国的
12.271         1531938925.0    好球
12.681         1531937766.0    假奶亮
12.741         1531936107.0    假的，真有胸手不会这么瘦
12.742         1532008720.0    别看他，我老婆再给我洗衣服，真贤惠，没白娶
12.85          1531988158.0    这么瘦这么大？？
13.018         1531939347.0    好瘦
13.102         1532107726.0    什么东西挡住了我的双眼
13.108         1532083651.0    人妖
13.202         1531857284.0    这么瘦胸这么大?
13.602         1532059865.0    老婆帮我把内裤洗了
13.67          1531938686.0    可耻的播放量
13.701         1532135372.0    脂肪都到了该去的地方
13.823         1531859012.0    泰国变性的
14.032         1531853697.0    好瘦啊
14.127         1531859737.0    不如做一件衣服。。。
14.309         1531937761.0    盯裆猫
14.521         1531859014.0    这胸一看就是假的
14.553         1532089695.0    这衣服真大~~~~
14.594         1531981334.0    支咐宝首頁捜索“86OO14”糟了！心脏
14.682         1531840344.0    奇耻大辱
14.761         1531857442.0    掉下来了
14.885         1532135967.0    正片开始
15.069         1531936382.0    明显假奶
15.08          1531940033.0    好了，正片结束
15.131         1531937165.0    好了，各位老铁该撤了
15.474         1531936671.0    哇咔咔
15.553         1532076968.0    这假胸
16.043         1531936493.0    真的假的
16.074         1531941718.0    这可耻的播放量
16.639         1531936127.0    丁当
18.391         1531980679.0    MD可怕
18.409         1531941718.0    好了，可以撤了
18.661         1531962299.0    告辞!
18.685         1531855423.0    开始离题
18.723         1531859291.0    哈哈哈 
18.751         1531936096.0    你的玩具
19.015         1532067894.0    可耻的播放量
19.231         1531942992.0    可耻的播放量
19.491         1531850463.0    谢谢，走了
19.62          1531855217.0    假球！身体和球的比例完全不协调
20.069         1531857818.0    拔出来的？。。
20.504         1531855510.0    弹幕护体
20.662         1531938415.0    假胸不谢
20.775         1531939532.0    ela附体
20.782         1531855457.0    弹幕护体
20.801         1531855440.0    弹幕护体！！！
20.804         1531855553.0    弹幕护体
20.817         1531855487.0    弹幕护体
20.836         1531855545.0    弹幕护体
20.839         1531855480.0    弹幕护体
20.853         1531855521.0    弹幕护体
20.864         1531855502.0    弹幕护体
20.937         1531855392.0    DICK！！！！
20.966         1532015855.0    痘印又来了
21.702         1531856494.0    逐渐忘记标题系列
23.334         1531840202.0    这是根啥⊙∀⊙？
23.72          1531938753.0    我感觉这个黑东西不一般
23.918         1531936420.0    官球
24.062         1531936319.0    假的不用摸
24.399         1532016759.0    我擦吓我一跳
24.596         1532089719.0    略吊
25.065         1532010084.0    卧槽！！脑阔疼！！
26.084         1531847619.0    dio
26.085         1532150341.0    又是你，本来旁边的妹子呢
26.604         1531852227.0    Hhhhhhhh
26.961         1531839091.0    混入其中
27.019         1531858466.0    离题了
27.727         1531943260.0    叮当猫
29.042         1532166140.0    本来旁边那个摇乳妹子呢
29.661         1531841476.0    蜜汁凸起
29.843         1531937980.0    假的我也要啊
29.922         1531856392.0    吼黑
31.143         1531853603.0    我是隔壁的泰山，哦～哦哦
31.392         1532167354.0    这刺客是那个我没见过啊
32.321         1531936213.0    小别致的真不是东西
33.138         1532137922.0    智障抖音
33.63          1531856965.0    跪求这段bgm
33.691         1531858222.0    求这个BGM
34.561         1531856087.0    节奏对上了
35.087         1532098906.0    这小胖子抽风起来真像涅茧利的疋杀地藏
35.507         1531939302.0    BGM:animals
35.555         1531937953.0    小別緻長的真東西
35.815         1531962920.0    bgm martingarrix-animals
35.817         1531858424.0    毁我马丁
35.828         1531972726.0    小马丁的歌
35.881         1531861625.0    大帅比
35.999         1531858918.0    不好！猝死的感觉！！！！！
36.153         1531845216.0    癫痫患者
36.278         1531901387.0    我是一个实在人，你给我看奶，我就给你硬币(ง •̀_•́)ง
37.842         1531840770.0    小别致长得可真东西
38.385         1531936349.0    我只是来看第一个的
38.403         1531914658.0    有毒
38.462         1531988183.0    妖孽
38.653         1531943246.0    Chuan，是不是你？
39.528         1532010087.0    狂野飙车
39.623         1531855879.0    dio哒
39.762         1531937520.0    表白BGM但这到底是什么玩意儿
40.323         1532152722.0    小东西长得真随机
40.483         1531942455.0    文明观猪
40.563         1532104812.0    好像抽一巴掌
40.845         1531847035.0    这是不是抽大？
40.977         1531854295.0    ???????抖音都来了???
41.662         1531854712.0    马丁盖瑞斯
41.843         1531838939.0    mdzz
41.869         1531852393.0    一给我里giaogiao！
41.947         1531940613.0    假的我也要摸
41.981         1532120880.0    抖音毁了多少歌大家心里都明白，自己喜欢的歌被拍逗比视频的痛，相信大家都体验过
42.403         1531942257.0    设会设会
43.871         1531851454.0    从今以后我再也不怕有人开车撞我了
44.1           1531943329.0    我想知道他怎么上去的
46.377         1531938188.0    低调！
46.941         1531937336.0    压马路
47.332         1532139858.0    妖孽
47.431         1531939392.0    断腿车
47.702         1531938189.0    在现场
47.805         1531851275.0    这东西踩到脚抽筋
