排名：26
网址：https://www.bilibili.com/video/av27097354
更新时间：07-21
弹幕总量：3342
preciseTime    ofTime          comment
0.038          1532060669.0    欢迎回来
0.067          1532096612.0    111
0.337          1532061240.0    目前为止见过最牛逼的up主，赞了
0.558          1532026235.0    再看一遍
0.582          1532070929.0    三大神作镇封面   ？！！！！！
0.627          1532001173.0    像你这种UP主
0.85           1531941821.0    自从没出DayZ之后就很少看胡特的视频了...
1.033          1531995593.0    打肿脸装胖子？
1.222          1532048495.0    贴吧慕名而来
1.267          1532079223.0    up主满嘴胡说八道，我拿硬币砸死你
1.555          1531994661.0    推荐关闭声音看字幕
1.716          1532050015.0    像你这样的up活该长命百岁
2.693          1531888205.0    0.75倍速体验更佳
2.9            1531901763.0    火钳刘明
2.928          1532005184.0    看完会觉得这up真的可以
3.62           1531926954.0    卧槽
3.634          1532084836.0    支付宝首页搜索三零五四五零六，你会谢我的
3.767          1532078389.0    这什么游戏
3.862          1532015541.0    up加油
4.507          1532085257.0    二周目，看的太爽了。
5.386          1531881722.0    第三遍
5.57           1531974640.0    武装突袭了解一下
5.633          1531997406.0    好
5.992          1532064232.0    投币关注收藏，素质三连
7.106          1532077311.0    重温一遍
7.221          1531982235.0    吃鸡就是个渣渣
7.899          1531968019.0    这是啥
8.218          1532089904.0    活该长命百岁
8.484          1532096175.0    武装突袭的你站住 这是尼内岛谢谢
9.009          1531961470.0    封面孤岛危机
9.431          1532043788.0    cod
9.643          1532078829.0    投币+特别关注w
9.678          1531930253.0    骂街式吐槽，讲究
10.199         1532002364.0    贴吧报道
10.662         1532073562.0    这游戏玩过，感觉有点像COD的风格，而且现在优化蛮差的说实话
10.691         1531912345.0    火锏留名
11.14          1531981360.0    使命召唤玩家路过
11.238         1531974453.0    这个喷绝对是使命召唤玩家的能力！
11.447         1531968983.0    前方建议0.5倍速
11.8           1531978625.0    尼内岛，大逃杀
11.888         1531961490.0    为什么没有孤岛危机
12.216         1532094269.0    前方高能
13.119         1531925062.0    感觉不好。。。
13.578         1531896657.0    只是不喜欢这游戏地图，中世纪风格地图和近未来的枪械
13.632         1531971303.0    舒服优秀！我喜欢支持
13.949         1531932903.0    师父别念了
16.136         1531981332.0    嘴是租来的？
16.454         1532021682.0    你在说什么
16.464         1532169869.0    巴拉巴拉巴拉
16.848         1531978766.0    逃离塔科夫理解一下
16.982         1531987135.0    你这种up主，我上来就是一个赞。
17.038         1532049288.0    这游戏挺不错啊。
17.485         1531890206.0    他在说什么?
17.509         1532095170.0    恩，首页推荐过来的
17.758         1532056661.0    终于可以发弹幕了233
17.851         1531919814.0    ？？
18.089         1531890192.0    说的什么鬼233333
18.242         1532054485.0    我支持up的观点
18.341         1531960340.0    华少失业了
18.35          1531971040.0    哇
18.459         1531977572.0    吃葡萄不吐葡萄皮
18.528         1531969342.0    UP在说什么？
18.633         1532068211.0    ←嘴是租来的笑死我了233333333333333
19.28          1531911724.0    吃鸡动作是稍微有点僵硬，反应不是很快
19.371         1531975127.0    听不懂说啥，关注了
19.82          1532008247.0    突然涨粉了
19.95          1531901986.0    ？？？？
20.006         1531997596.0    科普+杂谈+骂街
20.091         1531982666.0    强烈建议0.75
20.154         1532065306.0    调1.5超神奇
20.203         1532087418.0    我有一个游戏只玩wegame，steam只知道吃鸡的同学说，吃鸡很真实。。
20.827         1532089450.0    第四遍看了
21.084         1532096481.0    ???????????????
21.944         1532060815.0    战争游戏；红龙  我觉得就很拟真
22.106         1532059364.0    新ui！
22.64          1531882367.0    一句都没听清
22.751         1532095605.0    新说唱年度总冠军
23.405         1531973029.0    感觉吃鸡的重力好奇怪
23.489         1532056893.0    同一个世界同一个卡喷
23.497         1531970463.0    ？？？
23.847         1531915664.0    啥
24.186         1531995213.0    念经呀
24.463         1531879269.0    论字幕的重要性
24.985         1531978391.0    ??
25.195         1532089170.0    上首页了！！！！
25.61          1531999915.0    你在说啥
25.804         1532089862.0    哈哈哈
25.828         1531972316.0    支咐宝首頁捜索“86OO14”这么优秀吗
26.346         1531965518.0    ？？？？？？？？？？？？？？？
26.395         1531978501.0    外星语投币了！！！！！（NB）
26.563         1532058527.0    RAP主
26.931         1532095683.0    flow王
27.754         1531976959.0    ?????
27.84          1531968500.0    使命求生？
29.446         1531892519.0    没听清暂停看字幕～
29.452         1532139234.0    fps有些低？
29.461         1532053358.0    华少转行了
29.699         1531971763.0    玩的什么游戏的类型
29.815         1532052814.0    想你这种up活该长寿百命
30.382         1531883238.0    这个好，看到吃鸡带的节奏就恶心
30.521         1531894687.0    你40多帧说流畅？
30.566         1532042466.0    语速爆炸
31.207         1531893574.0    菜六玩家。fps战术
31.214         1532046614.0    这是啥游戏emmmmmmm
31.93          1532078293.0    瑟琴游戏？
32.142         1531960826.0    1.5倍新世界（我信了评论区的邪）
32.622         1532082171.0    我玩儿的是沙盒类，绝对没错
32.858         1531884358.0    b站第一次投币
33.048         1532144622.0    什么鬼
33.242         1532044768.0    关注，分享，下载，收藏，分享，up主牛逼
34.365         1531965205.0    TPS?
34.799         1532077526.0    色姬游戏
35.015         1531923640.0    Bgm爱杀宝贝
36.059         1532024435.0    突然rap
36.401         1531941878.0    @电竞周杰伦
36.896         1532058035.0    这是什么游戏啊
37.027         1532058762.0    fps，tps
37.602         1532088928.0    这个说实话只能静音观看了，
37.66          1531889621.0    科普：此时的全息的型号是558，而吃鸡中的是552（有错误望纠正）
38.173         1532055110.0    换弹癌浑身舒爽
38.642         1531963586.0    爱杀
39.291         1532100691.0    /
39.5           1531894521.0    真的这些渣滓都快说军队抄袭吃鸡了
40.375         1531982359.0    搞不清又怎样
40.39          1531998070.0    射姬游戏
40.578         1532012383.0    把你嘴里的茄子吐出来
41.205         1531992400.0    1.5听&&&&
41.327         1532070282.0    666
41.533         1531904087.0    你听英语听力的感受
42.442         1532062809.0    搞不清打脸，丢人，不怎样
43.281         1532091437.0    我的理解是，fps生存游戏
44.341         1531965235.0    武装突袭玩家路过
44.419         1532053809.0    去玩逃离塔科夫吧
45.021         1531968211.0    我推逃离塔科夫，谁不服
46.963         1532089476.0    重点在后面
47.782         1532064449.0    来玩squad啊
48.037         1532061731.0    我推叛乱
48.727         1531983718.0    @R6
49.052         1532088062.0    电竞周杰伦
49.177         1531971437.0    屁股的画质就很贴近现实（手动滑稽）
49.318         1531990701.0    2.0新世界
50.526         1531980385.0    你有freestyle吗
50.977         1532078476.0    吃鸡不是一个沙盒游戏吗？
51.061         1531977868.0    逃离塔科夫的带我一个
51.713         1532083192.0    战地玩家一直在吹自己真实
51.788         1532134363.0    厉害啊
52.22          1531909733.0    吃鸡的优化我是佛辣
52.27          1532057355.0    fps我只服塔科夫
52.476         1532085339.0    最真实的，枪都不一定拿的稳、
53.042         1531971006.0    师傅，您别念了
53.383         1532044349.0    csgo！
53.607         1531900972.0    这甩狙，太帅了吧
53.887         1531993285.0    CS千万不要谈什么拟真，那弹道。。。
53.909         1531994125.0    ARMA3无法超越
54.097         1532054760.0    0.75新世界
54.169         1531994418.0    说话升调，关注了
54.579         1531964287.0    刚才那个游戏定下来叫什么名字了吗？
54.805         1531993337.0    近距离开枪一个弹夹出去，子弹都不知道飞那去了。
54.873         1532088440.0    up主舌头只有半截，请见谅
55.115         1532003880.0    2.0的你过来我给你上个buff
55.136         1532047354.0    童年
55.281         1532012335.0    阿玛3千时玩家路过
55.705         1532039742.0    左手持枪
55.838         1531968333.0    我就喜欢寒霜航空
55.974         1532042533.0    汉语听力考试正式开始
56.006         1531898953.0    csgo是真的经典改良成功典范了
56.048         1532013518.0    能不能好好说话。。
56.5           1531973196.0    就喜欢这样的视频。美滋滋，打肿自以为是的人的脸
56.511         1531896710.0    四川口音听着真难受
56.61          1531996108.0    左手持枪
57.23          1532050101.0    ARMA，Squad，Project Reality 了解一下
57.302         1532054222.0    终于有个明眼人出来说话了
57.36          1532095036.0    左手枪，讲究
57.428         1531952572.0    逃离塔科夫了解一下
57.486         1532090265.0    @CF
58.108         1531996656.0    讲什么？
58.247         1531968540.0    你这反应要被我秒好几次的
58.283         1531963397.0    那种绝地求生玩家呢
58.561         1532017557.0    左手持枪都是老玩家
58.796         1531928594.0    没错就是这种人特别多
59.028         1531926736.0    主播说的啥，我一句没听清，我只关心他玩的啥游戏了？
59.099         1531964262.0    什么叫不爱接受...明明是没那电脑...
59.565         1531970766.0    我吹army
59.598         1531969648.0    绝地求生是模拟战术类游戏
59.72          1532060044.0    战术小队不服
60.26          1532096150.0    唉，这个up主rap说得不错哎
60.581         1531960350.0    ARMA3是真拟真
61.092         1532084181.0    233333
61.48          1531926791.0    666
62.373         1532050473.0    nb
62.62          1532169003.0    左手持枪看着好不舒服
62.766         1532099318.0    真视频好评！
63.622         1531963842.0    666666
63.86          1531939346.0    cf没错 说的就是你们
63.994         1532056047.0    对对对
64.139         1531957339.0    彩虹六号了解一下
64.18          1532067137.0    arma
64.348         1531912737.0    对对对，我身边好多就只玩过cf和吃鸡的，看啥都说辣鸡
64.571         1532046664.0    拿枪是可以调的吧
64.637         1532084919.0    静音看字幕
64.833         1531970504.0    叭叭叭叭叭叭
65.175         1532084909.0    连战地3都不好意思吹自己是写实战争
65.176         1532068461.0    这种人回来看你的视频？我觉得不太可能，一般都是玩的游戏比较多的人看你视频
65.213         1532092384.0    口齿不清
65.588         1532079733.0    论拟真现实 ARMA3 完爆目前所有的射击游戏
65.602         1531887277.0    12.14
65.758         1531929042.0    看完顾小逗那边的弹幕 全是这种人
65.839         1532094096.0    不看字幕根本就听不懂😂😂😂
66.439         1531901222.0    fps和
66.627         1531957259.0    叛乱路过。。。
66.76          1532070778.0    别逗了，告诉我为什么左手持枪是老玩家？
66.783         1532053070.0    目测up主是左撇子
66.866         1532076356.0    我想玩第二人称射击游戏
66.901         1531978831.0    我只吹塔科夫2333
67.621         1531980710.0    我想试试第二人称射击
67.626         1532069604.0    每次看到这种视频的时候点赞收藏硬币关掉
67.814         1531996660.0    真神奇！我已经慢慢习惯能听懂up讲的是什么了
68.152         1532041961.0    总之吃鸡狗就别丢脸了，天天大吉个屁，整个快手一样
68.2           1532057726.0    枪神纪
68.404         1532056919.0    大狙配沙鹰，不是大佬就是萌新
68.503         1532043306.0    沙鹰配狙
68.556         1532158922.0    这什么塑料普通话
68.921         1531964543.0    左手？
69.28          1531901231.0    fps和tps
69.399         1531884428.0    T居然不封VIP烟位
69.52          1532071073.0    听不清?看得见吧?看字幕啊沙x
70.315         1531962408.0    这awm拉机柄在左边？？
70.795         1531957130.0    我们历史老师就这语速，听习惯了。。。
70.995         1532092885.0    ￥￥%&*（）@#！#%……*））**&**（）&&*……
71.105         1532090373.0    听得我好舒服啊
71.285         1531883871.0    有道理
71.477         1531917069.0    有第四人称吗
71.669         1531976152.0    r6天下第一
72.353         1531964047.0    草猫
72.4           1532036207.0    地狱潜者上帝视角
73.075         1532056117.0    那个人不动我屏什么息
73.176         1532053204.0    武装突袭3
73.194         1532084130.0    弹幕？
73.301         1531999507.0    《巧克力与香子兰》了解一下
73.341         1531997167.0    66666
73.349         1532035315.0    支咐宝首頁捜索“86OO14”能为所欲为
73.405         1532061885.0    建议0.75观看
73.575         1532010756.0    我吹红管，溜了溜了
74.166         1531960410.0    还有总吹刺激战场的呢哈哈哈哈啊
74.234         1532092670.0    我开了二倍速？？？
74.346         1531998633.0    你是周杰伦嘛
74.892         1531979212.0    warz还真是有回忆
76.177         1531986937.0    CF玩家现在很少出来了······
76.544         1532077546.0    建议0.75！！！！
76.647         1531999912.0    那光环是第一人称却用的手柄怎么说？
76.863         1532057452.0    这个up是武汉市吗哈哈哈，感觉口音有点像
76.879         1531884444.0    僵尸战争！
76.949         1531965577.0    说草猫的，一个恶俗梗还玩上瘾了?
77.59          1532078197.0    不看字幕我竟然一句都听不懂
77.61          1532059439.0    娘们才用准镜
77.862         1531979180.0    warz
77.926         1531879917.0    如果现实生活中有瞬狙
78.311         1531955701.0    沉迷CS和彩六，反恐吗？
79.183         1532006590.0    CS:GO和吃鸡哪个先出？抄袭你🐴呢？
79.284         1531997406.0    赶时间?
80.485         1532046709.0    要是让我玩手柄我肯定是那个挨打的相
80.997         1532049138.0    喷嘴速的滚，小学听力不过关就乖乖看字幕，别发这些找不到地方喷就乱喷的弹幕
81.915         1532001495.0    nekopara算不算
82.528         1531987089.0    说什么东东？
82.631         1532085370.0    一群战五渣，用着特种兵的身体玩游戏
83.822         1531889196.0    一直不习惯第三人称
84.52          1532061191.0    别念了  师傅
84.679         1532035326.0    支咐宝首頁捜索“86OO14”滴，快上车
85.178         1532032312.0    ←吹红管的别走 带我一个
85.522         1532044396.0    前面都说了听不懂看字幕
86.192         1532044569.0    光环可以用手柄。。。。
86.522         1531972607.0    僵尸战争
87.096         1531998687.0    别谁了
87.74          1532046998.0    我一直想玩彩六，已经买了，发现电脑带不动
89.159         1532057793.0    僵尸战争吧这是
89.623         1531902506.0    哦哦哦哦哦  你说的都对😏
90.169         1532088451.0    这个
90.759         1531996891.0    newz
92.641         1531994845.0    CF辣鸡
92.872         1531998693.0    别说了
93.158         1531944171.0    哇僵尸战争
93.737         1531889176.0    救赎ol
94.17          1531997128.0    语速快到不想听
96.264         1531956940.0    救赎个屁。。。
96.918         1532052293.0    这嘴巴是借的吗 这么急
97.555         1532051776.0    讲那么快，谁听得清楚
97.831         1532058018.0    听的难受
97.94          1532003016.0    救赎
98.081         1531963591.0    战地4?
98.683         1531922342.0    战地4！！
101.008        1531927135.0    Ash榴弹?
101.109        1531972705.0    爹四
101.222        1531986932.0    战地4
101.368        1532078509.0    战地4好评
101.96         1531976112.0    爹4好玩
102.285        1532007998.0    这界面绝壁爹4啊
103.003        1531886966.0    壮哉我大战地3
103.304        1531879144.0    fov。。。我想到无主了
103.824        1531998306.0    你不想讲解就别讲啊 我啥也听不懂
104.117        1531978589.0    屋顶之围
104.845        1532074370.0    闭嘴，我要听枪声
105.491        1531943142.0    M320 HE啊就是ASH的榴弹
105.508        1532078522.0    不索敌，讲究
105.644        1532061067.0    爹4
105.928        1531888536.0    这是战地4云玩家
106.625        1531984983.0    你敢发战地4
106.649        1531890435.0    这是4啊云玩家
107.0          1532050060.0    发现自己都玩过←_←
107.372        1532103835.0    我去战地3在哪？
107.664        1531973017.0    fov没有120我都觉得难受
108.738        1531958271.0    男友四
109.085        1531888265.0    这是战地四....
109.504        1532096637.0    0.75舒服多了
109.628        1532078632.0    战地4怎么了
