排名：36
网址：https://www.bilibili.com/video/av27107085
更新时间：07-21
弹幕总量：1620
preciseTime    ofTime          comment
0.575          1531911459.0    你们被绿过多少次？
2.173          1532057888.0    pu
2.883          1532007932.0    111
2.982          1531995351.0    我有几个美钕老婆
3.42           1531913687.0    还不知
3.597          1532060429.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
3.7            1531930344.0    生日快乐
3.931          1531928847.0    青铜修炼手册每周四悄悄停更
3.939          1531912798.0    陈明秋我知道你会看
3.94           1531927572.0    生日快乐生日快乐生日快乐生日快乐
4.221          1531946554.0    我第一
4.442          1532100558.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
4.562          1531939595.0    今天我生日
4.779          1531934009.0    卧槽，你们住在这破站吗？
4.928          1532089760.0    46w
5.281          1531921931.0    人生导师——青钢影
5.393          1531926663.0    同生日
6.017          1531927940.0    生日快乐
6.039          1532161530.0    3次
6.58           1531924069.0    生日快乐
6.62           1531933534.0    杠精在哪里
6.621          1531930854.0    生日快乐
6.64           1532016660.0    233
6.66           1531933122.0    啦啦啦啦
6.836          1531972943.0    ✔11111
7.581          1532044693.0    3267
8.282          1531999682.0    生日快乐
8.317          1531931946.0    6
8.379          1531931544.0    今天我结婚纪念日
8.495          1532007937.0    111111
9.284          1532070718.0    1111111111111111111111111111
9.579          1531916195.0    又有
10.041         1531933299.0    青铜修炼手册呢？
10.342         1531949452.0    111
10.792         1531930989.0    日更？
12.601         1531932988.0    祭日...
13.354         1532143924.0    维他柠檬茶。。。。。。？？？
14.091         1532083576.0    啊啊啊啊啊不知道今天第几
14.741         1532097272.0    哈哈哈
14.778         1531923579.0    hahahahaha
15.229         1531968235.0    今天我生日
17.179         1531913970.0    晚上7.35
18.737         1531933020.0    不加，滚
18.983         1531913676.0    关了30w的门.
20.768         1531995896.0    又凉了呗
21.861         1531923608.0    你的好友[原谅色巨龙]已上线
23.04          1532087977.0    您的好友:［海洋与水之王］已上线
24.428         1532147377.0    这熟悉的BGM，我已经1年没看top10了
25.003         1531922333.0    6666
25.164         1532017262.0    看见我就是43w后了
25.781         1531989028.0    来啦来啦
26.381         1532073000.0    这龙女反射弧真长
26.512         1531923649.0    你的好友[那屎难嚼]已上线
26.621         1531931588.0    凝的好友_宁德好友已上线_已上线
27.586         1532096890.0    我第一
29.01          1531911989.0    显然已成高产
30.062         1531986269.0    拉屎难爵
30.686         1531927903.0    你的好友粗紫长已上线
32.643         1531922343.0    厉害了
33.444         1531978565.0    66666
33.602         1531920478.0    我的好友〔你老婆〕已上线
33.957         1531923674.0    你的好友[ez的小三]已上线
34.208         1532008413.0    青铜手册怎么不更新了
35.838         1531919267.0    为青钢影打call
36.377         1531932610.0    强1强
36.41          1531923700.0    你的好友[uzi用我叠羊刀]已上线
37.94          1531957964.0    一群撒比
38.196         1531923630.0    1
39.333         1531923724.0    你的好友[设听解]已上线
39.549         1531976733.0    关40万大门
40.278         1532090491.0    我是新人，菊花求刚
41.846         1531922591.0    没人?
41.879         1531919275.0    为青钢影打call
42.472         1532011668.0    卡了
43.324         1531923622.0    。。。
44.053         1531969275.0    喝酒不
44.95          1532014114.0    你买单，我就来
45.068         1531910941.0    又偷偷更新
45.177         1531912829.0    梁容铭我知道你会看
45.529         1531939695.0    为我敏敏打尻！！
46.376         1532074332.0    没人吗？
46.391         1532103601.0    弹幕好少
46.859         1532043328.0    。
47.366         1531933378.0    为我敏敏打尻！！！
47.411         1532029024.0    我李德辉今天就要撸死在这里
47.613         1531967860.0    为我老婆敏打call！
47.678         1531986336.0    不等红怒w？非要红怒q！
47.708         1531946211.0    为我敏敏打尻！！
49.234         1531967825.0    为我老婆敏打call。
49.571         1531920269.0    1
50.173         1531967867.0    为我老婆敏打call！
50.856         1531967872.0    为我老婆敏打call！
51.262         1531925255.0    这个酒桶有丶东西！
51.52          1531926955.0    这个人是玩数数数学的
51.965         1531967878.0    为我老婆敏打call！
52.648         1531967883.0    为我老婆敏打call！
54.184         1531967897.0    为我老婆敏打call！
