排名：10
网址：https://www.bilibili.com/video/av27107785
更新时间：07-21
弹幕总量：5428
preciseTime    ofTime          comment
0.0            1532096461.0    LPL牛逼！！
0.08           1531974348.0    77777777777777777
0.158          1531938841.0    33分37秒
0.582          1531987717.0    真心希望这届lpl能夺冠 不管是edg还是rng 厂子年纪不小了 狗子的伤也是一天比一天重了 我真的希望今年lpl赛区能拿到一个冠军不管是那支队伍
0.919          1531910880.0    结尾一定要看（滑稽）
1.243          1532056726.0    屏蔽弹幕建议全程，智障太多
1.598          1531938812.0    空降23.37
1.706          1531927844.0    看了不知道几遍了，好像出不去了
1.87           1532076375.0    支付寳搜一下“
1.957          1532054663.0    7777
2.033          1532061652.0    提前预警，片尾高能！！！
2.459          1531983977.0    进度条？？
2.549          1531958315.0    第二遍
2.843          1531995879.0    支付寳首页搜索5l342l732，真的不用谢我
3.179          1532084387.0    7777777777777777777777
3.28           1531913505.0    35min?
3.397          1531974724.0    聚印象真的成长了，越来越走心了
3.779          1532055843.0    突然高产
3.84           1532016029.0    777777777777777777777777777777777777777
4.372          1532049841.0    我们是冠军!
4.379          1531933524.0    注意进度条
4.454          1532041661.0    界面77777777777777777777777
4.479          1532004964.0    77777777
4.555          1531940320.0    第一次这么长
4.602          1532004468.0    777777777777777
4.66           1531993919.0    欢迎回来
4.675          1531976529.0    77777777777777777777
4.71           1532006060.0    777777777777777
4.901          1531909494.0    77777777
4.958          1532065086.0    鬼见条
5.034          1531930673.0    7777777
5.04           1531920692.0    LPL牛逼
5.1            1531968401.0    见7滚
5.339          1531968451.0    这么长？？？
5.442          1531911976.0    长啊
5.581          1531970925.0    777777
5.59           1532098777.0    777777777777777
5.729          1532006371.0    7777777777777777777777777
5.748          1531910028.0    77777777777777777777777777777
5.896          1532098314.0    一看34分钟吓我一跳
6.004          1532062727.0    ？？？？？？？？？？
6.06           1531924327.0    7就完事了
6.1            1531916363.0    edg永不团灭
6.107          1531928135.0    进度条君雄起
6.279          1532044821.0    777777777
6.337          1532068878.0    77777777777777777777
6.382          1531994791.0    支付寳首页搜索5l342l732，真的不用谢我
6.638          1531920779.0    神tm的进度条
6.646          1532107891.0    77777777777
6.764          1531963048.0    34分钟？
6.961          1531963060.0    啊～好长～
6.997          1531983769.0    ，，
7.065          1531974103.0    bgm：jump！
7.138          1532008305.0    77777777777777777777
7.161          1531912309.0    这进度条不简单啊
7.197          1532086767.0    777777777777777777777
7.314          1532012792.0    777777777
7.44           1531975564.0    666
7.469          1531960233.0    77777777777777777777
7.729          1532005384.0    再来一次
7.859          1531972693.0    真的长
7.989          1531962684.0    777777777
8.115          1531934272.0    我都二刷了
8.259          1532075514.0    哭，都tm给我哭!
8.317          1532044783.0    777777777777777777777777777777777777777
8.4            1532075195.0    7777777777
8.594          1531980262.0    777777777777777777
8.96           1531951705.0    77777777777
8.981          1531970744.0    LPL万岁
9.186          1531910719.0    7777777777
9.231          1531921903.0    来了来了
9.332          1531972744.0    这是重发的？
9.361          1531999898.0    77777777777
9.435          1532056005.0    7777777777777777777
9.726          1531924088.0    恐怖进度条
10.18          1531965977.0    进度条好评
10.753         1531915499.0    你把你封面给我交了
11.02          1532086943.0    77777777777
11.112         1532013363.0    6666
11.219         1532059764.0    777777777777
11.299         1532102004.0    我没看错？这个进度条？34分钟
11.44          1532063666.0    77777777777777777777777
11.646         1532001241.0    投币上线了兄弟们
11.689         1532146661.0    77777777777777777777777777777777777
12.059         1532031120.0    我上我不行系列
12.231         1531975731.0    77777777777777
12.44          1532068522.0    7777777
12.442         1531913414.0    34分钟
12.506         1532053641.0    7777777777777777
12.589         1531974347.0    你还有脸更
12.852         1531982066.0    77777777
12.999         1531930011.0    77777
13.156         1532018116.0    777777777777777
13.161         1532087411.0    77777777
13.177         1532068885.0    7777777777
13.859         1531909574.0    鬼见条
14.079         1532007351.0    我们是冠军
14.421         1532063798.0    777777777777777
14.469         1531964776.0    7777777777777777777777777777777777777777777777777777777
14.506         1531950918.0    进度条好评
14.51          1532084838.0    好长
14.592         1532002902.0    7777777
14.822         1532059852.0    2494个小伙伴你们好
14.841         1531920082.0    一寸长一寸强
15.02          1532014582.0    777777777777777
15.101         1531987245.0    7777777777777777
15.216         1531938308.0    进度条好评
15.584         1532107900.0    777777777777777777777777777
16.042         1531970536.0    好长
16.896         1532146666.0    77777777777777777777777777777777777777777777777777
17.346         1531997013.0    77777777777777777777777777
17.518         1532103096.0    7777
17.687         1531909441.0    777777777777777777777
18.096         1532006383.0    7777777777777777777777777777777
18.281         1532057225.0    再来一次
18.449         1532012803.0    3452？
18.626         1531922979.0    好长
18.839         1532089397.0    第三遍
18.92          1531969717.0    777
18.922         1531929511.0    77777
19.039         1532008719.0    7777777
19.287         1531973567.0    777777777777
19.314         1531971564.0    77777777777
20.0           1531924678.0    第五遍
20.018         1532058427.0    不错不错
20.131         1531971833.0    777777777777777777777777777777777
